,Well,Sample,Call,Type,RFU1,RFU2
,A01,STD1,Allele 2,Auto,2792.63679307392,5653.64562691923
,A02,STD1,Allele 2,Auto,2860.74756964124,5789.68043590904
,A03,7.1_B,Heterozygote,Auto,2671.34092728173,3321.06846517985
,A04,7.1_B,Heterozygote,Auto,2897.38394634631,3584.27967439311
,A05,15.5_B,Heterozygote,Auto,2913.36234445937,3434.71649734706
,A06,15.5_B,Heterozygote,Auto,2920.63036342058,3587.85363662601
,A07,17.2_D,Heterozygote,Auto,3014.50857655471,3770.03373083284
,A08,17.2_D,Heterozygote,Auto,2927.5751076882,3642.07504489281
,A09,8.2_A,Heterozygote,Auto,3046.42640078851,3638.71013260888
,A10,8.2_A,Heterozygote,Auto,3052.36753860858,3723.5676790012
,A11,15.3_C,Heterozygote,Auto,3006.5526043247,3675.20294007058
,A12,15.3_C,Heterozygote,Auto,2899.27711928504,3489.17431555768
,B01,STD2,Allele 2,Auto,2938.54066624141,5652.20407232607
,B02,STD2,Allele 2,Auto,2921.09445260458,5596.7808548277
,B03,3.2_C,Heterozygote,Auto,2740.25637367559,3378.464777214
,B04,3.2_C,Heterozygote,Auto,3163.55429214087,3844.52827694722
,B05,8.2_B,Heterozygote,Auto,3149.41474868499,3814.12956848265
,B06,8.2_B,Heterozygote,Auto,3091.66937452856,3769.18166920021
,B07,6.5_D,Heterozygote,Auto,3142.48101037077,4376.98761018434
,B08,6.5_D,Heterozygote,Auto,3213.51123253221,4464.23538280565
,B09,3.2_A,Heterozygote,Auto,3137.21732218308,3861.22874248085
,B10,3.2_A,Heterozygote,Auto,3155.14214256526,3837.65996146
,B11,17.4_C,Heterozygote,Auto,2943.80476447201,4088.67415651465
,B12,17.4_C,Heterozygote,Auto,2984.41378796,4160.1519252383
,C01,STD3,Allele 2,Auto,3009.11492287709,5311.2172491511
,C02,STD3,Allele 2,Auto,2874.89425132104,5052.9891830673
,C05,11.1_B,Heterozygote,Auto,3069.42806422181,3742.78868700313
,C06,11.1_B,Heterozygote,Auto,3066.46808289481,3773.67495959999
,C07,9.6_C,Heterozygote,Auto,3112.57328682468,4340.74154308132
,C08,9.6_C,Heterozygote,Auto,3128.60900129979,4220.04125807969
,C09,6.4_B,Heterozygote,Auto,3122.64711010972,4312.9538120692
,C10,6.4_B,Heterozygote,Auto,3119.16878558622,4326.24104949918
,C11,12.6_D,Heterozygote,Auto,3124.18270467036,3764.15126307326
,C12,12.6_D,Heterozygote,Auto,2962.9962229157,3528.38102200758
,D01,STD4,Undetermined,Auto,2978.91835330036,4680.96566430405
,D02,STD4,Undetermined,Auto,2908.73710440593,4649.05517845525
,D05,10.3_B,Heterozygote,Auto,3251.36370658505,3933.0117081268
,D06,10.3_B,Heterozygote,Auto,3202.44049780872,3839.6203101604
,D07,2.4_C,Heterozygote,Auto,3157.90039340944,3833.57655246558
,D08,2.4_C,Heterozygote,Auto,3136.93928336958,3793.73288162691
,D09,10.1_D,Heterozygote,Auto,3174.62786168148,4259.18873608288
,D10,10.1_D,Heterozygote,Auto,3133.47668319207,4340.40904726518
,D11,12.2_C,Heterozygote,Auto,3246.438156443,3955.93587922188
,D12,12.2_C,Heterozygote,Auto,3038.8445447274,3690.90893726247
,E01,STD5,Heterozygote,Auto,2862.58318861828,3836.52937577971
,E02,STD5,Heterozygote,Auto,2947.29791409882,3962.59488402836
,E03,2.3_A,Heterozygote,Auto,3064.99745721752,3739.41581310733
,E04,2.3_A,Heterozygote,Auto,3119.18440389301,3798.38443623981
,E05,9.4_A,Heterozygote,Auto,3134.75535063754,3795.81417361052
,E06,9.4_A,Heterozygote,Auto,3403.78687755074,4130.94186674484
,E07,6.2_B,Heterozygote,Auto,3229.17012084975,3923.73565380027
,E08,6.2_B,Heterozygote,Auto,2940.10335615233,3588.21389521203
,E09,10.3_D,Heterozygote,Auto,3235.59465253254,3947.123560292
,E10,10.3_D,Heterozygote,Auto,3235.63791737021,3977.17054145085
,E11,3.3_D,Heterozygote,Auto,3132.22230563226,3748.02340164818
,E12,3.3_D,Heterozygote,Auto,3263.35844559236,3817.80134642007
,F01,STD6,Heterozygote,Auto,2609.93783469538,2816.21529312514
,F02,STD6,Heterozygote,Auto,2390.69318780846,2416.07915596086
,F03,11.4_C,Heterozygote,Auto,3129.54396809755,3771.48445780145
,F04,11.4_C,Heterozygote,Auto,3261.88754672883,3886.64038234872
,F05,2.4_A,Heterozygote,Auto,2887.49151331112,3497.17305560663
,F06,2.4_A,Heterozygote,Auto,3111.99581645033,3741.12551995054
,F07,3.4_A,Heterozygote,Auto,3084.16251175104,3798.85841179828
,F08,3.4_A,Heterozygote,Auto,3043.69606183758,3736.23373017401
,F09,12.4_D,Heterozygote,Auto,3192.61588442974,3858.19753509906
,F10,12.4_D,Heterozygote,Auto,3105.05842482966,3827.17244979974
,F11,7.1_C,Heterozygote,Auto,3020.76133730923,3697.16944958749
,F12,7.1_C,Heterozygote,Auto,3095.72150416525,3790.0185626636
,G03,9.2_A,Heterozygote,Auto,2963.3285176564,3582.01981993784
,G04,9.2_A,Heterozygote,Auto,3069.35951583132,3761.98302737485
,G05,11.3_D,Heterozygote,Auto,3030.55690297926,3634.00468281574
,G06,11.3_D,Heterozygote,Auto,3074.02901040249,3676.38819412147
,G07,12.5_C,Heterozygote,Auto,3035.06286859019,3571.99588303334
,G08,12.5_C,Heterozygote,Auto,3179.74434956467,3806.91376964118
,G09,12.6_B,Heterozygote,Auto,3063.92714624617,3644.05412688403
,G10,12.6_B,Heterozygote,Auto,3079.19733642687,3618.12215404687
,G11,6.4_D,Heterozygote,Auto,3082.56254527058,4183.03297178483
,G12,6.4_D,Heterozygote,Auto,2838.66715823814,3820.99578358902
,H01,NEG,No Call,Auto,-12.6648958858937,1429.51609029995
,H02,NEG,No Call,Auto,1.6702939204506,-0.0382428460770825
,H03,13.4_B,Heterozygote,Auto,2786.43781469039,3430.73683876967
,H04,13.4_B,Heterozygote,Auto,2818.89910178643,3485.70374850381
,H05,13.1_D,Heterozygote,Auto,2972.55977071689,3594.24186087933
,H06,13.1_D,Heterozygote,Auto,2766.96873568798,3349.29552593719
,H07,11.1_A,Heterozygote,Auto,2948.25604128049,3501.12850572156
,H08,11.1_A,Heterozygote,Auto,2976.373131866,3570.98566292343
,H09,12.6_A,Heterozygote,Auto,2753.79147508441,3354.84174472032
,H10,12.6_A,Heterozygote,Auto,2925.53810556074,3463.15113979258
,H11,7.2_C,Heterozygote,Auto,3061.33916661727,3704.16762787983
,H12,7.2_C,Heterozygote,Auto,2869.98746435483,3349.25901778235
