,Data Set,Target,Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,1-FAM,0,15.2_D,,0.0252134894055215,-5.30966039685885,0.00078443746869672,0.00112698149208135,NaN,0.000554681053532261,0.000796896255322456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.9150767043744,0.045174968931121,0.0319435268710873,NaN
,1-FAM,0,17.3_B,,0.0310065849439333,-5.01128155307813,0.000358524954013882,0.00100526613766479,NaN,0.000253515426207811,0.000710830502839981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.6147693455008,0.0167895068374865,0.0118719741375646,NaN
,1-FAM,0,17.3_C,,0.0202537673997157,-5.6256659013649,0.000664022938970812,0.000956662859467151,NaN,0.000469535123009682,0.000676462795238536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.2331246505535,0.0476046910679953,0.0336615998704701,NaN
,1-FAM,0,17.4_D,,0.0248123053745287,-5.3328004038437,0.00214546078675422,0.00228967589889564,NaN,0.00151706987108374,0.00161904535482851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.9383662724077,0.125552669284823,0.0887791438473702,NaN
,1-FAM,0,17.5_D,,0.031970825073173,-4.96710021345062,0.000472188565621462,0.00106968731968414,NaN,0.000333887736749685,0.000756383157497918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.5703024481601,0.0214453978982541,0.0151641862790992,NaN
,1-FAM,0,2.2_A,,0.0304190570181945,-5.03888075914035,0.01006298886134,0.0101055446088515,NaN,0.00711560766285824,0.00714569912050204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.6425469337994,0.480345505849411,0.339655564498601,NaN
,1-FAM,0,2.3_D,,0.0236961467839168,-5.39920370734673,0.000109889328210194,0.00078106158765493,NaN,7.77034891574626E-05,0.000552293945155132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.0051987610748,0.00673364588729743,0.00476140666901692,NaN
,1-FAM,0,3.1_D,,0.00931491112716303,-6.74624228006982,0.000468058330778234,0.000602778022524692,NaN,0.000330967219684145,0.000426228427277427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,23.3609436622538,0.0729614994170138,0.0515915710033088,NaN
,1-FAM,0,5.1_D,,0.0369893199826198,-4.75674741179781,0.000408121762725635,0.0011390871405001,NaN,0.000288585665973104,0.000805456241410011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.3585900710505,0.0160208625051093,0.0113284605178201,NaN
,1-FAM,0,5.2_B,,0.0292916439380971,-5.09336702575563,8.15253536931753E-05,0.000905425725063174,NaN,5.7647130435076E-05,0.000640232670052917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.6973853620699,0.00404130317485469,0.00285763287977048,NaN
