,Data Set,Target,Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,1-FAM,0,17.2_B,,0.0116136973394158,-6.42802884771237,0.00223678702976325,0.00225275972091649,NaN,0.00158164727681571,0.00159294167504396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,23.1806332772256,0.281821617586583,0.199277976880435,NaN
,1-FAM,0,17.3_A,,0.0334143664574486,-4.90338766909242,0.00183203484314893,0.00192399792189013,NaN,0.00129544426096064,0.00136047197755733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.634263768243,0.0802270215750881,0.0567290709901442,NaN
,1-FAM,0,17.3_D,,0.0105296680309388,-6.56939623657043,0.000828724207844146,0.000865074051062619,NaN,0.000585996507100046,0.000611699727734895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,23.3240153547663,0.115163675517567,0.0814330159048389,NaN
,1-FAM,0,17.5_C,,0.0144702456695474,-6.11076677424724,0.000256280385056572,0.000407782293579207,NaN,0.000181217598158601,0.000288345625037661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.8588497627549,0.0259155025348958,0.018325027580282,NaN
,1-FAM,0,2.3_C,,0.0200089556471225,-5.64321032098368,0.000433015418495829,0.000592921381399679,NaN,0.000306188138776731,0.000419258729498208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.3846299573386,0.0316664304183925,0.0223915476848173,NaN
,1-FAM,0,2.4_B,,0.01158598863433,-6.43147503491249,0.00173663464596247,0.00175708417796485,NaN,0.00122798613460356,0.00124244613735454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,23.1841285775515,0.219328735222736,0.155088835985065,NaN
,1-FAM,0,3.1_B,,0.0426943845659106,-4.5498098597805,0.00120536006435968,0.00139227091176019,NaN,0.000852318275280181,0.000984484202954406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.2756469664406,0.0413110479695803,0.029211322157213,NaN
,1-FAM,0,3.1_C,,0.0181113303972378,-5.78696366408295,0.00156145737565823,0.00160608094347181,NaN,0.00110411709886168,0.00113567072626341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.5304319924012,0.126153688075505,0.0892041283098823,NaN
,1-FAM,0,3.2_B,,0.0132506985351512,-6.2377877737491,0.00288466934545706,0.00289986621698087,NaN,0.00203976925565365,0.00205051506656096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.9876809942503,0.318549873765778,0.2252487758859,NaN
,1-FAM,0,3.3_C,,0.00552396303629425,-7.50008061885566,0.00106945021489707,0.00107972671360332,NaN,0.000756215499095131,0.000763482081017176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,24.267963328515,0.283289174996801,0.200315696676981,NaN
,1-FAM,0,5.1_C,,0.0119173803131938,-6.39078905334796,0.00255230539991633,0.00256688525507267,NaN,0.00180475245593988,0.00181506197038965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,23.142862762213,0.313380530726961,0.221593498368874,NaN
,1-FAM,0,5.2_C,,0.013993019467135,-6.15914888343843,0.00189728601467,0.00192230853020129,NaN,0.00134158380682355,0.00135927739723808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.9079213866115,0.198399940927171,0.140289943616613,NaN
,1-FAM,0,5.3_B,,0.0198913951909928,-5.65171171880497,0.000726404460196589,0.00083083308949557,NaN,0.000513645519689162,0.000587487711616487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.3932525123102,0.0534359368247199,0.0377849132878154,NaN
,1-FAM,0,5.4_D,,0.0110515244765371,-6.49961079725842,0.000230028324601305,0.000345402787871536,NaN,0.000162654588190563,0.000244236653544702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,23.2532353725407,0.0304564512025851,0.0215359631762251,NaN
,1-FAM,0,7.1_D,,0.0221757603961797,-5.49487261507976,0.00164885820339136,0.00170580990304226,NaN,0.0011659188168331,0.00120618974985635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.2341782257057,0.108799014156557,0.0769325206965128,NaN
,1-FAM,0,7.4_D,,0.0146806556145768,-6.08993979170407,0.000664224237994433,0.000737592721193851,NaN,0.000469677462914331,0.00052155681491001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.8377259657458,0.0662047941775115,0.046813858909978,NaN
,1-FAM,0,7.5_C,,0.0156023782853218,-6.00209023255129,0.00083463385998205,0.000899697523686592,NaN,0.000590175262201211,0.000636182220015534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.7486244239821,0.0782754129663046,0.0553490753086514,NaN
,1-FAM,0,8.1_A,,0.00728147615646079,-7.10155333043013,5.13462574426036E-05,0.000192463161565953,NaN,3.63072868262153E-05,0.000136092006671887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,23.8637564528509,0.0103183328579933,0.00729616313442705,NaN
