,Well,Fluor,Target,Content,Sample,Cq,SQ
,A08,VIC,,Unkn-17,9.2_B,27.2546249420842,65088.1757091688
,A09,VIC,,Unkn-25,10.3_C,27.5138565250901,54563.2302100429
,A10,VIC,,Unkn-25,10.3_C,27.5944217922978,51652.7345518358
,A11,VIC,,Unkn-33,11.4_B,27.310976285771,62639.816143198
,A12,VIC,,Unkn-33,11.4_B,27.3568165744298,60716.2344603404
,B01,VIC,,Std-02,STD2,21.7477848485592,3000000
,B02,VIC,,Std-02,STD2,21.5550952885667,3000000
,B03,VIC,,Unkn-02,15.1_A,25.4087587156474,228533.101404369
,B04,VIC,,Unkn-02,15.1_A,25.7975666387597,175411.366563489
,B05,VIC,,Unkn-10,10.5_C,26.7169708130352,93837.6264362501
,B06,VIC,,Unkn-10,10.5_C,26.8080707525928,88197.7082597237
,B07,VIC,,Unkn-18,7.5_B,26.9150749142284,82004.5490991604
,B08,VIC,,Unkn-18,7.5_B,26.84493236711,86013.1439641168
,B09,VIC,,Unkn-26,11.3_C,26.9082824060697,82384.4235761874
,B10,VIC,,Unkn-26,11.3_C,26.9711842820577,78932.8570943145
,B11,VIC,,Unkn-34,10.4_A,27.0631637447762,74144.3758275971
,B12,VIC,,Unkn-34,10.4_A,27.0165526166259,76533.5112916608
,C01,VIC,,Std-03,STD3,25.1207098490467,300000
,C02,VIC,,Std-03,STD3,25.120564851078,300000
,C05,VIC,,Unkn-11,15.5_C,27.9359825131678,40941.4594546214
,C06,VIC,,Unkn-11,15.5_C,27.7743956952913,45699.5222168654
,C07,VIC,,Unkn-19,6.5_B,27.032636338426,75700.5361319302
,C08,VIC,,Unkn-19,6.5_B,26.9678351929615,79112.9296275013
,C11,VIC,,Unkn-35,7.2_A,27.234636806116,65979.4245688877
,C12,VIC,,Unkn-35,7.2_A,27.5037200380855,54940.8494239629
,D01,VIC,,Std-04,STD4,28.3279866942719,30000
,D02,VIC,,Std-04,STD4,28.3141836756342,30000
,D03,VIC,,Unkn-04,9.3_D,27.2825526777886,63863.0345827912
,D04,VIC,,Unkn-04,9.3_D,27.2233293810303,66489.0041293332
,D05,VIC,,Unkn-12,10.2_C,27.7886477168427,45258.5084425788
,D06,VIC,,Unkn-12,10.2_C,27.7317672459899,47044.4306906343
,D11,VIC,,Unkn-36,5.6_B,27.0779246082107,73403.4428190991
,D12,VIC,,Unkn-36,5.6_B,27.0206296005071,76321.5012462651
,E01,VIC,,Std-05,STD5,31.8488197628244,3000
,E02,VIC,,Std-05,STD5,31.7457430585239,3000
,E03,VIC,,Unkn-05,12.5_D,27.2789608634125,64019.2997789945
,E04,VIC,,Unkn-05,12.5_D,27.1805779853333,68451.4600675486
,E05,VIC,,Unkn-13,6.5_C,27.4350294479973,57569.5982535134
,E06,VIC,,Unkn-13,6.5_C,27.4298294420355,57773.6468408242
,E07,VIC,,Unkn-21,3.4_D,27.0836766417017,73116.7239374266
,E08,VIC,,Unkn-21,3.4_D,27.0227869462764,76209.5533361571
,E09,VIC,,Unkn-29,10.5_A,27.5366624206799,53723.0933010982
,E10,VIC,,Unkn-29,10.5_A,27.3616950465147,60515.0306963226
,E11,VIC,,Unkn-37,9.2_D,27.6752121537397,48890.0013479188
,E12,VIC,,Unkn-37,9.2_D,27.5553178527886,53045.4814928908
,F01,VIC,,Std-06,STD6,34.7234317496204,300
,F02,VIC,,Std-06,STD6,35.552967497652,300
,F05,VIC,,Unkn-14,5.4_A,27.3355242057234,61602.2606298631
,F06,VIC,,Unkn-14,5.4_A,28.0208633173808,38643.9346730124
,F07,VIC,,Unkn-22,13.1_B,27.041274730101,75256.9027698224
,F08,VIC,,Unkn-22,13.1_B,27.0520515112425,74707.0933705635
,F09,VIC,,Unkn-30,6.2_D,26.3575944790754,119831.629178326
,F10,VIC,,Unkn-30,6.2_D,26.4470311458428,112756.929649827
,F11,VIC,,Unkn-38,13.2_A,27.7167684150134,47526.9909993912
,F12,VIC,,Unkn-38,13.2_A,28.3679174039091,30516.0326224275
,G05,VIC,,Unkn-15,2.3_B,27.6648195032033,49236.938498823
,G06,VIC,,Unkn-15,2.3_B,27.5437545869668,53464.474246072
,G07,VIC,,Unkn-23,12.4_C,26.2926633856626,125244.416812671
,G08,VIC,,Unkn-23,12.4_C,27.0671105932399,73945.5312785625
,G09,VIC,,Unkn-31,5.2_D,27.1617298272932,69334.9618355606
,G10,VIC,,Unkn-31,5.2_D,27.0149200030879,76618.5749985079
,H01,VIC,,NTC-01,NEG,NaN,NaN
,H02,VIC,,NTC-01,NEG,39.6552473096039,NaN
,H03,VIC,,Unkn-08,9.3_B,27.6021636521505,51381.3636278891
,H04,VIC,,Unkn-08,9.3_B,27.5620568425316,52802.8115815547
,H05,VIC,,Unkn-16,7.4_B,27.308376092879,62750.7357459244
,H06,VIC,,Unkn-16,7.4_B,27.4836257749896,55697.1732160421
,H09,VIC,,Unkn-32,6.3_C,27.4419358720888,57299.703487273
,H10,VIC,,Unkn-32,6.3_C,27.4578025432628,56684.4358588235
,H11,VIC,,Unkn-40,15.5_D,28.3576626930386,30729.698672162
,H12,VIC,,Unkn-40,15.5_D,28.4170714263935,29512.3116752356
