,Cycle,A1,A2,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C11,C12,D1,D2,D3,D4,D5,D6,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F5,F6,F7,F8,F9,F10,F11,F12,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H9,H10,H11,H12
,1,-36.0796859830757,-4.64762851611795,-17.1262388138725,-9.68410393766408,-13.0161775722299,-7.08169455725192,-4.57108819834002,-74.6424357701012,1.91918173248632,18.7574159505439,7.47599521677876,11.9289696824299,8.90613915695349,10.5464612506098,11.9741114578219,1.69205437248411,4.32136953023928,12.7417024585461,24.6648864296608,-10.0732299861093,-9.78594731511112,14.5291334977783,10.1603630302252,-1.68490431866849,12.4656395002357,7.56784239265744,9.17794958472996,-19.1312997459227,-0.940478011761115,19.6389032855627,4.862316613654,8.00489872286471,21.7542765372605,5.85731552900961,5.93417267607265,3.57869255726837,1.95501226709894,12.1076845096504,7.78285404355393,13.5708109073717,19.6770337371704,10.388175979293,42.7991118090863,9.83285784390955,7.7189451636641,4.30964160983012,-4.04643892937247,4.57994278539263,0.205898586041258,8.49254662765907,11.1603371811575,6.18278741202539,13.5047146257343,13.7341450754452,5.66596172845584,2.81339230916592,6.33262832229411,-1.57186722988081,9.15321978394286,9.03338051534456,6.48010743354143,1.19108796836827,13.9796643726841,7.44366105109066,-24.6504967324645,-2.30241702389867,0.953632557525452,5.98358670308289,1.08958765148236,-2.95122820572078,6.34577119924097,9.85030453654281,-0.470551924861866,-24.6745277498467
,2,2.11862759660971,5.92112513094571,-8.80563463377121,-4.91794845121512,-4.40975324390047,-1.9147640758506,0.944380479306346,-18.903453534354,8.50637622454315,4.87807875168119,1.83258504063087,3.7983110011578,-0.827290398648074,6.87943620792612,0.0656495717148573,-4.20604095679937,1.19622390109043,7.15919073319446,7.22355376816449,0.612698465930407,3.7735374020408,0.660543235892419,3.07964496892691,-0.316269139554606,4.91347178183105,4.37270774728086,1.85911229220028,-6.46308930823125,4.53221689955535,3.86284359510273,0.67956307934719,1.61775712237886,11.4482322936183,-0.618845656360463,2.16886913837106,2.97772660125429,4.37672330063288,3.25515132626515,-1.25730457745931,0.211222580063804,11.5018208687948,6.03910559735141,10.2571320093102,1.59505958628006,5.91616220630567,-1.68504595155673,-5.66414104078513,-0.764826040151547,4.24494140783418,2.84985408586044,4.04942848337032,-1.38635559454497,2.35940305915665,7.39013651632104,4.32956100424872,-1.90590085913891,6.19900308231672,3.81801453239677,2.38291387025311,3.17208125636535,4.84098755185823,3.49336442750382,2.56683705475689,3.90883558813994,-2.36532646826254,-3.10562372957702,-1.88574231402981,5.11945563536028,0.0840622346918281,-2.52286436605436,1.87687628427329,3.65469596379353,0.489906548718864,-5.05688305775493
,3,6.86915499152747,5.04659862115068,-1.08068060652704,-6.43255794449351,-0.123395205895122,2.67176257663323,2.8142714972405,-2.12072362812023,7.3616749330904,0.0739877286559931,0.798658688622709,2.82471333820831,4.5513111319583,4.08684252602734,2.95767082522889,-2.67668065933822,2.67456585408672,4.18898750924109,2.53138831913338,4.41714166094653,7.93530960927501,3.99124109643662,3.52455837977368,-1.64492372684754,1.75823210013186,2.98363279422074,1.46061276244109,5.55790895026348,4.84336007938646,5.29408826014333,-1.25558263830999,0.391641747350604,2.71054674094512,-2.03171852696414,2.05205605878382,3.44397172360095,0.212642570607386,2.49367004325131,1.64956001799965,-0.624580305536711,3.06941572561072,0.672417493391549,2.96226522416919,1.49994725526994,2.38729696058272,2.44697038032518,-0.940715522752271,-1.82808688290743,10.1716852184677,-2.66937941045353,-2.71553075963584,2.03249796747514,6.70233587230086,9.09788332712787,1.51841901698299,4.69087111522504,2.62555599848065,3.37146435105296,3.9953611592432,2.63736897216677,5.0726624986587,1.30466144849925,0.542637168207875,7.01932307021707,0.770981655089145,-0.474858288573614,-1.89594251506605,-1.8739812011313,1.0447672279688,0.20309351981814,0.965315336413369,0.564969930227107,3.28429767320904,3.23590295920894
,4,5.67894163253868,4.33289354700491,-0.0494979294016957,0.707363521869411,4.95716275853738,6.96172273297361,0.815761630280576,1.5688600105982,8.6892926862447,2.38787619939831,4.92936551294542,2.85424782219252,-0.112117900513113,3.69727543865656,-0.0233106651653543,2.03561775908565,1.66010576432791,5.93876607916036,4.67872704523916,3.01564358938231,2.946363640865,7.31943968763926,3.11821831607767,2.07506205411755,3.29445488355259,5.52591603194196,4.97664209482582,1.92929668844272,3.29018182004211,4.93249919520167,2.1992603006961,2.01187329525419,3.93749779958398,4.30875184083379,3.55830388209188,3.72076506695976,3.97259057688007,1.83772008331789,2.22671067654164,6.50937874679221,4.16514686524715,1.74508797568114,2.42680647365114,3.51906394284333,2.48856720988897,3.02242084036561,-1.37473115748844,2.52947336691477,4.48380041044584,0.745536412148795,3.80199723378882,1.05943670340321,0.983178384078656,3.46610345684985,4.59539805085751,0.292978335201497,4.74260932038032,-3.32450585564402,0.475296709082158,0.65459383801408,3.78577320380055,4.46296763849114,3.7717274514066,2.56415549313624,-1.6848057932084,-0.498358106624892,3.66016550597124,0.15672571493451,2.74682909864168,-0.42874314928622,0.0621632861298167,3.49056430055725,2.21715939350952,0.0547418483306501
,5,6.20310365628711,8.31803675821448,0.446051244821319,2.06063828326205,4.20681906952814,1.44226879540201,4.12325410472067,4.24331613743107,6.59701461443228,2.91846482967912,1.74801109921918,1.60353001726344,5.76287067490512,3.64199010149378,4.61798465955098,1.33312438562507,1.50063532807235,5.76467229657419,1.36829752985523,3.77758706230179,5.68265259452073,2.64156854352404,1.61281349133469,5.69233854515642,-1.25783536261815,6.45130749656028,3.67906450045757,6.31420383568502,1.30930374840136,5.30900149748732,1.64652546590196,2.44462288408795,4.01052008505167,1.25230582561244,3.02053645377919,4.75848121804711,4.22319607971485,2.95093126970141,4.26787270820751,3.86342452122381,-0.140892758892278,5.66871929679337,2.895878503532,2.42700480423127,3.13309915718582,3.35219335578086,2.39104698204164,3.27300125309648,5.86095914978614,1.73455384101862,2.88407560134283,0.780458818884199,2.72785608555341,9.61721358547038,2.27710745092236,1.10017420943859,1.41649161663099,0.682506632766945,2.86681541686221,2.30961446205583,2.67685215884148,3.92587409263251,3.75932163330663,1.5826005137942,-1.09667221431391,-0.567841931853309,4.89145605486556,2.05926423423034,-1.79540275277532,1.52331210323428,-0.660267213529551,-1.22463000733933,2.44135728322499,5.33078160756349
,6,1.36981706908591,2.80064090558199,1.11417126074593,4.92802275691429,3.09341647587053,6.13504459980732,0.89216587427336,4.66064520614509,5.91408141071315,3.55417337272092,1.5680654988937,1.94547919304887,2.21046675376601,1.05451981713941,3.62453683646163,3.11588700624498,3.04449536411721,5.27723292248447,-0.0725414102016657,1.67814044472061,1.9558365688199,0.0259836419913881,4.81982359349922,6.52416070550589,4.36704631237853,4.18952302065418,3.21986426033482,0.150180678484503,-0.763609597800496,5.8438912770207,2.02340338416525,2.82962555892436,5.32188221745628,3.5237274900519,3.01063732025023,7.10422026718334,-1.78991311893151,2.30124797040753,1.72696245137877,0.535130020997258,4.33216067161084,2.48531414464378,4.19518031244888,3.57870083368198,4.02161181105066,0.923280865869856,3.77386071996398,3.21008375607016,9.362800383386,-0.761568676636216,-1.31328849418651,3.59770221698818,3.67555100421214,4.2369988628634,1.87068587205113,1.82190591700783,3.43506111716033,5.56209559223134,0.331293633482346,2.60759976714007,-2.88510147043644,0.360041679732603,3.9899487313819,4.87701141536036,-1.44961727504642,0.0516809409700727,2.07652514037909,1.85129535590841,0.657989229784562,2.49868981996315,3.3837051070077,7.09877559808001,1.93602250368258,2.83859498614356
,7,1.62874728075849,4.35729198059198,3.19669030302202,0.94755974775353,2.56173413647457,7.30695481175326,2.53350107356482,-0.573080260228835,3.15511245197331,0.0334995207263091,1.16727651609199,3.11358947832878,1.32963345978396,1.56293761531879,4.68340612345128,0.993403500467593,3.8198918382086,2.1933314978387,1.78529069138631,2.28590144290592,5.52536976998272,-0.103042340084812,0.952866990352049,3.9874475200827,4.20243339871558,3.94669292563913,4.92354101220872,4.68452647955519,2.80276395014971,6.1736478533976,1.81522028671816,2.10845209420404,2.80939899795658,3.10216911206498,1.46144915766672,-0.449518061445815,5.09042093817379,1.08736673612111,3.76130602119792,1.86700519587521,6.40164520278995,4.82767780397717,4.01765958848864,4.06027102799271,4.08416658359329,5.0227025421209,1.86183330162112,3.70228158726513,4.50333274868353,1.42269143693647,2.38555754795561,1.34030089064163,2.77792768237623,1.55727607030258,-0.438756263881714,0.461319147912491,2.49810697004705,5.44134324771494,-0.387655237821491,2.95538485864699,-1.18863661243722,3.93509934574831,3.53422013280033,3.94647982264405,-0.338688609481324,0.298900936239079,2.96428479600263,0.211028782452104,0.835734136350766,6.14303796046215,3.34402403681179,4.23995320055474,4.55062421105822,2.76668664940416
,8,-0.80254043871264,0.501351396276732,4.09531698482169,3.43011510773749,7.17602441966892,-2.15100399482844,1.71832963234783,1.42986770813695,1.44504757400637,3.6415999826977,0.467520306117422,4.80779424879438,4.09516609080038,2.61625756858439,3.40386987828697,5.90862863226175,1.15529916449213,3.19816941569161,3.49051814181348,3.16743286580277,1.59599310367503,3.69676408321948,-0.670333513745845,-1.06752358723679,2.66969273231325,1.75907321873729,-1.58159720306776,2.01039405012534,3.79239575748079,-0.772787275773226,1.03459549771651,1.16356644921507,0.116108201960742,2.54174286747684,1.94429834030416,-0.613472635567177,1.02259370501406,4.58046901042144,1.64722608780767,3.51733654664804,2.38195866704518,-1.58183573268616,-0.574740473669408,2.46876695620767,7.75964281850156,1.9502520584324,4.16720635025149,3.56588208104768,-0.0897139912326566,1.93770090996622,-0.205897715668016,2.42799785331863,2.04738891442639,1.45639366907926,1.00658077818389,2.57533029262004,-1.28305657864166,0.467785657320746,-0.135933961328192,2.35366354157304,1.12005607407991,1.47297287444326,-2.12740321325509,0.151958564289998,1.23943314995176,-1.68622949875544,-1.60469268788165,4.52423754198026,2.08551460781064,0.940670174650677,0.268208116096048,0.291518129645283,-0.041433153930484,2.3181406852932
,9,-4.21094025665661,-3.98627539249492,2.47453984217873,4.43468823970079,0.227209893088457,1.17011162222798,-0.329842720639135,3.87376424427566,-1.8011029442464,5.74148087308595,1.87846331577293,1.29067279951778,0.730555333419943,5.39906897046285,0.716656291503568,-0.748008896646297,5.9696310102604,-0.517335685929083,2.15588112875184,0.874830223542631,-0.61823623531609,2.74983417778685,1.50339340282471,-0.627234965507796,3.3892095300348,5.5550420598297,-0.380850835589627,1.67900833277326,-1.71511052597907,0.25972616480567,2.6307318033796,2.96465871583177,-0.0543626809790112,1.37835805261011,2.47681689482624,2.23919752680649,2.65509786826851,1.69065107775396,2.97644686893227,1.95480931122938,4.31267833251195,4.81931077922172,1.46855715816855,0.434722584773681,5.2459749072591,2.308043209674,4.83871042953524,-1.15980728789509,0.131588738140636,0.0764124986881143,3.65475588041636,6.92187705619244,0.21874384833427,1.12709002765905,-0.358783772872357,-0.701136746186876,0.259764405457645,0.936879483242592,2.65648049796664,1.9509597920528,4.06271434230803,0.132681252484417,1.86401558412626,-1.14283465075459,1.9147531301146,3.16309401026501,-1.57269030551242,3.84549921500548,2.14280421432022,3.64360407012464,1.4305820180316,0.527970893842848,2.33930588904605,-0.85750635039085
,10,-5.04359850860737,-6.4499374181687,1.74953709088641,5.22157515888239,-2.10735290712637,0.203820808495948,2.13754211325886,4.41032807183456,-2.74939223625097,6.50739976541354,3.5979726253895,2.04746266263692,2.00204046859153,2.10840489095199,-0.0659260645506947,2.9489066624792,0.0234278302336861,-0.353870254480626,-1.35648211748457,-0.732179732375243,1.70750558875625,1.10335510905315,2.66122439680748,-0.799463739150269,3.31512878568401,-2.32478530223034,2.47633974097926,-4.82620689406895,0.493694650414909,-1.59723236525178,1.91989041575243,-0.88497968205138,-1.47245773006898,-3.56486150484216,-0.712539503010248,0.769961013950706,1.53048236745599,0.822775705983531,2.44427866192564,0.0441551280900967,0.334988544861972,1.08024606398112,3.02660357558625,-0.542433488538791,4.16900526322752,1.0433637599649,4.20277110920642,-1.35360551005851,0.520589331165411,1.40493658198011,1.94475933642298,1.41430235886173,1.2002735300839,-0.543314784837548,-0.125724683613043,-0.528962946570573,-0.0614391259036893,0.5950046247317,2.07198549016539,-1.29518641491677,-1.42713941621423,0.831128261293088,0.356139359719236,-1.65055161961118,0.0187714273215533,2.56884548527569,1.02403798681553,4.8452218912671,2.74773994280758,0.704992910205874,1.77095507132253,-0.151696753629039,2.21415836362939,-1.25841247626659
