,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-12.0954018955085,0.228661881835251,-3.97084747370627,-1.68698038419689,-5.99531394853102,-3.83243163773477,-1.90061546497782,-5.76442519024067,-2.47894095880019,-6.09874156665956,-1.52916014210132,-35.6876987699297,3.82698112675871,12.1213591638516,3.69668809228324,3.12997909545538,3.33174347208751,3.69752260857831,4.51251333106393,2.72648025418312,-0.226234046246191,5.69548133185117,-2.79589138505435,-3.17542352609053,1.84510690924071,5.62089509069483,0.389211826167866,4.93810452440721,2.33901635503707,-1.84754748267551,2.58727363352864,0.0056276528057424,4.38484840913861,6.96730549928407,5.42235738759655,-8.6101506935006,1.91006870770343,2.16682232788753,6.42896537391835,1.21068336961935,-0.776636972695997,2.95184463196392,6.65365952719003,2.3529556202202,0.24988159096074,-0.0533204838770871,7.01246495643909,-5.06068023716989,-4.43484765163112,1.13606557919638,-1.29852904394238,3.94263809118638,3.78330746059737,3.52696612708678,2.65136159945723,-2.18172884417436,1.82144177631471,2.23018308264454,5.10583867572586,-0.0329107114598628,-5.66916780688553,-0.201967555457941,3.97200615815837,2.72329591482003,10.7195179986657,2.91805026563043,-1.83381183993788,3.55816403203562,2.73669315009965,-1.58933115232958,7.33867426817596,0.334319639265686,7.13958494069311,4.12077624153062,-0.194709442452222,7.54040355270081,1.530736867217,0.726389717822713,6.0783382492391,4.21290026508404,3.65509931430279,-0.250948204285578,-12.7809644402705,0.244355054896005,-3.06160402804653,1.92848745728907,-1.15559937590115,-0.726193910471011,2.30667974250537,0.572098464310784,8.18198582257901,5.1903962517099,4.25321630711733,-11.9314597203811
,2,0.0987658553694928,5.03228002392643,-2.11054071191484,-3.15330170027801,-2.86045191380435,0.764800437038957,-3.70603512137541,-0.278423327782093,0.395249106756182,-4.22774787813159,-2.29768799058638,-5.69534237635253,3.09011131831539,5.96391858857669,4.59699039345332,0.935534951612226,1.1136287114291,-0.4901989423538,0.971132764459071,6.03995551764638,-1.98551053803567,-2.34294216350781,-3.08400184704806,-0.016120625689382,1.68372919186686,-0.0420633215608177,-2.21166054915693,3.21923584245587,5.53948869897795,-1.34758324867789,3.9726035378103,-2.42389491342783,1.33261535876454,1.69264652228503,4.37364442701755,-1.48698840443194,0.112147052959244,1.58814330098994,1.1754996262448,2.62926486245806,0.23872626527691,7.7528974976326,0.289466235552936,0.0410615195610262,4.53589904683849,1.82948347999854,5.28529841341333,-2.79265935316516,2.41912232468076,0.235067630894264,0.787173276333306,-3.50146247395196,3.98671130099774,0.214024871462698,4.12752423694701,1.71732235648915,0.435158120799315,-2.00474717279667,1.05686322334168,1.58265404938402,-0.411407042505289,-1.04836025483928,1.46461576569754,0.335127460752574,0.712616767819327,3.43170389045463,0.554600379790827,-1.53640321459079,1.89534178084523,0.101522399706482,3.65193008573942,4.83407843858868,0.129200462220979,0.325117014977877,-2.23414742438081,2.27919717440136,1.94294501361401,-2.50612389858679,-2.79603164708669,1.59415824647112,-1.75577521782907,-2.91319451448089,-4.42312391469613,3.46828771161972,-0.786569364654042,1.54458715932196,-2.70884468357508,-1.05498984763062,-3.43863156379439,1.68489937090044,-3.45398546643673,2.56316141918978,2.53977845868758,-1.08825619473782
,3,4.02778042157479,0.397334292170399,-1.57177546760067,-0.376564908761793,-0.478616430636066,0.425193661445974,-0.913611951850726,-1.03519839646879,5.63040348535014,0.939088563052337,-0.522952942139909,-0.0671133308019307,3.80835409020665,3.13384886458334,2.83487482776627,1.20689520391625,-3.12019119108299,-0.168616510169613,-0.436371812054404,2.1656732963279,0.825014433575234,-0.109645442380042,-1.55094441904703,1.79579402411855,-1.52975956479486,3.77006194691785,1.17158630880749,3.84149217863296,1.88640182677091,-2.23478009937253,-0.68220795117486,-0.0376737084084198,2.15566771430849,1.92463431535771,-0.0539107508034249,6.14860239897189,-0.781274717746328,3.13231991395514,0.414955334712431,1.89956047815076,0.310205252952983,1.15978865731222,2.36377025376396,2.4242738938442,4.61131203749983,1.548220528201,2.46480759606493,2.66636138610875,1.17303984906084,1.20250489723412,0.687512747598248,1.83301924637681,2.28928609130571,0.952149310623554,2.28768593192171,2.31512794392938,1.10448163437968,2.75668809914396,0.568103853335742,2.89288165458538,0.134700150311801,0.288526919086962,3.87549077856556,-0.907076988135032,1.75646620432872,2.59143861557641,0.740948236965778,1.3212988960172,0.448286933442887,-0.605366558856986,2.79322374912726,1.32782655897245,-2.5126676440741,-2.41159100609957,0.353819014132569,3.57893470019508,1.24292328541878,-0.488689854327731,3.53274262664809,-0.555483807088876,2.56547290463641,0.423627573036811,-0.98505777313494,-0.767942950411452,-1.45689868247518,-1.47841829645495,-0.0631763912738279,-1.50864787520459,0.0782387223052865,-2.62466826628634,0.773289226757697,0.688887844002693,3.76705014513527,-0.947083718515842
,4,3.70176052102988,1.52444319732513,0.723716801181126,-0.969178267022016,-3.19105616985325,0.830799356250736,1.48813259393592,1.97998874534233,0.0536089981387704,1.12472595333384,1.78226762452869,0.568115145515094,4.86874141374801,5.87455465128778,0.2933890201125,-0.779882039187214,4.48050020756,1.44139380452043,3.24864171575973,1.61330819077284,4.5525781614283,0.0550795476137864,2.41861625495085,-0.138626298721192,3.26665841254544,2.80954988221947,1.51054169150939,-0.949173401913413,-0.759167833909487,-0.731235746651691,-0.9403937727011,3.76851362746083,-0.596456380929794,0.98113846096976,6.15238249818685,3.87126402884815,2.03232804660274,-1.59967523808018,2.18533936314316,3.14279024228154,0.977990683750249,-0.591052901823332,1.02300422169901,2.29935692470644,0.354722531585594,-0.492223120604649,2.65969805169243,0.85663265958874,0.648654195401377,-0.185689065283441,-0.692999873661392,-0.0282346004651117,-0.690745217261338,3.07031961540815,0.566389588104812,0.806944777954413,-0.24920349335207,4.60637130777468,1.14371569451987,1.5295110810539,1.10864746428297,1.69233509751029,2.31234697692844,1.0527458757465,0.974819130648484,4.1068716656946,0.586030395817943,-1.3183502767497,3.74141546660576,4.00976386459752,4.9423392431313,4.1800772350266,0.213359322591259,3.73804562815712,-0.807295405863897,0.831921980670359,2.58039791319379,2.33813849006674,0.292592732173944,1.17390284062594,2.59985772571235,0.446434881012465,-1.86836557773358,2.0450057364319,-1.63984124840135,1.5287726709762,0.1247123267608,-1.30881587720205,1.22881522187981,1.54539915443502,2.25772545044674,2.52422968769588,-0.267847889344466,3.62368215143624
,5,3.12685310445477,2.88287519971573,1.4010507895523,0.724112955358578,2.19035801422342,-0.593256851751903,1.48327401652659,2.81301483810876,1.13117363811807,-0.146745218342858,3.47900891590325,1.97077334326968,1.38327012700984,6.44540451297826,3.58566718128895,-0.632121033049316,2.17994713940516,2.26629980333655,2.44653377819304,2.78457561070763,-1.59799045624413,2.05365536607633,2.60386314475954,1.96841107392993,2.48062409284785,1.20285020042957,1.83626050008252,2.22914434624045,-1.59977077659005,2.06388703814582,4.77893644363485,-4.2788988101961,5.17260019635114,1.80602879317485,2.14928768383425,2.45927142861547,2.08891710128637,0.428071672653914,-0.129035474938519,2.94951253456702,4.45106489738691,4.11369124927751,0.447679692108522,-1.95119897796712,4.30197058304202,4.56453482720417,-0.883357327963495,-1.70705807946933,3.68070940010148,-1.3184139335317,2.58041000916046,5.50718835163025,5.48802014352441,0.580643229448469,2.78800889686045,-1.95481214032816,4.80917125239466,2.60417458988513,4.1298402166799,4.27468244860529,1.5830107040706,1.00791389082178,0.71426944216455,5.18514532874906,1.2904153459026,-0.334012029048608,1.73649227306396,5.0484264788256,1.71663020079041,4.21790537360494,1.10596715764314,4.01467821649294,4.30840889193132,4.67657532974454,0.433490567529134,-0.742222153786315,2.84198970142279,1.75565355740537,0.308806848761378,3.66625332129661,3.1277386437614,2.04965624955139,0.187225013925854,3.84359859003916,-1.5360119583811,2.05524702115781,1.99997562066437,5.32517642164248,-0.87566553620627,1.47824369124828,4.81869235850991,-0.748415871968064,3.13607714624686,1.46696170699306
,6,0.846527674991648,1.90602463555069,0.0552435417935158,0.42289275299845,4.53253278705688,3.32819484803713,3.43710534965066,-0.801094152983751,0.0624176965716288,3.86289515521821,1.68050823471958,-0.426793375548641,2.75537856950996,0.842366179027977,-0.803563490996112,0.989500610872255,-1.8771240201927,1.90163124854189,2.69760135203887,1.73873324653823,4.67629123269853,5.00786424844682,-0.551357468643346,1.69515251058147,3.43526209607489,3.47580295556418,-0.3598883319778,3.23254411505741,2.95018456172556,1.18482218841245,3.45389901881981,-0.0146790272760882,4.7835007999538,3.41748566340675,0.926274795261634,2.69615407378024,0.388014426230257,1.26373637527604,2.41337667363678,0.398812352001187,5.54191023215708,0.538997516256586,2.30249151790485,2.61335160201725,-0.768805896751473,3.10971375203462,1.46479355317433,2.61728808176304,1.71224387917118,3.68549122545619,1.46886950959515,-0.317938215336198,-0.898628546980945,3.28681430656252,0.651570455162528,1.67310494431376,-0.22941701209993,-1.38211839513815,2.29908823565847,0.263166978011668,3.19128117059518,-2.06546977424523,0.413447405247553,0.152522393269464,1.43203770553146,0.469227167236568,2.0366712869959,-1.31155196796317,0.947455651299151,2.33821178287053,4.68258199902357,0.874615624350554,1.35865141407976,-1.08626498325248,3.28238579245726,1.20063914048751,1.3967743693147,0.198224328693868,-0.10697735354961,2.603148404286,0.524559764258356,2.99137490583826,-0.490893977821088,2.020064203934,-0.0664837658705437,1.30665191941443,-2.6104974666282,-1.51335114641824,-0.253050906518183,2.7067075001155,-3.80339163763665,0.813685897255709,3.30450195038293,0.46844592709158
,7,0.761615595383773,2.43296714874305,0.228457973370041,3.42401053124468,1.49057815611968,-0.868766109680109,2.81738856615721,-0.711441713235217,0.81431966932405,3.01049568262761,0.153045629317603,0.929836763528328,0.307763192144648,1.0887693547038,2.00759336880174,2.26837857585542,1.89426710705129,-1.73848756548432,3.06581020606609,-0.0806461492666131,5.06064959028254,0.792386357330543,-1.20618741818316,1.54188512915744,7.62305615753257,2.75902215115502,-0.508099408387352,2.93124918989542,2.34820919367121,6.25922511792669,1.65046377490489,-1.34095909487633,1.94320948944096,4.28175305228842,1.20244299607839,-0.194086238441741,0.637124032361953,0.918112878174725,-0.375212569080759,-0.181007914235124,1.99138750099928,5.63593158044887,1.49638745760876,4.03971079648136,3.70648645012898,3.12855772425019,2.51951556958011,-0.736772757049948,1.19743705178553,0.511318781830141,0.0641113009901346,3.54451039626429,1.70276799747262,1.34657483102137,1.47702098283844,2.77709021145483,0.789524780156626,-1.73224037223736,0.935197549544682,3.05455172681741,1.44526358509847,3.39010323880257,-1.67354869744895,2.08750633999489,-1.09845170879998,-0.250853782104969,3.95061448793194,3.48329214555451,1.02476616532567,1.88173736229737,-1.34844538846937,0.736499177703536,3.34151336954255,1.36869673622004,3.35364003743189,0.0403178259102788,3.25578667323316,2.19964307511009,0.427413417613934,1.85336848524594,1.19465735685435,1.76075705015273,-2.10655939890603,0.922111706785017,2.91400660304271,1.34627121376116,2.73775083395003,-0.319932865910232,1.53850108422967,1.42221394652825,4.07836753364518,5.18090198735126,0.594906643023478,1.53514034670843
,8,3.03426973360547,1.82069991425215,3.64874475944907,0.373555652274263,4.80650037388205,1.78839408350859,-0.337182753842171,-1.31163890215066,2.57317098028398,1.56098204647515,-1.10090486621948,-1.53483283859805,0.769427540527886,1.35785288632997,1.7281692110505,0.633691015245859,0.391572858909512,1.35642860751204,-0.299751857440242,3.68261376956252,0.96095198786179,-1.55531813945345,2.59892483697513,0.447370358768694,-1.51401364775484,0.851202725368239,1.16990329791543,1.73248180622113,1.73397058551654,2.34113884003318,0.762681122746471,4.89350361882043,0.0857006702631224,1.310110744751,-0.693322811252528,-0.81214643914609,0.709047984699737,3.42509361842576,-1.83208029963544,0.955570008600716,-0.503741508506664,4.52092167047431,1.14139835726382,-2.16874800193727,0.0339269689957291,-1.70582414057299,0.0291246174083426,2.505256320836,1.35419153406292,-0.953682446164294,-0.0117602523055211,0.576084085988441,-0.880874355784272,0.936460236118819,2.33576359335393,1.90027880529442,-2.32578571860449,0.661804355098866,2.7855678634337,-2.29729085036843,-2.81844405175389,0.915434621112581,4.6115925890108,1.20448744859505,1.98748229687317,2.0916807213398,-3.07086641562046,-0.238680089529225,0.153037415137078,-1.04705392916094,3.38012979868199,-0.397336699344123,0.333829924557449,-0.436866043188274,-2.32512534645457,-0.820696045722798,1.6966762639122,0.0237932357358659,2.77773227812395,-1.0115613797293,2.63873313383101,0.0986037716165811,0.499618208647007,1.72296495397586,3.89209227362107,2.29931738802543,1.4092358156604,0.931940038706671,1.36329073183242,2.1641883512807,2.7571385477313,-2.78767757323112,0.515442355858795,0.199058453188172
,9,-2.44947144910202,0.0463381129479785,1.94066411039012,0.395209930937654,0.539839825175022,-0.593401333911061,2.02676777543184,0.282690985662612,-0.491220722382423,-0.474767891588272,1.2111382712983,-0.33040145933046,-0.574382967355177,-1.84573758651277,0.374828083211014,3.52965285800929,3.18983948049481,1.4501177010693,0.979430311506349,-0.355219219423361,0.915975764382438,1.63708403838609,-0.680904209256823,3.62535830834531,-0.158370746517903,-0.615477672504312,3.00667466520326,2.00592790408746,0.350783573915578,-0.776987590907083,2.27815345249928,2.09349692072101,-0.733828987767083,3.71860949423126,2.39712333106081,-2.30438352594001,1.06102423985567,-0.392575108139681,1.18346044482814,-2.29742959821806,-1.90111295754105,2.23639412531065,2.54364525668552,0.285406696158134,2.92278628134318,-1.03635226415463,2.51129000763467,-0.16638021963854,1.53772640710895,-1.13638407936423,-0.0411386827558999,-2.80564410422858,-3.60475969693789,-0.349586992562763,0.483714929772304,-0.359284426722752,-0.272732218754754,-1.16688215755585,-1.8243282474109,-0.880738046997067,-1.93232872461749,0.00922339357202873,-3.38747504016828,-0.0106591193798522,1.44466669891881,2.09411808968343,0.14375844261258,2.02627779580871,0.727482844284623,-0.934582832147498,0.712774798791088,0.902144800649239,4.17339683396085,2.04989149838457,1.87338599776785,1.11938055665314,2.16302070137772,3.13584904062873,-0.545020910705716,2.52874302794589,-4.33150685899091,-0.0269237049515141,0.0825308046332793,-1.12122544243493,-0.517920036583746,-3.2708530952159,2.2527655585227,0.447285449254196,1.51067855448719,0.852960155772962,0.840192305927303,1.32518922893405,-0.575340401524954,-1.43839012605349
,10,-4.47356971253612,-1.18323813443658,0.319795272361716,3.00486687979173,0.188026595917563,4.84311621682127,2.31984462640139,2.52719165906456,1.82550809361373,-1.66706267900281,3.37579737058695,8.53958419324044,2.26562279474319,-3.89480456878255,0.944665237082518,3.48218871853169,1.11357225551137,1.81714506031585,0.0286095697892961,1.70520532032378,0.891044541228894,0.662490624787097,2.7543029220169,1.23932504358027,2.07261445062295,0.0638554118900174,0.663783544913713,0.209503177418355,0.344888520861332,2.6952911431963,0.0155870692924509,0.161913906505561,-0.610740810572224,0.342243918383247,0.542728505478408,0.380229238224274,3.91633430450111,2.01778176835933,1.89857766477144,1.89263128393577,4.82389504780895,1.09855245948393,-1.19600554508452,2.47928762630636,1.61712954420773,0.271372533638896,-1.13207445871649,3.21936725429123,0.107265946916868,3.91980851418384,1.96355486324728,0.787549550906533,-0.317086737326918,-0.177896309816333,-2.79159958230184,3.31404511243863,2.03971740106635,2.46891066955004,-1.17823244409601,-1.14597955561067,1.82678532865293,3.91773273294802,0.706030777383148,-0.638614706350836,3.9359113794244,-0.857387885839671,1.77399800925423,4.19947020855852,1.67686841277327,1.30459891555847,-0.422210236747105,1.88019219091393,1.79294400138815,1.76424500021312,2.34158903421076,-1.15929782834519,-0.805640887423124,-0.786946974147213,1.74365756585621,-0.507712132288816,-0.843699383568946,0.986003358355447,0.180697986757423,0.74990833233278,4.54407058012794,4.43878327032007,0.876069814547009,0.355960773466904,-1.12756032151765,2.62696437487648,-1.08011345152636,1.75599881454627,-2.88764243716469,-1.16750879575238
