,Well,Sample,Call,Type,RFU1,RFU2
,C10,14.5_B,Allele 1,Auto,5546.64040552374,3783.16875762781
,C11,11.2_C,Allele 1,Auto,5198.39289111771,3512.40571407719
,C12,11.2_C,Allele 1,Auto,5261.981698774,3563.43276138149
,D01,STD4,Heterozygote,Auto,5228.01750866924,4892.90637081339
,D02,STD4,Heterozygote,Auto,5200.55084774809,4828.2214256174
,D03,13.1_A,Allele 1,Auto,5220.85800040034,3539.41664076844
,D04,13.1_A,Allele 1,Auto,5674.63446690097,3878.67544898232
,D05,17.5_D,Allele 1,Auto,5622.66873798447,3798.26831731509
,D06,17.5_D,Allele 1,Auto,5773.09524995751,3933.80318207294
,D07,6.2_A,Heterozygote,Auto,5588.99397409899,4779.34645251855
,D08,6.2_A,Heterozygote,Auto,5667.0093799131,4743.28475541599
,D09,5.5_D,Allele 1,Auto,5725.06043352088,3865.41498568402
,D10,5.5_D,Allele 1,Auto,5696.95438407076,3877.00735234545
,D11,11.2_A,Allele 1,Auto,5524.77552242351,3717.72969361069
,D12,11.2_A,Allele 1,Auto,5170.25825237466,3496.20771546555
,E01,STD5,Heterozygote,Auto,4944.92472933319,4331.85703952168
,E02,STD5,Heterozygote,Auto,4741.39137005961,4192.42919941651
,E03,17.4_D,Heterozygote,Auto,5528.32167337623,4205.8466559989
,E04,17.4_D,Heterozygote,Auto,5565.72279722131,4190.22530830513
,E05,14.5_A,Allele 1,Auto,5714.49817005262,3907.42196106876
,E06,14.5_A,Allele 1,Auto,5762.07038174652,3798.93425219186
,E07,15.1_D,Allele 1,Auto,5768.91507748977,3840.34720395705
,E08,15.1_D,Allele 1,Auto,5038.67951632812,3406.1108795293
,E09,5.1_D,Allele 1,Auto,5637.95041713309,3809.94147877565
,E10,5.1_D,Allele 1,Auto,5800.94100447643,3931.37357942461
,E11,17.3_B,Heterozygote,Auto,5631.3714859622,4270.92822883909
,E12,17.3_B,Heterozygote,Auto,5904.69890613769,4467.57380976725
,F01,STD6,Heterozygote,Auto,3810.58019165095,3237.44219697349
,F02,STD6,Allele 1,Auto,3738.22030518437,2811.96552297122
,F03,7.4_A,Allele 1,Auto,5666.92047990064,3859.99576474127
,F04,7.4_A,Allele 1,Auto,5662.37087266628,3732.96129666396
,F07,7.3_B,Allele 1,Auto,5547.64684237936,3706.34134527004
,F08,7.3_B,Allele 1,Auto,5232.65680001094,3448.25444059464
,F09,5.3_C,Allele 1,Auto,5657.9797080291,3633.92898372471
,F10,5.3_C,Allele 1,Auto,5556.04252353153,3644.64684107309
,G03,3.1_D,Allele 1,Auto,4999.93431461859,3286.17760504415
,G04,3.1_D,Allele 1,Auto,5417.53049749277,3577.74709795758
,G05,13.4_A,Allele 1,Auto,5427.01218173159,3677.77137747462
,G06,13.4_A,Allele 1,Auto,5484.32837467556,3687.82602396733
,G07,12.2_B,Allele 1,Auto,5476.86510573202,3657.62563063482
,G08,12.2_B,Allele 1,Auto,5631.52579140101,3765.41571277057
,G09,13.1_C,Allele 1,Auto,5405.99071472686,3655.63312469757
,G10,13.1_C,Allele 1,Auto,5533.79162809558,3742.08867517142
,G11,8.2_C,Allele 1,Auto,5423.32338831927,3639.99343925747
,G12,8.2_C,Allele 1,Auto,5130.33880294749,3386.89742055642
,H01,NEG,No Call,Auto,-10.536850005326,1112.46628648127
,H02,NEG,No Call,Auto,-18.1155821787838,1847.82488345101
,H03,17.3_C,Allele 1,Auto,4680.55194956667,3657.90357946897
,H04,17.3_C,Heterozygote,Auto,5047.45750535862,3866.45047245585
,H05,15.2_D,Allele 1,Auto,5299.2854555338,3564.19667753016
,H06,15.2_D,Allele 1,Auto,5020.41430526293,3378.67584876247
,H07,6.2_C,Allele 1,Auto,5285.16435321106,3527.47287765202
,H08,6.2_C,Allele 1,Auto,5161.35862164578,3428.87145374392
,H09,5.2_B,Allele 1,Auto,4959.32237691807,3322.83605906709
,H10,5.2_B,Allele 1,Auto,5206.58617143409,3462.49856282431
,H11,15.2_B,Allele 1,Auto,5339.63365338756,3573.43299156456
,H12,15.2_B,Allele 1,Auto,5522.38666125329,3751.27930972825
