,Well,Sample,Call,Type,RFU1,RFU2
,A01,STD1,Allele 2,Auto,5159.79446671985,5821.60951253648
,A02,STD1,Allele 2,Auto,5353.71857857063,6010.05902928489
,A03,7.2_D,Allele 1,Auto,5046.45037665686,3463.54601877796
,A04,7.2_D,Allele 1,Auto,5163.95994785546,3505.80590395142
,A05,2.3_D,Allele 1,Auto,5172.4884775948,3493.63820056924
,A06,2.3_D,Allele 1,Auto,5249.21601835155,3563.57911771347
,A07,5.4_C,Allele 1,Auto,5613.44275511542,3786.55546616697
,A08,5.4_C,Allele 1,Auto,5197.02865276033,3395.55629440135
,A09,8.1_B,Allele 1,Auto,5501.18544846386,3745.14361336755
,A10,8.1_B,Allele 1,Auto,5474.68192964822,3689.65167696813
,A11,2.2_A,Allele 1,Auto,5205.73302115059,3529.38539032666
,A12,2.2_A,Allele 1,Auto,5268.17720843199,3470.2118130838
,B01,STD2,Allele 2,Auto,5382.72562990633,5778.68187475029
,B02,STD2,Allele 2,Auto,5402.61506113314,5832.68629410038
,B03,10.2_A,Allele 1,Auto,4909.88453885511,3271.68660681177
,B04,10.2_A,Allele 1,Auto,5611.42306755845,3743.45848826191
,B05,9.3_C,Allele 1,Auto,5699.51507664534,3781.43234505029
,B06,9.3_C,Allele 1,Auto,5589.35620651302,3774.75331344964
,B07,10.2_D,Heterozygote,Auto,5601.78085417495,4342.24302803738
,B08,10.2_D,Heterozygote,Auto,5688.35312408198,4357.92870186093
,B09,13.4_C,Allele 1,Auto,5566.09904368279,3746.93302981299
,B10,13.4_C,Allele 1,Auto,5603.00458082867,3799.82929836422
,B11,10.5_B,Heterozygote,Auto,5406.81032075996,4119.00300508885
,B12,10.5_B,Heterozygote,Auto,5420.27833216549,4143.98915067189
,C01,STD3,Allele 2,Auto,5418.38046386274,5502.65707665741
,C02,STD3,Allele 2,Auto,5386.80388250692,5394.98061107029
,C03,7.5_A,Allele 1,Auto,5234.76826343917,3491.14308330816
,C04,7.5_A,Allele 1,Auto,5504.10199082317,3777.17569267761
,C05,10.2_B,Allele 1,Auto,5411.07147136941,3715.30247261424
,C06,10.2_B,Allele 1,Auto,5588.22396182615,3803.21899368239
,C07,7.2_B,Allele 1,Auto,5612.07453189595,3820.83366314084
,C08,7.2_B,Allele 1,Auto,5578.25902859248,3762.29261422792
,C09,14.5_B,Allele 1,Auto,5620.33185948995,3805.2313994345
