,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-21.0383228178653,-1.32286280441804,-8.94342522665465,-4.08064146459219,-2.96833807729809,-5.99875250539253,-5.00808221996704,-5.95014624323767,-0.439888514995346,-2.98606668716366,-2.22606105117893,-68.2192630640507,1.9051806547568,12.7566197260412,8.21921797957657,13.446220856657,13.3845455025762,5.38820066641483,5.69078470623572,9.79374304244811,3.24089353716909,10.0002685272725,12.1338765947407,-1.58796057964946,2.77304111877584,15.8942976601047,17.9440814015229,4.26692240914463,6.56031047513443,15.4186710682197,6.34222003951527,7.44969547611709,3.95767082479324,-32.5422355129449,-5.77190454487663,10.4865780523005,15.5491781811711,3.34802829646333,7.21334326382475,16.0192010617275,-0.553873012497661,13.3081399218559,4.12888473232761,0.311952258218753,-6.13085254839552,7.15915658390031,7.48580600673949,9.40212784047026,7.41600271855532,5.21521941226592,7.13847813813527,17.8858402210367,8.6142239253918,6.45899242212136,7.33064217106539,-3.06094117096518,-12.1682723091139,6.70062202930694,7.91271945582685,4.71017565663533,5.94283252884679,5.73564311923701,7.85014696846611,3.46004979463669,8.38819079997802,8.21105485917997,0.692972781570461,2.32638909431671,11.5095039678768,6.07350567035519,8.04466200806337,5.59816598207317,3.63382550328106,10.2923452546956,2.0547486092114,8.15853951071313,11.5320529706914,2.47308670021175,-27.1531238364964,-8.65169459471372,7.60561240959805,3.13599202014075,5.88491304388799,0.439531865050867,-3.06785341398563,1.36902967617971,8.18528315219828,7.71276547642401,10.0418281547386,-11.325885497331
,2,3.5899435862284,2.82558997008709,-0.0211889021325078,2.01657998972132,1.84214438084928,-1.36031655527177,4.1715559363347,1.16672662031488,1.32349112482416,-0.164173210762783,3.1152800927448,-20.7015778838736,8.08867980062314,8.50989523065709,2.42672193411227,5.08888728625834,2.28537159170128,3.63855652060738,0.428273216075922,2.40030667541532,-0.165808581766669,8.10556274881674,4.69863634193962,-0.0790629973280375,6.83458557427821,4.85860552317763,8.6767921272658,3.76604990049782,2.88758897863408,6.7356144172868,3.23836772891264,0.908898804666023,0.592033273395373,-15.8979989595255,0.261397872002817,1.32011964009007,8.42199276292422,2.9480089439935,5.11428052625934,6.46714361075692,0.532377470045049,2.48356512282407,-1.23957035216472,0.0105919655711659,2.27839876563849,-0.932108654734748,2.54093557136321,1.05029992879008,5.34127470568728,7.01807075793431,5.39777710400813,5.66251984639212,2.85826968177389,1.8949990123042,2.3373143657941,4.46850577520217,-8.10600877632396,4.48578020504465,5.10061446656482,1.59463814236824,2.76406063354079,0.314334003068325,2.46009429687956,4.22692110253547,3.49490781982922,2.13669384525838,3.2289595941661,-4.62833698954864,1.91633220436779,7.21450290387929,6.03399854960981,6.04195096612875,2.99309617596282,3.0735027003293,-1.63203955654535,1.81715125538267,6.13435821450139,5.52129142543708,-6.85567762374194,0.5953427246709,-1.43386856338066,0.787485754706267,3.08479711614928,2.09273262425904,2.54663743806941,-0.976343129878842,2.27392739866673,3.15618013258108,6.21024284350824,0.724275698054498
,3,3.50017154919442,9.02530523128598,0.855618388405219,2.46234182537455,1.54679217747753,0.174437129267517,-0.00425301838231462,1.89307768435992,1.89152383085957,-0.0939516432049459,1.82940484554774,-6.64524705268786,10.0601178330726,7.03582308630666,-1.4391815670042,3.53809329200567,0.43160086081798,2.79283751619732,0.432024300093417,3.08030961615123,1.78554289506155,5.1621543675501,7.08172732282674,4.78957460577703,7.32191449751144,4.00233822757809,6.61329294616098,6.24556507541683,2.91144518379269,4.2626012374958,0.972403079245396,0.544291876218722,3.61130814204171,-3.10095096957002,2.99295191150486,-0.863006024083916,2.35447377747369,5.28246997765382,4.50631831897408,7.02898701728145,2.15599717824443,-0.34045428744048,-0.020162344342225,0.670137772590351,0.581535052907384,0.989542597936634,2.97949859624032,-0.234751620932911,-0.00742858910916766,1.77650726642787,2.37977964034963,5.12975767137232,1.88035018998153,-0.0385121848248673,2.5157647935971,2.32418529353163,-1.74778424515534,0.900236157197014,0.544407927500288,-1.39212314821998,-2.46454938377019,2.78662739956053,1.47085550820384,1.1858019745323,0.138573912648098,2.82957126960173,3.40855792833463,1.60286449901878,0.848513918371737,1.68960975491063,4.44906401987191,2.16000873421353,-0.695160143470275,4.85472211962224,3.03877455625343,-0.166902975555786,5.19589722107503,5.68230722601675,1.18030934224316,-1.46364719616486,1.64799495383659,1.70936146722852,1.79405693525268,0.63348855656659,0.334471666901209,0.0581259809669064,-1.45577202655886,1.1652378655981,6.45555389065476,0.429750787971443
,4,6.87823154121315,3.41185485310507,1.89878454927702,-0.970399465963055,-0.267543316691899,1.3320281764486,3.84084897522143,4.49722544593897,1.61073863697311,3.47787177043938,5.14752438078949,-3.64894420664905,9.30723585282158,2.85303553709991,2.38745985041305,0.214449442297337,4.47920348584967,1.24121841510078,2.98090183251134,3.24354291849477,0.534313236035359,3.08982056807417,2.59593288380211,3.08007282722565,5.55522801165534,8.08808660587601,4.09359513526852,2.92698530606003,1.65888638221486,2.00845993286612,4.51736878217434,2.49265204246603,-0.913875948577243,0.404068069148707,2.59063523186069,2.26917104897666,2.09508681303441,2.2989724312647,6.35502997778258,9.80140522246347,1.63147714792285,3.87934811847481,-0.680632546846937,2.4326668470876,1.50680195025234,3.66843854680565,-0.843012118525166,0.314732193017335,2.07663186608306,2.17937252017418,1.10743598405679,4.98238657497177,4.27274618940692,3.19298745276956,1.6628840818139,0.905327090560149,-0.551995636729771,1.65898192073655,2.7736281226471,2.7667525305078,-0.724830999161441,1.92543961707725,-0.220665683943935,-0.98488324171376,4.11173756081553,1.00746467563931,2.46750289465126,1.44240392020902,0.0686917993266434,1.535727645321,2.02478383280641,-3.0740430111473,-0.326498643468767,4.53776497877016,4.63117457735825,4.72129562119289,3.13113570415317,3.85580245464826,2.39827036924817,1.24149908063964,1.17485276851994,0.500410914721215,0.30365459462746,2.57358155364636,-2.82065839513962,2.12264441545767,-0.702433104513602,2.49945600942101,3.2326054705336,2.83005542671981
,5,4.80747338418769,3.67947513701665,1.29976929436179,1.35601489486771,-0.824423413531349,3.41054863252702,2.8477505816636,1.15395890872924,-1.66830287244647,2.42492671876062,7.02745916290314,-7.17016839357211,7.9629064128244,0.913262297822712,2.73719586138805,3.58016785627433,1.71364351052307,-0.592592805699041,1.63184705403728,4.60915602361229,2.27059720207899,2.47437395739598,3.26287105244091,4.47539531268148,5.71075985928201,0.379086372937763,1.28812985328932,2.15273816260105,7.8271965003305,0.831038461658409,1.57107414944949,2.93195980594419,2.13615594083967,6.23150182379368,2.83589046112456,2.88814297716772,1.87213319929606,3.89100049961144,2.36722846223256,3.6199135382185,2.9178480362425,4.61207315496631,1.62497075177089,2.22477103722304,0.338425241194727,2.39749442141647,0.932532274749065,4.76578231728854,2.74924441656003,3.03482822827846,-0.964381580732606,2.53252847686508,2.42415497323691,2.05469871680225,3.18900732847806,2.1892843106034,1.84868630852679,-0.172783214878564,2.37835867637887,2.16039613668727,4.34164578129048,0.977454169884822,-0.818898123334293,2.53856356627603,-0.568423173820065,1.3744626559178,1.79116864194884,-0.0924803186912868,2.83614162927006,3.6226626743005,-2.43573998421425,0.607799989500563,4.72811570581098,1.07702470238382,0.110007241143649,3.32615997385437,5.2498836542577,-0.765285322199816,0.769456738765712,-2.85265838685382,-0.881950409814181,1.41449346007676,-0.57597261519777,2.71993291180297,4.24306384967667,0.903930991098605,0.419173452928135,0.783445167032824,2.28406077655836,3.58854123358515
,6,3.12167768166819,3.33773802293126,1.99400726207568,3.59596554700329,1.2999226171778,1.20695805188916,1.76127455001733,1.39234944473264,0.845088209085134,0.938889499610923,2.5231382756815,-1.78606495478061,4.23725297214742,1.6631536734144,0.218149905839709,1.38396677955234,-0.119575325202277,-0.687643646785091,2.05570013046145,5.09224016727467,0.634057321271484,-1.12642193735292,2.85562052050363,0.345645439926557,2.48594212722082,4.06117519972713,1.05025432473485,4.85318239937169,7.17907738808253,2.40225689798808,3.14471273843537,-0.342492405066878,1.45264571769303,8.10759487349287,2.31126210735465,5.69855377043723,4.73843383914073,1.55449191480557,2.14888917603184,1.6113630169898,2.28893227811932,3.19962770137954,3.5347209848901,0.208455116486675,0.879008166532003,0.512840764518842,0.528993170952617,3.76533249103977,1.3844624572389,2.1974183566881,0.773405080894463,4.30091254441732,4.77003168367764,3.77398976089671,2.73175093827649,2.16334657902871,3.67025405558297,4.03618709663715,1.75296722869552,-1.56587894754193,0.925987209689083,-0.634965229223781,3.17495135525905,-0.618724948737508,4.46131688055266,3.34332426021319,-0.625181744485872,3.73791033035241,3.38041660721092,1.08342499168157,3.1107449069732,4.26822835117355,2.24442263966466,1.55563881505805,3.1917786985955,2.19427917798475,5.14019311590891,4.67210388107787,-1.39002788736434,2.95634273806172,1.07415744363379,2.68396672250174,1.87907421508407,-2.05694447267933,0.25477384875694,0.0457064952097426,2.28994787988813,3.14531673699912,4.22472620688859,1.37507751801377
,7,1.53294873454661,-0.706783037523564,4.64670856061593,0.690532911516129,6.39069551978582,2.1335882187891,0.876081057269403,2.05439791374874,3.32036106979785,3.04126021328148,2.69525990452712,0.614059230442308,1.11482359749743,2.10965281647304,0.225653564288677,1.81431759281122,0.745069746215449,3.08002870717155,2.66675482960318,3.59222329698196,3.92840370331032,4.28564775859877,1.34131441607042,-1.8033914330058,1.71363078159629,2.1847825976588,-0.492471222581571,0.695807492870699,3.04717666881925,3.01136872303323,4.54681855276567,4.39101845167716,3.39359027052751,5.7828069019065,1.85602532862777,2.37873070791056,0.320141978831998,-0.779981864695856,3.97776671060592,-0.203186064182319,0.5525379731057,2.04561801810951,4.4139704653212,0.520183539621939,2.62958910178122,0.331903905385389,3.65050724145658,1.01003926552949,4.66569278222505,4.52013210603309,6.00583532546125,1.17871006431096,0.929460125522837,1.30222693680525,0.180693524185699,-3.36210601724588,0.152049304002958,-2.60662052152156,5.36525942014032,5.93330150548218,1.40280336030764,3.7451819403077,3.59730880693769,-0.0758034951081754,6.52213691503448,2.13528954646836,0.691970787283026,3.81667974918128,3.06158963234429,1.16155526687953,-0.247869027073193,-0.317985537211371,1.04622316395444,3.885994473972,2.29942022655496,0.767954128667952,3.91332016063825,4.69792140275604,-1.51698011739427,2.70368792807631,5.72336700858568,-0.864808803223696,3.58901858336367,5.53882505508,1.33306969902833,3.4646381872949,2.62085311587634,-1.33490030845633,-0.516254599512195,3.4957288278265
,8,1.86066600160302,-2.12966416970949,6.26857008046409,2.90179060972014,2.42484799722615,2.69000094544026,4.74827693847283,-0.44061329764827,1.08585808777798,3.09401017203754,-2.75896921863568,10.9742183716021,0.359956552282711,-1.47377418127553,3.9657209785114,3.22135008491387,2.38759383831166,5.41493684738998,1.91318342722661,-0.230880820809944,3.16905017438648,-0.637777454240222,-0.785529830641735,2.46778608021305,1.30913320829541,2.40367508476265,-0.132977810496413,2.92665992193179,0.417127453733428,3.35850861811423,3.94000127249683,-0.350664087371115,-0.125885045409632,3.37431733007907,3.8890167842651,3.11499672142054,4.69215960445626,-0.0362551279686159,0.598277571481049,1.28116114126851,0.977409340705435,2.08575162423222,2.65309978494861,0.165757013661732,4.24115653059744,-1.05696284739815,0.971883280112252,2.8818435070898,1.46850218447753,2.65725674285886,2.70856993028747,1.61062107420003,2.11329559299065,3.88032893557647,1.97575903398319,3.47066009462424,-1.27083406714337,0.61971347649569,3.7864185870817,1.58132215922478,-1.3156328320315,-0.895103485564505,1.37115296646152,2.87761955080668,2.81340529730596,3.90419598974722,2.8595155973926,1.6061954652896,2.30434226716216,3.14513341289057,-0.331387914182869,2.00140301808915,4.43405309402033,-2.59148510557498,2.53200851317979,3.83959041745811,2.76067524366954,2.6144152457714,-2.1360464423683,1.78406685114669,3.97481953256647,1.75616442116871,1.8728375693081,0.501451673558222,-0.105504022408695,2.6968197794854,1.08877331546455,0.545479573664579,-0.321099797473835,1.52235635440729
,9,1.50074532546614,-1.58942635040239,0.510238061905056,1.74695361723343,3.79395270516216,0.246421757658482,1.38179214037791,2.26295029430912,-0.114825726570416,-2.31400014119481,-3.39776026530171,7.91479875034202,-0.992505394092404,0.631352723271448,3.75304377662042,3.00284850518665,4.0733214542206,0.939303444527013,0.874534113149366,-2.10967293297654,1.76900612168356,2.35217303842455,0.331829610840941,1.2292463130043,2.02201955023611,-0.388801151420012,-3.25937761228715,3.03866767945601,-0.686866342728081,-0.0762294291112084,7.31407006639893,2.67678465725976,1.64391317614673,7.9345117489629,4.37864441934607,3.27771211530398,-1.41098475426224,2.77651827735917,3.95689636924135,3.34010411687905,3.21664881151264,-1.47466584751874,-0.0627391873304077,2.90734892396631,-1.16280702031281,0.830793634495876,0.799507998112858,3.36541658207489,1.55287032187289,-1.36180091885763,3.75634601688535,0.846290319009313,-2.15779379856258,4.06744461711151,-1.18203880988995,2.94163284759588,0.89642243999333,0.789217730938162,0.0336226002627882,2.10652628125445,4.32993519009779,3.03766638048091,3.01418416306933,3.0603079630755,0.713806635104902,3.86380300303699,2.49079971671654,2.08139973820016,0.528929132777648,3.62086876126659,3.37901580251491,3.27026016021728,1.47479109544201,2.05654009788441,3.28387281204004,-2.01591612470338,3.4675601955355,1.53720300312671,-0.106956133678523,1.16266258869427,0.667502654750933,3.64749900465631,2.3333775696874,-1.24703378715913,4.1103508394458,1.13561522929967,1.89788931218527,3.70725560393794,-2.28828853897767,0.333942523882342
,10,-3.55971651542131,-3.34778989450842,-1.27906585898882,2.71878682013994,2.23268414021595,2.59112561952861,3.12618136046603,-0.0873224084898538,0.375465040779545,4.30884610895464,-1.55484137006124,10.1020757058868,-3.45227385565431,0.381563497279785,1.93348213511808,2.87047364741102,0.108406494771771,3.56233720884711,2.03103063903382,0.467145867977251,-1.30085993855255,1.94007621099627,1.47388003168862,1.74568368505834,6.04517835598108,-0.570969501093259,-1.64062247752781,0.338574668633555,0.270090447148505,1.56457329640989,-1.51906910034359,0.128772949394261,1.98358207770025,2.5714905779605,0.069746495394611,3.54265290609737,1.58297083776188,1.75781310253979,0.0612766883336917,0.0212444886024059,1.23577264550067,2.8787694259363,1.55604525427407,3.438283037769,1.92036631142855,2.95890287990278,2.05384402852496,2.28074063736904,0.336843802368549,-0.279229401362954,4.43215447171178,0.119333876720702,1.64023971168126,2.18026872909468,3.29733230990632,1.48859818065057,1.00252979025481,2.33653254061119,3.04089724819323,-0.79917229735338,3.90805942868883,0.224382053342651,-0.341200138746899,2.08060066498092,0.0221942034581843,1.19631596502768,5.45587836464847,1.20905561604013,2.04416797793647,0.296639700023206,0.99721666027699,0.891593296795691,3.89285811476429,-0.533567512722584,2.48290403567717,0.801562783572535,-1.82242918991096,-2.09460250630627,2.88402142850191,-2.69564602415994,0.38539035125541,4.67166510870857,5.3792406332459,2.10599328452054,1.72571144059384,1.79911667893612,0.528652020627305,1.53973236089041,-1.21426880124272,4.06733149846059
