,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,0,Std-01,STD1,5181.6804997293,,Standard,Unassigned,False
,A02,FAM,0,Std-01,STD1,5352.32049592287,,Standard,Unassigned,False
,A03,FAM,0,Unkn-01,11.3_A,4867.78069255686,,Unknown,Unassigned,False
,A04,FAM,0,Unkn-01,11.3_A,5307.21362407295,,Unknown,Unassigned,False
,A05,FAM,0,Unkn-09,9.1_D,5024.58607272908,,Unknown,Unassigned,False
,A06,FAM,0,Unkn-09,9.1_D,5047.508861875,,Unknown,Unassigned,False
,A07,FAM,0,Unkn-17,5.1_C,5258.75811172287,,Unknown,Unassigned,False
,A08,FAM,0,Unkn-17,5.1_C,5011.50722952757,,Unknown,Unassigned,False
,A09,FAM,0,Unkn-25,7.5_C,5316.16447853135,,Unknown,Unassigned,False
,A10,FAM,0,Unkn-25,7.5_C,5302.79215399727,,Unknown,Unassigned,False
,A11,FAM,0,Unkn-33,9.3_A,5144.73020546635,,Unknown,Unassigned,False
,A12,FAM,0,Unkn-33,9.3_A,5138.152464092,,Unknown,Unassigned,False
,B01,FAM,0,Std-02,STD2,5135.83525304068,,Standard,Unassigned,False
,B02,FAM,0,Std-02,STD2,5558.61684068929,,Standard,Unassigned,False
,B03,FAM,0,Unkn-02,3.1_B,5121.71736593167,,Unknown,Unassigned,False
,B04,FAM,0,Unkn-02,3.1_B,5680.58033696636,,Unknown,Unassigned,False
,B05,FAM,0,Unkn-10,5.3_B,5446.87683862002,,Unknown,Unassigned,False
,B06,FAM,0,Unkn-10,5.3_B,5330.71851364244,,Unknown,Unassigned,False
,B07,FAM,0,Unkn-18,15.3_A,5531.67364789509,,Unknown,Unassigned,False
,B08,FAM,0,Unkn-18,15.3_A,5519.82955529471,,Unknown,Unassigned,False
,B09,FAM,0,Unkn-26,13.2_B,5328.20401104274,,Unknown,Unassigned,False
,B10,FAM,0,Unkn-26,13.2_B,5554.26063393546,,Unknown,Unassigned,False
,B11,FAM,0,Unkn-34,17.5_C,5270.63306720132,,Unknown,Unassigned,False
,B12,FAM,0,Unkn-34,17.5_C,5208.83794044707,,Unknown,Unassigned,False
,C01,FAM,0,Std-03,STD3,5484.58689057676,,Standard,Unassigned,False
,C02,FAM,0,Std-03,STD3,5336.41279669266,,Standard,Unassigned,False
,C03,FAM,0,Unkn-03,9.1_C,5378.94411785556,,Unknown,Unassigned,False
,C04,FAM,0,Unkn-03,9.1_C,5558.04891285344,,Unknown,Unassigned,False
,C05,FAM,0,Unkn-11,15.2_C,5110.4381167527,,Unknown,Unassigned,False
,C06,FAM,0,Unkn-11,15.2_C,5620.38531093829,,Unknown,Unassigned,False
,C07,FAM,0,Unkn-19,3.3_C,5532.83272093564,,Unknown,Unassigned,False
,C08,FAM,0,Unkn-19,3.3_C,5229.63797206724,,Unknown,Unassigned,False
,C09,FAM,0,Unkn-27,10.6_A,5398.21947514707,,Unknown,Unassigned,False
,C10,FAM,0,Unkn-27,10.6_A,5312.27340770216,,Unknown,Unassigned,False
,C11,FAM,0,Unkn-35,9.4_D,4947.8270400282,,Unknown,Unassigned,False
,C12,FAM,0,Unkn-35,9.4_D,5282.58752784666,,Unknown,Unassigned,False
,D01,FAM,0,Std-04,STD4,5320.21446245594,,Standard,Unassigned,False
,D02,FAM,0,Std-04,STD4,5112.87906104086,,Standard,Unassigned,False
,D03,FAM,0,Unkn-04,8.1_A,5192.13448961295,,Unknown,Unassigned,False
,D04,FAM,0,Unkn-04,8.1_A,5491.83497186351,,Unknown,Unassigned,False
,D05,FAM,0,Unkn-12,10.6_D,5010.96940381801,,Unknown,Unassigned,False
,D06,FAM,0,Unkn-12,10.6_D,5514.60377698009,,Unknown,Unassigned,False
,D07,FAM,0,Unkn-20,9.4_B,5542.83952195092,,Unknown,Unassigned,False
