,Well,Sample,Call,Type,RFU1,RFU2
,A01,STD1,Allele 2,Auto,5073.51479121838,6407.16613835763
,A02,STD1,Allele 2,Auto,5299.24971280733,6465.04222347124
,A07,9.2_B,Allele 1,Auto,5203.23721942823,3995.6999852546
,A08,9.2_B,Allele 1,Auto,5085.82829630734,3859.87440358234
,A09,10.3_C,Allele 1,Auto,5379.12238398951,4040.68032912525
,A10,10.3_C,Allele 1,Auto,5359.09746506616,3964.09250941411
,A11,11.4_B,Allele 1,Auto,5198.00381184214,3894.37754238281
,A12,11.4_B,Allele 1,Auto,4874.21766519992,3613.59184555022
,B01,STD2,Allele 2,Auto,5116.51794629461,5940.52311250484
,B02,STD2,Allele 2,Auto,5440.596859935,6205.77631907826
,B03,15.1_A,Allele 1,Auto,5085.67168213713,3928.44191161729
,B04,15.1_A,Allele 1,Auto,5480.10663013071,4231.8417340524
,B05,10.5_C,Heterozygote,Auto,5262.05020544886,4602.32479691882
,B06,10.5_C,Heterozygote,Auto,5443.36288755457,4703.00438281771
,B07,7.5_B,Allele 1,Auto,5630.68304750846,4248.98581095113
,B08,7.5_B,Allele 1,Auto,5525.8889090487,4209.37753518052
,B09,11.3_C,Allele 1,Auto,5565.52880937378,4179.8039572864
,B10,11.3_C,Allele 1,Auto,5447.90764792109,4169.01049421667
,B11,10.4_A,Heterozygote,Auto,5129.49216946762,4373.10733785502
,B12,10.4_A,Heterozygote,Auto,5002.30175716849,4276.63859995381
,C01,STD3,Allele 2,Auto,5298.37271548402,5684.92550405588
,C02,STD3,Allele 2,Auto,5591.3421883426,5927.85093477555
,C05,15.5_C,Allele 1,Auto,5495.21470254366,4125.74605916325
,C06,15.5_C,Allele 1,Auto,5444.66386023808,4097.24460776632
,C07,6.5_B,Heterozygote,Auto,5561.70361572404,4802.60581570158
,C08,6.5_B,Heterozygote,Auto,5637.10982680081,4846.32125508408
,C11,7.2_A,Allele 1,Auto,5124.83568716393,3867.21105776493
,C12,7.2_A,Allele 1,Auto,5611.05389867682,4186.5293545946
,D01,STD4,Undetermined,Auto,5004.14263670609,4835.55055134884
,D02,STD4,Undetermined,Auto,5408.80951267743,5223.87167537489
,D03,9.3_D,Heterozygote,Auto,5199.6071154899,4472.12926874172
,D04,9.3_D,Heterozygote,Auto,5361.9875882482,4658.60360422948
,D05,10.2_C,Allele 1,Auto,5345.96269142067,3932.75454241051
,D06,10.2_C,Allele 1,Auto,5722.17790951277,4144.04649004518
,D11,5.6_B,Allele 1,Auto,5190.19476171388,3893.9819844133
,D12,5.6_B,Allele 1,Auto,5412.10248076492,4022.35965613604
,E01,STD5,Heterozygote,Auto,4557.50709335423,3945.97968495349
,E02,STD5,Heterozygote,Auto,4631.701498894,3901.22430917005
,E03,12.5_D,Allele 1,Auto,5347.49166807573,4022.77405659894
,E04,12.5_D,Allele 1,Auto,5437.71624206807,4105.91379524332
,E05,6.5_C,Heterozygote,Auto,5417.60227019535,4601.79312815459
,E06,6.5_C,Heterozygote,Auto,5678.96439896279,4762.43143335204
,E07,3.4_D,Allele 1,Auto,5595.29875909458,4202.77775135744
,E08,3.4_D,Allele 1,Auto,5253.32225336999,3953.59769487988
,E09,10.5_A,Heterozygote,Auto,5585.53850252524,4763.65332816602
,E10,10.5_A,Heterozygote,Auto,5620.16109001199,4797.06816782377
,E11,9.2_D,Allele 1,Auto,5670.76612457872,4170.02612976175
,E12,9.2_D,Allele 1,Auto,5469.2040273274,4098.52628889158
,F01,STD6,Heterozygote,Auto,3554.58883524025,3128.59401633741
,F02,STD6,Heterozygote,Auto,3386.21936755613,2889.45744837626
,F05,5.4_A,Allele 1,Auto,4983.07339860988,3752.07778227216
,F06,5.4_A,Allele 1,Auto,5433.12228511097,4056.13731819397
,F07,13.1_B,Allele 1,Auto,5621.44438194287,4244.89632371996
,F08,13.1_B,Allele 1,Auto,5309.50160607639,4015.03439141616
,F09,6.2_D,Allele 1,Auto,5730.54699254857,4304.92349933998
,F10,6.2_D,Allele 1,Auto,5351.89235925416,4027.41169578132
,F11,13.2_A,Allele 1,Auto,5451.38960223236,4017.83597653492
,F12,13.2_A,Allele 1,Auto,5415.31692616247,3974.0374846045
,G05,2.3_B,Allele 1,Auto,5149.61535726462,3858.78912161868
,G06,2.3_B,Allele 1,Auto,5337.74386474481,3992.12708727615
,G07,12.4_C,Allele 1,Auto,5292.14202927544,4039.37338667848
,G08,12.4_C,Allele 1,Auto,5468.73730917502,4074.52758429623
,G09,5.2_D,Allele 1,Auto,5357.81087740646,3991.83905412983
,G10,5.2_D,Allele 1,Auto,5432.74055054407,4062.44925040383
,H01,NEG,No Call,Auto,-9.0483434027542,-0.878223517433071
,H02,NEG,No Call,Auto,-19.8790306968303,1292.71297767478
,H03,9.3_B,Heterozygote,Auto,4625.29655886229,3958.91758467519
,H04,9.3_B,Heterozygote,Auto,4899.09615108817,4236.94571412663
,H05,7.4_B,Allele 1,Auto,5095.54496069813,3727.12861589768
,H06,7.4_B,Allele 1,Auto,4839.75386100665,3614.09962823174
,H09,6.3_C,Allele 1,Auto,4792.55642574194,3584.24273309968
,H10,6.3_C,Allele 1,Auto,5227.64350477592,3864.85029536481
,H11,15.5_D,Allele 1,Auto,5274.05221541526,3788.75657470945
,H12,15.5_D,Allele 1,Auto,5294.46721488674,3843.52294369599
