,Well,Sample,Call,Type,RFU1,RFU2
,A01,STD1,Allele 2,Auto,5215.22870916391,5356.3674638061
,A02,STD1,Allele 2,Auto,5380.12787748736,5505.68136532585
,A03,11.3_A,Heterozygote,Auto,4892.38248927724,3325.37418968073
,A04,11.3_A,Heterozygote,Auto,5329.16025053272,3687.4366076611
,A05,9.1_D,Heterozygote,Auto,5050.23466352604,3792.06167347164
,A06,9.1_D,Heterozygote,Auto,5068.26180500078,3760.22100954131
,A07,5.1_C,Heterozygote,Auto,5277.51196351057,3564.69219907699
,A08,5.1_C,Heterozygote,Auto,5038.25766201318,3415.10809925967
,A09,7.5_C,Heterozygote,Auto,5344.4933624331,3476.74075227064
,A10,7.5_C,Heterozygote,Auto,5324.59146549483,3527.39529732368
,A11,9.3_A,Heterozygote,Auto,5168.01534818202,3901.76774250889
,A12,9.3_A,Heterozygote,Auto,5167.37629317602,3915.52736638491
,B01,STD2,Allele 2,Auto,5167.94639174036,5113.87053852233
,B02,STD2,Allele 2,Auto,5593.48900564483,5477.27746176831
,B03,3.1_B,Heterozygote,Auto,5139.37448996503,3581.02848179528
,B04,3.1_B,Heterozygote,Auto,5699.0929968371,3899.26965770657
,B05,5.3_B,Heterozygote,Auto,5467.27814230435,3566.09184838138
,B06,5.3_B,Heterozygote,Auto,5344.90304096267,3564.68947533451
,B07,15.3_A,Heterozygote,Auto,5555.85140692573,3401.89211104519
,B08,15.3_A,Heterozygote,Auto,5536.97352308749,3629.47129499672
,B09,13.2_B,Heterozygote,Auto,5348.32282111263,3379.1571255073
,B10,13.2_B,Heterozygote,Auto,5577.62242910229,3699.07218764268
,B11,17.5_C,Heterozygote,Auto,5289.71946163091,4401.48771014172
,B12,17.5_C,Heterozygote,Auto,5228.76747136798,4401.96061521425
,C01,STD3,Allele 2,Auto,5548.45807518093,5064.12995275
,C02,STD3,Allele 2,Auto,5399.56254516408,4873.71600894368
,C03,9.1_C,Heterozygote,Auto,5403.77342497091,4177.65290343982
,C04,9.1_C,Heterozygote,Auto,5576.61709784246,4287.91532310856
,C05,15.2_C,Heterozygote,Auto,5132.41419281591,3327.0859983443
,C06,15.2_C,Heterozygote,Auto,5641.73525750433,3365.80724446107
,C07,3.3_C,Heterozygote,Auto,5558.66346357552,3543.87756233426
,C08,3.3_C,Heterozygote,Auto,5253.2306360699,3476.11757546443
,C09,10.6_A,Heterozygote,Auto,5423.48135072589,3924.22380360523
,C10,10.6_A,Heterozygote,Auto,5334.97879466211,3951.3833975407
,C11,9.4_D,Heterozygote,Auto,4962.8437995799,3298.00667099523
,C12,9.4_D,Heterozygote,Auto,5309.09181989508,3477.28996875113
,D01,STD4,Heterozygote,Auto,5459.16531914359,4539.94584658255
,D02,STD4,Heterozygote,Auto,5220.35462765907,4406.23533364951
,D03,8.1_A,Heterozygote,Auto,5215.51821358833,3585.4632438869
,D04,8.1_A,Heterozygote,Auto,5521.78688884583,3715.71197446907
,D05,10.6_D,Heterozygote,Auto,5030.91209286736,3541.19848311681
,D06,10.6_D,Heterozygote,Auto,5542.27459350268,4062.39927647546
,D07,9.4_B,Heterozygote,Auto,5571.67908072129,3589.37942075089
,D08,9.4_B,Heterozygote,Auto,5189.83841464247,3313.51352159715
,D09,5.4_D,Heterozygote,Auto,5831.31006144389,3836.57080685851
,D10,5.4_D,Heterozygote,Auto,5494.45667350602,3455.27273805667
