,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F7,F8,F9,F10,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-18.7221513767154,4.89355121460903,-7.94040577078113,-4.40431999143902,-5.52591551306705,-1.86634901671277,-5.22394311776361,1.40636432849078,0.197813023024537,1.97712199349735,-2.39680095526592,-67.3850881882991,1.54982275998464,12.4290934579981,13.5350415383191,12.1679940985241,10.7385372018821,5.42524075403389,9.51869431092973,10.9497958196644,2.57374461198378,12.7056980613829,3.62848668640345,3.84081744814648,-3.18585800657729,6.03973397365598,6.74805236259635,10.4796921935185,-2.05072028490622,9.849976112479,10.226882306617,8.57457706901369,12.1137762476687,16.0383383981625,0.474393028276154,-4.06136348963491,-1.9907094684545,8.68546266416797,6.52220823740436,8.24668916511018,7.35280047606784,8.60087188461239,12.4510127580365,17.9797082565369,8.23817379848606,8.49173319107604,14.4232239020553,5.50082023270625,-4.58800922798901,8.76552471157856,4.55265476683098,4.6537265160905,19.7344467717903,3.27835339464946,12.4476673526597,17.8624345839476,10.2421145020235,4.49591024680058,9.33455949848303,5.99298874434498,-9.44125375972453,5.16222001865526,13.4096618451172,8.18495797937567,9.38623786398011,10.9109438031001,7.02975288120024,7.44261073576718,5.6808690506482,7.59535555718094,4.82359193053162,6.62516460080178,9.88449156242359,12.6061709539449,10.5934447050536,12.1263030460091,10.6902979004763,0.860296046525946,-26.2220500183039,2.31377817647854,7.56304349233551,2.95854185702774,4.74056981413105,4.43915771742741,0.467634886992983,3.18196535348807,6.69156118930732,11.1968597838941,5.85124584664527,-18.1998023672322
,2,3.24387236321991,9.56573686666479,-3.06550785306536,5.06740778926314,0.440183470478587,-1.07852336032647,-3.2435582059843,3.87993764796511,3.1870184297336,3.94391106099374,5.45607207849525,-18.4283186925018,2.94425471635168,5.25443287171584,6.45281840892358,7.60943136535252,10.9696523253538,-2.26695242117103,8.43997389932656,2.86117292187146,-1.86271419323884,3.75523484339419,-0.995221233650682,6.32226780692235,5.50165459029495,-0.602689477071181,3.30102924667835,4.12152877851668,-5.26506323475451,6.05896797988498,7.18692342472559,5.50968276925278,5.25034204314943,5.58639398815603,1.51174884763122,-5.16958038796338,5.65130782547521,2.99650255824236,3.21528429176124,4.24529505512101,7.68979416903449,0.510877394852741,8.45626620862959,9.04502359297703,6.94504024124853,3.91528353131753,5.88694287278986,1.66536123534343,-0.206129403583418,1.66470352156466,4.72870876029674,4.0746312479364,9.26131955515712,2.93494188877048,9.412492079407,8.7969904778729,2.9463575920513,0.348188583081537,1.65447290396924,3.96512573902555,1.06919905166887,-1.63781595084674,6.37058872853049,4.53910185891118,3.86141816366489,3.2577886552649,7.0458570501055,9.05317524335669,1.70511550956007,1.93316786020068,2.92427640541291,6.74794329331417,8.16952934790925,9.93301793747696,2.95718930358453,5.69891867463548,4.4432333830996,3.6698731039105,-4.30629027217128,2.37970868224147,3.27866076858527,0.52852638801005,3.41200713105354,5.41514666626654,1.5014832849879,0.469398977706987,-0.427171013305724,5.08175358653034,2.43793833136306,-0.588690673892415
,3,4.91179809106598,5.3271160454733,-2.55306279262868,2.11770118555341,-4.22149581053145,0.850096632760142,2.73082389862248,0.987253884548409,1.66482079836851,3.80037454895501,0.487951895436254,-3.62651736237603,6.22547154739959,4.15861672211486,1.37684483423163,5.83762065554492,2.55334626289596,2.02577870110099,10.4061923500826,2.7035703951351,-0.319706636859792,5.01535218953541,-0.8581054384872,5.18461297859358,9.75863636212443,3.36404250700161,1.32643459806332,6.46806696963222,-3.86083513391804,4.20341152517494,6.44475272199315,1.0805592404754,3.45704944284762,5.08094826583692,0.827183070303363,2.13085593623282,4.12060652501896,1.15689981963988,-0.503750352301267,0.603460398226161,3.96074261645708,-0.74977307841209,1.95083430673958,7.81201908924004,-1.44263587713885,0.942460095403021,3.19675632162944,2.11819773457228,-1.89100738516163,1.90170505767765,0.993820295692331,4.76141677013538,3.58003430352892,2.83004489018685,3.95362783125938,6.28613552917022,2.24300465161832,-2.52993367479212,5.67870067099693,1.32886739795231,1.0736886075174,1.39300989477169,4.23196866273975,4.61135033194387,1.31030771535006,2.75296008104488,2.78055473234963,0.272012601812094,-0.792312914180911,2.5501313802647,1.10158452751739,3.45099069222078,7.79720949778084,5.45689632842505,2.19750820151285,5.49914708347251,3.81341474287228,-0.398433746202954,-3.30932292651414,0.719200821526556,-1.03035014984152,1.41305926655514,1.82650867747407,2.98238425405907,0.700095919614796,-2.15027675057445,-0.737788928070586,-2.35203470905299,2.7286702129536,2.14875800514619
,4,9.45999760742689,4.18686951350946,1.05297428834456,1.93323937759033,1.4133028463707,1.10313279243383,0.664300013431784,3.57942758178297,0.00672733569217598,6.1854869639742,7.31739135045063,3.03205784042621,5.70747775236259,4.07966408244283,3.5412423097082,1.25941900588396,3.79569518941662,1.82923997091257,1.51103903751073,8.31164314563011,3.24054104054767,5.81400394396451,2.39967847049911,4.37632944176858,6.32026229804478,1.77035056098021,4.1803402285268,0.575125331175059,-1.5549686150357,2.1981094898174,4.40337195564189,5.10376532103919,2.05047485066734,4.60883180785095,1.29913172923489,1.047592018042,5.37141604894896,2.29882337193567,4.21850160356007,6.13188821611129,1.00102926536465,-0.0209678314863595,4.75878990899128,4.547175719184,5.50394860904362,0.933723294882384,2.79370665315582,3.30432338735864,0.71181494155735,-1.91890265544407,3.23918889455445,6.68333915970743,4.69585629812354,4.21877384198751,1.73288249060306,3.59843946710726,4.12790011316747,3.72763154486165,2.82856651461589,3.12593564415192,-0.243019385257867,1.58518977299309,2.94712627229592,0.182326278069922,2.46102683280333,0.681815412602646,3.72113885830231,3.60279654751275,1.00190417921976,4.86861106263268,4.11378853669748,5.13923076532183,1.84362193803236,5.1159597076603,4.02468380376149,6.61423138594046,3.50721343049463,2.1956460176616,-1.43078119305028,2.63285837754938,4.39611441401485,1.28096911967123,1.58446190373024,2.2651699381945,0.507114381784049,-2.08175376922918,0.0773648566691918,2.35027795301721,5.38169569251932,0.879814707172045
,5,5.45413458259191,5.63622736369462,4.57705174908824,3.58224816286065,3.59710758342544,-0.559380658866758,-2.97624645881479,3.34102914933328,1.93607008945037,2.68656090974264,5.04663634829194,4.1668140616066,2.94063561245639,0.644048340789141,0.0398921398505081,5.872295673184,5.67979724561883,2.27344713122784,-0.388461778377405,2.98652648088,-0.444867537590198,4.01757921124545,-0.887697106745236,5.33645862977028,2.93040528490383,1.21590994037433,1.93171495448632,4.81714540877465,2.67970491759843,1.74452002438284,4.93973536018893,5.88441148032962,3.04169882186443,2.40156017723848,1.36925014187773,1.14480290583106,6.77285007159298,2.81773018772492,4.38258752362117,2.37244637250251,4.16363350946085,4.91936376680178,4.53090470009374,-0.765221438052322,4.14815732205898,5.71994134111446,4.1432370464654,1.37572726205281,1.10209091940351,1.39799328665458,5.16948198417776,1.34074120254718,0.93617479373097,-1.510664514984,1.04123760012999,4.49792713845454,3.5182069098073,3.80999475629005,2.45182510277982,6.08779118042003,-0.999822789344762,2.46671151720011,-0.0812779277016489,-1.37558720680863,2.49212033454296,2.75617616456157,2.16908479608537,3.36400841397472,4.89607147461038,3.45345615537553,4.06318097859184,3.9868086167703,2.90884349435009,5.35873904261643,3.73171690477193,2.15100704227098,2.74507454160039,3.79580874549902,-0.319752472389155,1.60800788396227,-1.61689977183369,3.00917499283241,6.28352046246209,2.23841632990252,-0.0182247512198046,3.91428001956047,2.68872013018063,2.02416038554293,3.51046668913932,4.37837119099095
,6,4.35176711170971,5.85154656285249,0.867046329639834,-0.499196271929122,0.651109596639799,0.272395481492822,1.64386424506029,0.506512276138892,1.29855856692348,3.71064497781617,2.97756784446347,8.06550441405079,4.01210877731091,3.13289800291159,3.04091210255456,0.462955883587256,6.02638885184615,1.10180720568223,4.87913274519497,1.46762170901002,2.38799941334264,0.835404650555574,0.184787635574594,4.49747551229075,1.55752276447674,3.10017525133389,3.55736723000609,2.15466147032612,0.794659603957371,2.78097613075215,1.43127945766764,3.56607437870161,3.25550861524607,1.89154035099546,5.72529304741965,3.03779452077379,0.951645714508231,4.41710185398097,-0.0974336514764218,4.91623953554654,4.33609528873922,2.47101255380949,4.07048890936494,-0.136905733178082,3.46966838513981,4.58686336684332,2.34856638179372,2.92275307358386,5.90702161191848,1.6500350048259,3.98632617837984,2.00225775199669,2.94478598807382,1.45661047063413,2.4554467560688,5.51780103868714,3.14363167813372,2.52577246773899,1.32009953644001,3.38710422605755,0.888590953880794,-1.37415525412553,4.17451610391208,3.05902250299869,3.3534189422594,2.05515503809056,2.57357073174762,1.60339179096491,2.14589361964636,1.25980169188415,3.46675043377491,0.566076373835131,-0.847932357688933,1.43910038185413,-1.20554869842272,2.07897909689791,2.6727736670241,-1.64402105243971,0.871646974357191,-2.26571032038783,1.83469398883835,1.3631729652484,3.00332790130597,4.20689438525687,0.628228597856832,2.23886608131852,2.2528202557487,1.9304844568378,3.05524383566126,1.54255734245316
,7,1.90599716490624,2.93878625613161,3.14679639569158,0.296217651014558,4.38532472739189,2.66406956359879,0.418015117762934,0.387819129633044,2.6074036652185,-1.18268387315584,1.09146764508614,2.99194964617845,3.23310585316722,1.35665587137464,-0.397731322234904,1.28757133598901,2.19673648109983,1.74186217413853,2.4120796204852,3.26426788513845,5.48126223526469,0.288433705086391,1.16444830645287,-0.333985499357823,-1.56465867155566,1.35790094933463,0.519642279077743,2.64076439120345,2.71064393641245,2.87687907362533,-0.819220839538957,1.83368888761652,7.57454928926063,2.42417641308793,4.98021460166683,0.423985503032327,3.45324931693449,6.12311865232869,3.51936172920114,-0.373090557109208,2.46826181235019,1.36900036145244,2.54805540280586,3.62175735993969,2.16938048359452,4.69722773686226,4.20850350081537,0.00199533863951729,0.0852198811253402,0.757386960816802,1.56468644519555,2.05287798041672,5.02908176818801,-0.19470847300272,4.62662949144988,5.83524395531776,-3.50000533754201,1.56430629580564,2.88810086940748,-0.144304204781747,0.705415871620971,4.114452661428,1.81901277759835,1.43251175465412,3.42972122482752,2.72077629046271,2.09375690926845,2.03188087050512,1.06360253486355,0.332901392268923,1.46262254224212,-1.44954891402085,-1.04359622457287,0.724167214406862,1.92842640316758,-1.34991941983026,-0.916378034205991,2.17158296697789,1.43868766136484,-1.57490702910536,4.1447986142116,3.53025824204406,0.983962904581858,0.990529769226669,2.7860078996805,4.55832688781038,-0.147662292398763,1.5628247135046,2.30963076075568,0.0227168091746535
,8,0.849434438168373,-0.612121404798927,1.48341023951707,2.86824719743254,4.6494101998419,2.97437899208717,2.44888886638091,0.341304461413529,1.5340233485631,-0.438879362256557,4.56983224823898,6.19142027499765,-0.657868287959445,4.90839426829234,2.15599143647114,-0.746935764072987,5.19299335816959,4.3054158601949,3.1091997969952,2.02203284930602,1.22653429464071,5.66204389561699,5.81717597611487,4.67724736494438,0.421055945931585,5.94141111913586,3.25195246965222,2.43746498281826,3.6507689107325,4.01237183426974,0.543700285108116,0.982471960959629,2.75625185357649,1.44759217992441,1.42271762269911,3.89091329303847,0.548678322244996,2.31984674573823,-0.627509513344194,5.44794248316339,2.86658830392298,1.46772471113309,1.53050943358994,3.49693591494679,3.7290229747241,2.04471525871486,-0.73657424991552,4.04915942541948,0.871645464449557,3.33874131035282,2.99528459586645,3.70453028473958,1.16713484700176,2.16364301934573,0.997651676643727,-0.216892268536867,0.84646499785913,0.551874483720439,1.91331492610288,-0.371860079789712,3.52104440787525,0.605195563459347,3.40928459848101,2.08813944838766,-0.990338079322555,1.20689177573286,2.78176631214274,3.51353531752738,3.73130379017221,3.88170069429862,2.3962049467259,1.42719407474897,6.10350731057497,2.66825642207959,1.61596835510272,-1.50581421935249,4.0129616467857,3.74032826840039,1.62895244884339,0.652310533315813,3.03286002370714,0.194207869891216,-0.161404879952443,-0.134148647564416,2.28958221653556,1.56994317145109,0.958821795478343,5.69507603927786,0.698840664955696,2.20417306742456
,9,-1.92002894722737,-2.93476718977945,3.62897015378894,4.30144482937294,1.6762393651079,4.6766504427419,7.73685479012283,1.17083776301752,5.11259846240318,-0.965987842515005,-1.83229437119689,2.96381566642731,-2.92495261853537,2.08261291150484,3.46583872774045,-2.40673350560337,-0.0644230182442698,-0.646648036164152,-1.03891825290566,2.48105829087308,0.136384751053356,2.87448335888439,0.896405911963484,2.53114641264392,-0.335126442039382,-1.42795279516031,-0.959822672744394,0.37217389598618,5.75566788704828,-0.375422297287969,1.11297275550351,0.711491194418613,1.20521021257537,-0.00751935246216817,-1.36486270020441,0.941643070978444,1.48385052581261,1.05144234207091,-1.1596479388345,1.49168617990335,1.17929532392236,3.98189399960938,-1.82204700964894,-1.20484526469863,4.80900382375421,-0.203703102593863,4.72316722388041,4.06737329260523,3.62074433797898,4.48064616918418,2.83743312059278,-4.30309417760373,1.32073791230869,1.99993866582963,5.53468042010809,-3.79453433709296,0.977088996772636,1.3594437323427,1.0768120105372,0.999302168441773,-0.514233246582535,-1.33001550322342,-0.609875659636145,2.2535706101462,1.96684091452971,1.95525456102405,1.10650596157575,-1.70596197165696,-0.857923045703956,0.124794500805365,-0.0560925187951398,3.5323453051883,-1.04472662860599,-0.732471444167459,2.90096813304808,1.51694622807645,1.69146096503528,5.06848195096109,-0.158803312448072,-2.15020817173308,-0.519339845700415,1.70371703168394,0.866224942305053,0.735846647835842,1.88061826778039,1.55578215806008,4.82754512449947,4.22956120950857,-2.318959761933,0.889845675129891
,10,-7.97814375056078,-1.78392908433898,2.78589248258641,2.8263058898674,3.40502366776809,2.35599020176096,2.41409915333679,-2.52274008125642,1.30651997315817,-2.75489791598829,-0.0912045503273475,1.07227813058944,-1.48013245185166,0.00744661174303474,0.353797709850369,1.20983575640366,-0.829632662223503,2.36206864833321,6.56335848291201,4.18978812348723,-0.0932586287885897,0.166576343553515,2.52514448700958,-2.22359250988711,1.5400504748909,1.05663828320121,2.41552927496195,0.0279347676505495,2.85955998098689,-0.364313227230014,-1.32131964208065,-2.15123156211939,-1.33113171178593,0.409149023477312,-0.870863873953112,0.127074797402656,1.86055740295751,-1.23101298109532,3.1547852523322,1.54590467728713,-0.713552139599869,4.12296890063408,-0.601185502400767,-2.06741270698058,2.78048539032943,3.95310583752234,-2.19502519870048,-0.796998844981772,0.102432357335147,2.00588099237484,-3.38376908218561,1.58467389528823,1.54524927064767,-1.76249448378758,2.67705597317899,-3.65113488284032,1.59760211198682,1.25566359253435,-0.155657639712899,0.990778408156984,-0.0841086805025952,1.73048256730499,-0.037647560437108,-0.0162038021053377,1.58736294571099,2.69909065517049,0.638218011060872,2.58382862453755,0.702233539078406,0.472460814550232,0.648974921401532,2.15730636769922,2.52428177085267,-1.02639035231641,3.69900378443572,-1.97058478339659,2.67650801462196,0.551877510211398,-1.30436825324659,0.323082272094325,2.45651802543807,-1.28145091048191,-0.265769860156524,1.32864100239249,1.76055575674218,2.49057743493131,2.22808508557227,-0.113326207357204,2.743882679943,2.02643135210155
