,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,0,Std-01,STD1,16.7158483892294,30000000
,A02,FAM,0,Std-01,STD1,16.8163902410738,30000000
,A03,FAM,0,Unkn-01,7.1_B,21.5595565375994,1130291.10394889
,A04,FAM,0,Unkn-01,7.1_B,21.377142116704,1279365.13626986
,A05,FAM,0,Unkn-09,15.5_B,21.9931523422789,841974.010992559
,A06,FAM,0,Unkn-09,15.5_B,21.988678599591,844536.148000052
,A07,FAM,0,Unkn-17,17.2_D,21.5448314169451,1141651.54853551
,A08,FAM,0,Unkn-17,17.2_D,21.6203613957793,1084564.93777064
,A09,FAM,0,Unkn-25,8.2_A,21.7080047792198,1021891.13316136
,A10,FAM,0,Unkn-25,8.2_A,21.2001099089599,1442816.82663642
,A11,FAM,0,Unkn-33,15.3_C,22.0485906796314,810861.768079971
,A12,FAM,0,Unkn-33,15.3_C,21.9532277207287,865116.683816375
,B01,FAM,0,Std-02,STD2,20.121287493275,3000000
,B02,FAM,0,Std-02,STD2,20.1446983713486,3000000
,B03,FAM,0,Unkn-02,3.2_C,21.7257447245612,1009652.97671544
,B04,FAM,0,Unkn-02,3.2_C,21.5118487162519,1167513.76845092
,B05,FAM,0,Unkn-10,8.2_B,21.8221695395158,945651.39140674
,B06,FAM,0,Unkn-10,8.2_B,22.0001523388732,837980.66173445
,B07,FAM,0,Unkn-18,6.5_D,22.2796720550592,693087.423611803
,B08,FAM,0,Unkn-18,6.5_D,22.2630582575271,700952.122875158
,B09,FAM,0,Unkn-26,3.2_A,21.1052258827662,1538855.34742421
,B10,FAM,0,Unkn-26,3.2_A,21.1199817944963,1523510.51292273
,B11,FAM,0,Unkn-34,17.4_C,21.2815199994246,1365207.97128753
,B12,FAM,0,Unkn-34,17.4_C,21.2091130865624,1434021.48651367
,C01,FAM,0,Std-03,STD3,23.4759151386872,300000
,C02,FAM,0,Std-03,STD3,23.4443304735945,300000
,C05,FAM,0,Unkn-11,11.1_B,22.1241500118733,770300.458361088
