,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F7,F8,F9,F10,F11,F12,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-9.52688118484593,-5.53481037120719,-0.558128234284595,-2.21334667303609,-6.03486344951625,-10.3691110063614,-6.78868825818745,-7.92929493914789,-9.35501679292884,-5.49469283885128,-1.48642929684956,-141.033112750993,-6.47568447875528,12.1251631656846,4.86904552590386,9.05783834659314,6.85799435352965,8.16943904164827,4.77688192361938,7.29528423481815,1.66030894292862,3.56205632953242,1.02278879840105,12.2476326546607,9.97164260679165,7.52548843936256,3.75321048757269,9.98395619947951,-9.2541104283564,-6.12581635911329,-0.757134884509469,5.69059896042381,7.69990551099954,4.72448074443673,17.8477200707116,13.1602899267318,4.77835620389487,12.9647784897379,2.49174891700795,3.66301155953579,-4.12418590150719,10.6337116398245,7.08617550339386,11.2029877575492,12.9738998180246,7.29259638222038,-10.3099317602323,6.17063513532548,-1.57132445245225,-26.472308875344,-1.67584325831285,3.36659711512266,6.09872196503284,6.12727610851471,6.01131160085697,1.88336750292183,4.4216095392544,4.87306616169417,1.15704777685642,1.81201592435491,1.4769294376174,3.05403695987025,4.24776818884993,5.29769059762657,5.47268421757417,4.75026748914706,4.62948635827343,-0.162040619986328,-14.764555907981,4.46443280805033,8.28667886689755,2.59015521253514,4.12043402349673,3.57348957732574,5.25512832858794,12.1390035466743,4.68429743697288,4.7257953157573,-3.63659176379133,-4.76148389264472
,2,7.89436596341557,1.05319752022297,-0.846059499427156,1.05160611765996,-3.84171347445863,-6.44565290454238,-3.40767565130318,-5.80336656598865,-1.68645544425772,-5.04894650326332,5.03307112530183,-78.643518099138,-1.14446258720727,2.1752165786138,2.39496870088487,6.13970729840912,4.23326623978801,5.42391711426126,1.32121466507124,2.37912970632487,0.888496247904186,-5.06045045861356,0.452479262248744,6.0480089852972,5.65475793332553,7.05372916928309,-0.773825113347357,3.31415088533458,-10.6723187282491,-2.27766935523414,1.59887085824721,1.89803088232566,2.80942721727752,2.37948591805616,6.51286639448426,3.76007718385063,2.63235485492805,5.13201243281219,-3.39829340307733,0.172801445490677,-3.74419706931258,6.48361198860221,9.87400625631199,2.514337146456,7.41279717597899,2.64756884643339,-9.65906045975589,-1.26754795644365,3.16735516975086,-20.5587588193348,5.06661008180117,-2.34946058444075,3.54984937551308,-2.28501639588785,3.80115606503205,-0.732640957452077,1.10637024406606,-0.431688932350426,-3.83284165009582,3.28326215291236,3.49723677508973,2.85911644753605,2.85757225828593,0.543345266617962,-0.538185842562598,0.572037963975617,0.827575343039371,-0.589887423872369,-6.75057119907888,-2.59936350851149,7.08843400786463,-0.421391707566272,0.0989757152183302,1.04532401146389,3.84426251912782,6.26262144120346,-1.01123561561462,-0.39033450558145,-2.97972998635987,-1.11983633770114
,3,7.30067008141532,6.09621439907914,2.48822657132769,-1.76680875045304,1.56394741860095,-1.7743320865884,-1.48074504988745,-0.3136062033077,-1.96271522325924,4.65725414273447,1.03940200581201,-59.2773387718976,4.58204436470169,5.18539158798922,1.28204461593441,3.81653932173003,1.24081218372658,2.74808995033845,-0.782868495368348,0.50076175950926,0.0354172378811199,-1.76699809882666,7.51182246169674,2.85907681690333,2.36725173196828,3.14265702317289,0.973009199409717,3.46833776738731,-3.1928834895084,6.83793172262449,5.31269327628661,0.441221054704783,1.64235458554595,1.84491115863466,4.74633004526368,9.79311173705946,-1.09380715650241,2.8519005488406,1.34882942751028,2.43030476445483,-0.55359963406454,7.3572092884624,5.21654975485671,2.97859316292397,5.42068631226766,3.07165693819752,-4.42634264619619,1.17453859467651,3.54371467507599,-14.1338004001232,4.57466218800619,-4.25099692980803,7.44648353431558,5.33893431320348,3.33466333157048,2.09421760390205,4.62157083737793,-1.29723417037985,2.81409018437671,2.9551069222357,3.67023866522322,0.181883928953084,2.74587864478372,-0.694856276430983,3.33648003125973,2.65420477069392,3.98275676235517,0.343142039116174,-1.04427322903166,-0.390570223305986,3.9151272600343,-2.16426411983412,1.91270918536657,2.52290061052827,1.76004109368841,4.79619925379347,-2.59010853728887,3.48670419220025,-1.20975889023975,3.77728580089388
,4,6.41262087049063,3.75548264317513,2.82856642767592,-1.15607485124792,2.48015838391939,1.47336881977435,-1.19755417682973,1.27626959565441,-0.0541096377082795,0.0898612965706889,4.94846241529922,-40.2055971698519,6.93754282089594,2.72003963735415,1.2912851680785,2.8535815045243,2.59520616566942,1.34480802557164,3.09738873380047,2.26606409756641,2.91433106178147,0.513630197075145,4.79105829841183,4.96186079220706,6.42464296342723,3.87334744043801,1.59528116483762,2.36550268422343,-3.79578960755589,5.42566252753568,1.97556433121554,4.95601615545775,4.79872007989661,2.2918026151724,4.25799422420732,4.04355165777497,3.17947834032702,4.0530404227311,-0.942208397736977,5.89325003102022,-1.66359683936662,9.83515752039148,4.13778291955896,0.407998945834606,2.33286432437262,2.79971574555748,-2.30725986518337,1.83041908888254,6.4320002549448,-5.10058675534538,3.98812022562151,0.918073815742446,3.07690247516757,0.235289890454624,2.35718501845986,-0.118785094000032,-3.82476554832283,2.83375219962409,1.03071617243677,2.59672173025319,2.04164635644975,5.21483692280754,-1.31747236816454,2.52152167154736,4.83734304613199,0.511911624737422,2.64601754834121,1.21644433181837,-3.52574898633566,-1.10085345244352,2.59642986900644,1.12340327200627,2.9394067893495,0.106611269216501,3.06312300633317,4.02170842098212,-0.227990255430541,-1.44807885099272,3.66871205459711,0.440495662515332
,5,5.0910856485516,4.54364824587446,1.58189234097927,1.86407926432867,0.647587288726754,1.64141952704449,-1.32489064399351,3.09262175571212,1.73891366025782,2.53852595757007,2.59390449535431,-17.3318770363499,2.95706177556167,4.94175462750673,-1.14963416883666,3.00718202231883,1.83851951928864,3.13542264390753,-1.85272032465491,2.54483154971967,1.09516174641931,1.84461412760538,3.56463784236212,2.08123050397671,0.803974011013906,4.21314537172339,0.564503329123909,3.63288095060261,-2.02296317279115,2.34641107577227,-0.412136069153803,3.93707194331273,-1.28820234905379,1.39353313147376,2.902525961626,2.85400276271366,4.48376061910813,5.97809141763946,3.26710207309043,-0.465190121534761,3.56321582464625,6.55016429873876,2.1086625234052,3.86609860209728,3.69281602922729,3.79008568836616,2.37000803636965,2.42879626757485,-0.0101664755543425,-0.812595849897207,4.64943571327512,1.64005497620155,4.13301974866317,4.72960766493679,0.962091438062544,0.541480114862225,1.02488946626636,3.31757927333683,0.893502792069285,3.58043489310921,1.9847744715953,0.334157237778982,4.63704405515045,2.64332359681885,0.558642068259815,4.61075733285952,0.824328836037694,-0.955258014519586,-3.66699592843315,-1.47488423894538,-1.39695098649509,2.18916318589345,-0.359200953723303,0.185850271648633,-1.58452261395314,4.41605457781179,-0.672578311146935,3.44650040348597,2.55786708095638,0.0416957067113799
,6,1.46908827008019,5.17784413401023,0.048740256772362,3.78003523112875,-1.77452672252502,0.191655880696999,5.24792568991143,5.09370024716418,1.24056214558277,-0.531360958378173,1.04411555522711,-3.27683844870171,4.11025165877163,0.7270000397898,-1.14995644321925,5.06709319846641,4.53123940243404,0.734351325239913,2.82636704710103,1.0640260219202,2.32168825990857,-0.468213036341695,1.40167475125691,5.23939584427626,2.78139000034344,6.54056325697729,4.09283860175992,1.93092164477594,1.71732570256245,2.58372214970404,6.09549359193852,5.58584550869,-0.275801552584198,0.875751922221298,5.22512683190644,0.690113237835249,3.90842323775587,0.0150382249044014,2.51572468509175,1.39983525958905,3.75952049851003,5.71966945343502,0.662990838432961,5.11940423670876,6.58652946834854,5.2528037186803,3.37133061287068,2.93608796399803,0.353756512007749,1.18450057888094,3.19413686752932,1.15592296930208,-0.525546734276759,2.40061796356258,0.929229944671079,0.351783589364459,1.98656244363838,4.29180625852541,2.17534579268749,-0.135027254599663,3.01533851818476,5.42591497062085,6.06453509996481,4.16827042580735,-0.0423152374783058,4.39473906761941,-0.3480629129308,1.02845643097362,0.656387743304549,2.35155989259147,3.99166855178873,4.69264597321489,1.82732266282846,-0.848874748481649,3.76388381055449,3.56416576832362,0.36362314695134,4.02237196509805,3.0035996999768,2.94975220152946
,7,-2.27832359134936,1.93576572037227,0.021229078745364,3.55891096380901,1.5084811375059,3.8476030337888,1.55444507178026,-0.227281550755379,2.10810393342535,3.50737604412325,2.28780477320652,6.27270323494349,2.85387151984924,4.34026277350085,5.53124410730334,4.34831402786085,2.71922412682261,4.42504463714567,2.92320977365989,3.07700026221255,2.53369752350682,4.68329537632144,2.00193843389343,4.28549578969705,5.74704227213124,1.58210201704196,3.05036923352509,-0.722808229739258,1.60798215196564,2.14156440424495,3.7080711808203,2.29542386759749,1.63267516741962,2.9207230627203,0.245273637393893,-2.52902955896025,-0.264403812243472,3.1071533174586,4.81061031245554,4.91808859080083,0.94672549232655,2.7859672365239,0.886526776335359,4.77722963345832,0.285507021908415,1.86448854827677,2.49486463691665,-1.53372968570238,4.43982063286558,3.70868277955742,6.37757258940565,0.199530763965413,0.498876207811009,-0.447322148951116,0.867885351677614,-0.343978715171943,2.66098359513444,3.06727737072379,0.456797250899854,0.252468785536166,2.22843594594997,5.14464250046967,0.19575761103215,1.86689223115627,2.25891435921767,5.65914834168871,3.21142884018218,1.14494882080817,-0.605215297464383,0.388813228302752,0.801885170582864,1.17979106175744,1.19891533290865,2.28427464928245,1.32458223116782,4.56283392725982,1.65167807628859,2.0786806221422,3.73737506095267,1.76556748539042
,8,-0.339948299260413,-1.05286625560893,3.05542318731659,1.99580927099623,1.81009520868429,0.980709689674313,6.15916589771359,4.44447670767249,0.743003721438072,0.709361217124297,1.13849401258994,23.6252973015862,2.72812223332312,-0.668141725263467,2.61512118883957,2.48526787815717,1.46958457568508,3.75870628381108,4.23870128094404,2.78073513387517,3.20692287442171,-1.4949344604529,4.09500504960124,2.43085020272292,2.87845104710186,-1.48200822840363,0.211217684655367,1.44288948680378,5.68515032478672,1.41724949048466,-2.14258286555014,0.743124768694088,2.66297118116927,-0.148702392177711,1.56513009725995,-0.795452049104824,2.18348503998232,1.2420382917021,1.14968043672252,2.69114096497606,2.64652485582974,3.01619337616694,3.51456325795289,1.16667502632254,-0.457381222910044,1.54139958680616,3.50888407414732,0.9945842608372,3.68679510458605,10.464561425717,1.5511450388899,2.34703180144015,4.40705232391792,-2.20610324527843,3.11640137910263,3.4417292866151,3.61992752834431,0.145830864417348,3.93443306734389,3.24424235782271,3.27445913998554,3.15722127580375,-1.16764696487371,5.0946492212388,-0.306925082281396,1.60190287450268,4.22057642552727,-0.476547627365107,1.95371066585176,8.17792192233856,2.0846411886746,0.883124690872592,-2.17137348392907,3.74980155893945,5.27008837081894,6.23465765607489,3.96916740105053,3.84158090907476,0.496640964001472,2.68487898509193
,9,-2.71572673892524,-2.81474509202963,0.205786608719336,-0.0275463447705988,0.775517835785195,-0.566375998505464,-0.240541832722556,-1.02080634834465,3.00768501749872,0.11666427893806,2.29513950851742,33.4997187420549,3.24791983443401,-1.4713928564156,2.64795402531627,3.10028977353886,-0.0994697962019018,1.58724740349771,0.773244891921877,-0.860295775581108,3.95577442877629,5.37635926402936,0.315101515779133,0.14359214865317,2.80387518530188,-1.97275461716617,1.22248620376195,1.28506608189036,1.0393199421278,-4.50148128716774,2.64577806763191,-0.254468237065794,-1.49528844044562,-2.21792826672799,-2.10747745744447,0.748148330850199,-2.14787134237667,-0.332996796259067,3.26602799368266,-1.70380649045364,2.67817837404937,0.899416581737569,0.87323374323978,-0.880293066295508,-0.546173773708233,-0.443602419463332,2.82777325141387,1.60704239280631,-3.02455700782457,2.16420050535271,1.71446074745472,3.02775816459689,-0.520884521039534,2.54269703704313,0.77936039406859,1.52578145862572,4.6444241058457,-1.41547694544988,1.10468320504788,4.22388996762629,1.26923992366483,-0.687812752114951,-0.801159477402962,1.65899062195695,0.185888901541603,0.834451759522381,-0.768619139534621,4.6806050374903,-2.04501975351286,4.06828066137223,-0.532863574245312,1.32546086582079,2.07215967788579,1.28793665677904,1.65465649045836,0.140521810712926,4.92348744973606,-3.02938728604386,-1.33792465184706,0.941691460310267
,10,-1.90468022766436,-2.3996102519036,-1.11026234420069,0.524481386386924,1.85947515540192,2.67601254180363,2.26964028374323,-0.781052813234965,2.16104934960003,1.46700940871324,-0.895699736997813,34.6050995858882,-1.3480014963211,2.82874859889125,1.19015033184269,-2.40049704260582,1.43975987766999,0.740593986744898,1.07067508599357,0.768760233351259,2.20309816092049,3.29194799848301,-0.207996526727129,0.85479103194848,-1.42236731940238,2.46606516244083,1.48999373213883,1.7306730765572,6.00849380897125,0.215468621359378,1.51607413923466,0.730736734821221,5.17555688721632,2.92214526718544,-0.29228887926547,2.70368906945396,1.46214676856971,2.41878679208094,2.54444484769101,4.27372776743641,1.34932698640023,0.358908662266458,0.975114541697621,-0.475107513198054,1.00652561180823,3.02046791890143,-0.0896572043857304,5.88912214864376,-2.24468693738436,10.495823429475,3.45472837544366,2.68772960737442,2.13233809631629,-2.15476611939539,2.01548685149828,2.61092725050048,-1.70770918268954,1.82214754197139,2.76394359320011,2.52367848306039,1.85713970170764,2.66947884144565,0.313267403251302,2.31432495040144,4.1737076176737,0.223108129522643,3.37706705684013,2.68014420853797,2.16983200346704,1.41568954675313,-1.26128386180517,0.95974632990692,2.00380477679755,0.202620755293083,3.18473652788316,1.32222215125557,0.817043812469819,0.331843899839441,1.29501228942308,-2.65312549928694
