,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,7.1_B,7.1_B,15.5_B,15.5_B,17.2_D,17.2_D,8.2_A,8.2_A,15.3_C,15.3_C
A,Cq,16.7158483892294,16.8163902410738,21.5595565375994,21.377142116704,21.9931523422789,21.988678599591,21.5448314169451,21.6203613957793,21.7080047792198,21.2001099089599,22.0485906796314,21.9532277207287
A,copy number,30000000,30000000,1130291.10394889,1279365.13626986,841974.010992559,844536.148000052,1141651.54853551,1084564.93777064,1021891.13316136,1442816.82663642,810861.768079971,865116.683816375
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,3.2_C,3.2_C,8.2_B,8.2_B,6.5_D,6.5_D,3.2_A,3.2_A,17.4_C,17.4_C
B,Cq,20.121287493275,20.1446983713486,21.7257447245612,21.5118487162519,21.8221695395158,22.0001523388732,22.2796720550592,22.2630582575271,21.1052258827662,21.1199817944963,21.2815199994246,21.2091130865624
B,copy number,3000000,3000000,1009652.97671544,1167513.76845092,945651.39140674,837980.66173445,693087.423611803,700952.122875158,1538855.34742421,1523510.51292273,1365207.97128753,1434021.48651367
C,Content,Std-3,Std-3,,,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,,,11.1_B,11.1_B,9.6_C,9.6_C,6.4_B,6.4_B,12.6_D,12.6_D
C,Cq,23.4759151386872,23.4443304735945,,,22.1241500118733,22.112099859526,22.3762682136851,22.4334626842475,21.8303479418634,21.7879828470758,22.0796887115895,22.1233946469893
C,copy number,300000,300000,,,770300.458361088,776630.458995084,649077.291882398,624347.779253512,940413.377117099,967864.656757644,793915.493292556,770695.734927091
D,Content,Std-4,Std-4,,,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,,,10.3_B,10.3_B,2.4_C,2.4_C,10.1_D,10.1_D,12.2_C,12.2_C
D,Cq,26.8674579626849,26.8694692277414,,,22.281423595324,22.2265241201642,22.1862280660823,22.0290886013495,21.9499144689242,22.0050945840442,21.7845720911528,21.9541379238761
D,copy number,30000,30000,,,692263.432414718,718562.110405618,738498.93012934,821673.113324802,867065.588367943,835172.627940881,970109.267812588,864582.056052421
E,Content,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,2.3_A,2.3_A,9.4_A,9.4_A,6.2_B,6.2_B,10.3_D,10.3_D,3.3_D,3.3_D
E,Cq,30.43591155784,30.1763614754714,21.7294006085781,21.6735906410232,21.5427733609025,21.5124642039182,21.4209535963485,21.5153975939061,21.6700061858179,21.7400300545353,22.1688298057304,22.3822177975445
E,copy number,3000,3000,1007149.1849618,1046056.83743034,1143248.40924822,1167025.83194279,1241858.34225551,1164703.14621067,1048606.48346171,999904.650473189,747276.954817934,646459.840732938
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,11.4_C,11.4_C,2.4_A,2.4_A,3.4_A,3.4_A,12.4_D,12.4_D,7.1_C,7.1_C
F,Cq,33.2850804639846,34.1407788430785,22.4742601004573,22.395323896912,22.1015971455422,22.0153481314217,20.9055468597689,20.8325743727602,21.6595362375487,21.6556126513861,21.0004407183288,20.8939964777651
F,copy number,300,300,607285.811352457,640731.137871948,782189.994566395,829376.848948078,1762358.65528712,1851901.81938419,1056089.46703454,1058907.43072135,1652360.46830864,1776237.9660421
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,9.2_A,9.2_A,11.3_D,11.3_D,12.5_C,12.5_C,12.6_B,12.6_B,6.4_D,6.4_D
G,Cq,,,21.9734190065282,21.8936510590463,22.8362917709963,22.8327730861582,21.9987160494732,21.9914982866186,22.0304079918375,21.9640700299147,22.6014304276964,22.6246476838821
G,copy number,,,853334.195615864,900838.985677843,474908.313307544,476044.584220448,838798.486967491,842920.390836059,820937.159486494,858769.644753352,557036.304870327,548321.702473382
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,13.4_B,13.4_B,13.1_D,13.1_D,11.1_A,11.1_A,12.6_A,12.6_A,7.2_C,7.2_C
H,Cq,NaN,NaN,22.3067336136244,22.244247695274,22.0309985288441,22.1290436289904,21.6863921498277,21.6667865623387,21.4608178928489,21.3947324176781,21.4326621138197,21.4683899711462
H,copy number,NaN,NaN,680465.409252652,709964.512201453,820607.972498359,767744.573071984,1037001.54279439,1050901.91978896,1208687.00041521,1264171.94869643,1232022.28428198,1202487.08981101
