,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F7,F8,F9,F10,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-32.2156115254875,-18.1817455981322,-25.9739197174426,-17.5424413084115,-24.2427285213157,-19.9898212951057,-14.3672589792986,-15.2744888499046,-14.3767975419864,-16.7979346512279,-16.2129163263749,-69.2269578122482,-6.00741177630698,6.27216311711845,10.2447883929276,9.98786378980094,4.5134852473675,6.85000460203037,12.4349578844649,7.05667605845065,8.18593164955746,9.40499760893226,4.92552444456442,-7.48022771051455,-5.02353065505804,3.48888533657055,7.8153357102251,4.07417160190562,-11.0179719577723,12.8042522201176,7.75270019716208,10.3264438845335,8.15214454362786,17.1350842851275,17.3049458722708,1.81646954054258,2.81338373634526,7.83103320534474,9.56257288412826,11.84770072232,6.75342134561879,8.99289145606463,14.8243004893202,11.7023543441856,10.7678510892988,10.6161254925973,8.2589585247938,3.9360801882458,-11.8081975089608,-5.3217377763558,-2.18244412085915,10.5834500986794,21.6709429211637,7.3527540892137,9.73710796950854,13.3909152119199,11.9807411672291,9.23365566188386,11.0312669385989,1.16821200503546,-14.533043592171,0.73304677596434,2.82759956089467,0.788823820373636,5.75789699606048,8.60668010381733,9.99743479908238,7.29387872359212,11.2033415027263,8.87789026757719,10.5711515990351,5.48528480443065,10.2793600492555,8.61067038463852,7.20841891938517,1.17717961080234,5.75724852432859,-1.6815329140577,-35.5384084317384,-13.4342908668245,3.34616103718326,2.87312752653907,1.46685626527824,1.69359335627041,5.11670612655507,5.04530769125313,5.0436759050167,6.25127383792096,12.8602976477391,-19.2038514795308
,2,-0.469475587755369,-0.755977558829727,-0.67152147881734,2.13407882197134,0.135306619575204,3.95351715989045,0.0703114769580679,2.35824745707032,8.06147363543823,0.797257717692446,10.1723057946892,-11.6310601904597,1.25809946576783,2.45939814147823,6.96315530132188,4.72735971681686,5.5858490383057,-1.26989639278918,7.07950358695734,2.72961233212209,0.739069997899151,6.17611936534149,2.46125365877242,3.2790133828953,6.38678178879672,5.02737580747726,8.3162812687292,5.90142287476601,1.0672911048523,11.8335458912634,8.63225733053332,2.87480073252618,2.7277802274084,10.9524362110897,12.8369063265973,9.6490334580044,2.98414521413588,4.27808071222353,9.75222306988553,11.5165933217077,5.70679434964268,5.59942644536659,10.8243662127866,14.9191697844767,7.22457694750756,2.7865862512499,3.31023012278456,8.33459399604772,1.86697794290421,-5.61799089549095,-8.66304779443044,-3.80617626624053,-1.08694961454694,-7.470792381313,-7.59722787315468,5.73122256836132,-0.0944874538322438,-5.9852981770382,-4.49465749298679,-5.2544745463897,-8.30537001152288,-3.10395659021242,7.56708732381185,3.90606114945513,1.47939106841068,-4.03053572515591,-2.84099659464528,-6.96165515589246,1.79361952630416,9.29217683768502,7.34241105564888,6.06284000333153,7.18655117326352,3.18967599319103,5.8750697001783,8.06542668919928,6.52920991792371,5.7536880530788,-13.0561052881476,-11.8842080473446,0.797238897503121,1.92949711167603,2.88399776481901,1.88489998710656,3.04909028652173,8.72884311724101,1.4351757874374,4.18576362946442,6.04039819349009,-1.6572444453891
,3,4.98321708144158,6.49277758545531,0.981180504868007,7.26290523169155,2.6549268311046,4.79648572984388,2.8511722419762,5.05599637898467,9.45841191702402,5.73365729737998,8.37664760300095,2.31983597444605,5.17714147183096,1.1428702398016,2.96763548463559,5.70150992642675,2.75962554777652,2.09636414366287,4.26970241037225,7.63313169138291,0.335375207007473,4.20519998140571,3.81364938790739,5.42710479030575,4.49183451018871,2.25819579912968,2.32900682865193,5.53849804169022,-0.857814857965877,10.3061454779763,4.36292418444191,7.90007670664772,6.32591525429734,10.1555176206184,12.8124938155479,6.82901333504469,6.13618438876802,4.39305695648636,6.30286789912088,7.33345675618557,5.75738144722209,8.40996486148151,3.44239304661323,12.2665333726723,10.0403892602258,9.25479502140888,9.11508368449176,4.82743613086313,5.31296821504566,3.8293873818684,4.6123581256993,3.11386551569331,9.57682417850538,3.79948284987904,8.23720278470091,9.99149657604312,10.1351848542813,6.8799730793653,8.36078334870263,9.82670458112079,-5.93914735033468,0.164095584447296,3.13252723944834,3.29259224497764,5.0002092246159,6.44536350687258,5.86103400869752,4.68272758706189,-0.738202647176877,-0.186355438310329,2.72766455791452,1.79172914699984,6.12044804026982,5.12742042012178,8.13684582744918,9.13249898827871,5.87729278323923,9.33257695204247,-6.380977702378,-6.67140789881478,2.26886272644151,1.9850208475832,1.17394374855985,-0.0880371533826292,0.300156531300672,0.606830632094898,1.51637613755338,6.71410001675758,5.91226636860529,4.23542310628272
,4,4.20889023089558,5.02221481827564,-0.236601526560207,3.84642159804889,-3.2275066299012,3.3894872602641,0.0887029358618747,0.131785700623368,0.376307046939928,3.115786212084,2.9829004465746,2.87916673159089,3.54835593592043,-0.471580742855167,1.00816235580714,2.3996758307112,0.0765571560409626,1.56597372249189,6.54659302374239,3.89721739864444,4.06731419285688,7.38382859250305,1.9798987805757,5.40492212816753,2.7281913500824,1.51849331982112,5.14755680215103,1.67336245104616,-4.31627316264485,-4.39142165901285,-8.46114927052213,-7.37248184157852,-7.43897844863341,-6.83366278138828,-4.61981516709375,-4.63738187601939,-3.61724147565565,-10.3990023697643,-1.31520196721067,-2.40622944483721,-7.13361796654226,-7.97885171424878,-0.609759166381082,-7.58318079714809,-6.45348713392013,-8.25695451363026,-5.23201736555757,-7.63712892320063,-7.23724605307325,-17.1509532928908,-9.52823128347063,-6.79697867703226,-4.21884931595923,-10.3280082992437,-11.2695716682856,-5.48787963890754,-5.7738341614845,-4.8681196228149,-4.5837759951005,-3.20834864958715,-0.449417888248263,2.81724408949049,-0.151477810056804,2.51356778423269,-3.89135406748301,-3.66612489856516,-5.32922539898846,-10.7115327890424,4.68314088369061,4.90093605841821,-0.654158928690322,4.19851728891763,2.24588433517965,7.767233003613,8.51051043014513,7.82768946506167,8.26138208833481,2.60630542265153,-4.7917475650529,-7.36073646825389,0.178315221085541,1.60718271286123,2.27172172717792,1.65838858391589,4.36407671551478,2.66623472998026,-6.00838906092395,3.76330457843915,-0.668584635857314,3.13237638972169
,5,5.81705037111215,-0.920013783835202,5.1287009776629,3.46424020448467,1.8830106777541,3.32713160208323,5.32003556882728,6.09409635725888,5.52123686744017,8.49489950039606,6.80986241415121,6.02846198482484,3.40691195460749,3.98679780778548,1.12225497759846,3.35168620153217,0.0656830046700634,5.27157232722948,5.1477693987149,3.4929551482951,4.04180501717155,6.99642098448021,1.79463343607949,2.85096392248397,4.22610641850952,5.14223175636107,6.84594363294218,6.37710098575235,7.49081704789432,5.30215512324003,6.87613884178791,5.56517431002521,6.23407973128542,6.89602796784175,10.535715050511,4.8419313773984,-0.614270615886198,7.24054792354218,7.76061195156444,7.06334363641372,5.54064532176653,3.69157886078028,5.14862687812638,5.36434125057167,6.3104206203252,6.08354980933382,6.75361817172052,6.91703107012518,4.59153625883755,-0.303611005573657,11.0750794832734,4.24611740062574,8.7988617071851,6.80169138210204,7.96098082547724,6.38801861244974,5.47057012362802,5.65381908362451,10.5828731261727,5.95252379994918,3.78332437065956,1.36242923585769,-0.634542719037199,5.21334485354919,2.90514608615422,5.58910516504875,5.40996242592155,3.64862484446212,4.66134491369439,8.14851440701977,4.62843203975171,6.83677739486393,4.05664861341802,-0.849232698918513,5.36033428532573,1.45973835152336,2.02453815214358,2.42204356522643,-3.91867785220438,-7.11740686301846,0.428637023633655,-0.0935827715211417,3.54898272468108,1.25600505881903,4.00254529383892,3.11925785614994,2.6284774892606,1.47405377203722,6.00531634744721,1.21597227881057
,6,1.20837885249057,1.38716195133247,3.45388268391025,2.24434073031853,1.71014688503465,-0.598391090601126,1.23112866042129,-1.10207948671314,0.124122380060271,-1.42475542923057,-0.388552829426317,4.51625105358198,5.98516528943264,2.58345573181987,2.46300117416513,3.22682565073865,3.63628270800382,6.17146065530824,2.46207869494583,4.61953150891804,5.01227070814593,0.980188984740835,2.59102000655093,5.65719892254174,7.88891386578143,4.69846966999557,0.784630382824616,8.10179067952959,5.17942314899801,6.01521129773982,6.38119064498733,5.38041491497188,7.47204360312389,1.39801625934251,6.5985009362621,4.93047753856445,4.79280584009848,3.96030449570389,3.78164964521693,2.57572869618161,6.85738848840083,1.07016788395504,6.30950312362893,3.89395187551918,3.16886591216917,6.27401630993836,1.54046802321045,4.53936581826838,3.04989093955419,2.91090278459205,3.60094324708916,3.9201582252681,5.76857771620189,5.19783209044363,7.87314820770052,3.0277888259925,6.55139015605801,9.32721079638441,3.83810501513881,-0.585568906764365,-1.00231675985833,1.22242646485756,4.29029746348851,-0.440091101327198,4.19323901753523,4.97953576736381,10.3613405678843,5.38970787852304,3.21341724444846,3.67458255154133,6.61114529286306,2.72599892176004,2.3886220872937,5.48532739679922,3.16730564794671,2.88665092624615,4.58731933411127,5.07171364113128,-1.09955177909933,-0.982548730523831,3.37987016054694,0.794656162785941,3.44653003675057,2.16513876124509,6.19526722440196,6.62310408777512,5.03188779862194,3.56352776474023,3.38862738302078,3.3524700494886
,7,2.32820787077253,3.86375399734652,3.24281290944828,1.78632590417237,5.1484840491139,-0.893678658000226,-1.92343217477355,-3.48850868568616,-2.83638196259517,-2.17665976084118,-3.32260083501978,-1.77060363006058,2.01167949526416,4.30898317763922,3.72122780777681,6.41139624768402,4.93180454134472,2.25723157763241,1.33654566533141,0.645756037305546,-2.95624530344139,-4.08260016766963,-1.8307422402163,-3.80227209338227,2.07544535043326,1.18058067914626,1.39180507385527,-4.10646979943658,-1.20165151913034,-0.392439140766783,-1.00469739515484,0.316918166283813,1.93677446080892,3.18371935005689,2.54315744610676,6.31430990586659,1.99053124494367,5.62543762576479,1.66542674832772,4.60536069425643,1.80145071821516,4.3314070029237,5.65891803644854,5.77222424926231,6.05728778506,5.82812968943153,2.9908112277476,5.54076754231482,3.22655272606789,5.36162944282705,1.65987704002055,4.92561467325413,2.11652758876153,2.44246536553283,7.31173302661182,1.02079659672927,4.6669660372404,6.84175251440001,4.89597533385995,4.92207468835886,0.505763189441495,-1.66730443302004,2.12776939168498,2.75443414396659,-1.81621124689627,1.09616052102092,2.48572834790821,2.1856073621102,1.63096069065296,1.56374592799102,0.948311086490321,-0.76016805088193,0.584264710390926,2.20750539911751,-0.663664273336508,2.72046373747025,3.09413478530223,2.16876315983518,-4.36304572065319,-2.99535448949928,0.965742675518868,5.91186075019687,-0.411921335329225,6.43795356686815,3.28360700084295,2.70235451963981,5.33274177435624,1.77571214948966,5.24735128561542,5.6486236752512
,8,-4.12800909552698,-0.407739800784384,6.4193002661591,2.53077791883379,4.93550975456992,3.07788213754657,7.46408595654611,4.13003828171895,2.21221401649973,4.71189912876343,3.18382102601436,2.33711652633292,-3.69838476848054,4.66204176159954,5.67424886654408,-0.766262128252038,6.402992133932,2.67708723134865,0.323851833115896,2.91523756250353,2.43444826185214,2.61524837552361,3.49081028485352,3.99686138033985,1.06054510054673,3.87977214960256,2.51585378456866,0.523448679816738,5.6517676107951,5.99809074207906,5.54946747927443,3.2765442451323,2.5127270292237,4.78376912103113,3.56470359324203,4.74922101174752,5.60938468771019,3.81519722840267,6.4179090715329,5.22567079184091,3.54524645399397,1.08707665387692,4.40338182904043,3.83443412666111,2.07451365287625,5.17975528550278,2.51655352044645,3.4056831976618,0.912601483935305,6.45882113453581,1.64051962352642,5.0352553261032,1.53481769502923,1.12509389094657,0.33595662479047,1.13077482368772,-2.3638264534402,-2.81196275781031,-1.71090530864694,0.360048957723848,0.107627814009902,6.88332540192141,3.37662888311115,2.91528028411858,7.58505469454167,0.677278033024322,5.00453951927511,1.13578396498133,0.704723603076673,3.13317997817194,0.015691835990765,0.00872447063557047,-2.84922554951072,-2.81439263976745,-3.25191133007365,-1.6879022885264,-5.27091173638428,-1.11120110710362,2.524574333293,-3.12578696574519,3.20039436589377,4.81164304723234,3.69648851346074,4.18935998102461,1.08360199237222,3.57393703244679,6.84198663988536,3.30075628048235,2.54685502066241,3.74762915420479
,9,-0.312448485668028,0.103966003771347,1.29557771687632,-1.03122180730907,2.43711331027134,2.73891179631164,3.48116889220501,2.95582162461324,-1.35713195117978,-1.23803088841305,-1.92476098158659,5.81989971691064,-1.46388151327255,3.40993289955895,-0.344160710401411,1.60054286720242,2.71770796448573,1.72310642588809,1.48543719707504,1.8405493711216,4.81828426608763,1.7934326288796,0.644324179420892,-1.98310726193768,2.19528990919343,5.08487772343869,0.487326698967536,-1.4373931075861,4.83169442929056,0.756628779705807,2.52446879822219,2.90528351855346,3.47403535281273,2.02930975664822,3.16623427722925,1.41428989547012,4.27581873542522,3.35369726812496,0.345168348625975,-2.60133237070477,1.42088005610913,1.47842289230448,3.71140082522152,3.14971079432053,0.697943944813233,0.364351825870017,2.6009019323551,3.02519309209856,4.96548333751707,6.86870757189445,0.0979123803408584,1.98882299160914,-1.37441592767891,4.67570840670305,-0.402047881639646,4.03053868460393,3.15624971382249,1.68468387768144,-0.126406379089985,0.425403913166065,2.43644581415447,0.725655049105171,1.56192965688615,-1.10886466216016,0.44880661624893,6.08235591824314,2.79410477389047,6.67873253157313,4.81278391629621,-0.112871600376366,1.48619321923661,-0.289888250845706,1.47201275380166,3.03729215220528,3.62188638977932,4.05515145452546,-1.67168346367544,0.768672510499073,-0.529553636058154,0.794624258426211,1.81061827235635,0.931045908382202,3.14381052557883,2.60090563509448,4.25165715601815,3.21000482698673,4.3616670809165,-0.72113037329791,0.273376974212169,0.874672361912417
,10,-1.55541478204259,-1.55069559555295,0.182059682200361,1.18727182668454,-1.58507003050272,0.778061645441994,1.59185265561064,5.34498529740767,-0.994253895435577,-0.607463192334762,-0.0668277786376166,-0.630232772163708,0.356051303252116,-1.09665175473356,-0.381884781852477,0.918402488719039,1.52082867080253,-1.39074301460914,-0.783863013886275,-1.32637738039421,0.928493788330798,-2.9627496392759,-2.41921170647993,-0.726045152917777,-1.85900133224595,2.39181855916513,2.06058047666875,1.66541534133421,7.35015264823278,3.53853728355034,2.54423456633549,2.49359233313999,1.5580373863163,-1.91566447922469,-1.4863975552903,0.183017902274514,5.19498487618012,6.05072232278917,-3.40751619146204,0.818868798352469,0.848394065048069,5.36390887670541,0.03123432781058,1.19981212228959,-0.844654188032109,2.10389211068605,1.40833573781856,2.07850324275205,0.9320705064506,6.67851070657343,4.0352583649501,3.42990171510201,1.07098241235371,4.73340589427426,2.19011652409699,-1.39918848095886,-0.27022363894821,1.58109706780215,-3.42877060983028,-2.09256239304159,4.0727868142867,1.69698762326152,3.99380800279596,0.402596428023116,6.40866216619952,-0.83780522259076,-0.412997259753411,3.07377983572678,1.9956551016553,-0.0813838296921858,1.45946400511957,3.03509947831208,1.53342675966769,-2.88541865046818,-4.19481886291351,-2.07428467778163,-3.4409653776861,-1.73178032230317,0.2762290897208,1.14202395644361,4.4265139471845,1.81567036958768,3.28080073886076,2.58973183258558,4.3098040891341,2.7592371532096,3.17130347824877,-1.09407320946002,-2.56763955674796,-0.980015811962858
