,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,11.3_A,11.3_A,9.1_D,9.1_D,5.1_C,5.1_C,7.5_C,7.5_C,9.3_A,9.3_A
A,Cq,18.2018506508868,18.1645427365917,28.0102882129393,27.8886162725988,29.0895756400228,29.0863669153177,28.8064417069542,29.1320441734406,28.9082915492462,28.904998198938,28.0536318193617,28.0484860624072
A,copy number,30000000,30000000,35431.0046372192,38529.9508609249,16840.9026869105,16878.1833398046,20469.349444518,16355.1688126643,19081.8981689413,19125.2550323066,34388.3416232003,34510.5036394084
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,3.1_B,3.1_B,5.3_B,5.3_B,15.3_A,15.3_A,13.2_B,13.2_B,17.5_C,17.5_C
B,Cq,21.5055460393397,21.4323279737183,27.4476941229743,27.3771176781429,28.6185336553364,28.8458277006385,29.4116645622763,29.2286339268385,28.9520068078293,28.8026288177954,28.1300161769306,28.1354457572288
B,copy number,3000000,3000000,52210.9140268468,54813.0540397618,23299.2918638173,19921.2356599535,13488.6324251128,15301.9524445565,18515.6135766344,20523.2054764573,32624.9825366279,32503.1369715702
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,9.1_C,9.1_C,15.2_C,15.2_C,3.3_C,3.3_C,10.6_A,10.6_A,9.4_D,9.4_D
C,Cq,25.0492363559195,25.0504151338121,27.9848945520347,27.7421065109343,29.0386303364254,29.0112372033301,30.1383319293285,29.6529559904683,29.2553982776086,29.1378632514231,29.3751781612058,29.0144008506483
C,copy number,300000,300000,36056.4937673864,42623.3041204252,17442.6593692449,17775.062807876,8174.94572973939,11422.2646493642,15022.3055388996,16289.713615079,13832.0921315793,17736.3520832463
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,8.1_A,8.1_A,10.6_D,10.6_D,9.4_B,9.4_B,5.4_D,5.4_D,9.5_B,9.5_B
D,Cq,28.3707130545648,28.3796282425839,28.1731508703217,28.1965794955682,28.6713541030096,28.331793156608,29.7101124885307,29.75227399684,29.0972468433925,28.9364579748821,29.1637279254265,29.0818166465645
D,copy number,30000,30000,31669.4542063889,31162.2398067045,22466.4358337699,28389.6996834978,10981.1025458003,10666.6366380326,16752.1080271474,18715.0801859966,16001.93326289,16931.192298993
E,Content,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,12.2_A,12.2_A,9.2_C,9.2_C,13.3_B,13.3_B,2.3_C,2.3_C,10.4_D,10.4_D
E,Cq,31.6285426411677,31.4774134926785,27.8607027966655,27.1404900042512,28.6720363885575,28.7763384118619,29.0285742437307,29.4347759662261,28.5374325972252,28.5691831164482,28.5338986067305,28.7941065575862
E,copy number,3000,3000,39278.2953928932,64521.4167544672,22455.8748667706,20898.4272744514,17563.9572189046,13275.5018376799,24638.5598692992,24105.3122011834,24698.6378150967,20644.0929618706
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
