Tortoise_ID,mtDNA_percent_change_A_to_B,mtDNA_percent_change_B_to_C,mtDNA_percent_change_C_to_D,Telomeres_percent_change_A_to_B,Telomeres_percent_change_B_to_C,Telomeres_percent_change_C_to_D
10.1,19.2918827201824,4.784623656257725,-25.200322803931403,-3.881594080136011,185.8384882525289,-51.369229646837866
10.2,-3.0283052199462417,15.910069245077446,-50.93876347583589,-2.408029862411115,25.018556974519377,-30.009565775263763
10.4,-9.90228726565391,56.00307375208424,-10.872440671750482,50.78720510279011,35.30095128886834,-7.216329084864581
10.5,11.288141480305375,-23.725888929554323,57.626612083414464,6.7065062393213815,-32.83253427982317,87.99611391772024
10.6,7.449484954414815,-24.18857329159994,NA,-6.302970860586112,-53.26135469461713,NA
11.1,-38.857940059997624,-9.174161095085372,27.997957933513263,3.5929234334477527,-16.758687295503137,68.39355759429372
11.2,19.166604692772747,-20.932895505205686,-33.42565341864833,5.634298800756148,16.60258324077529,-24.25711351776461
11.3,46.49083889649078,-36.8258155246251,26.17463492033015,95.84332061639064,-63.11994048912578,43.362564642871604
12.4,-38.30927884086163,0.291898723059557,-1.518201890617951,-60.82040712584157,44.40576617532862,-27.051157461215762
12.5,-25.78869367945015,1.9153612547650456,-2.475891324074623,51.75940648595908,-16.35428967685594,-14.907324156004748
12.6,3.616818482414258,-38.196810991410274,52.89496892349563,37.402936728298805,-16.04133121471774,41.372594890121775
13.1,-23.32253198512167,16.76010489129296,-22.00865527651008,8.525962358405605,29.56120643876782,-40.24444248964803
13.3,7.6822234068986,-7.680878055735953,-21.147531198860438,170.78517339035076,-57.38817618720983,41.02376254991721
13.4,-41.75659977325974,9.603573870297133,45.19255540891239,-27.22811740888096,65.92930794704638,154.5546094110263
14.5,16.496697941810478,6.914188332332809,36.37839821305052,4.178557138547583,20.651008187591092,41.60030948909866
15.2,-23.844638709905222,37.77192785382488,-44.03980209535959,-24.61952180457941,176.12626783101385,-59.73888000631414
15.3,-44.159216660068616,25.755487231940833,41.166633034508656,-70.58250421687227,62.11667117027895,42.18897190825627
17.2,80.68579131694011,-56.863584600466424,11.296114480909008,264.0877353616752,-78.26203874310089,28.754225432783375
17.3,1.3683066028762938,-39.086900554808054,41.24180912185515,17.753662973163507,-1.441500784083858,165.22389102669666
17.4,-7.645538765308681,32.93893881420365,-25.456053757722398,-16.45788658005586,21.551103649060433,0.7455881209707813
2.3,22.730475332303005,19.901826856509906,-47.21350372990303,36.55734454155729,99.41991390565546,-49.67270190374159
2.4,52.350204155153705,-2.220528852716678,-37.04669821818943,254.3717560854001,-48.60623628295178,-43.96094077312435
3.1,121.35931880588086,-15.87620623798571,-43.75568264843335,39.87803055861651,64.63522236073354,-16.9556650340868
3.2,25.515484985120036,-31.53279706293377,-7.055874773665874,378.9776987472748,-76.47606204175064,5.374477951800827
3.3,13.92153497385484,2.290596982174398,-20.46237070063184,84.03114973921294,52.40681889271052,-49.901136154843655
3.4,-30.3723717256213,50.20533217799633,-20.35948228970767,3.78665343664559,164.8958720545617,-52.75603578618333
5.1,37.410219392570816,-18.674540126503075,-29.168112553608474,-15.553825617708098,75.58975105605353,-36.52754963777323
5.3,119.32521250444942,-57.85128631167276,49.06155059986873,277.91606105437006,-38.251719964847766,40.16423648758782
5.5,75.25014715173613,-41.117236417380646,55.708932303972325,80.29284977323013,-63.276053692758936,82.39230256634119
6.2,125.5882264543444,-40.44146998552093,-18.562798681604207,43.27806597078306,-16.4721735230742,-13.80911013219151
6.4,51.88149741877264,6.924494053659662,54.44665845971684,-15.466220744348577,54.93931187433443,43.777703473512744
6.5,-0.6761992736591919,-17.594981818896823,-12.01854785295522,13.027531121888735,5.951170113314406,-9.013870003115219
7.1,-9.323790792937235,-8.06875400911552,21.283727914223157,-35.36076235475653,-34.73354474844514,146.41745708231866
7.2,-19.98096027298298,25.76915581767319,-15.848241013680223,-23.133274152821894,-39.04787331144674,18.340073671487946
7.4,18.991447633584492,-23.68462179298283,35.13532145179731,15.419830384800026,-44.59637361121197,253.9547359367532
7.5,-13.548375046650197,39.11820794039158,-19.57031190379067,7.614428885867025,102.53905965356536,-4.618625779989291
8.1,184.74825232306094,34.876930305967754,-33.98446639235511,-43.5084486687286,156.09255855149186,-60.98010385203022
9.2,26.87485974624087,-7.491018897745626,NA,29.127840182616076,75.96529452085468,NA
9.3,-26.826163748415567,69.02445698393589,-42.09509417543769,-29.474594251718102,99.74211985635324,-48.69798365461495
9.4,44.371111301314464,-40.88761542038502,19.917455717605172,455.89386808060254,-59.304431118650044,103.9794792790256
9.5,97.36407140271997,-69.14370196275553,-18.178692615312222,34.60893853699036,-74.64313558268833,-17.968944558117283
10.3,NA,-37.59417693311305,15.508595268379096,NA,-17.37048154381661,-10.345950127006304
11.4,NA,-17.23433946377069,-9.425707338945303,NA,-14.65759895621272,-39.25730694769107
13.2,NA,-54.83695072535796,61.03545936802146,NA,-36.141449113842,-53.45912093453937
15.1,NA,-4.50984763054162,45.356240975610454,NA,-3.3334504672721863,54.7406227687982
15.5,NA,-37.99213923126196,-1.3844221428825885,NA,-6.201966710368341,19.520996624237213
17.5,NA,-30.100862254629458,32.58117724737695,NA,-13.262777564449205,-35.936898433942154
2.2,NA,-0.30049410004017785,10.407791310007427,NA,-6.899672715344956,117.07369283786807
5.2,NA,9.414978518437726,-0.36555889317893464,NA,44.856574842843244,-50.25280364886834
5.4,NA,58.47219122269696,1.767904037270542,NA,221.38310536578572,21.918064989092887
6.3,NA,-6.720386695905944,16.538297395378454,NA,2.596183797095947,69.20196865211553
7.3,NA,15.743863373660943,-14.649229598505304,NA,-43.882489736333916,9.621778180535662
8.2,NA,-10.3838815737726,-1.0551859178620808,NA,-23.787729591555983,-6.3709637985102985
9.1,NA,-22.099447078748835,33.62819711590051,NA,63.07786430753802,141.08016478621462
9.6,NA,NA,6.115180852663692,NA,NA,17.568360696723747
