"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell"
"10.1_D",55551.3419331412,851119.108154412,15.3213059943498,27.4080892379619,251815052690.111,17.9560665138176,4533014.75584843
"10.3_B",33829.433709251,705412.771410168,20.8520419665572,28.1427228774769,169521557162.866,18.5575346436008,5011066.94897197
"10.3_D",68142.8549433871,1024255.56696745,15.0310046125657,27.1058097223666,252962220161.234,17.9483936885358,3712233.95866514
"11.1_A",49103.6466723961,1043951.73129168,21.2601670555467,27.5907605757609,183893084862.146,18.4304578440825,3744998.53522127
"11.1_B",59502.359095297,773465.458678086,12.998904084447,27.306752232191,230842583414.277,18.0862324290848,3879553.46517551
"11.3_D",26844.3092063388,475476.448763996,17.7123741612886,28.4860369314932,164611422865.478,18.5969643485722,6132078.92966037
"11.4_C",48867.7778478285,624008.474612203,12.7693237158303,27.5986095720048,187553124078.4,18.401741598324,3837971.20185063
"12.4_D",77356.7132155994,1057498.44887794,13.6704159848494,26.9177765643767,224569195855.723,18.1283770688353,2903034.35242693
"12.5_C",42312.2774273585,840859.438901775,19.8727057494213,27.8131378950119,214504787844.961,18.1973034005866,5069563.75045568
"12.6_A",46993.6735300269,1236429.47455582,26.3105516483149,27.6563334555529,189300185232.06,18.3857434977556,4028205.73520615
"12.6_B",30806.5651662746,839853.402119923,27.2621565431563,28.2810800591769,170510425072.442,18.5458046213957,5534872.97763101
"12.6_D",30367.7181278196,782305.614109823,25.7610931060757,28.3052162867513,199503533307.748,18.3072926252229,6569592.50174891
"13.1_D",49998.7974868644,794176.272785171,15.8839074678509,27.565968230194,132174200632.346,18.9285334585288,2643547.59066097
"13.4_B",60065.4171310034,695214.960727053,11.5742967240331,27.2926912801002,182517835228.97,18.4408555292632,3038650.92339068
"15.3_C",54180.7940584152,837989.225948173,15.466536445455,27.4453836631319,235141642259.83,18.0625596988675,4339944.55685369
"15.5_B",29776.11140687,843255.079496305,28.3198523801112,28.3314650097746,186512487006.97,18.4082043285245,6263829.56654096
"17.2_D",72373.3955666208,1113108.24315307,15.3800748802568,27.0166742238991,227011378829.021,18.1122138182168,3136668.89679169
"17.4_C",74840.3885188141,1399614.7289006,18.701329009653,26.9670340425584,250083096576.181,17.9667820148963,3341552.62319774
"2.3_A",60356.6418515931,1026603.01119607,17.0089484719895,27.2852305346663,213707278349.715,18.2031204722012,3540741.69459569
"2.4_A",54344.9484469442,805783.421757237,14.8272000394647,27.4436279321966,233110494590.897,18.0714015629399,4289460.221284
"2.4_C",35317.7171863326,780086.021727071,22.0876682830722,28.0806950913056,275908317897.26,17.8169471329008,7812178.69891184
"3.2_A",73973.0734789327,1531182.93017347,20.6991930734032,26.9861398528936,198301412814.422,18.3155938162081,2680724.26206406
"3.2_C",61196.7539153203,1088583.37258318,17.7882535091564,27.2715870996157,184844209258.942,18.422809852508,3020490.42527184
"3.3_D",50508.4802422525,696868.397775436,13.7970573343934,27.5514811166418,195470913911.677,18.3375331854835,3870061.28424662
"3.4_A",76948.2646957674,1807130.23733566,23.485003131397,26.9262615693688,228980656222.216,18.0986988685889,2975774.1402947
"6.2_B",43800.3546198485,1203280.74423309,27.4719406880741,27.7680966460143,248746602016.346,17.973366767413,5679100.18481048
"6.4_B",54753.6776439746,954139.016937371,17.4260261226922,27.4323937220691,246565743786.369,17.9866738631061,4503181.41896542
"6.4_D",19205.2022377883,552679.003671855,28.7775674959777,28.9813468867767,192659972404.645,18.3591777652415,10031655.4868433
"6.5_D",58422.0458390014,697019.77324348,11.9307662584141,27.3339529457002,226887618148.244,18.1126419804247,3883595.9078444
"7.1_B",54118.6619563999,1204828.12010938,22.2627108016831,27.4477635645505,207295380269.245,18.2486301345245,3830386.28036019
"7.1_C",83761.6908663977,1714299.21717537,20.4663874313345,26.8034749780863,209400654531.613,18.2335174009875,2499957.34763298
"7.2_C",51350.3508378054,1217254.68704649,23.7048952380344,27.5316938064771,176444447771.382,18.4932494768372,3436090.40430312
"8.2_B",41380.5112314929,891816.026570595,21.5515951840603,27.8479155431776,213431280333.245,18.2102393739649,5157772.92211924
"9.2_A",58767.4102378843,877086.590646854,14.9247106022964,27.3253463292602,236239563176.408,18.0533092154481,4019907.67025695
"9.4_A",69401.4640224889,1155137.1205955,16.6442759798437,27.078483166012,175322552703.473,18.5032782297731,2526208.27489549
"9.6_C",42847.3904183538,636712.535567955,14.8600073271958,27.7938648271684,257377680937.266,17.9221622789323,6006846.12118215
