"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell","Plate_ID","Treatment","Time_Point"
"12.4_B",47817.0299218841,661823.988193858,13.8407590198522,27.631520398803,131774637912.784,19.1616551241039,2755809.76334282,"Plate5","Cold-Dormancy","B"
"12.4_C",99594.9740456166,1382493.77178477,13.8811600186929,26.6798869894513,3.96343e+11,17.13364645,3979548.20308971,"Plate6","Cold-Dormancy","C"
"12.4_D",77356.7132155994,1057498.44887794,13.6704159848494,26.9177765643767,224569195855.723,18.1283770688353,2903034.35242693,"Plate4","Cold-Dormancy","D"
"12.5_A",50604.0322939319,1329634.88707834,26.2752754435694,27.548170202961,202095396073.686,18.4891348560879,3993661.9062256,"Plate5","Cold-Dormancy","A"
"12.5_B",28214.2945021097,550156.880832059,19.4992251459955,29.1830797397163,1.71e+11,18.33894916,6060757.60594381,"Plate2","Cold-Dormancy","B"
"12.5_C",42312.2774273585,840859.438901775,19.8727057494213,27.8131378950119,214504787844.961,18.1973034005866,5069563.75045568,"Plate4","Cold-Dormancy","C"
"12.5_D",66235.3799232715,1283686.64679795,19.3806791519125,27.2297694243729,2.85728e+11,17.64479303,4313827.44887994,"Plate6","Cold-Dormancy","D"
"12.6_A",46993.6735300269,1236429.47455582,26.3105516483149,27.6563334555529,189300185232.06,18.3857434977556,4028205.73520615,"Plate4","Constant-Warmth","A"
"12.6_B",30806.5651662746,839853.402119923,27.2621565431563,28.2810800591769,170510425072.442,18.5458046213957,5534872.97763101,"Plate4","Constant-Warmth","B"
"12.6_C",27329.5168519345,460471.808277112,16.8488821361845,28.4484865014875,127000419795.955,19.2211043985875,4647005.67097531,"Plate5","Constant-Warmth","C"
"12.6_D",30367.7181278196,782305.614109823,25.7610931060757,28.3052162867513,199503533307.748,18.3072926252229,6569592.50174891,"Plate4","Constant-Warmth","D"
"13.1_A",48074.2904383218,1093607.75905275,22.7482870590846,27.2261796410052,151256164821.96,18.276463970964,3146300.51619832,"Plate3","Cold-Dormancy","A"
"13.1_B",74981.9980701929,1307896.78577381,17.4428105336623,27.0466631206718,2.5603e+11,17.81655187,3414552.91389171,"Plate6","Cold-Dormancy","B"
"13.1_C",56058.7716064272,1141706.61387467,20.3662438750936,27.0016196331938,248000415007.276,17.5679938421936,4423935.9497282,"Plate3","Cold-Dormancy","C"
"13.1_D",49998.7974868644,794176.272785171,15.8839074678509,27.565968230194,132174200632.346,18.9285334585288,2643547.59066097,"Plate4","Cold-Dormancy","D"
"13.2_B",19519.40953,477617.2985,24.4688394782606,28.87731781,1.99e+11,18.19708469,10194980.5240856,"Plate1","Constant-Warmth","B"
"13.2_C",25958.598727507,286865.204545975,11.0508740304999,29.3029323235989,1.69e+11,18.35412268,6510366.8258071,"Plate2","Constant-Warmth","C"
"13.2_D",42865.0376891781,762818.741878023,17.7958257591969,27.7917464927795,129880290532.149,19.184594818304,3029981.95111675,"Plate5","Constant-Warmth","D"
"13.3_A",23093.3201402697,421888.507872975,18.2688545999626,28.7229224528846,82408309893.8315,19.9095416730228,3568491.20842219,"Plate5","Cold-Dormancy","A"
"13.3_B",15419.72953,303341.6813,19.6723088242132,29.2316751,1.49e+11,18.65694014,9662945.10614545,"Plate1","Cold-Dormancy","B"
"13.3_C",50402.2199342891,915369.976641709,18.1613027726776,27.5542308247539,207534020751.66,18.4472175015964,4117557.14375733,"Plate5","Cold-Dormancy","C"
"13.3_D",24454.3662191725,350202.067519896,14.3206356027061,29.3938888875663,1.42e+11,18.61795903,5806734.00926949,"Plate2","Cold-Dormancy","D"
"13.4_A",46432.0157304718,922710.4280782,19.8722888412672,27.2745014860121,193880771598.325,17.921747248656,4175583.77658559,"Plate3","Constant-Warmth","A"
"13.4_B",60065.4171310034,695214.960727053,11.5742967240331,27.2926912801002,182517835228.97,18.4408555292632,3038650.92339068,"Plate4","Constant-Warmth","B"
"13.4_C",67106.3797100675,851300.987898231,12.685842859893,26.7402567056556,338351201845.669,17.1172412203666,5042012.44810869,"Plate3","Constant-Warmth","C"
"13.4_D",16829.40927,309979.1967,18.4188994234377,29.09180293,2.16e+11,18.05443023,12834675.0937384,"Plate1","Constant-Warmth","D"
"14.5_A",40289.7803049721,587356.090741286,14.5782897373804,27.4795115676905,215083250735.903,17.7773013582446,5338407.13719057,"Plate3","Cold-Dormancy","A"
"14.5_B",59389.713225825,1008628.93131774,16.983226160438,26.9171724428273,330294436821.705,17.1540160562407,5561475.52970638,"Plate3","Cold-Dormancy","B"
"14.5_C",31594.7464828393,573680.926881242,18.1574784020767,29.0176631522145,2.12e+11,18.00878699,6709976.29669692,"Plate2","Cold-Dormancy","C"
"14.5_D",18523.68893,458699.8528,24.7628782006328,28.95516277,1.76e+11,18.38830378,9501347.202768,"Plate1","Cold-Dormancy","D"
"15.1_B",65226.7745649651,900597.564088256,13.8071761189306,27.9676330904193,2.11e+11,18.02248657,3234867.91133366,"Plate2","Constant-Warmth","B"
"15.1_C",55963.5530989074,737851.102846576,13.1844935138863,28.1895134850703,1.75e+11,18.3034822,3127035.19182767,"Plate2","Constant-Warmth","C"
"15.1_D",51516.3870195876,987284.983195476,19.1644841634583,27.1232881314093,249277170504.366,17.5585187374368,4838793.73003362,"Plate3","Constant-Warmth","D"
"15.2_A",14648.21912,368743.4572,25.1732619630556,29.29272421,92720322637,19.42830409,6329801.72384259,"Plate1","Cold-Dormancy","A"
"15.2_B",51807.7747959617,993195.898266753,19.170788596467,27.115057367905,247197419999.663,17.5691839433387,4771434.80825452,"Plate3","Cold-Dormancy","B"
"15.2_C",17608.86109,465084.6234,26.4119650341338,29.02493377,2.32e+11,17.94108344,13175184.8580231,"Plate1","Cold-Dormancy","C"
"15.2_D",48118.7031728342,711203.474572315,14.7801879036057,27.2232446842387,255244553532.128,17.5255734742165,5304476.98507861,"Plate3","Cold-Dormancy","D"
"15.3_A",14395.29243,317055.3711,22.0249343764113,29.32014924,1.31e+11,18.8701184,9100197.20940118,"Plate1","Constant-Warmth","A"
"15.3_B",50802.1865033729,624810.802580748,12.2988958858939,28.3308590281485,1.36e+11,18.6867994,2677050.1303319,"Plate2","Constant-Warmth","B"
"15.3_C",54180.7940584152,837989.225948173,15.466536445455,27.4453836631319,235141642259.83,18.0625596988675,4339944.55685369,"Plate4","Constant-Warmth","C"
"15.3_D",26414.2028625997,576716.842384578,21.833588747104,29.2873476578436,1.63e+11,18.40916598,6170922.54677859,"Plate2","Constant-Warmth","D"
"15.5_B",29776.11140687,843255.079496305,28.3198523801112,28.3314650097746,186512487006.97,18.4082043285245,6263829.56654096,"Plate4","Constant-Warmth","B"
"15.5_C",43320.4908357434,760730.979673055,17.5605346337715,27.8551891042295,2.54523e+11,17.82560818,5875348.94202988,"Plate6","Constant-Warmth","C"
"15.5_D",30121.0051736988,521618.17885909,17.317422703893,28.387367059716,2.11518e+11,18.11517203,7022275.61066569,"Plate6","Constant-Warmth","D"
"17.2_A",44183.140445309,783370.068541594,17.730067637706,28.5414287218205,1.36e+11,18.70529723,3078097.17981329,"Plate2","Cold-Dormancy","A"
"17.2_B",11153.76876,357318.935,32.0357130122178,29.6896782,1.25e+11,18.94744421,11206974.3142138,"Plate1","Cold-Dormancy","B"
"17.2_C",73065.5765116845,1009697.45723837,13.8190582411527,27.8050530003267,1.78e+11,18.27367089,2436167.73449443,"Plate2","Cold-Dormancy","C"
"17.2_D",72373.3955666208,1113108.24315307,15.3800748802568,27.0166742238991,227011378829.021,18.1122138182168,3136668.89679169,"Plate4","Cold-Dormancy","D"
"17.3_A",46428.82815,1019365.601,21.9554453906673,27.61848174,1.68e+11,18.46667333,3618441.53070661,"Plate1","Constant-Warmth","A"
"17.3_B",39289.801969336,874428.457770439,22.2558631996387,27.5163399759791,167407852333.607,18.1300775816717,4260847.44494924,"Plate3","Constant-Warmth","B"
"17.3_C",42142.7817914206,571318.57055741,13.5567360831818,27.4144421579523,176975548168.32,18.0499157253331,4199427.29562168,"Plate3","Constant-Warmth","C"
"17.3_D",16789.54387,321482.4806,19.1477793017613,29.09459966,1.87e+11,18.29532585,11137884.474285,"Plate1","Constant-Warmth","D"
"17.4_A",51494.2823269303,784370.756726715,15.2321912508043,27.5249071394764,169450537378.95,18.7662055374537,3290667.03567459,"Plate5","Cold-Dormancy","A"
