,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,E06,SYBR,,Unkn-13,6.5_C,75,535.322295331885,65,91.5,
,E07,SYBR,,Unkn-21,3.4_D,75,525.877503497991,65.5,91.5,
,E08,SYBR,,Unkn-21,3.4_D,75,500.360452572819,65,94,
,E09,SYBR,,Unkn-29,10.5_A,77,527.238376499082,65.5,91,
,E10,SYBR,,Unkn-29,10.5_A,77,536.437389042769,65,90.5,
,E11,SYBR,,Unkn-37,9.2_D,77,513.538014767955,65,91,
,E12,SYBR,,Unkn-37,9.2_D,77.5,516.387629453116,65,91.5,
,F03,SYBR,,Unkn-06,5.2_A,75,509.577979588516,66,91,
,F04,SYBR,,Unkn-06,5.2_A,75,530.749147017379,65.5,91.5,
,F05,SYBR,,Unkn-14,5.4_A,75,487.422437957207,65.5,91,
,F06,SYBR,,Unkn-14,5.4_A,77,518.315030453605,65.5,90.5,
,F07,SYBR,,Unkn-22,13.1_B,76.5,502.453820364039,65,91,
,F08,SYBR,,Unkn-22,13.1_B,76.5,511.233002683514,65.5,91,
,F09,SYBR,,Unkn-30,6.2_D,75,538.557012458361,64.5,90.5,
,F10,SYBR,,Unkn-30,6.2_D,75,502.422651122323,65,90.5,
,F11,SYBR,,Unkn-38,13.2_A,77,505.057033640023,65,90.5,
,F12,SYBR,,Unkn-38,13.2_A,77.5,540.965037154865,65.5,92,
,G03,SYBR,,Unkn-07,6.3_A,75,494.168622536628,66,90.5,
,G04,SYBR,,Unkn-07,6.3_A,75,511.798434299632,65.5,91,
,G05,SYBR,,Unkn-15,2.3_B,75,488.666675898719,65.5,91.5,
,G06,SYBR,,Unkn-15,2.3_B,75,523.131868761919,65.5,90,
,G07,SYBR,,Unkn-23,12.4_C,75,485.680263444539,65.5,91,
,G08,SYBR,,Unkn-23,12.4_C,75,524.660237353021,65.5,91,
,G09,SYBR,,Unkn-31,5.2_D,75,523.527073590091,65,90.5,
,G10,SYBR,,Unkn-31,5.2_D,75,510.79575358805,65.5,90.5,
,H01,SYBR,,NTC-01,NEG,78,398.767739886754,73.5,82.5,
,H02,SYBR,,NTC-01,NEG,78,413.168150235856,73.5,82,
,H03,SYBR,,Unkn-08,9.3_B,75,453.9520671338,66,90.5,
,H04,SYBR,,Unkn-08,9.3_B,75,470.99367732435,65.5,90.5,
,H05,SYBR,,Unkn-16,7.4_B,75,479.014848712799,65.5,91,
,H06,SYBR,,Unkn-16,7.4_B,75,469.668951835819,66,91,
,H09,SYBR,,Unkn-32,6.3_C,75,490.99980866281,66,90,
,H10,SYBR,,Unkn-32,6.3_C,75,496.25167094942,65.5,91,
,H11,SYBR,,Unkn-40,15.5_D,75,507.893086898964,65.5,95,
,H12,SYBR,,Unkn-40,15.5_D,75,460.888444082216,65,90.5,
