,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,STD1,78,669.714341247999,65,82.5,
,A02,SYBR,,Std-01,STD1,78,702.757847459813,66,83.5,
,A07,SYBR,,Unkn-17,9.2_B,75,498.183532604177,66,91.5,
,A08,SYBR,,Unkn-17,9.2_B,75,489.651441297066,65.5,91,
,A09,SYBR,,Unkn-25,10.3_C,77,496.559532384425,66,91,
,A10,SYBR,,Unkn-25,10.3_C,77,501.889041086403,65.5,91,
,A11,SYBR,,Unkn-33,11.4_B,75,519.025372570375,66.5,91,
,A12,SYBR,,Unkn-33,11.4_B,75,479.020173575655,65,91,
,B01,SYBR,,Std-02,STD2,78,715.817207828529,65.5,83,
,B02,SYBR,,Std-02,STD2,78,739.069377931503,66,83,
,B05,SYBR,,Unkn-10,10.5_C,75,511.552813663079,65.5,91,
,B06,SYBR,,Unkn-10,10.5_C,75,498.897148880473,66,91.5,
,B07,SYBR,,Unkn-18,7.5_B,75,522.54449465147,66,91,
,B08,SYBR,,Unkn-18,7.5_B,75,528.305873608986,65.5,91,
,B09,SYBR,,Unkn-26,11.3_C,75,522.384514042382,64,91,
,B10,SYBR,,Unkn-26,11.3_C,75,524.916846306479,65,91.5,
,B11,SYBR,,Unkn-34,10.4_A,77.5,475.036177286532,65,91,
,B12,SYBR,,Unkn-34,10.4_A,77,498.021069440288,64.5,91,
,C01,SYBR,,Std-03,STD3,78,738.670662184021,66,82.5,
,C02,SYBR,,Std-03,STD3,78,746.027195332862,66,82.5,
,C05,SYBR,,Unkn-11,15.5_C,75,507.369409981667,65.5,91,
,C06,SYBR,,Unkn-11,15.5_C,75,509.324387382427,65,91,
,C07,SYBR,,Unkn-19,6.5_B,75.5,523.293369674938,65.5,91,
,C08,SYBR,,Unkn-19,6.5_B,75,509.728529533517,65,91,
,C11,SYBR,,Unkn-35,7.2_A,77,507.766503682557,64.5,91.5,
,C12,SYBR,,Unkn-35,7.2_A,77,537.005906244073,65,95,
,D01,SYBR,,Std-04,STD4,78,614.528780489075,66,82.5,
,D02,SYBR,,Std-04,STD4,78,636.110399366799,65.5,82.5,
,D03,SYBR,,Unkn-04,9.3_D,75,492.793673053236,65.5,91,
,D04,SYBR,,Unkn-04,9.3_D,75,517.782889035661,65.5,91,
,D05,SYBR,,Unkn-12,10.2_C,75.5,518.196967016833,65,91,
,D06,SYBR,,Unkn-12,10.2_C,75.5,527.859671893381,65,91.5,
,D11,SYBR,,Unkn-36,5.6_B,77,519.509445130528,65,95,
,D12,SYBR,,Unkn-36,5.6_B,77,503.548396474422,65,90,
,E03,SYBR,,Unkn-05,12.5_D,75,518.269401391493,65.5,95,
,E04,SYBR,,Unkn-05,12.5_D,75,529.93685099314,65.5,91,
,E05,SYBR,,Unkn-13,6.5_C,75,535.93307831813,65.5,91,
