,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,11.3_A,11.3_A,9.1_D,9.1_D,5.1_C,5.1_C,7.5_C,7.5_C,9.3_A,9.3_A
A,Cq,17.577815252953,17.2934685405465,18.1561994429997,17.9223561163708,18.0869994569226,17.9946637691824,18.7702076136169,18.7472068326853,18.5866422596274,18.4494756568685,18.1061412096854,18.1281148330338
A,copy number,300000000000,300000000000,203191465093.839,234842410650.5,212085294008.152,224561814755.206,138938739099.037,140931261176.144,155659881673.185,169455348179.242,209586887393.23,206755125284.248
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,3.1_B,3.1_B,5.3_B,5.3_B,15.3_A,15.3_A,13.2_B,13.2_B,17.5_C,17.5_C
B,Cq,21.2303130304993,21.0341563325649,18.1590821368,18.3808532595642,18.0845312234936,18.0800109070357,18.8359384541456,18.9042983480673,18.3238776206093,18.0702917642475,18.2323600448013,18.1760430423654
B,copy number,30000000000,30000000000,202829173665.458,176809291374.715,212409611354.515,213004851696.219,133398508291.073,127870907203.266,183157008655.451,214290334295.898,193833544859.586,200710603044.673
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,9.1_C,9.1_C,15.2_C,15.2_C,3.3_C,3.3_C,10.6_A,10.6_A,9.4_D,9.4_D
C,Cq,25.5270221137809,25.407270676499,18.0970826769068,18.0993154120363,17.96678222886,17.915384641888,19.7665132072592,19.7361759284736,18.3896870491115,18.3869387204127,18.2742219384918,18.3536578302236
C,copy number,3000000000,3000000000,210765529142.821,210474405000.116,228471553351.613,235858145209.986,74981968776.4749,76403510553.8339,175845003527.053,176144443490.63,188874774259.351,179811242081.55
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,,,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,8.1_A,8.1_A,,,9.4_B,9.4_B,5.4_D,5.4_D,9.5_B,9.5_B
D,Cq,28.4000892070749,28.3773251697879,18.0951806192422,18.0186837210582,,,18.285034838079,19.0607675652022,18.3741562316282,18.2804367812364,18.0799874206854,18.1668224220154
D,copy number,300000000,300000000,211013854190.013,221247264641.451,,,187614674560.24,116065585166.596,177543854852.592,188149486320.758,213007948757.024,201859582118.188
E,Content,Unkn,Unkn,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,12.2_A,12.2_A,9.2_C,9.2_C,13.3_B,13.3_B,2.3_C,2.3_C,10.4_D,10.4_D
E,Cq,29.1446764319087,29.2244030944577,17.9172246467334,17.4246698200537,18.0897121035584,18.3156157911879,18.6180591676935,18.6958211209654,17.9345856536304,17.9093271751477,18.3124155920778,18.3879795446358
E,copy number,225707418.175819,214837722.190151,235589632985.121,319583510839.551,211729432745.478,184096196411.051,152661650216.721,145486564998.438,233071139203.572,236744276397.663,184461281112.812,176030982133.44
F,Content,Unkn,Unkn,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,15.5_A,15.5_A,14.5_D,14.5_D,15.2_A,15.2_A,17.3_D,17.3_D,5.2_C,5.2_C
F,Cq,29.2796514197116,29.3384751425512,17.7329894910836,17.6520111153195,18.3938256223345,18.3827819305371,19.5527352301534,19.3038729400647,18.2482809566946,18.3423707356891,18.6286122417036,18.715135856261
F,copy number,207613928.327367,200189434.194286,264052084989.072,277626827461.222,175395051727.815,176598309314.761,85591993523.0818,99848651750.3103,191932466867.176,181072078532.008,151667544420.557,143757308940.39
G,Content,Unkn,Unkn,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,STD7,STD7,3.1_C,3.1_C,17.3_A,17.3_A,10.6_B,10.6_B,2.4_B,2.4_B,12.4_A,12.4_A
G,Cq,29.5736300566389,29.336747446792,18.601364591172,18.5315141232482,18.3304543663281,18.6028922861182,18.7023515367862,18.9316034923004,17.5935824840769,18.2698816491325,18.4030504603808,18.6150133910106
G,copy number,173068269.416259,200403665.157127,154247613353.216,161063983194.87,182412804094.779,154101802017.31,144899579078.263,125727561079.014,287852854084.676,189382954510.341,174396252658.528,152949773970.122
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,7.1_D,7.1_D,13.4_D,13.4_D,17.2_B,17.2_B,3.2_B,3.2_B,7.4_D,7.4_D
H,Cq,29.563832866081,29.4779113276127,18.4879667729198,18.4311353890864,18.0237147165236,18.0851457490333,18.8844251703859,19.0104632530307,18.1763508555794,18.1602948193854,18.1895303605754,18.2134145432586
H,copy number,NaN,NaN,165465161194.915,171390300692.876,220559250696.163,212328818483.939,129453812366.646,119736972278.373,200672359534.913,202676959140.228,199041721053.087,196120332950.493
