,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,37.1158421159828,43.6682576997043,40.1722612757362,42.9345049753588,43.5616238394291,43.0087394819784,48.3206164932008,44.4671073922427,43.1163593839112,48.9519809922158,42.0579408869919,35.5759080933738,37.7102285828423,45.4916099303241,40.9213884267665,47.5882223711646,43.7355022827994,41.9418997959403,45.6778497765868,47.6534726497341,45.3197040479051,47.4530236101439,39.270273371463,37.2772184535218,43.8419586351768,45.6477529928477,43.4250281477121,44.4700871189468,42.5700384109289,45.4436144489614,45.957235973935,40.635458333878,41.1998588215472,39.6916834859549,36.6076733663369,39.1480141526099,48.2307049135848,52.950927978092,40.9003583802084,41.8258399088218,44.1075836450188,38.9811230782011,45.5228296684243,43.5702049729903,34.5862307637765,38.5180231609863,54.5814708167781,48.9121869555099,43.9101320048478,44.3003408168347,45.0672656395786,48.5282310435132,46.7396707886467,40.1233954236277,44.9928174399226,44.0012239689709,46.6836076336972,37.541438308285,55.7641228232379,53.0897983426582,45.6816250341362,47.0341872344468,46.5307262529398,43.6233889793075,39.5958580054526,49.148973998507,47.0891161613174,37.5697935557807,22.6545829386196,40.1925373693737,47.9840391788847,53.0759931010538,42.8443988322394,44.7290564644902,43.487332793748,42.8699735931539,42.4695900268414,45.3753101696627,41.1683708667572,44.7163666854667,44.1343388866203,34.3769895808653,46.3872376297323,52.1743910807129,39.2849030096129,41.2866643757277,43.4837435967524,38.7676165587811,44.2724248021536,42.959855169858,28.0238403472265,43.4573558955724,41.5946243264457,30.7423949580004
,60.5,80.4176579179632,94.6145583493596,87.0398994307618,93.024760779944,94.3835183187625,93.1856022109516,104.694669068601,96.3453993498611,93.4187786651389,106.062625483133,91.1255385884804,77.0811342023101,81.7054952628232,98.565154849035,88.6630082579925,103.107815137527,94.7602549460678,90.8741162245387,98.9686745159356,103.249190741089,98.1926921037937,102.814884488645,85.0855923048362,80.7673066492953,94.9909103762168,98.9034648178369,94.0875609867089,96.3518554243872,92.23508322368,98.4611646394169,99.5740112768578,88.0434930567349,89.2663607800187,85.9986475529022,79.3166256270647,84.8206973306535,104.499860646101,114.7270106192,88.617443157118,90.6226531357797,95.5664312308766,84.4591000027685,98.6327976149219,94.4021107748133,74.936833321517,83.4557168488061,118.259853436352,105.976405070272,95.1386193438377,95.9840717698062,97.6457422190881,105.14450059428,101.269286708734,86.9340234178587,97.4844377864988,95.3359852661067,101.14781653968,81.3397830012834,120.822266117015,115.027896409092,98.976854240628,101.907405674636,100.816573548034,94.517342788499,85.7910256784789,106.489443663434,102.026418349522,81.4012193708575,49.0849297003424,87.0838309669789,103.965418220918,114.997985052282,92.829530803185,96.9129556730629,94.222554386454,92.8849427851665,92.0174450581555,98.313172034269,89.1981368779752,96.8854611518445,95.6244009210109,74.4834774252083,100.505681531088,113.044514008211,85.1172898541615,89.4544394807428,94.2147777929631,83.996502544026,95.9235870713323,93.0796862013592,60.7183207523215,94.1576044404071,90.1216860406323,66.6085224089989
,61,74.2316842319642,87.3365153994089,80.344522551474,85.8690099507157,87.1232476788575,86.0174789639534,96.6412329864027,88.9342147844889,86.2327187678188,97.9039619844305,84.1158817739802,71.1518161867477,75.4204571656812,90.9832198606478,81.8427768535296,95.1764447423338,87.4710045656011,83.8837995918836,91.3556995531696,95.3069452994666,90.6394080958096,94.9060472202873,78.5405467429273,74.5544369070399,87.6839172703521,91.2955059856956,86.8500562954237,88.9401742378959,85.1400768218584,90.887228897923,91.9144719478686,81.2709166677571,82.3997176430923,79.3833669719097,73.2153467326768,78.2960283052184,96.4614098271699,105.901855956184,81.8007167604183,83.6516798176447,88.21516729004,77.9622461564018,91.0456593368508,87.1404099459833,69.1724615275559,77.0360463219749,109.162941633556,97.82437391102,87.8202640096963,88.6006816336655,90.13453127916,97.0564620870271,93.4793415772929,80.246790847254,89.9856348798435,88.0024479379465,93.3672152673992,75.0828766165691,111.528245646476,106.179596685317,91.3632500682736,94.0683744688947,93.0614525058759,87.2467779586161,79.1917160109035,98.2979479970163,94.1782323226394,75.1395871115606,45.3091658772391,80.3850747387496,95.96807835777,106.151986202106,85.6887976644803,89.4581129289811,86.9746655874942,85.7399471863091,84.9391800536819,90.7506203393234,82.3367417335173,89.4327333709334,88.268677773239,68.7539791617305,92.7744752594666,104.348782161424,78.569806019226,82.5733287514568,86.9674871935044,77.5352331175607,88.5448496043068,85.9197103397162,56.0476806944489,86.914711791145,83.1892486528898,61.4847899159988
,61.5,74.2316842319592,87.3365153994205,80.3445225514736,85.8690099507271,87.1232476788548,86.0174789639466,96.6412329863947,88.9342147844879,86.2327187678245,97.9039619844252,84.1158817739831,71.1518161867371,75.4204571656744,90.9832198606493,81.8427768535287,95.1764447423459,87.4710045656057,83.8837995918882,91.3556995531767,95.3069452994744,90.6394080957948,94.9060472202964,78.5405467429346,74.5544369070301,87.6839172703369,91.2955059856938,86.8500562954243,88.9401742379107,85.1400768218571,90.8872288979387,91.9144719478638,81.2709166677651,82.3997176430817,79.383366971899,73.2153467326837,78.2960283052141,96.4614098271732,105.901855956186,81.8007167604103,83.6516798176456,88.2151672900341,77.9622461563997,91.0456593368415,87.1404099459944,69.1724615275537,77.0360463219665,109.162941633551,97.8243739110137,87.820264009704,88.6006816336585,90.1345312791564,97.0564620870243,93.479341577289,80.2467908472497,89.9856348798426,88.002447937949,93.3672152673994,75.0828766165664,111.528245646482,106.179596685324,91.3632500682811,94.0683744688913,93.0614525058702,87.2467779586027,79.1917160108912,98.2979479970027,94.1782323226312,75.1395871115567,45.3091658772405,80.3850747387366,95.9680783577749,106.151986202109,85.6887976644828,89.4581129289872,86.9746655874785,85.7399471863059,84.9391800536787,90.7506203393255,82.336741733508,89.4327333709441,88.2686777732285,68.7539791617232,92.7744752594592,104.348782161436,78.5698060192119,82.5733287514402,86.9674871935001,77.5352331175766,88.544849604295,85.919710339723,56.0476806944589,86.9147117911448,83.189248652888,61.4847899159927
,62,74.2316842319983,87.3365153993277,80.3445225514749,85.8690099506377,87.1232476788764,86.0174789640175,96.641232986455,88.9342147844764,86.2327187677897,97.9039619844859,84.1158817739702,71.1518161868203,75.4204571657453,90.9832198606371,81.8427768535526,95.1764447422452,87.4710045655568,83.8837995918352,91.3556995531285,95.3069452994339,90.6394080959049,94.9060472202173,78.5405467428725,74.5544369071254,87.6839172704658,91.2955059857049,86.8500562954066,88.9401742377797,85.1400768218662,90.8872288978109,91.9144719479227,81.2709166676973,82.3997176431649,79.3833669719845,73.2153467326148,78.2960283052637,96.4614098271459,105.901855956169,81.8007167604678,83.6516798176365,88.2151672900793,77.9622461564056,91.0456593369092,87.1404099458841,69.1724615275552,77.0360463220211,109.1629416336,97.8243739110669,87.8202640096467,88.6006816337317,90.1345312791627,97.0564620870462,93.4793415773158,80.2467908472952,89.9856348798478,88.0024479379149,93.3672152673955,75.0828766165819,111.528245646428,106.179596685272,91.3632500682108,94.0683744689225,93.0614525059325,87.2467779586998,79.1917160110036,98.2979479971032,94.1782323226869,75.1395871116001,45.3091658772296,80.3850747388342,95.9680783577346,106.151986202094,85.6887976644589,89.4581129289422,86.9746655876081,85.7399471863316,84.9391800537253,90.7506203393132,82.3367417335614,89.4327333708504,88.268677773312,68.7539791617814,92.7744752595225,104.348782161352,78.5698060193229,82.5733287515673,86.9674871935288,77.5352331174518,88.5448496043814,85.9197103396682,56.0476806943975,86.914711791153,83.1892486529005,61.4847899160543
,62.5,74.4080877093213,87.4789128017096,80.4729516941156,85.9460339624009,87.305812933206,86.1544577209961,96.7440707394342,89.0750770754244,86.2762595873603,97.9503993684009,84.2773458766287,71.3349670234543,75.6732924554087,91.1535296245065,82.0606579745547,95.426202933867,87.6666094054162,83.9867841195353,91.5127890795402,95.5759781017598,90.8460587572265,95.0744901658863,78.5820413992226,74.6716589722098,87.986636277494,91.6956695135787,87.126507730633,89.1732873119356,85.3745102029834,91.1387610274035,92.1529391463237,81.4625370745812,82.5765547401379,79.5707423026665,73.3380062895819,78.4874669954395,97.2834430366553,106.821253597378,81.956432611707,83.8229755761099,88.3427091749493,78.1078545662504,91.1875990523938,87.3297555581971,69.3093001507962,77.2042521372048,110.313285207634,99.0093917115981,88.0063182076549,88.8443879804659,90.3167412763801,97.3131091050795,93.657771358407,80.3340177033424,90.1429147091321,88.1754581954158,93.5008469327111,75.2303908181218,112.701695052394,107.326934594764,91.5565933259834,94.2563604547947,93.0985097978662,87.376850615881,79.3257231339694,98.4060476404823,94.4097020326949,75.3549825976372,45.6135786754883,80.5868422764902,97.0725502039595,107.320046305668,85.9080397669889,89.606144623215,87.1722669499202,85.9573550680532,85.0180618450261,90.8636319512786,82.432691357172,89.6115083523273,88.3820245960117,68.9600549064651,93.887538242198,105.536948346946,78.7420754910638,82.8162383424742,87.1522096337094,77.8148339260983,88.8323628299902,86.0945330836339,56.1946117097036,87.0977540505683,83.3217371745682,61.7589008634704
,63,73.4163842912817,86.6503761501497,79.6848277493505,85.693161069318,86.2110673750312,85.4208595361597,96.1598591402653,88.285104983026,86.0886195456831,97.7653608771136,83.3944377287041,70.2943230833414,74.1299640188745,90.1166690445018,80.7338634792079,93.8633262555168,86.4918625030225,83.4121104805131,90.6702453242694,93.9814230099489,89.4694382450975,94.1155792264024,78.4526717068129,74.0357488109476,86.2015029359407,89.2590900734133,85.4612080267414,87.8045678986425,84.0373768507143,89.7036203185785,90.7780845430016,80.4542740245968,81.5871891456998,78.423173882476,72.6897844259411,77.3797413953794,92.3522780447045,101.301308803085,81.0964761885766,82.8571123690317,87.6939114427357,77.375951429372,90.4239630235538,86.2231196646128,68.5373099166034,76.3482663771629,103.349151826731,91.6923437543405,86.9989468594129,87.4615672267989,89.3326921070052,95.829216472383,92.7232482296354,79.8510375039918,89.3592593357364,87.2459585350664,92.8286851881967,74.3826814596703,105.463832609022,100.315252948997,90.4081969681824,93.1627658638395,92.9447933771119,86.6648908859106,78.6346105233797,97.8738781889838,93.0675273000656,74.0907122890987,42.9690918469073,79.4112534648129,90.2853977186471,100.120900646271,84.5692302546584,88.7704356765917,85.9371569792349,84.6151701800802,84.6070710293177,90.2860957594924,81.8584175787535,88.4750303198268,87.720205319373,67.7240720973646,87.0281045498493,98.2014885536641,77.6321573074754,81.2677758069067,86.0650456026128,75.9788011179676,87.0378441211053,85.0735818009748,55.3834958291957,85.91233117042,82.5074022365786,60.0416346109057
,63.5,70.6225022849555,84.6421520748434,78.0898782559211,83.2094321270506,83.8127917073095,83.0541627514988,94.7023183399883,86.0600737463408,85.1460672657088,96.6254522132833,80.7550609680413,67.6084076582624,70.9887562919307,87.9812760401694,77.9321739400596,91.0256404488387,83.8935772286518,81.6772262011045,87.9145132448541,90.1966237721012,87.6686262259327,91.63374538474,77.235222073152,72.122790732343,81.933660389835,84.1973227785672,81.8790398876415,84.5514151614468,80.4803991272183,85.8163578324177,87.2166484019729,76.972184719232,78.7998732567467,76.1303722150878,70.5404823958459,74.6760892631416,81.5072380086287,89.1878791756984,78.5570029159564,80.1323595634324,85.213565698203,74.5779818856381,87.9686121026427,83.5394980420092,66.4802284975856,73.1400413787412,88.4819673369196,77.4085023627985,83.7772436982682,83.6705574569892,86.302833985965,92.0475499224215,89.4311277199038,78.4728720422813,86.2329597961259,84.2954840119214,90.2159174688052,72.2548638132059,91.3028269830894,85.9936108534188,87.8219106578242,90.4656136418982,92.1585581763743,84.5678876088932,76.1367239778647,95.7753523343595,89.7218479650694,71.0838778097823,43.9477690359713,76.5553668670814,76.8196032253931,85.9738268948737,81.8569882579902,86.5998628959276,83.7913158732551,82.1117364567399,83.3095647301864,88.215320966053,80.7356801673827,86.5783334466166,86.1298662920428,65.1099427543861,73.4390461988053,83.8676581431855,75.9422056162684,78.6142631407174,83.6205270259366,73.3952892901934,83.7110425700421,82.5505242332044,53.1276699052266,84.1113182580007,80.8577121716783,56.9258714219643
,64,68.2941688069259,82.5383239380608,77.0246268473982,80.9861216939667,81.7127957606003,80.6091425819204,92.5167719053393,84.0328756013355,82.7718136231349,94.6294619476387,77.8568643267383,64.2917756197608,68.3971009614393,86.2568429025337,76.1314966745119,88.6462832614222,81.9149142936035,80.9109050573275,85.4032953050589,87.8140587037553,86.531923726599,88.7309816839013,74.9493232991247,69.7082493732494,78.8256285388204,80.2562750124291,78.7393448060229,81.5049507754118,77.219639089097,82.8922178744563,84.3746256471011,73.6501098992642,76.0041039967409,74.1201153242735,68.03478609696,71.527032801152,72.4364494418245,79.219481829613,76.1476119867234,78.0529805615545,82.961321295272,71.3561631279638,85.5910677479933,81.0825656697164,64.128742899595,69.6478749520663,77.0440280905237,66.4980057168259,81.0257846465709,80.5740352802172,82.7188310119675,88.871793130005,86.4113160275631,76.9136555031866,82.9506748991148,81.0876718793052,87.593011934302,69.8880803931427,80.1380057630532,74.7136050477387,85.4367010517551,88.0443869688761,90.1892102695876,82.0684953817881,73.6263879854466,92.9002787696004,86.6637831514963,68.4394817901225,50.7900790812928,73.8015185880411,65.9015921541919,74.9374074960023,79.6314415184311,83.5741057250766,81.1155597618636,79.3341781647032,80.8342043448135,85.4877309773674,78.6659983654356,84.9976037606582,84.5474327844524,62.1703483058111,63.6520929529295,72.9236379509198,74.2832927256179,77.1636577173965,80.535207939856,71.465743506629,81.1162364063418,80.6033917599154,50.0822309113062,82.7406648656702,79.8134730597944,54.4078255640277
,64.5,66.4013707622851,81.0140726252073,75.7065604449806,80.2797183042987,80.0429819042904,78.6043142030194,90.4326236649611,82.5057012206237,84.0455566903029,93.2019864965825,75.2057665892928,61.1755697913748,65.5282287278835,84.2665768020277,74.6484167211815,86.6059209044117,80.560822128218,79.6118535932731,83.8767871730768,85.9226183130072,85.0791377274231,86.3729111816122,72.4318852925089,67.3711019789837,76.2878337497411,77.1184362250367,76.3294325507759,79.7005697983643,75.3852526369565,81.166981090003,82.5464258481302,71.6404951295872,74.2463462016885,72.3497377084811,66.1539190325652,69.1937622153334,65.054118723553,71.0279443663724,74.30623327431,76.8171011288512,81.3555548298161,68.2742566681993,84.0252203224968,79.525746692686,61.3780015210361,67.5983793054547,68.5613042545828,56.7867432018217,79.4644999340712,78.7121452198244,79.5084060877582,86.8319319869049,85.0090419860708,75.376490616479,80.9326951503931,78.4935152324515,85.2814998102133,67.5486885393675,70.6345759630036,65.9954329366069,82.5834591841351,86.0073296397711,87.4721804047063,79.708885402579,71.000446192128,90.3674601135194,84.0783734966701,65.9847956808403,56.356827174526,71.2686173549689,56.4027615253856,65.4312291977744,76.7557232168101,81.4072821892491,79.1302631484934,76.5648946169806,78.541881929486,83.3464683143902,76.486490995771,83.0987679798293,83.4305338909044,59.1044810443459,55.0433044756478,63.4113683486479,72.2401170204801,75.6498927730506,77.5518555728029,68.8391902046715,79.1899503127245,79.2254207827673,46.0562575814911,80.7236194230898,78.7907106241728,52.282559540547
