,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-0.0118144865541581,1.73829764269612,-8.75518404218019,-7.87313318891529,-9.95664698558812,-8.27988895782073,-11.832018686046,-3.58492154985333,-1.95603070672132,4.0560980929622,2.59744141836154,-1.37292150785288,-6.33611715914685,1.23594893574636,-4.15376162141956,-2.1775417276599,-3.86061209868967,-3.00111758125422,1.13748831142084,6.17453801753845,2.03291644976753,6.22176764185861,-7.42699548628252,-5.8436911035933,1.6189163189124,1.04191184971796,-7.76800282919248,-1.04502115418018,-5.64676205705973,-0.952164745165192,-3.03675013806514,-6.1445903075396,6.71573736834353,9.01849781669125,-9.1370658065689,-9.42773590520028,-3.39308685942797,-2.56596807063715,-5.05002024332043,-0.677305144140064,-7.09884647377885,-0.172293891824211,4.47265141752587,1.19151518835224,3.98991251568623,8.85408325130857,0.190756661993419,2.55777765628,2.89961510072681,6.68816421112751,3.51998588354854,3.18023808517728,-1.85784296035899,3.32051451377401,6.52231992495763,3.68271473097184,7.16397937178454,2.19288983476054,3.54514337677801,3.71663119513778,1.73238783272382,-0.0496483900947169,5.35540924156248,12.8927013811231,4.75216924656797,5.74862537352647,6.23084994812962,6.55949807391971,6.08304910495326,5.96134984707805,9.53998273453317,3.5250436787378,9.28898646715061,2.56016548710659,1.97381416019516,2.82316065159193,0.00121197325415778,3.66437130572194,6.24707812319639,3.0754614052039,4.11433594677919,4.7202747721326,-10.482085027932,2.34803419690707,9.56940730804217,10.017286301822
,2,1.78643159750891,8.54375267622254,-3.65789672810661,3.53679340882172,1.52642979466464,2.78424497533479,0.440188866132758,3.25965915113011,3.22761399353749,5.76716306395201,6.4929311842975,1.98314447891062,2.37473598542783,1.57774694589261,3.65781441632907,-5.22686825127403,2.18985302517103,0.0701070185550634,3.91812613471166,4.68867788866282,0.657913272508722,9.66031329397083,-2.53139709655716,2.52820582867116,4.68434957317822,2.95249599452472,0.58330308534596,1.11655879315867,3.03947514942502,-0.854059481473087,1.75268565180886,-0.268784499562571,7.28056551629152,4.82982785244303,0.321919048501059,-4.21512516561097,-0.169423393139368,-2.41440151494726,2.99209187061069,0.865023221508181,0.842025290476158,2.34016933689873,2.42965337065925,0.808297323648731,5.62087010741789,7.40800160862773,1.76101690917903,6.39284674998135,5.98127373225725,4.85403961630709,6.04796958136512,9.11155110222535,0.907300723897606,1.0016017190901,1.44115002245553,2.60734187839125,10.3582673919445,2.25259000973983,4.83569864901528,8.90402016974394,5.21319824375496,6.4592958876101,8.53820404193539,14.179394153608,5.02205250598081,5.98176704474872,6.68992038265105,4.34053656405831,4.70556373930503,-2.28148695356595,3.71500498271735,1.19542226706426,2.25171441089014,2.54875533932727,0.980403263453354,-1.38373144610023,-1.35761274686593,1.23026902458196,-1.20083960578449,1.62739712386565,0.201089465696441,1.1594884780452,-9.31009731970789,-0.535121989052641,3.6255575051855,8.23048303660198
,3,3.77077875236864,9.29366488552159,4.61675380607085,8.1894887833887,3.32210583512096,4.77746775772857,3.54583302022093,5.33396679903262,6.60056428569942,8.04081093134846,10.3290138264397,2.33477850809277,1.43896620339456,2.77994561199421,2.59317875466468,3.27255999847057,4.70657792225256,4.35616944796902,4.90182127006392,5.20902169935925,5.82192393079231,6.6372116133025,5.22948305792443,2.51545029661565,5.66545002114844,6.68601392037317,3.51116746850084,2.35979921191574,6.35005733967682,1.00299920159796,4.68553246318106,4.09309045203645,7.18732485560258,8.81136543666662,3.64278341925183,0.122945671015259,2.33168423208872,5.71044011330832,4.86269718033918,6.59001620183699,0.437600587154066,6.06446558973175,6.70870592974188,7.18567557255528,8.35489155780033,7.13466157074208,6.46990097425305,2.38806814064037,5.74408135540261,6.6611036533177,4.93652907862906,9.10318587585652,6.89738872339967,5.50805990855361,5.7017529276045,5.6631279355579,5.69979461395405,5.04943575693233,5.54736300470449,4.11517763898701,2.72516829722281,2.7149484403858,4.63337586378702,7.44286140903841,6.23992874752184,4.82928059027154,5.72878413693888,7.67737575066622,6.44932072158463,3.18619106142751,6.28083780430507,3.50085546335185,4.74325971885037,6.68397541591412,4.56801054550351,1.12913617786899,5.26471381454166,2.87287972261947,1.47388607769471,2.90015028805692,-0.011742159174446,-0.530220209450817,-2.5686132677929,-1.11090343183196,-2.10816221131427,3.65968511325264
,4,5.22529508575599,1.77876970289253,3.43141024786473,4.22346586382901,2.99305034020836,1.71919808142184,3.40854078020175,3.47330053017777,2.85480266973855,1.56420829232547,5.54018654329093,6.25368597552551,3.19807556066644,-0.0204023410492482,2.98895852562828,1.71047496966321,7.06993399796966,5.49756072553919,0.430393226848537,2.97934204606418,3.2778404916553,7.32584796907213,4.26347698758218,0.582207206631665,4.92146748647838,3.46935372640928,3.11473883706594,5.05305257214786,5.84650461806905,4.41900088208877,4.38295604439782,3.66515415203412,4.68595356690639,6.72454797146884,-0.0827016286038997,-1.16460258568122,7.43072894644956,4.55559875955396,4.75788655343831,7.76475548881126,6.21166368724607,4.02328895024266,9.27800813836893,2.234493096591,4.67091479409783,5.92157789394969,4.24733938254667,4.3303998471074,5.72267555057852,4.84070532629539,4.91283087032116,7.42833908637704,2.84059202252138,4.86527781578752,4.62779344976207,4.15115156412776,5.17367041973921,2.39299512153912,6.22429551515961,2.56921352721429,6.41447792540566,3.83402509991447,5.1357069280557,1.14899949142409,4.4955078597518,6.97954411843148,5.75612141861166,1.99459840473173,3.52834860471967,5.75623759779864,7.32702620706596,2.34266697244084,3.89096195809225,1.85898100172153,3.50428815497389,0.218242515029942,-0.17141813424405,3.01562479332461,3.05986783287199,6.12758893635691,7.50886853801785,10.2410614113078,3.25936447445565,7.88027530972795,7.31860866715169,8.82050525883369
,5,2.23282627004664,-0.501473121234994,1.30958033425122,1.54701061557671,5.76581543006159,4.77263140310879,3.96335840016809,1.06802195668297,2.26987938224011,1.27822472383332,1.85180188471759,5.46659193946834,2.68737891030423,4.75303700995073,1.64856179862727,1.82163000338596,0.931512458833367,5.87636057847476,3.35842696909049,3.3633257008446,3.43685805982386,2.01718228054369,5.77877659871911,2.92738389073065,3.79752806783199,2.86017009000261,1.59050695987207,1.6872359377121,4.42173981509632,3.97613044073523,2.72463868221439,8.30765943218648,0.321255267144352,4.46745859947805,-0.288109439564323,3.20287248761724,0.791160085984757,3.26782054887281,3.28037343508959,2.4481257622615,0.681355592226737,3.7951958189924,2.30744375645554,0.946810492906479,4.49035465287761,2.98889471910161,4.66006484806212,5.11472865243832,1.36437226144335,8.42452227498825,2.57146201118485,-1.34913496641411,0.733645560185778,2.489529000517,-2.15672929826269,0.554616645906208,1.96410713351452,3.7744007554993,-0.661222301159341,2.26582423290574,-0.640392098405755,-0.775805050800045,2.40182945341166,2.23861473914258,2.08043483768824,3.40180516021201,1.30345645087527,2.06411985016484,1.80878029901305,3.48316094555275,2.84941007609132,2.67833415777477,7.43391323895503,3.84257930589911,-1.82670978224041,4.50904751062762,3.24357110776327,2.01169348984286,6.73607144590915,3.62845940744546,5.22297859675382,6.11803291027172,7.40923096886308,4.40555080829063,6.08772517913621,-0.329506042816774
,6,3.57609271110869,1.653423103362,2.12921829599463,0.272701765668899,2.69482850805434,1.61839454751589,-1.27928100900726,4.02117456908536,1.25433449970842,2.08276235176845,3.87869384076657,0.86712371847625,3.58365332491167,2.51289892716386,0.933521590608962,4.12238826628936,3.33154589839887,-3.41523421219881,2.29994982781773,1.52897130312658,-2.14947064578382,3.46928352427267,1.81362124756197,-2.85091422075402,1.41708725660965,-2.93569451230996,3.00654613066854,1.26946767751588,1.07903754786685,0.329993608160748,0.981874810352565,0.562079076531518,-0.820079283826999,2.06423163949512,2.56411190413928,-1.39149786019016,-0.157763279084065,1.16426351984956,4.20534954672212,2.0924246280706,-0.35038530012298,-0.68045408456328,0.577075095664895,2.45153227571382,0.653983750481075,0.596969175349841,1.41314552186759,-0.28954442310669,-0.609153799467549,-1.36996745103806,1.94751251031494,-2.18995069463881,-0.903592626619229,-1.34709966220817,2.30810255861752,1.73900820320387,6.06433135593488,0.502760257869795,0.474283038547583,6.76868264531322,-0.252918699534348,1.01759256812102,3.69469348069833,1.34926419696785,0.685136310949019,0.118623533041955,2.78507773330148,-0.109331306673084,-1.27166628460827,-0.576871630906226,-0.714159156603728,0.456097732570015,0.0515424691939188,0.325465692155831,3.21776933582032,1.92776715494347,-2.06982558671007,-1.48937221086453,-1.72715888690118,-1.8542375643151,-2.82496085156026,-0.848608090489051,0.827050982763467,-1.03628370058686,-0.877471384956607,-0.886225940398162
,7,-0.311417855834407,2.41646287969297,-1.89737428312674,0.980200582408997,-2.00645095070831,-2.00451410383994,3.56089604250565,-0.394950324245656,1.9781107510662,-1.99698051624546,0.160765097118201,-0.0773046744566273,0.581353017778838,4.49642299382231,3.64819133187211,-0.510204014140982,0.357180062640509,1.63130941383724,-1.00973633271224,4.6660511694995,0.665453950926349,-3.23980325732464,-1.9739578582321,4.46863749870363,1.04693466144772,-4.60622940413487,3.10722377397997,4.25850901420199,2.32893576143715,2.55151246446485,2.24574093717183,-0.840328569560825,-1.58601613290648,-1.28933233136831,1.66197150843936,1.79929501597735,0.573439486971438,-3.07928879197198,-3.0561309388645,-4.33099639066268,3.51242191584743,2.81698987905247,3.89837175131106,1.56998407217907,1.32015152419717,-0.942292477727733,1.57786232265607,2.94755700553151,3.29240961793903,0.2672353526591,2.46607539498063,0.572982405414223,3.45610063450704,4.03489075636753,1.10692057979941,2.30275888693677,-2.89095020013656,0.0748847928743999,2.36957177898557,-1.42968496999538,4.28631300803727,4.64830876874885,-0.632297449134512,1.29359213544421,1.01130410910901,1.46538035029698,0.577868644399587,3.53986817989653,4.95561091917079,5.37106338854301,2.20759830051293,-0.102752736219827,1.33176156893205,-2.84849939532751,0.304256500728116,2.85789907742128,1.1321532933357,3.16035213130954,2.49139048804545,-0.061012813648631,3.43616093587934,1.34617018112431,8.7054448430963,3.66861495694457,2.26086469478514,-1.78179446208833
,8,-4.32832465443244,-1.64467624190866,-1.84096090013918,-2.01353328069672,-2.94266878152393,0.0615082066128707,-0.441075625950361,-4.86111421448868,-3.26789867072648,0.571106886111011,-5.07706657967674,1.3018477859132,-1.81588405071943,-1.80413247545584,-0.174309487266783,0.658437288896039,-3.3544953492742,-0.512316114080932,1.10297016791674,-3.14441947625301,-2.74613470067743,-5.37533546677969,0.580206643729525,0.459344147560842,0.971295789046962,2.8327892250536,-4.85698496480563,-3.37185389096703,-4.04235624296552,-1.15485617001013,-6.11827578360317,-4.149867435538,-2.43889970697319,-5.90099365701963,1.17803006867734,1.18984240379859,-1.16843401438882,-1.77641112553101,0.930600163032068,-0.52274300432191,1.38459321663913,3.19939090607249,-5.73334859427541,-4.82626490904931,-8.09300385948291,-4.12927632539004,-5.6577053354722,0.0146638572891788,-2.526935645908,-2.80948684871601,-1.3896876926874,-0.0232462250851313,-3.6340689548465,-2.29710091620063,-2.02055078785406,-0.303833693736578,0.118733678800254,-1.67240657441471,-3.45710663692762,-1.15864663449065,0.212887038992903,1.82187636491517,-7.73950920584139,-0.275292383544183,-3.44611755529968,-3.05728267927179,-2.66555181077138,-1.08787739060017,-2.55664846297805,-0.47927790497306,-1.27317896723162,-0.566189403039061,-1.87234725111148,-2.5982986721674,-2.89682390892222,1.51321710297725,2.21180954657257,-0.316718018375468,0.830467048746414,1.96485860175744,-0.0851014515696988,-3.67135103612418,8.38841755542671,-1.91790723094073,-0.24767899964445,-1.23291710005651
,9,-2.81469874993763,-4.29541157292715,0.574383285647855,-0.560176083856732,-1.2635497850215,-1.82529295658151,-1.10678468834794,0.726114361548298,-2.6901052170906,-2.54796531277316,-2.89855881841004,0.460248953696919,2.02146085913,-1.7679920084197,-0.934633266787387,-0.398755906801398,-1.8922739179925,-3.44122311084175,2.92395229432168,-1.70026123476191,-1.68666950832903,-1.36168973772965,0.382297581444618,0.143223939186555,-2.91486471533972,0.205399697034863,0.248740624950642,-0.71875601570855,-3.34630578132783,-2.31568084880882,-0.00777284518790111,-0.870529421196807,-6.91843494471641,-4.27989911624081,2.74899384452692,5.30562993149169,-0.109974695878918,-1.43401534303757,-1.66840554816372,-3.5653013876331,-3.78453155323541,-0.739395141018576,-5.1323698294218,-2.68468638677314,-0.905627075230768,-0.196289550967776,-2.20283282181845,0.331957137075278,-6.13222635181819,-3.37257760723605,-0.764805878991865,-2.62362428033748,0.462878623556662,-2.22191667792777,3.33620722632213,-2.21495649084773,-2.41988446742835,1.77525164770395,2.9576593674883,-2.34047393217816,-1.67483066865589,0.43119810371627,-1.64489360236621,-4.28474681898024,-0.0122531201604943,3.34783796495958,0.760552787058714,2.38446991762657,2.16481798663426,-1.80882140303493,-1.11661726505645,2.54228783988447,-0.603013509905395,0.185454697791556,0.0220359771424228,0.856272446625098,0.86754445521683,1.03741229993193,0.343273900853092,2.69979760560182,2.75996554285121,-0.718630909203057,8.113505448252,1.65472123949485,-0.499322241128993,-0.0436162502182924
,10,-4.45144225232571,-3.91072656891265,-4.15189798602705,-3.96788260491894,-1.81639722909085,-4.25221543564794,-5.47992424603444,-2.20443038447684,-2.15746437417647,-4.41885552593021,-5.02271998341939,-2.91362177285919,0.753731986425009,-3.34004779562747,0.621541651690677,-2.28752060799934,0.641541295054594,-1.64739034621425,-2.3284346359078,-2.46464142510513,-6.59038758541419,-11.9229986174109,-1.03988206999429,0.866024060242125,-6.05384563407506,-1.94877288227417,-0.649566644156039,-1.69921310767086,-5.23450101122489,0.133453404952434,-1.33233108167133,-0.459399353453591,-4.27947050366038,-6.029709480772,3.63392142626481,1.4191612909367,-1.25095183587746,-3.88722425654805,-0.706122581042564,-0.770986658628317,2.82494165269964,-5.82362021980316,-1.26398184211894,-2.526311394603,0.0668379520179769,-1.60494420521809,-5.22061424253525,-3.09206395747242,-1.52963456824136,-5.52875892021439,-1.2693113572509,-0.0880640980121825,-1.24217582475512,1.12190752059041,-2.35124794812828,-4.28521506321567,-3.39364780981214,-2.05723786935096,-3.68320712580316,-0.869927763311352,-2.1884481995844,1.54276640903117,-1.42199008480839,-3.52278187127331,-4.48480201803113,-7.31525954700192,-4.59230683430133,-5.00765187998832,-6.16626248647344,-6.37217531400847,-10.425365183848,-3.03884627004027,-8.29703697117657,-4.9503545830471,3.05054393045384,7.43175710300693,-0.657806872220135,1.13705327033767,-1.09671903616481,-5.9429418639329,-1.84670387093638,-2.56991183589116,1.33585785020114,-6.11439100339294,-3.48035027479182,-3.95503065300682
