,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,1.37597970776369,4.26517984526845,1.17107019686591,1.21253227821171,3.40239004395107,4.62736513170057,0.2659748103938,1.30997095631892,4.38550551428762,4.88981220944197,7.72350308213072,-0.179301935255353,0.946461334572177,0.621703455332863,8.10161959812194,-4.59532862989818,-4.42904132920694,-0.0667139542670157,0.0188094072159402,2.96415382192026,3.60297245809898,-2.01184095476447,2.22547737259038,5.30594489177065,-5.81081233817258,-3.07714073452371,-0.922736338733102,-1.80091864543147,-2.10989299380572,-3.31938160100435,-0.857774281527327,4.09463185836194,12.7054209510966,2.49727558696759,3.6921534015396,6.11360133333619,-8.55610126698048,-6.01711405891547,3.92550390164115,-0.486851166407178,7.09797752694931,1.31539477913884,2.76514362445823,2.98493588962901,2.99049089627397,6.5147676393367,-3.459632108189,-5.89780291674197,5.95331184118913,15.224730019459,-0.787998962438905,5.84159591543039,6.06176592437987,2.2120402786054,3.59270236660132,9.93282166824429,-3.31361811853731,10.6734026509271,-5.57725500279412,-3.55262849044493,3.68388247266194,2.71758654183805,5.43395009083451,7.80523663463237,9.39678416315837,-4.7384900006814,2.75894655325374,3.70918922319697,-0.360177943874078,3.08164326752922,0.843737798728398,-1.78967651851872,7.22427421816519,9.77187485037348,9.7692718496055,8.76633654657644,1.82120020032153,4.9031790679428,2.51721328416943,7.02905671893541,7.06796465941534,7.69205909845823,-7.26577132489592,0.348461999151823,5.66161406101492,11.5935397361427,3.68495442155427,8.24583844665722,7.20717448661435,3.41526852642573,-10.8029152211957,8.70538157818237,4.51936018635979,5.24835092235026
,2,4.04015141455102,0.0513252945015665,-2.56576977825989,-0.137478735499826,-2.4527212446269,2.7415168491807,3.3214149765131,5.69051925995382,1.95343257574132,2.78520903880235,5.47746686354685,-2.55631280858506,-0.339540537868288,2.70651556466828,10.0077033015568,0.564413575298204,0.0257758587326862,5.94790232073501,0.1477057621114,4.1810273545866,5.14873283370844,5.5382314293347,1.12698251053644,2.82181879974451,-1.23053292735403,-2.02879736573186,2.74988201040242,8.68149491970325,1.50732562076291,4.08803533611854,2.17482077440354,3.37952103199859,8.81300079053972,2.21757339898704,2.99460492407206,2.50288240511009,1.00396238619896,2.9565456598757,2.21972965708301,5.39436758887177,9.93261327187156,2.36794543427459,1.4163665520291,6.30006536569908,4.91084486836053,0.217738383243613,1.34838388095704,-2.9123309523261,18.0116161730571,20.9336707565285,4.86940661074459,3.95242003691556,7.45326342431417,4.79249672977903,0.973696846818711,8.69751959196719,6.82040057483709,6.55786060866012,0.585451868139899,0.316531374285205,9.91030069443332,3.96482120353312,9.3073676182903,7.43496734660675,4.75608299207988,-1.87728241986406,5.04176942750973,-0.672275421582071,-1.56647813115251,0.0359580827885111,4.1821197065874,-1.0298614098233,7.71428109204908,8.35673360416058,6.61704741925178,10.7176118071648,1.23261339118062,5.16711043719306,4.96752610351678,2.63861344776251,3.80194922913779,1.68260967292599,-1.71802513004877,2.13352894961417,6.78768599041996,9.24955274375543,4.99292521126381,8.57626342723461,7.06499265525144,3.31894003125581,-1.58568252583518,4.41208186706945,2.44596089056313,7.73098800381649
,3,7.28665587908245,9.28314340277348,4.88334179191088,5.32018176929796,3.14704855649597,4.24605758558118,5.03314889041485,4.02890580413032,5.62032922159096,10.2094929377085,8.63348471442714,1.85213668455071,6.69571647801422,8.68444024144901,7.00825196106643,8.26920521879356,11.7959780263832,10.0774711504873,10.9540031833744,9.61732475607005,9.58665427877031,12.3185267059193,5.86444936555063,11.3720281542355,4.2347440783501,2.43472893281069,7.40785322914735,8.1624326902438,6.16314212667203,7.70512797081074,3.94335443222371,7.11179721549797,10.5542259611389,4.35030424417027,9.62701132639995,7.73370826170685,5.44973802991581,5.35335870002746,7.66728811997473,9.31370870987621,9.94567660405392,7.23932537540259,7.14202328151669,9.00120784594992,6.31710765872594,8.8552392844108,5.1936140198527,-0.274220037514169,5.7935827814722,9.30381875117655,7.31328022352182,8.66814342641283,8.13796931043589,5.7893911564438,6.63867041100502,13.9427734004539,6.77643336205256,7.25235620929925,2.49516041876313,0.482661864206875,6.15120939138296,4.48024876957606,9.66176857300024,4.43667113190622,4.7019232432126,5.92818779947083,8.330527929038,6.3287143303769,7.02848835309715,4.89866010124661,-1.49563933249692,-3.58599488899426,7.00889094848117,3.73030937774865,4.44466904478259,6.11550887860494,2.85542321703497,3.20158876467485,1.84263011554913,4.51408262275254,2.17901481943727,2.20441975700351,-6.09228547423027,1.14428841980634,2.76276640584047,7.9623174801668,4.15202202885121,2.87286989414451,2.37684259494972,5.11561882100978,0.966500276071201,2.89549536540835,2.78739559781934,3.30155468100247
,4,4.20617111854199,1.26407016488884,1.70099451037004,3.30298390330472,2.81377410167488,5.06567584834147,0.602265638319295,3.08735145868786,3.42468619293959,3.39292096518238,5.38189826081361,4.25094240357203,2.66630810490688,5.06948313734483,7.54205591516711,3.02101565711519,0.811437915923761,1.11792685740375,1.35081568073201,0.722712277636219,2.26299877663268,1.10926614437403,1.80148327464576,5.79505869283958,2.42321397933983,-0.944383704033044,1.69833401639289,5.51707879330161,6.62121043386651,5.17521020456479,5.47197119979228,1.39952364533929,4.34495592955227,3.38783809374945,2.73930183238372,1.98709807313253,-1.19182338164364,-2.92254994613404,3.13694923573348,3.78763503710161,3.34479688841884,2.17786805260403,5.52564921642079,4.07279250166721,7.09745032800947,3.77849734579786,-0.118235514172284,0.550691777502834,4.03214573974219,6.39097235850295,1.34689936362884,4.20563862845665,3.15672781257717,4.68289243898698,5.15954077516972,5.64915372969926,1.42965597674038,3.45886522658157,0.98413486253412,0.327728173745072,3.46288966676684,6.68753141281468,2.35598324764032,4.33835983512427,3.51572961724924,0.321276598609984,3.66092368349291,2.57245612531369,-0.129993731343802,3.84169814740972,1.49200041552831,-0.957776496029965,1.74466105578585,5.65261499417238,4.38189812779228,3.37040628285285,4.27700246513496,4.59315071000947,6.23903804494876,2.39821166109004,3.36111946819983,3.45012715106941,-1.82955100433173,-1.35530743769459,4.96659446255126,1.71887500449202,1.69402063586404,3.29343013825201,3.26135100884858,2.85576103812582,-0.171799636101241,2.06054074892336,1.88704326592324,5.54966590405547
,5,3.18896730510232,-2.54557409755671,-0.399267756496556,1.86530915724779,0.847372350657224,-1.32032782576562,0.792621983611298,-0.518131737755539,-1.07745342708313,-5.16928725076241,-1.20604617423214,3.61951714622546,0.748585731053936,-2.77193484985764,-3.19229503861789,0.507812739590463,0.570638932796555,1.09765345634605,-3.01317021319892,-1.5503909646136,-2.39217802417033,2.76856516347743,1.61894094587524,-1.58387701588708,-2.55653960554764,0.467437703923224,-0.347478856810085,-1.09176215871503,-0.128460630312929,-0.247668238441292,-0.101242551817904,-0.774665312597335,-1.82976610501601,0.679986446434668,1.23064611198515,3.19003288120302,-3.23781797210813,-1.77330413190703,0.1437153678512,-2.95838006830172,0.556458655938513,1.04972299511655,1.87275774009549,2.8107145789586,-2.19706320055093,-4.44072229546191,-3.04718553494877,-2.71972878054021,-3.44619976967715,1.67277948615856,0.308219074579029,0.625352365892923,0.732394485587974,2.531080891702,2.25638306759674,1.936427079856,4.78914876914905,2.60696934438738,-4.95403943349083,-2.43374532458165,2.60434164879143,2.9933934834371,-0.187711169286558,2.85025381296191,1.4836024359106,3.43897268162618,-0.269627747583854,0.376157594101187,2.7244509624802,1.63233792020128,0.815466246036067,-1.9253991782457,0.0755318290671312,5.06129177698904,6.73298490529169,-2.31213341375042,2.9124528945581,1.54929743718321,4.4179191829985,1.7550745932499,7.56461143707111,6.22584800542063,2.94539777389218,-1.38818666869338,1.77017747840455,0.487743271185991,4.99793136282824,1.90321148270596,3.47070754533024,5.59974849495802,5.85368484248374,1.87952736915804,4.44482082955119,7.15210018450807
,6,3.18858272487569,3.02119102113738,0.335610871287827,0.934596554461223,-0.571491491512461,2.19102603459032,0.697151203059548,4.1765942734537,1.05970693295149,1.258358572421,-1.72080088843586,3.19050616428149,-1.11286263662942,0.978843207753471,5.17324529109601,-1.84240469588622,-1.10416112733537,-1.22694880960353,-1.25184141435011,5.41195404728205,1.12618682481343,-3.26434395774686,0.135358537798766,-3.90633221936014,0.914348119606984,-3.55661273455371,0.894619149580649,-1.69860707807447,1.14117923381855,1.07725088529241,1.58451019847053,4.23632594991523,-2.76567670465147,1.9135424603669,1.76529798169986,0.622679673710081,-2.39336874461742,-2.33214301847647,0.0583026456147309,1.16709827462773,0.746482824583381,-1.48694224042038,-1.10786744403367,-0.672464252241298,2.01927990877584,2.90738727836379,-0.550801248532025,-3.02731534874874,3.52676619428348,0.302055231564736,1.05555188947346,1.89586928907102,0.488560277795841,2.54303201187213,-3.93733668845744,-0.886479040612812,5.16708108340026,4.1886381604304,-3.01060669523213,1.39378711504469,0.408302824343082,-0.161028780926699,1.17630252258641,2.32086022805152,2.00127881725439,2.72570325939296,2.68006677673429,1.73164845581778,2.43060540987381,0.973668322505546,-3.399881313685,3.40311399927714,0.448147660612449,-0.190659642623814,-1.60746786443224,2.91948863673497,-0.293546016199343,-0.347930651334536,0.680627193418331,-0.283909054125616,3.44767000973206,0.59347402926187,-1.48442916906015,-1.71411168651548,-2.75570024827402,1.2327950061117,0.853784915085726,3.48665222312638,3.4588229218275,1.92991429495441,0.952188221844153,-1.01109387819952,0.359996554866029,-0.48173631880627
,7,-3.41745529106265,-4.64018114088549,-1.25034576546432,-1.27872506009226,1.43921447882803,-1.08268084705151,-0.30563811426191,1.67930156789271,-1.75989182475314,-2.66921050855171,-1.46538739061134,-2.62558093964299,-3.25742677378503,-2.12386541425803,-3.46744838669929,-0.505448364818676,-3.84795410844617,-5.37879145894067,-2.38731889625251,-4.81211690805003,0.00363115651043699,-2.87566856353396,-5.69334271705247,-0.633938865533764,0.550919548907586,0.94301230183919,-1.36300395710759,-1.66964945967356,-8.17647337377775,-6.14380732719337,-4.57208266161706,-2.96743523355008,-5.20315346650796,-3.19024558821093,-5.32795148410651,-1.78723606052108,-0.181576646224585,-3.35710447500196,-2.364187667235,-3.34519943283567,-4.48813323142895,-0.118060503035849,-2.06098939964113,-2.70690046515028,-7.24373450357143,0.800443157457721,-4.38358950314341,-3.80960989180039,-6.51894301552829,-5.48843457182602,-4.67662493339049,-4.80788083180096,-6.5695171561506,-1.12405683356292,-3.89719109490989,-5.17431018503794,-3.63785122467243,-4.87886069278557,-3.17666334902287,-3.83564590274455,-3.2597090758477,-4.60659259040449,-3.95111464035381,-4.45953570044821,-2.30011579530265,-2.55216821813428,-1.67540307379704,-1.81269964163812,-4.24686155103973,-3.08086903292588,-1.95049515361688,-0.724691100963355,-2.59050509189592,-3.27365309832021,-4.77232642336503,-0.976771575287785,-2.34314745565553,-4.01044349188123,-1.79085659290058,-1.90382113777468,-2.57713807667642,-1.4522704102751,-2.71859809795797,-1.81945947930444,-3.09288283614069,0.939362207249815,-2.94967074045826,-1.93867110520569,-2.440262504354,-2.80297297118159,0.62982536967229,0.806403628651879,-1.92646402466289,-4.8660301953314
,8,-1.91035375829824,3.23631955445126,-0.4626686884626,-3.99530104777341,-2.40041749583588,-1.87747776708602,2.93282272768192,-2.3722835846188,0.12910190048251,-0.348705057661391,-0.232162941657407,-0.0316683672558611,-1.34200366901905,-3.43654752841894,-0.752133940537533,2.81074881568702,-2.82521728398024,-0.732194268942294,1.30094753372077,0.15585986626138,-1.48084495338435,-1.87460040498081,3.32119116688591,-7.84857525405141,0.736705922774036,-0.807528659977834,1.39760881176426,0.997650499989049,3.84807068694863,-0.710920235153935,2.17268086430795,0.165864967702419,2.47758087783131,1.26749728283494,-0.385751740598607,2.72512314909636,-3.48176953421535,-0.205453379831397,-0.182540724193586,-2.06063244732331,-1.02664146232837,-0.180934826963494,-0.312655256713697,-1.98837838469899,-0.430650035688814,0.357577185143782,1.26855713401073,3.4746677138769,1.02518849258695,-4.88754707414228,1.19781572364946,0.236993783607886,6.21229165670457,-0.309651269651567,2.81846499064386,1.26507449982273,2.03848665837904,-2.97348500504359,1.05187547364085,-1.08643771402012,-1.56782953015636,-1.48837616981928,2.95060779305322,0.0670637406815331,-1.8068234497041,3.10407456566008,-0.374949448477764,1.41884457578817,2.4631694877794,0.65688904122544,0.864327352313467,1.6416309478027,1.33649380847874,-0.440125914517012,-0.827262623045044,0.116159654638977,-0.360528180183337,5.02894629793309,0.922801319984956,4.54941212017729,-2.15811775172051,2.67249474686605,-0.300143393421422,2.88216942957706,1.55644631302494,-0.257349928506301,1.37258198015979,-0.00728796134035292,-1.29484993427195,-0.489915625249978,6.15649211201435,2.53398272421464,-0.248674462667623,1.25199658422252
,9,-1.93413002706393,-1.11218218017621,2.47383872684168,0.950295954481135,3.72160230280178,0.751531061363494,1.84967150179818,0.528029892670475,0.460454947660764,3.15503166276358,2.15088539988346,-1.61810004102699,1.39135475363446,3.02554813194411,-1.21027628092725,0.592829922730289,0.14712366310232,0.804685282549599,3.4982646571475,-1.67498988199759,3.99847969855409,-0.0140015774823041,-0.000712714878318366,0.13146483125638,4.78131408048375,4.09340403615943,-0.477619123944805,-0.316920189697157,-3.88906596063998,-2.11596903626787,3.26025057529523,1.4187192074728,1.37875607903743,4.98754537909917,0.1147947075292,-2.92628690642277,1.51352289488023,4.31974931954574,-0.498708296647692,1.61452016564635,2.07883016620008,0.681677209309782,1.23297572133151,-1.457461888735,4.55673121303471,-2.11928934408706,3.08242519472014,4.90556758706134,1.78244174906558,-4.37330240928532,3.82700640840403,1.6010353477227,1.46387148216945,-0.0435501564634251,-0.142201121258495,-2.13493389426594,-0.497698023430075,4.32758741541511,3.47101992486478,2.95552618562442,-1.34088586166217,3.52462078840699,3.76098541249985,2.07641418138883,1.51017023143868,0.530564804925689,-2.01425816048322,-0.42367047696689,4.14133837038207,2.31248013673212,4.68224436576384,2.13223202239669,1.59824766849169,-0.241341055952034,1.19598572560062,0.847005718530454,2.6561386776948,2.92472159532781,-1.34499922995883,2.50513228026011,-1.93442064075816,1.18076051711887,4.51210362275742,4.11171095572718,4.42391329833799,-0.243678853150413,1.12674740453031,-1.1674114502207,3.69106195267432,-2.40317055464084,1.05933291011843,5.52377064226403,3.33630901771676,-0.589850724338703
,10,-4.1540119682445,-1.54063618446071,1.60414573683011,0.895251705444934,3.29824900947551,2.79039462995343,4.12518007063454,-1.27997801925176,-2.01510122501759,4.06959374399366,-2.0407538159634,-1.86269597116507,1.50893472662165,0.50453324941418,-0.126381995060456,-3.15228087299238,0.557389197017983,2.45206602079588,1.47077300847741,2.94825475360221,3.46083567580035,0.141036953140883,2.60922887124525,1.50807068847053,0.062454919110678,4.3198437948995,1.85968860656249,-0.749991296561802,-2.16989500937734,-2.52760409526354,-1.60591110506766,-0.859851143878586,-2.12871449220438,0.182038187282615,-0.82217767208931,-2.1923890042417,0.653217999786193,4.22683343097015,1.3825702391041,0.78959316452665,-0.955250390438323,-2.71873433739711,-4.37753855350002,2.14549971812403,-0.569003009731659,0.586095866111464,3.64507911734654,3.79461315781191,14.3810802625753,-2.43039885727376,-0.0092025420981372,2.97610013736858,0.418973029301469,0.330550595653222,-2.24003931736524,-2.9660988391056,-0.90295163671135,-1.94650081611644,4.18822967602546,6.86844633929104,2.97000071965931,-0.178437970715095,1.06112135754847,-1.21190907197479,0.491548341378802,-2.89070767046269,0.584431388327175,-2.10366436002323,0.251137409705279,1.14701618312665,5.24047940825085,3.29257154645984,-0.774837878677317,3.27256732032038,-3.34453789657982,0.233781127642942,-0.911145664055312,0.0796314608569446,-4.9440401332522,-0.978164369450042,1.55257074121209,-2.30583834660501,7.75966660211589,1.61928537017729,3.13160129791459,2.58373423161356,0.00405440376061961,5.35617216570745,1.45021032913064,-1.7657650961487,2.55035850274908,-1.32642759171222,0.573867767205229,-3.31197860379234
