,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,G06,SYBR,,Unkn-15,9.4_C,77,396.10543189063,65.5,95,
,G07,SYBR,,Unkn-23,5.5_B,75,409.730527211818,65.5,95,
,G08,SYBR,,Unkn-23,5.5_B,75,419.587902360051,65.5,94,
,G09,SYBR,,Unkn-31,6.4_A,75,397.206070280431,65.5,95,
,G10,SYBR,,Unkn-31,6.4_A,75,421.587049064552,65.5,94.5,
,G11,SYBR,,Unkn-39,2.2_B,75,426.235928167904,65.5,94,
,G12,SYBR,,Unkn-39,2.2_B,75,387.539444888028,65.5,95,
,H01,SYBR,,NTC-01,NEG,78,490.821226297074,73.5,95,
,H02,SYBR,,NTC-01,NEG,78,512.73719331739,73,82.5,
,H03,SYBR,,Unkn-08,2.2_D,75,346.975230747084,66,93,
,H04,SYBR,,Unkn-08,2.2_D,75,385.221424339746,65.5,95,
,H05,SYBR,,Unkn-16,12.5_B,75,408.936501583408,65.5,93.5,
,H06,SYBR,,Unkn-16,12.5_B,75,370.891900601933,65.5,95,
,H07,SYBR,,Unkn-24,9.5_A,77,401.174420980159,65.5,95,
,H08,SYBR,,Unkn-24,9.5_A,77,397.483314168195,65.5,95,
,H09,SYBR,,Unkn-32,17.2_A,77,383.312664623004,66,94,
,H10,SYBR,,Unkn-32,17.2_A,77,414.350555101389,65.5,93,
,H11,SYBR,,Unkn-40,17.2_C,77,437.559592342226,66,95,
,H12,SYBR,,Unkn-40,17.2_C,77,391.171671850363,65.5,93,
