,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B7,B8,B9,B10,C1,C2,C3,C4,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F7,F8,F9,F10,F11,F12,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-0.359072466473208,1.6192228722557,-6.09124428586529,1.99655218262023,-5.9465064553001,-6.86173423149739,-3.67159480751388,-11.6315272244046,2.25803363495515,2.52899216771721,1.78542440158981,-2.37777368090701,-8.20781852528626,-1.25227344241193,1.3797547529357,-2.48174662185602,-24.0853252220186,-4.0361364543196,-6.26779934844581,-6.39645450594753,-1.68546060613016,-5.43651779620222,-7.1032533959924,-5.32850793370653,-9.65554016863007,2.82845067846119,-4.07206876863575,0.526801968653672,-4.97094055455909,-7.12419904262151,-2.21525305623982,-1.92073790292989,-1.7826402425967,6.95129321309423,-8.64380275015628,-6.90406722672651,-0.849550519219065,-10.9593830834519,3.22124693379374,4.6380985083274,0.574025993286796,-2.07834924871713,-0.947489850371312,-6.01154432839257,-1.25312940954655,0.863015749273472,6.65401579033778,-2.32379988410275,6.83750869166306,1.53719008657117,3.86019960606154,-2.56014510255318,-1.00622752285972,1.1656749681415,-2.98595664660888,1.74225991922958,2.04498975790284,1.77157655202836,3.76153531231421,3.12063319687513,-5.69271708711312,-2.39501552426327,5.84503736762417,8.23082090837943,-2.50157091948267,-5.8620900423789,-0.240363531859657,-4.43075762119179,5.59859532481232,-3.39877784859209,-2.43622790350491,1.18159749693814,-24.475132017873,3.81341038140727,10.4112905472434,7.08636076078119
,2,9.19161722320177,5.52951536795308,-3.6773314259176,7.77920468902767,-0.844567493600607,1.86198381628219,0.229890670640998,-4.03059276471686,3.86666190616097,8.22435460549559,3.87696340726234,0.695564782949532,-4.81350785256018,2.11082772741293,3.8151867196093,1.98352519593573,-8.05083809845155,-0.935187096553818,-1.33403997620326,-1.82476658353153,4.70894941955521,-0.828203841980212,-2.18394823582958,0.363681057117446,2.30543033249614,7.63422146896892,6.25548929679417,5.28394832001914,4.81660927649182,-1.66443275383244,1.37251026488229,8.07786389541479,4.50535306074107,9.2001995812343,3.42021375523154,2.93778786581152,2.76868055675641,0.832031916443157,11.7526095813614,8.05124541635723,10.2061033603122,5.59013371725587,3.43238209237643,-3.99862050156298,0.52750171410662,5.95470406949653,6.94019034530538,0.491529056711897,7.92639933939972,6.0506981064791,5.69082832101731,3.83919001696086,1.30813982175869,5.77846939539586,6.47019882943323,1.3415169980467,3.6918772248614,7.40509998817879,5.20242830528196,6.25311736535059,0.882477414641471,1.36516258327447,2.98594738146903,6.41062509750009,1.19850214772259,0.638875893927434,2.84009709073825,0.270063424833097,5.21675293309045,-0.24911007964829,4.74282865910709,12.9697164397539,-12.0076764143878,7.91750084606974,12.6668029860484,7.8889184362597
,3,9.19129199651934,6.95104590483106,1.7513738806615,4.12247999458896,4.23058070706156,2.95502106433969,7.00968955394728,4.15905825303525,5.37571505457345,7.36945790165055,6.65608016010583,6.19826459272099,2.36878533259596,8.87062165044927,8.18815535838803,5.72085640663499,1.3814675162962,3.74150183289294,4.9808409313323,3.585290822361,1.72904515794653,1.11314776362588,2.16721501648681,1.74318163945964,2.68373506567559,4.35050177147514,5.06842859857852,5.25646111112292,3.33914703263827,-0.394252660251368,3.71361134356448,6.54460836009957,5.61432399756995,3.57569366208327,1.98927193828649,3.67745139764338,1.7842970850279,4.36757931484499,2.34783610797103,9.50470936290276,7.0774094227454,5.13779919178614,2.10586225353973,3.35325764206982,4.29702153208837,5.08308143725662,8.22299993812294,5.79762053415789,8.3115781895408,6.06141268371448,3.93818915695465,5.41921552715576,8.37852948771433,9.74024226785332,7.03752557330699,1.87150167814707,5.81124880476636,6.9186989221862,4.25817063524937,8.3770864508997,3.21855262079862,6.35456946542217,4.78832477759579,5.75201026881132,-0.957687810789594,1.91945759822102,2.85687050430215,1.31639600467906,4.53438371813263,-1.39410471246993,4.64394777656753,8.62825351017273,-1.72834663024241,6.73763431312,7.1026615223268,3.48799842416565
,4,2.13253614910491,3.48573428078498,2.29345355473197,3.22231569679707,6.06602650610466,4.88893007188744,2.16122352186039,0.832136510564851,4.91060080993793,5.05308956592125,2.23557295996534,-0.584048421000716,2.71473769733529,3.93270489894985,4.66336234484379,3.24048335488442,2.43718576501942,0.761730172351236,0.121553946290533,4.19542882883661,3.96259001847011,3.97644902687261,1.35818552928913,3.45104342171589,2.19943631119759,8.43289746297251,5.12065567845229,0.892916963239713,5.58348567508438,5.52066441944726,3.98918177796395,5.26963864100298,6.35293732641776,7.95836066568063,4.81676161597034,3.14479956761261,3.83713934733169,-0.159059004582559,6.11526410354418,5.95059412241699,7.80951598938191,5.23867912291144,1.80756771298365,4.89636012762367,3.08109597928024,7.85329472568128,8.12152282909483,0.550296144135245,2.03749579783607,3.99034521467138,5.10765362969642,5.6273668267927,4.71681834348783,4.31624908705726,5.32140490290158,4.20278879258103,4.13653776102547,6.65166278170909,5.7496211571497,0.386493595428419,4.02618016758152,3.39993085238621,4.41525582427766,3.81462081824293,-0.657342703531413,3.52099641866789,2.50678409812144,1.96631374209392,7.41818039278405,4.90004478736819,4.70919909727309,5.09569496995755,0.500726860311261,6.60410159446155,7.69913711152822,4.66495773159613
,5,4.81734790092059,7.7079294440473,2.99930690936617,3.85765254072794,3.15885659974902,3.41906109391948,1.56443311959356,4.21279568394721,6.15404764824734,5.54044972093789,2.36524450641309,2.40065694742907,1.83018070339403,3.24643656299122,3.70465907173639,5.08300759601889,-0.048691200977828,0.778120732444222,1.22736893436286,5.38252977481807,6.06045971756976,4.66395095634562,2.80236175578466,1.17274420807598,3.53452190244934,1.53098994640322,2.4439785771292,3.23276030062516,3.934809143851,0.600282410338878,5.0421588994036,2.84223260228418,1.55656748867023,8.89858380918668,5.45875236402935,1.24380715999905,4.65733502108469,7.10958919209543,2.24576448597509,7.0976564223356,0.446315591195344,4.2960968887719,6.24921427718436,2.0522430526371,2.18219487202941,-0.432219114499276,3.46635345779259,2.54802750919544,4.26075142951049,2.03395087218905,2.25787030865195,2.19868185162977,5.2905672031593,0.261359035786427,1.25472747334652,6.25780342384905,4.36716920014487,3.94709618763318,1.99720678147105,4.33443060711988,2.00047973160736,-0.190907860912375,4.70987437452686,2.22110632266049,4.1009818232601,4.54911863916777,1.34492878517995,4.38629485024558,5.49731555942935,10.1034540819996,5.81597219047353,5.98872238415879,-0.0299325641008181,4.61720524830389,2.82050602129493,4.4491493320993
,6,2.97801254343585,1.22288883404917,4.80179936764898,5.33911232059199,2.10357122971573,1.11796911212514,2.13689028933186,3.32633006638707,1.64890093906024,-0.892576595305854,2.58051571620854,-0.283818016221176,-0.444263450938251,3.54450115754571,0.390760743776355,2.76675932657554,1.24724592652137,1.86128661927569,3.18355733310545,2.41206149868049,6.64117918636612,5.79961290817027,2.27098568549445,2.1091627966498,5.1342750525655,4.57348943032503,-0.671697293495527,6.03077847647774,3.40672525401942,2.08831548807575,1.57510231603965,2.78027288085786,0.0369787781296509,-1.5986743691642,0.287271326622886,-0.186168648338025,4.03527335584931,2.4911094361828,-1.6530802298339,0.775110204087923,1.45812916981095,-1.70844636743095,4.0075008808235,0.774638928219701,0.636471291328689,1.05717051666579,1.19217254247269,-1.0709324492318,3.10340795505908,-1.28259384480862,1.37940084100001,-2.65112283899998,0.363359507276527,-0.928396272932332,-1.52968792336924,-0.716719373049727,0.171512888938651,-4.07445628250116,-3.08385316361955,-3.39956608827197,-3.74932708736014,-5.41151853611973,-2.76089908840231,-3.27430533572442,1.34140794940959,1.7339107196517,2.33400045716598,1.70388508189444,6.0260007046495,-2.08554820417294,-1.31704952536074,-0.024979898759284,0.908415283885915,0.0572739511280815,0.128639250729066,-0.0173785990218676
,7,-4.05497076233178,-6.55314153616564,-5.623674685673,-3.95630764406496,-2.25099213739395,-2.83347882741873,0.109313590412512,1.34191795813831,-0.407932307281499,0.182599843427852,5.19222443747685,0.858477988514096,2.88853161166298,1.88415679555692,-1.33194623466397,0.100131193417837,2.14003331409822,1.01378113831242,4.79203534251837,0.874374465967776,0.561730840135169,-0.173415361866319,1.57449119003149,1.69871330707701,2.6058555236973,0.676456170703659,-2.42113377987835,-3.71327722747537,1.5361366480688,2.92229070106987,1.25014872687916,2.04411350080136,-0.680783822570447,-1.09389885470682,-2.50311021307562,1.0080763554306,-1.10727101583825,-2.46023321150733,-1.48081911096733,-2.14997712704735,-0.819302097656418,-1.69099424726664,-1.67924865324267,1.17447002290191,2.40711865835374,1.31959592045496,-2.63223730541722,-3.80469172985568,2.71903431215333,3.49553419386484,3.3308456340983,2.13681278807371,1.6937001348474,2.70409609177341,0.294032509400949,2.2553638740128,-1.30223211115117,2.37251066491626,0.882392023575449,-0.315651657325816,0.581054214309916,-1.44587865537278,-1.4275781468632,2.70534029347164,7.91514384324273,-1.91946871307846,3.61659224678851,0.258705852537787,-3.04974154019146,-2.15404026403394,3.04367587014394,-5.24207816365788,2.95163153041904,-1.19505606794655,-0.943005176609404,0.541505095158755
,8,-3.68900003723093,2.11396297785086,3.61036766444431,-2.75336235344685,1.06058347398039,0.125393332746626,-0.303882258219346,2.03898017561232,-4.55279277954696,-3.08811215581909,2.18986972997254,1.08223479504977,-1.81310789108966,-0.867527914337643,-1.35654534313608,-3.16122165991737,2.55137596723716,0.625058838174937,2.79632994947588,2.62839697013942,-1.4659506495359,-2.58314410100729,1.26540995020878,-1.90686574141955,-4.54230587718575,-5.85145904883711,-2.16654832095674,-0.143647061090178,-2.43900316772124,-0.8528641106127,-1.40136982940339,-1.01252765230538,-1.06935421789512,-0.836175295547946,-0.415289850192494,3.33777785447046,0.334056146674357,-2.9704149475242,1.8824971932695,-4.89111809823044,-2.82698707999998,0.010011223024776,0.369613449076951,-1.97990471425373,-2.31047537114046,-5.44081840698664,0.968016382696078,0.583606037029767,-1.67989479689777,-2.02365804103829,-2.57704879820267,-5.30577208310888,-3.09037270289991,-2.83603172074709,-1.35368031606276,-0.875738550807,-1.69063489895234,-1.42401320800309,-1.30141767430814,0.884360010323689,-0.391920274342283,-2.26804015546895,-0.127463174236254,-1.26189951111064,-1.38136775046132,-4.76146414645655,-1.53347377619048,0.590649877745818,-6.09405099413289,-2.13400067401699,-3.82779528031688,-4.99645843370217,3.68347284427819,-4.38108650668664,-4.774986383341,-6.11349777058831
,9,-1.1577063374616,-3.72076673162701,0.154467004281742,-0.134171353482088,-4.01069114595157,1.47863290282248,5.26372521673466,1.54277940060911,-3.58047560212572,-1.97273502441476,1.28043210606393,3.2806546146835,1.63549763393212,-1.2298553686087,-4.52295155461343,-0.49937490895536,-1.06592569490886,1.81827654904328,3.82919433945017,2.72056328161443,-2.87119360372753,1.08764667484365,0.697296764964449,3.51182530919687,-5.69777206884601,-3.29116140881933,-0.303104093526144,1.74659166940592,2.54882862584645,0.750219031097913,-0.260536286269144,-1.28090125390918,-7.53407474419919,-3.24699164095637,0.346087426789381,3.46410891315963,-0.784063059217715,3.53491844793189,2.63274761347247,-3.10923000413777,0.354532096612274,1.13503986638307,3.17852582697469,-0.659133719765123,0.410796180301077,0.65421334300845,-0.752670714486612,2.05553211860433,-3.10695137856783,3.01970439170555,0.854108367445406,3.36026483246133,-2.60868306785051,1.63933331374847,-0.0337411486771089,-1.63730907219633,0.182044834631142,-2.02957670219166,0.570005655765726,1.36179726943737,-0.724006609213575,2.63632685111861,1.74731959134715,0.605452639539635,5.79400293220397,3.87510622680111,1.93253184709874,4.92458716735791,3.78382362054936,3.5498399816338,2.60339957849146,2.79355562846013,11.0649412527328,-0.03027697142943,-0.476227706881218,0.943347702329902
,10,-4.24767013222345,-3.36699538744961,2.28884900898447,0.118197699902339,-1.0418527677266,1.13427462549362,-3.33068664828352,-4.01020103983001,-0.446936747890049,-3.15524229568473,-0.111077925590052,1.16720360275576,-0.55954745511508,-0.716630679058198,-1.09179188465259,-1.99369319986226,3.75534243079528,-2.55573324462921,-0.548558198002866,0.799250419451255,-2.98076564730673,-1.80819147660486,-4.51228110284092,-3.24103671034754,-4.45789355207808,-3.42679979501327,-1.4637290816554,-7.37106933748873,3.3983291592458,4.07350954072126,-1.93820622076646,-3.42180608451827,-1.89539108493409,-2.04134096656071,0.301082364609556,-0.393871922306062,1.27918080719473,-1.46963070176889,-1.51367701105573,-3.23388386000806,-4.73032238002406,-1.34435817385565,-1.060326192297,-1.20352013140246,-0.050595430060639,-3.02521192638142,-2.36846395490056,1.92543399331362,-4.39563025545385,0.273042531871397,-4.07694376934523,1.66113426284392,-1.32373842466723,-0.0188458906841333,1.22642468203503,0.665791003954382,1.35401031773472,-0.961880079385537,1.76480320299288,2.98285213013378,0.949703726736971,7.04098414149894,1.25174094575368,1.5747826360639,2.40278541865018,5.76227054375158,2.71398548346679,-0.1349447163484,-1.0204169947383,-1.43714712280962,3.70197995952594,-2.36394791513567,8.58870433355878,-3.0564050716066,-0.203509858275993,-0.764274127544923
