,Temperature,A1,A2,A7,A8,A9,A10,A11,A12,B1,B2,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C11,C12,D1,D2,D3,D4,D5,D6,D11,D12,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H9,H10,H11,H12
,60,34.504374903084,41.9236037386256,41.5140670344774,40.5239991771107,42.3261463589226,42.7042196012708,40.848826315447,32.6722678909098,40.1681698824355,44.1949236809169,42.3281664011206,40.3078983680771,41.4515525475269,43.3376966918308,40.1888523582118,43.0213578230441,35.9221117869413,33.5612313575614,41.5750922923678,45.6501320314744,40.6881098206932,31.9383490563421,43.4200276522367,37.4287603279497,34.3653858006949,35.99007378851,45.3276767239888,49.0454923893587,39.7806392562843,40.6308890519701,38.6897634658433,36.4549647056924,38.0736890883406,36.9791657559613,38.885616294968,40.6492622318908,41.5446024182202,37.8372893439146,41.5263230408,33.7993513779054,38.2624387414328,36.9480677595823,33.4943048635821,37.3412400602767,40.902697078064,42.2888213819347,38.9041990429387,41.6375275926785,37.8791366793266,42.8425032288242,37.9856365661772,33.2269815197064,35.2290465402393,38.3589217573597,39.862404979983,41.3169012148137,36.9227555500127,40.1696087159894,41.0914021724298,41.1991730684119,42.2779002070804,42.106193314125,50.1976584843147,54.9059975833995,37.1856737192261,39.3296906476587,37.6063516769523,35.8663166061913,28.5041377250723,40.6134326888798,40.7665283925571,26.4798880169067
,60.5,74.7594789566836,90.8344747670233,89.9471452413691,87.8019982170729,91.7066504443321,92.525809136089,88.5057903501349,70.7899137636371,87.0310347452773,95.755667975322,91.7110272024288,87.3337797975014,89.811697186306,93.8983428322983,87.0758467761286,93.2129419499261,77.8312422050392,72.7160012747161,90.0793666334628,98.9086194015292,88.1575712781696,69.1997562887441,94.0767265798465,81.0956473772246,74.4583359015053,77.9784932084394,98.2099662353091,106.265233510276,86.1913850552835,88.0335929459329,83.8278208426607,78.9857568623318,82.4929930247383,80.1215258045822,84.2521686390971,88.0734015024277,90.0133052394797,81.9807935784816,89.9736999217359,73.2319279854646,82.9019506064369,80.0541468124275,72.5709938710975,80.9060201305988,88.6225103358026,91.6257796608579,84.2924312596999,90.214643117471,82.0714628052087,92.8254236624521,82.3022125600505,71.9917932926978,76.3296008371863,83.1109971409462,86.3685441232963,89.5199526320987,79.9993036916967,87.0341522179779,89.0313713735954,89.2648749815623,91.6021171153427,91.2300855139367,108.761593382683,118.962994764033,80.5689597249893,85.2143297365931,81.4804286333977,77.7103526467502,61.7589650709917,87.9957708259076,88.3274781838761,57.3730907032991
,61,69.0087498061712,83.8472074772558,83.0281340689594,81.0479983542209,84.6522927178451,85.4084392025436,81.6976526308938,65.3445357818189,80.3363397648714,88.3898473618358,84.6563328022437,80.6157967361551,82.9031050950498,86.6753933836599,80.3777047164281,86.0427156460839,71.8442235738823,67.1224627151225,83.1501845847349,91.30026406295,81.3762196413873,63.8766981126885,86.8400553044737,74.8575206558996,68.7307716013895,71.9801475770209,90.6553534479795,98.0909847787161,79.5612785125693,81.2617781039362,77.3795269316868,72.9099294113832,76.1473781766815,73.9583315119219,77.7712325899358,81.2985244637775,83.0892048364444,75.6745786878289,83.0526460816041,67.5987027558151,76.5248774828631,73.896135519162,66.9886097271685,74.682480120551,81.8053941561238,84.5776427638689,77.8083980858751,83.2750551853578,75.7582733586542,85.6850064576463,75.9712731323543,66.4539630394133,70.4580930804796,76.7178435147196,79.7248099599658,82.6338024296294,73.8455111000276,80.3392174319831,82.1828043448556,82.3983461368284,84.5558004141626,84.2123866282493,100.395316968631,109.811995166799,74.3713474384517,78.6593812953167,75.2127033539073,71.7326332123848,57.0082754501464,81.2268653777642,81.5330567851163,52.9597760338163
,61.5,69.0087498061594,83.8472074772567,83.028134068948,81.04799835422,84.6522927178514,85.4084392025325,81.6976526308965,65.3445357818098,80.3363397648734,88.3898473618394,84.656332802253,80.6157967361582,82.9031050950387,86.6753933836628,80.3777047164131,86.0427156460853,71.8442235738828,67.1224627151221,83.1501845847263,91.3002640629409,81.3762196413902,63.8766981126951,86.8400553044855,74.8575206559001,68.7307716014057,71.9801475770216,90.6553534479831,98.0909847787225,79.5612785125693,81.261778103928,77.3795269316774,72.9099294113839,76.1473781766792,73.958331511921,77.7712325899349,81.298524463765,83.0892048364474,75.6745786878134,83.0526460816136,67.5987027558142,76.5248774828488,73.8961355191489,66.9886097271647,74.6824801205544,81.8053941561188,84.5776427638634,77.8083980858762,83.2750551853587,75.7582733586562,85.6850064576477,75.9712731323514,66.4539630394106,70.45809308047,76.7178435147259,79.7248099599542,82.6338024296219,73.8455111000183,80.3392174319779,82.1828043448604,82.3983461368414,84.5558004141544,84.212386628242,100.395316968639,109.8119951668,74.371347438454,78.6593812953083,75.2127033539127,71.732633212376,57.0082754501429,81.2268653777733,81.5330567851006,52.9597760338052
,62,69.0087498062333,83.8472074772437,83.0281340690351,81.0479983542227,84.6522927178005,85.4084392026066,81.6976526308747,65.3445357818784,80.336339764857,88.3898473617937,84.6563328021787,80.6157967361432,82.9031050951337,86.6753933836517,80.3777047165186,86.0427156460892,71.8442235738751,67.1224627151216,83.1501845847872,91.3002640630177,81.3762196413666,63.8766981126357,86.8400553043846,74.857520655901,68.7307716012783,71.9801475770144,90.6553534479508,98.0909847786832,79.5612785125693,81.2617781039996,77.3795269317584,72.9099294113869,76.1473781766933,73.9583315119241,77.7712325899317,81.2985244638758,83.0892048364112,75.674578687933,83.0526460815311,67.5987027558153,76.5248774829568,73.8961355192496,66.9886097271938,74.6824801205228,81.8053941561689,84.577642763903,77.8083980858712,83.2750551853619,75.7582733586421,85.6850064576406,75.9712731323773,66.453963039434,70.4580930805446,76.7178435146727,79.7248099600411,82.6338024296631,73.8455111000819,80.3392174320093,82.1828043448306,82.3983461367229,84.5558004142072,84.2123866283002,100.395316968568,109.811995166796,74.3713474384235,78.6593812953633,75.2127033538461,71.7326332124385,57.0082754501534,81.2268653776862,81.5330567852111,52.9597760338754
,62.5,69.2800072887262,84.181283702369,83.4100365492152,81.37975005565,85.0038785354925,85.7099812346767,82.02133337398,65.5653801633268,80.4520501528552,88.5540783325216,84.9191965272328,80.8403818158881,83.1354552376476,86.9809758810436,80.6250735570013,86.3387720064245,72.0732857457397,67.451510491095,83.3849119463446,91.7871054128575,81.6188570500963,63.6337455635623,87.1185262612159,75.1609546938014,68.9173753910652,72.2190569843556,91.4657305117171,99.1571201313207,79.8057484708875,81.4471674035747,77.6210982717046,73.0522189002518,76.4114472803933,74.2157871457553,78.0584977505393,81.6477844836861,83.2952462950641,76.0099837220798,83.320808691099,67.73015542746,76.6820274762044,74.1074236620689,67.2399235049691,75.0063224847818,81.9499984411652,84.8610624039788,78.0191264249088,83.5357520961245,75.9533294625733,85.9937451425019,76.2496815702505,66.6849976422329,70.7594736292488,76.9607640694151,79.9417840785736,82.8744607250453,74.1862064318736,80.664840924089,82.4427831520138,82.7459705293616,84.8783022885393,84.497473313701,101.88406247948,111.32723066932,74.5222495600597,78.8640721897395,75.4655681454965,71.9809892961775,57.3365594321317,81.3684903519845,81.8126479811367,53.2233106741382
,63,67.5908044665216,82.0189085101906,80.9332431388225,79.1776256100745,82.7378063345766,83.7420797521888,80.0033089865667,64.1897939542389,79.87047467606,87.6103971149676,83.292003552941,79.5058627771243,81.6929954682957,85.0806495027894,79.117585970537,84.54769840262,70.7129789331445,65.4549544143777,82.025650814548,88.6981557971603,80.1208155862914,65.3317582849568,85.2591182819172,73.1391164519421,67.7242309492128,70.7449559996528,86.5384536724443,92.5031146605538,78.2418349704972,80.273747489194,76.025799555953,72.2283708876816,74.7714328813211,72.6078646360365,76.0999876453968,79.3468910029512,81.9520892877724,73.7225463956347,81.4976857095276,66.8489590876818,75.6557812832903,72.6631649723595,65.6658646335561,72.9810275469658,80.971076707157,83.0229243970641,76.6157953381783,81.7396740380902,74.5797812076955,83.9609793437639,74.3991024346637,65.1208182495136,68.7244965443595,75.5392768343863,78.5969280657675,81.2800581273466,71.881361050715,78.4973749743681,80.7212444153033,80.3989934593756,82.6401416727094,82.51261952656,92.7210906184534,101.938339433308,73.5682238632371,77.5232026312071,73.8425232623281,70.2843265966465,55.2715684300372,80.3682079815062,79.8920116298164,51.4866422286116
,63.5,64.4549137660654,78.4884730192773,76.9392311713561,75.9786169952324,78.8828610682567,80.5863461576118,76.2726959709653,61.5591510766019,77.5379839230163,85.1204211340371,80.1324717022421,76.3503180425619,78.847343123668,81.3498868169252,75.7895885738046,80.6640247104581,67.6339309130674,61.1727442792276,78.534182267658,83.3240838159425,77.1092220097032,67.2135720884419,82.7800180030856,70.3911422827387,65.8362067939509,67.8606615172253,76.2475945590833,80.0063074795817,75.6362347972815,78.1749484612458,73.6937991306156,70.1410392667738,71.7151917598856,69.702649972279,73.8434857731154,75.9467176417711,79.8720847825302,71.0786279943484,79.341508587846,65.7944811616069,74.08771487032,71.0945618112228,62.8345760183252,69.2548329953001,79.8190990505484,80.0297380614963,74.7737428429466,79.8354940516083,73.3950381333518,80.9765550911482,71.8448203574505,63.2638501994377,66.1892752419189,72.206166990034,75.9736451462034,79.0412678078176,69.0765143171539,75.5336406031154,78.2899614561493,77.4364296576618,80.3438303629373,80.5025172379833,74.5735572780449,83.8746537162257,71.9049962320144,75.6450069198493,71.1751683532771,68.455771700792,51.6775870539709,79.4757844351275,77.6777019255051,49.0497560995991
,64,61.7990743156929,77.3524819478489,75.6451654569214,75.8111543282114,78.1861311433765,80.2658262772011,73.2853758136848,59.8898694153161,75.5642385956794,83.1002293517899,77.811749182963,74.3743450208656,77.3009943983072,79.5138719999968,74.6312172056851,77.9870696198002,64.7861210156752,58.3005059063428,75.9209380922782,79.8775663751803,75.2959218565559,65.9780140133444,81.8442423496413,69.398926362808,63.7904080456335,65.5888171475924,68.1572707776152,71.6072665635925,73.9764221567696,77.0149092812458,73.1723750595374,68.4316713840169,68.9558753357348,66.9512251346162,73.0070615846378,74.9684434192311,79.0562915884511,70.208288005329,78.6070333457074,64.8071180650691,73.4533500364789,70.042011080486,60.3621827333156,66.4484888586157,79.1425582555353,79.3304693695154,73.6362049068257,79.1325227635102,72.7991447113584,79.8868364964476,70.8752346979156,62.3153126909685,65.4519401274463,68.428389938415,74.2456565748369,78.2709978587534,67.9776256499192,74.5313619929054,77.4151572365424,76.8212666237671,80.0290577090939,80.4160297302446,60.5912335494133,70.2609628095,70.6001050766274,73.8807310348809,69.6296654649429,67.0828564693472,48.3617003411364,79.4683368163069,77.7108188421539,47.5567452893779
,64.5,59.3305669141123,76.899450149109,74.9192633594696,75.5989764492638,77.8513315551643,80.2592059737306,69.7733985071327,58.8668602793582,75.157024746919,83.0664079768851,76.3269603219799,74.1030915981466,77.2003517937301,78.7250713124608,75.267837538182,76.4575041378532,62.0197096365691,56.2066494716291,74.6933665043223,77.4129651573385,75.1829129346131,63.9659397858495,80.5617250849223,68.4234696293859,62.1251982958497,63.7395547656643,61.5252638421981,64.2746792420808,72.7301839071567,76.7504691805648,72.3135224803732,66.872551513808,65.9550621693743,64.3692821068446,71.6448951131376,74.5365262013331,78.4100052532167,68.6780201570489,77.589797110461,62.9657797235684,72.7455818631611,68.6173223049402,57.9370701279609,63.8100759835013,78.1603720545081,78.6410735167049,72.1643802468373,77.7764863670623,71.8419606001144,79.3195122254615,70.2066480270626,60.5144181341229,63.7422710346409,65.4414905750489,73.2974296080688,76.8249061662548,66.4240425727469,73.0780812223857,76.4509272454236,75.2637106304321,78.155024989981,79.1892244023302,48.5678549785559,58.610946112452,69.83512886519,72.1501444540911,67.8181733268279,65.1105019758063,44.2006172222609,78.9134265040602,77.8655464870642,45.4708738296267
