,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,0.493661780405091,0.476740466742285,-8.98086040705311,-6.98082847304477,-3.65888073240194,-2.27043077947656,-2.63363410083412,-4.702753012833,-9.41241298611021,-8.02048772735725,0.605704896477164,-11.5367158140016,-7.94880785044688,-4.48486105723214,-1.36974425081326,-8.38578111886318,-8.6022519347971,2.66964545750216,13.8964036529205,3.56020203298249,-1.20966397099437,2.42155820736343,1.63398235305704,-6.77992788284018,-14.7475945272904,-6.93237113425585,-6.25742298092928,-9.13240474606573,-0.381182350703966,0.873342086545563,-3.4958934106171,-5.58412351967354,-3.67153444861242,-2.74681753152663,-3.02047813882109,-4.15433510941102,-11.5091756098309,-7.50636022098752,-5.71134153496678,-4.13678656923366,-4.2633579174485,-3.79709836904794,-2.75016971174546,-8.31486638165552,-2.15513368983602,-8.31019537026714,-1.19220701590984,-4.56501144048298,0.644553953623017,-7.06579385894656,0.447323281396621,0.47064161482831,-5.69666624968977,0.815761969426148,-4.14212909601702,1.21164365487039,-0.447171174536379,-7.09197579603506,-7.69980351824461,-4.70403072923591,-1.25676804417344,-4.15190075200917,-4.33146424073993,-4.70034772440067,1.02871214813285,0.179767616807567,6.4802741394742,-1.71429209889357,-5.25403114715709,-3.74024254084179,1.07079708374431,-2.41650567830038,-4.6079553627269,-5.05413747837156,-2.4958363531664,-3.94833877040764,-2.72077775652087,-4.70167218803999,1.00893059241344,-5.72886513486628,3.34326477146851,-0.881005232674852,-5.02133797741453,-3.2518847602114,-19.9276694946966,-1.32125418433725,2.40601430823563,-0.74564364085154
,2,4.27921364839767,4.84384191307163,3.75718971903007,2.90411228917219,5.82756628319703,4.93326862065442,3.52661135354037,1.08280750317181,4.61235317326782,1.17314577101934,3.64480599917033,2.93885551072026,1.71066047728391,2.14035442002796,4.76573053648053,0.223763407432216,3.88190036918832,8.74026084190518,24.4230957181508,7.26110597056049,3.91837150044785,7.12409284825299,9.25822336383771,8.51096453273567,-0.0504573548564622,6.80351506621901,6.52881948085042,7.10729979584858,9.1817722023311,8.2295744020812,8.35522844170782,11.1876636864063,7.14342528218322,5.74970010751122,6.34862367370033,7.02644120398099,-0.597880888275995,-0.659802853211659,2.08904917231848,2.83270759707557,4.91884496838384,8.1467953227916,6.39135357696659,0.365236880313205,3.73139677359313,5.44674271419399,6.3354688289387,7.42384607022677,5.06148219555007,1.9854028176801,8.21498446827218,5.99364910032136,6.00063767283882,7.21391683885849,1.99782275581128,7.99316843401448,6.59361689691423,5.72004954983413,2.57602058514249,6.47800251275112,6.71027908952692,4.23400696756789,8.36017680087343,2.05722384579667,5.51302097423832,3.89960648113492,8.31500011506569,0.718859219166916,2.91337142887051,-4.20203210254613,5.89299463396537,6.52929032554312,1.51263536967826,0.267690653299269,8.17619614290152,2.4351216365535,3.28607537142216,-0.501728431099764,2.491874491006,1.50088615131563,7.05371742402713,9.10057067252001,7.1070129447503,-1.21152986821789,-1.07553810866921,7.47523660857178,7.67415027659354,5.05199267808757
,3,7.25094733092101,5.43465818688037,3.92763032374069,2.55810597619075,17.4347831768978,6.01815347001047,5.03196352562099,5.65066091841709,5.28775444406529,2.18772977112258,5.61010898891254,5.89996130735744,0.655119462482162,1.57995608821511,4.19570717184615,3.69725816329537,4.54919778293697,5.63279364443588,13.3799671621105,2.24697600505397,-1.09059595866711,4.58728500899088,1.09736426846439,6.20521277095395,2.55432321744593,0.986010323490063,3.46960797994234,2.87648673898138,5.79957128156775,2.80711387707242,3.59251030531095,6.6403563282629,5.21808174246507,1.24856274072317,2.47886721040322,5.25138799688057,1.31982760586425,1.41428576229055,3.76187585424213,4.363325784474,4.91160577672326,1.74079201195036,3.58403632803311,2.84241569255619,5.76047583655463,0.432208652804547,1.78549725177709,1.81974329156083,1.52192262155449,3.40550919266434,5.58591798905081,5.52397056242035,5.14451560934594,5.97274735916881,4.54136032689757,3.6837511901208,1.87405623217455,4.43309968209087,7.254361909208,4.82782977415309,1.33403969284564,3.86478066300424,0.434288255600222,3.58658041419267,5.18276044667527,3.96211816390723,2.83662148954681,4.0686212962346,-0.761755032912788,3.10859652391719,3.00235495089782,6.20416272208922,0.997177054764506,2.54796006439619,4.1880959274722,2.81778365379341,1.60754714501127,-0.53940542537066,2.38022788066746,-1.17971579406503,2.32026047180489,7.71445757305992,1.51309603595109,0.0532789111771308,-3.36587853851961,1.39668841945104,4.95978350296264,4.91798758793357
,4,0.267090910846036,2.09340128762733,1.12080041393801,1.74539734886002,-2.39258992603209,0.382518292684836,-0.362131274532203,4.19901244717903,1.49279310812426,2.19980683521999,3.12171908923347,2.52170915721717,2.35926647286124,4.01132834758801,4.51479789036011,2.94482906414169,3.79278997762049,8.81439666022698,8.00358658768573,4.27357297881099,4.43341471074382,4.55966444295427,7.32975178841525,4.35359985954392,-0.659101286390523,2.94569355829026,1.12796336218298,1.4316401182823,2.48968441415172,2.43640153196884,4.76327391910854,5.87799542274797,-1.7450629691084,2.94789694821066,-0.369822731871409,1.6592035745889,-0.139300747432571,0.938087883540902,0.767549844508721,0.290270305782542,2.9826635107238,4.60335347198588,4.38477380240329,2.65041256793029,2.67287533564286,2.8632691674643,3.01277901153753,4.15247561747628,1.56740935674907,0.148881842948867,2.55210453668769,6.87793942386588,1.26367422425665,0.385771035044399,4.1153515187666,3.90735697140053,3.40641648556539,1.56560351338658,0.791189744732492,3.99361372825888,4.02600176100987,5.20076942170908,6.49549978204232,1.86098079000249,2.64049198926477,1.1323673758834,2.91689397394657,2.97787263728515,3.10672383346082,4.38633843021353,1.59878213001002,1.84730016923231,2.2852077300231,0.0651350467028351,2.39175101818182,5.24716127927331,2.71145665207041,0.709428823706276,2.86391735810503,3.20038950493199,2.08595080534406,2.17774260468286,5.40566427292742,2.90515373769495,0.179178569400392,3.06065974783178,4.7761126755654,2.83000333216569
,5,4.60252321376902,1.96555923952519,3.36984563209262,3.59626701471643,0.438182313727339,0.72183678506326,1.0475645881761,-2.13240759426435,2.12296220210783,-2.21047445871545,0.738624406467352,0.146972285717311,6.91868626021869,5.12577523796517,0.901447801064933,2.79955049633327,2.39602554508292,5.66662490052295,66.2284392381089,3.58953344730935,4.54215533465913,0.482971243673546,-2.75037852713967,-0.116754288330867,-1.24806060458286,2.23304267437743,0.287520148949625,2.61394340698871,2.97280019326217,6.35796964586416,2.81741943256748,-0.30584208223172,2.85511236282809,4.97530777778502,2.84839155590635,2.04902482821944,1.08608841561818,7.21286581691083,2.62378165253131,2.50052956925583,4.90854190724485,2.81744359720869,4.3151584199486,3.63627609433797,0.576843561488204,4.27239070217729,3.16885361131426,1.0242494208228,4.19531989998904,0.0252362679016187,5.14444135768508,3.78562532717933,1.86071630883862,2.76315733251886,3.20848891930245,2.30447925269709,2.30758864657446,0.16940556558211,3.2091572292079,3.66736356843239,5.55394889714125,2.38853665844726,1.22597332473333,4.63251169271462,0.423268431864926,-1.42675168869937,3.96432830994854,2.57766489930236,-1.54984041727448,2.25491516118882,2.54584979084984,3.13186741605296,1.91636300960408,3.48484208455466,4.94493712561234,-4.21670903322683,-1.75364331998026,5.97785860991416,0.82495735814291,3.53479318159771,2.70041227769252,1.67111767127199,-1.05832097546045,1.26208382655796,3.78074022956116,3.45455155636409,1.20681631184061,1.64032799454981
,6,1.26983530355574,5.02222000089387,3.68333453990408,3.19469334207406,-2.57457959065596,2.48001613927499,0.496183896995262,0.388002055309698,1.54682188235211,4.98877942473337,-0.975111537934026,1.39263228016853,3.02310188644833,0.610381797920581,2.34751507438887,3.61944477973384,1.12458578792257,-0.920793267331646,-7.3738720972633,2.44514390249242,2.27273599649425,1.09201325431786,2.79493417884532,-0.262020406570173,3.22656961109806,3.17534499605927,6.29052495746691,2.72109957641305,2.50518921795629,0.864846717556702,1.09338857600687,-0.379466994570976,3.87714862878329,5.33953618477108,1.3279327128389,3.40782399010322,3.08669285517453,5.03195345256245,1.90536698661617,1.49940463799521,2.27826682648174,3.46197891441898,-0.104559440943831,0.949535874385674,1.03055054808692,-2.15662957159384,2.74920394940045,2.60246920655391,3.10685495931193,3.49115054983849,2.0427162432884,1.3923370174989,1.92043981606366,0.628123752956071,-1.04689780667604,1.23932543280989,2.39874879314766,0.0418460676933137,-0.115838473335316,-2.40565611321426,-0.37993745767335,-2.85830263323669,3.24948749083296,-1.87031213557475,2.64932666235654,-0.149994442088428,2.78850020132131,0.984695685307543,6.51916310803699,2.09001297182886,4.58962293400964,1.58190273038235,2.85294967345226,1.79691567017471,1.09914625872398,-0.374133030593384,2.1706255099084,1.50429631889256,0.687085182551073,2.47941949620099,4.76710689961783,0.133837006125759,0.876834363809394,1.49139831745151,3.84425541218297,2.71612158872176,2.36138865195198,-2.72408398520884
,7,1.15046706527073,1.22754863783257,1.87587076841282,3.55485148016351,-3.48806346915035,2.84417033823956,3.57483030607909,-0.179169577860648,3.6922682384552,7.00998737622103,4.38771056509768,4.59369529563173,3.49698184264753,3.68182060210529,0.804215565792674,0.0737147980039481,-0.967070630521448,1.08390415884878,17.2081743551812,2.84240110490009,1.11137968749927,0.307886147918452,-0.163125423324345,3.91029184005265,3.92954068635299,0.190406640842866,3.125258794817,3.33626258693039,-0.124080236273585,-0.27120459555681,1.19005099667993,0.281941181824095,3.27814112998476,1.38374174295905,2.09184670344712,3.60672556525515,2.87400482548219,1.47406486566433,3.99397466854271,3.52894054266289,-0.874389651187812,0.833883680186773,-3.70601883567315,0.676459178332607,-0.62759038556851,3.27082486202653,2.70477191959844,-0.785282006193484,1.3468834338023,3.96691817484407,4.29456493552698,1.87097763379506,1.71872645824351,-2.31187078860785,0.14814287045192,1.3263573054769,3.66810200616465,4.72880823008518,-0.67468435012006,4.08447718715161,2.82162529961715,0.729450441264817,3.82995731990559,1.14291121693668,3.36079385107041,4.17187900292583,-2.74973045310662,1.22247948516724,5.28814675046806,2.18820068132254,-0.870210501090696,3.01749960065672,3.25468827925488,2.90432827137329,5.48699388570276,4.61229082010686,3.82259861706143,2.26954708505309,4.16092702039077,2.54424719764211,2.30826553600946,2.5138097951899,1.49923158644651,3.70246652656306,4.5357362311679,1.87798180251184,1.76604197878669,1.30599512505978
,8,-0.247940298249432,0.0279932961111626,-0.726808938296472,-0.171677717626608,-2.74499052335068,-1.04160578552319,3.29124383352064,0.755839792911047,-4.0375087391335,3.56427085705991,3.15530281235215,-2.28278762484297,0.0333922688550956,-0.0350393330390943,-0.694040406111526,-2.06839354985323,2.89447313697701,-0.789729113238081,-1.75161459225592,0.0625777139493948,0.267559904439622,0.053785318980772,1.43617591404063,-1.0241362154029,0.906575253489336,2.00399030790004,3.08408086152713,-2.59946494159021,-1.10401493172958,1.52327748910284,0.130077917513518,-1.90791000418994,0.855295339613349,-1.35641850934144,2.67183816100533,1.78208827215758,1.84818509105571,1.12835074593704,-1.8391445980451,0.130529165107419,-2.63916701185644,2.98795912440437,1.62358797839352,0.596140737556198,2.54431239313863,5.46184660383187,-0.35736503402768,0.256578031088338,0.986131488392857,-2.37456458234101,-1.28554026419533,-1.34996083393571,-1.00339212765402,0.640393678482269,-1.16481315668898,0.30349639989663,0.821958795115734,2.08027941383079,0.189574683944556,-0.975880152286663,-2.05437239117691,-1.26074746091354,-3.72994439202421,1.81244069553486,0.924052036498324,1.45625870047297,1.03085683744848,-1.37639443495027,0.427847260972158,-3.40557277324433,1.17972386605152,0.491570218628112,3.29519476069027,-0.563143568331725,0.838336635734322,2.70600920121069,-3.50997882651018,0.896445714074616,-0.783459682922512,4.03973995021533,-0.147719668690115,-1.68901455292371,1.07362921539425,0.791351825050242,0.70573889532443,-0.407980769364258,-0.209362626238544,1.19017546443501
,9,-3.70310586685446,-3.15905719579041,-2.4849012010468,2.4870126314263,-2.24063497259885,3.07552413739495,1.89826803994492,1.71113486579316,-1.05450559825249,-0.564378421837773,-3.4228698712709,-2.18281316613457,-3.01977872680891,2.52158715921723,1.31144236149612,0.783030519785825,-3.01546328811583,-1.4955842105569,-11.558596773752,-4.22908911501645,0.400847833683656,0.436635269340059,1.8264365391633,-4.07469149187136,1.42823462681281,1.84953163731325,-1.93353063638006,-0.962601056370204,-2.32162519781741,-3.28211691019305,-2.75253784007418,-2.44647254361735,-4.29229178198739,0.174021444087884,-0.837633555476259,-6.49126301200067,0.582010037926011,1.27437887429369,0.350384872068389,0.296570016435453,-1.7106085272685,0.634213801077294,1.56877804736814,0.579261686612426,-1.3858342199037,-0.124855407689211,-0.660752568617681,-1.4320545581445,1.01315778721664,3.76753452952471,-2.37082764249726,-2.50072856841552,0.752805101284594,-0.295697347857185,0.411554725962105,2.45645769800785,0.540884843275308,-0.816743402332122,-1.14838529969984,-1.64006351169428,0.265519527429205,4.66168486940933,-0.709452541809242,1.22799392196248,0.118089389315173,6.46128812407233,-0.0320484919584487,-1.46704575656804,-0.355134973825898,-2.59694907786388,0.423087928002587,-2.39924845622954,-1.6599368417551,0.00155928281810702,-4.94600261315145,-2.05975260125115,0.448687382735898,3.64741091535871,2.40968950647402,2.35854551235161,2.07981744756489,-4.91795774936691,-1.23562045858716,0.447896114097603,6.65984332636799,1.13489769452644,-0.942494202354283,0.489887284958513
,10,-2.46549295417208,-5.3626312557617,-2.00520343124072,-5.95190961485287,-3.03651171173033,-2.7287651462143,-5.82769231725888,-3.8915726312789,0.85899502430857,-5.04276468895705,-2.04113942950107,-5.03386131109983,-1.17859196399013,-4.3484358859032,-2.470803221408,-2.16948240830834,-2.79586992992881,-7.0476376836391,-33.65309748767,-2.79059807347721,-0.978032333243846,-0.230884959881223,-1.0287633876269,-0.877233149013591,3.05472542409234,0.788676907299305,-3.75853536005752,-1.67248311201092,-2.61325758079329,0.826305520879032,-5.37153423294922,-0.611098695685087,-1.99146460464181,-5.40010093833507,2.50326821866975,-1.31214341620307,0.398109293070775,2.6583119120296,-2.81180588049301,-3.57151734958052,-2.125259123055,-1.49038925152854,-1.61858310308253,-1.47472372174298,-0.894416140284193,-0.125557013294383,-2.88598446665492,1.37719423319231,-0.921523489490937,-1.88171562387561,-5.68883048849148,1.11071987628566,-2.66916786669117,0.282567123261742,-3.30204193408417,-1.9443717185718,-5.24268824984847,-1.43315441148934,-1.81312370093474,-4.43141657845945,0.663321604345128,-1.41773562533535,-1.64426853039549,-0.287868122997224,-0.461529342551785,-1.21097756733298,0.609894914191045,-1.44118718491291,-2.17880443794138,-0.402999992243622,-1.11546467880498,-2.53979803678703,-0.901252685687268,5.17519765290217,-4.26076839238476,-0.215618725821969,1.37364305342544,-0.724344906317128,-1.01652186692945,-8.25999621172696,-3.37132837318268,-3.00610856619369,1.11653401186641,2.09007422377226,2.02021147590312,2.74566323782528,-2.94596692665436,-0.56495612217077
