,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,STD1,17.7086505224611,300000000000
,A02,SYBR,,Std-01,STD1,17.4904109459591,300000000000
,A03,SYBR,,Unkn-01,12.4_B,19.1909027914243,129324412529.788
,A04,SYBR,,Unkn-01,12.4_B,19.1324074567835,134224863295.779
,A05,SYBR,,Unkn-09,5.1_B,18.9340208765107,152269853253.245
,A06,SYBR,,Unkn-09,5.1_B,18.9317429310333,152490554520.413
,A07,SYBR,,Unkn-17,7.4_C,18.8190975227819,163812858432.375
,A08,SYBR,,Unkn-17,7.4_C,18.8004209050441,165769721365.797
,A09,SYBR,,Unkn-25,9.1_B,18.6903060016431,177791706319.394
,A10,SYBR,,Unkn-25,9.1_B,18.673899276304,179656082802.675
,B01,SYBR,,Std-02,STD2,21.9493930215434,30000000000
,B02,SYBR,,Std-02,STD2,21.5119607008703,30000000000
,B03,SYBR,,Unkn-02,11.1_D,19.1228275028181,135044936759.154
,B04,SYBR,,Unkn-02,11.1_D,19.304499995814,120313025383.383
,B07,SYBR,,Unkn-18,11.1_C,18.5149313635704,198764176851.789
,B08,SYBR,,Unkn-18,11.1_C,18.5104020359003,199337408789.616
,B09,SYBR,,Unkn-26,17.4_B,18.8357083268429,162091860695.643
,B10,SYBR,,Unkn-26,17.4_B,18.6682938520629,180297525093.82
,C01,SYBR,,Std-03,STD3,25.5434159963489,3000000000
,C02,SYBR,,Std-03,STD3,25.318026280478,3000000000
,C03,SYBR,,Unkn-03,10.6_C,18.3799672122965,216573884910.592
,C04,SYBR,,Unkn-03,10.6_C,18.8308391348677,162594461959.955
,C07,SYBR,,Unkn-19,9.6_B,18.7005202913647,176640791419.381
,C08,SYBR,,Unkn-19,9.6_B,18.5948658718811,188914637093.711
,C09,SYBR,,Unkn-27,6.5_A,18.5347015816821,196281296092.784
,C10,SYBR,,Unkn-27,6.5_A,18.4980205117815,200912865720.329
,C11,SYBR,,Unkn-35,13.3_C,18.4226003985691,210782078988.569
,C12,SYBR,,Unkn-35,13.3_C,18.4718346046238,204285962514.751
,D01,SYBR,,Std-04,STD4,28.6240761907323,300000000
,D02,SYBR,,Std-04,STD4,28.2512984333467,300000000
,D03,SYBR,,Unkn-04,7.3_C,18.671745494511,179902274868.81
,D04,SYBR,,Unkn-04,7.3_C,18.6422546899091,183307409983.266
,D05,SYBR,,Unkn-12,11.2_B,18.0922821936654,260043041113.549
,D06,SYBR,,Unkn-12,11.2_B,18.1608241134669,248953704322.036
,D07,SYBR,,Unkn-20,11.4_D,18.9486557403907,150859536611.164
,D08,SYBR,,Unkn-20,11.4_D,19.0122954346273,144877114982.643
,D09,SYBR,,Unkn-28,3.3_A,18.8551545979917,160100048139.688
,D10,SYBR,,Unkn-28,3.3_A,18.8829427382182,157296209492.23
,D11,SYBR,,Unkn-36,9.6_A,18.7720957358959,168782223506.488
,D12,SYBR,,Unkn-36,9.6_A,19.2917153524415,121295000799.938
,E05,SYBR,,Unkn-13,6.3_B,18.4081036590852,212733900465.059
,E06,SYBR,,Unkn-13,6.3_B,18.3476406462762,221071367984.993
,E07,SYBR,,Unkn-21,7.3_D,18.5877373453263,189772826180.639
,E08,SYBR,,Unkn-21,7.3_D,18.5854642669711,190047296464.964
,E09,SYBR,,Unkn-29,17.4_A,18.7981853043978,166005519931.261
,E10,SYBR,,Unkn-29,17.4_A,18.7342257705095,172895554826.638
,E11,SYBR,,Unkn-37,8.1_D,18.7812450198667,167803220007.597
,E12,SYBR,,Unkn-37,8.1_D,19.0202499911275,144146226707.899
,F03,SYBR,,Unkn-06,3.4_B,18.2550281255457,234480004932.118
,F04,SYBR,,Unkn-06,3.4_B,18.2531000460362,234767632170.07
