,Cycle,A1,A2,A7,A8,A9,A10,A11,A12,B1,B2,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C11,C12,D1,D2,D3,D4,D5,D6,D11,D12,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H9,H10,H11,H12
,1,-18.7921634375548,-19.7751992065837,-20.3468512754162,-24.988303119887,-24.3054950951978,-22.6777903017428,-18.9295564050562,-23.3469949159144,-26.0700476834613,-12.2221316923924,-18.0017326463026,-15.9507827864022,-20.774772545687,-20.4732564731025,-27.2259051250189,-19.6393727335408,-9.00557701112302,-16.9253670499497,-20.0998777943942,-20.1847532887791,-18.0711042457297,-8.76433307790649,-21.1508641720802,-27.0980890484088,-11.8064534036007,-5.40568324494916,-14.3359164058647,-12.4698965217904,-10.3655905023938,-15.0655585865352,-6.45548676611497,1.98968142179456,-7.6283328029258,-10.1523306807699,-13.5527379457822,-12.4055034690905,-4.03452246185907,-3.14157125661131,-5.87014817296449,-9.65965362790985,-10.5354888777356,-5.30664449501046,2.96786714028804,-6.23081683699911,-1.84405274453593,-4.13342084491387,0.395800279418381,-6.41179041732494,-10.3124584083084,-10.3825876171136,-7.41788345561599,-4.70825034225527,2.76922878398454,-4.72050038721682,-25.5730796479265,-34.3072802091524,16.6404958842709,-1.78908534609764,-10.6634056990329,-9.04788751620754,0.444697652959803,3.89521146819561,-6.71456029791489,-12.9192964067352,4.27384522709826,4.67275425409434,4.64815127256315,2.94344670027704,-20.0844813966387,-0.322650988214264,0.0557559869271245,-3.07219113146857
,2,1.71272522904519,1.90022600293241,1.82374845396225,3.16944746041372,1.95871831833483,3.15346187241812,0.82723252222786,-0.511370074996194,-2.98150582313383,2.69666362971793,8.29487470699087,7.55041624179876,0.462920469920391,4.68920157753655,-5.52347762325417,3.58099990996197,5.32676645014226,-0.312234451147106,0.816839765982422,0.0970696373497049,-2.76013304427579,4.87977205980133,0.494486939501712,-5.87186616538202,5.6804826193079,3.62540078944767,-7.1209470733188,-5.61806035177369,6.2768405644083,-4.36815916116484,6.02843814572861,4.45859517790996,6.93717689373898,-1.65141783466606,2.12979694055002,-0.261528649930369,10.1122574090136,9.21117395257852,7.76582489680595,-0.144151660936132,-2.03331763665756,6.91024128577556,6.85182232635862,4.9763373427395,9.88616026181126,9.6383765219266,7.51880415510959,6.94537872172987,0.522208781545942,-1.40422689874413,7.10551414058455,5.5138007180517,8.64629333415314,-1.976855891181,47.5314440335469,-18.9050467043053,19.929160791959,4.38782312250214,-5.07884052690315,-1.69540969952413,9.14292278609173,8.46162114595882,-3.5220075770103,-7.58362888726015,3.07833387777373,1.87055936484785,3.99955710246104,1.43378790633869,-13.8640138870396,0.211892538381562,2.20427571884102,4.37065491445946
,3,5.60413262110251,4.09960645788487,-0.118828642913741,6.5918753752735,7.50519319123305,4.37109524268953,1.85051716047337,5.73469773372517,2.15793166858157,4.03711035931428,4.23145792831247,5.65578195001626,4.71768601955409,4.38598598517365,1.71170647670033,4.78137290319819,6.06813970100484,1.01131772552253,2.03974555683862,2.61781177605053,3.40905339264282,5.26613378060756,2.62627102308397,-1.67601730242814,3.75762153242886,4.84678767430523,-4.38953464560927,-3.637404325445,1.97930681575599,2.96356094160228,3.92015750744258,1.48038593456931,0.851563555811936,3.47863445431403,1.85323059748907,2.03917046466495,7.0049142092812,7.10008044179995,3.76291121940358,3.43756610829178,2.08253752975452,4.75561219084102,5.87419965343997,2.31883223732711,5.06146356806994,6.70328493518446,6.62130089064385,6.04956766960231,5.38971823948759,8.92937607747717,4.29311808562761,9.24804155183665,3.9684080697657,7.26342132262926,-18.1338631275003,-3.24792402714456,12.1510401364753,3.48390653221259,0.000177970344793721,3.57247405172075,3.16026578833407,3.8987268988767,-2.42937103881468,-4.86041471498447,7.8431147594606,2.88795166463387,1.01488690118185,3.23174458406993,-1.62204385470341,2.2935276628441,4.9414878334851,2.18075476505737
,4,2.36423790436447,4.65970986137563,6.1461155533184,3.20100294332951,3.28607433721754,2.24819484563022,5.07235780430119,6.52503600460568,4.1990475412349,3.55693940767242,7.31023546310007,3.34421824244782,4.83543472394831,2.78500160485601,2.77806274932573,1.1010408951679,3.24557358878474,0.862021097580964,1.82110141946396,1.02112162863887,-1.1840115490636,3.65641013482764,1.35750565120952,1.89062756862177,4.48320451708923,2.2150622314557,-3.06145507727751,-1.18811972413141,6.65937539980087,2.17620402479315,7.15857054680873,8.92635301089103,2.27347202042438,3.41619742373632,2.32968797184003,0.932606856666098,2.93397104585711,4.76125616521995,8.44645856193392,7.4630554181249,5.91441505012745,4.85920040273822,6.45178364401363,5.93452228465048,3.74409138843566,1.38395613377543,2.09483790394916,0.430138688706847,3.09203988871241,3.94004341610889,7.56803570229613,0.27792900867189,13.0887789597905,4.69021497435961,17.5143014778528,11.2196320582966,3.44338969266937,0.85664835565558,1.70512493722435,3.60828766772465,4.6068295782884,8.75639654750239,-1.59989338236346,-2.56649878917688,4.06792077162618,1.50883875876889,4.24942866339597,-1.38584676416076,1.11294483403981,0.757235825096359,4.31869079685475,3.00245908781017
,5,-1.42300246318928,2.34556913913411,6.63854937909764,0.434037306624305,-0.483991673100263,3.63569111538891,2.09113950155233,1.76728359197386,3.40308051924558,0.100610607602448,2.603703680546,1.0891945756257,0.436410017397975,4.38931103190998,4.82010333085054,3.02755343169474,3.29738531142812,7.2408255501964,1.49310017992912,-0.523404217725783,4.73581624652434,6.6759870895703,0.930693548889849,3.02096266255558,6.07927414493952,1.65811940175945,-5.10967123722867,-4.63488901052915,3.0229888509466,0.716688272688771,2.02209931593143,6.55610523284213,4.35407557955659,1.98967189144651,1.84299553984829,5.38146822942554,2.01903215824814,0.119283327068388,3.03217347455484,0.503359690388606,2.49186600651274,3.9644102677621,-0.49300275666883,3.13409055009424,3.37899587123457,-0.796765841348133,1.36618830600901,1.74967878529378,-0.0457955022957321,2.50752574405396,2.00050044811951,6.00667359245563,5.96207387952882,1.19269703390773,16.3748925543296,7.05679461324917,-0.119351828158415,2.09276797289976,-0.058901616687308,1.60825859686292,3.85147791129975,3.90499516396312,-2.49947135633238,-3.73003466600403,-2.97368093526484,2.55148201773318,2.82991003795723,1.11358844029201,0.89636827531649,3.86236442029349,5.17667547221618,1.79270212609481
,6,-0.581761534681846,-0.528120269646024,0.306591276455947,-0.396179260299505,1.28542919297024,2.15288133432068,1.12121343163062,0.51312777505882,-1.71555118079959,-1.39057779891618,-2.50445226133934,-1.20964911247847,-0.775998123431236,-2.72968297650959,3.54981799245161,3.26405415031604,-1.39600457202414,1.84820591724247,1.62603178469908,5.81942820759923,-1.1107477482301,4.30753531681376,3.03561403227786,7.18747429589712,-1.07419678505721,3.51328092423773,0.881097369594499,4.21981962304744,5.23604321572293,-0.894189482592537,0.41332764181152,0.912966813584262,4.88424136756612,1.20190739710733,2.79382966115145,-0.339568183376741,1.86294294644495,2.7854529997785,3.02330183771574,7.20827417813916,0.587084576490724,-0.0315317582662829,3.1143140532763,2.99970060941178,-2.88856361080934,6.37085932270247,-4.19898470145699,-0.789888952007459,0.852221078966068,0.180636425686316,2.33513083090156,2.98395707240843,1.88606267752175,1.74126959345995,3.59202443414279,-0.206678042964086,1.05597377586264,3.31298598430567,3.26717347085832,2.36212627338591,5.93498987679732,5.2128587006473,-2.48940954453474,3.61444094107082,3.5163136645906,1.2395997143135,2.4049554812791,4.434594000365,5.45503999946686,3.48932663796404,1.01491383429993,2.81516509408584
,7,2.47223778660918,1.90187342566696,4.8822307622986,0.705673568162638,3.81020735453558,2.35278500551749,0.380053446416696,3.0678384166863,2.52240122232843,1.7299488493536,4.83026253850039,4.82200339561405,3.19710469507709,4.03407721128951,3.48363064035857,4.84789674183594,2.47608498989712,3.013806998973,8.37528454124413,1.51929245592737,3.42396803069732,-1.57023007390808,6.01865902283271,2.51619609783438,0.0608159079515644,-0.377479805204985,8.90624248541508,1.84129106167893,4.11309121545992,6.91701268957195,7.19484534944786,1.47257439225586,1.34141135265918,-0.57219623893161,3.15329060414479,4.62015114970973,3.8809204290319,6.50635762581851,3.25682899989306,2.55049244784959,2.45608158260393,2.71519405719209,2.64164383180196,4.88268318567089,4.54271966502711,-0.668174806557545,4.09188364176953,4.97973986785519,7.43056944320051,3.69130748846055,2.55783806650288,-2.08438369620717,3.85365245038747,0.917364747072043,0.521327611359084,-2.29260363366939,0.261294971051484,2.82878258875098,7.62157560619426,1.8405599070029,1.77046385366657,0.795102414547728,3.06330111528814,0.268028922273061,3.14549328739622,4.54807436705414,3.76483216337465,4.9663911265111,9.38214548372071,3.6105769546748,3.39023443280212,2.52711910774178
,8,1.67654276551275,1.53582670290643,0.064766274527301,0.477035450745916,1.59489466550849,3.70993605929652,0.483457029245074,0.45885411462541,-0.712334310439473,-0.0687132804782777,-0.705763233507696,0.365387420435582,1.45722844954435,0.44532855595844,-1.89025440944351,-1.19707279902514,-4.01908101808249,-1.77470146115229,-1.16050924173805,4.28513781053243,2.45375353347481,-0.570130538895683,0.0156987379950806,-0.133427560231212,-1.84314764448209,-1.37545346938168,1.53394728369767,1.86989936714781,-0.887743515173497,2.89257171944473,-3.93571216345617,-3.06489608525408,0.232591867683823,3.45497324405642,-2.76145819901649,3.58605196690678,6.67118995007877,-0.174437082549048,0.792113527213587,-1.16131471743302,1.47613680092445,-0.0392153565044282,-3.56114909961298,1.18856519965811,0.777614860609447,1.311590950967,-0.827095089814065,-0.928576851815706,-0.526852283871904,3.96173241335146,0.595437585114269,1.98609920235003,-8.54187086874163,0.303795597541466,32.9481964698525,-1.92223211752207,1.45368644912105,2.88783446870912,2.0639414665502,4.16487714338882,5.91457702996513,-0.345874342243405,2.36575504477878,5.14903539916759,3.9471236820973,1.18542226126647,0.146654571585259,2.1965837245325,6.79959975852034,2.5047008946508,4.31546163317353,-2.05130559579084
,9,2.54578317083087,0.00789529535040856,0.380834238255829,4.40453115689616,-0.711857598744245,3.66256851694425,0.674500513501243,-4.50660268394404,2.80500156970538,7.11687174602412,1.68744977257757,1.87812050999264,-0.775966876432449,2.87309489454083,0.838675047227753,2.9156271434349,0.222592431483008,-0.44844200925354,4.58038887768498,5.01775911793357,2.93871923237793,-6.00131302995851,1.19901740679825,-1.08598868496847,2.27999856052475,-2.38081572352303,9.94017482887739,5.61260376571636,-4.56609670296893,0.855971551777202,0.00178248489783073,-1.72881780826856,3.9009964698007,-1.66408956458963,4.27841753328994,-1.19267278558573,-4.0172161232681,-3.90093430302204,0.787003841276601,-3.61157521017185,-1.74311593836228,-3.97377884556317,-2.5058795338191,-1.27167851409786,-1.14612938141727,0.49586412624376,-1.38934053216553,3.15652580884762,3.21680059349274,-0.463718134252304,0.20258582308179,-3.64636743929623,-2.73200005137642,-5.73866160278885,-16.413107802905,-2.44315339453169,0.868310375832607,3.20591872834393,1.39941228041698,-1.80467553063818,-1.481672828093,-3.69422875675536,7.13207485807561,6.0389447373359,3.21020720106708,3.02695525003719,5.18311541220783,4.20706622549551,5.02855202741921,2.67536961451378,-2.22436280672991,2.45879905293623
,10,3.98851059045001,-0.672930370125869,-0.103103720589843,0.196073864019581,1.84516172774329,0.85553246032805,0.755465628120874,-4.54230815751771,2.97024933711828,1.96599816500202,-1.01838952208618,-1.32164805660932,3.39712612007088,2.19404677692864,4.21956201217063,-0.405101885454314,0.568790425791576,-1.48112006014571,4.57345449008972,6.57974268568569,-0.856790784177974,-4.28326915001708,3.04484689328319,1.56237237339337,-3.72002129682323,0.130903764832965,3.99813715366281,5.29624414606224,-3.81351673904692,0.261005748935531,-2.03490748331296,-0.652287510921269,-1.30318242233579,-0.943504661918723,-1.3639010360921,-4.22488079934465,-2.93417379413268,-1.31650805108711,-5.84705685330118,-4.70341581176763,-4.51058072680507,-2.34338977796506,-5.23441882409497,-6.01466155337312,-7.03676804303359,-6.13868227471858,-3.99871693499335,-0.049590687316595,-2.6433548870159,-3.91811378954526,-4.65553551436733,-5.76171094068786,-15.0254311786894,-4.49081376951835,-16.5347441030103,-9.98630765663074,-7.54411008951183,-5.78096733727625,-3.38191477737382,-7.10194919095284,-5.6668883287316,-6.99606074068788,-7.45212966826239,-4.02164877032237,-11.5441191961572,-5.39846022371012,-5.3003658155867,-6.99313084082678,-1.87802913037558,-3.34169585015252,-7.05890289335093,-2.54435153093345
