,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-3.63478403808904,0.836881065234593,-7.00751461378559,-10.9819700272492,-7.34207504567394,-3.5930843297715,-7.70029522937739,-0.794211647214979,-1.39085213881208,-12.3949085684517,-4.62454586970125,-1.62291400349795,-13.3997775367966,-5.4331998249927,-3.101980166472,-5.48374683850489,-7.35138944305163,-4.37787190271274,3.59467024535479,-4.20727845336296,-0.123274842407682,4.62507905473467,-10.5064191030601,-4.26154189939007,-7.59426510587036,-2.73323051288662,-4.40886398492876,-10.2163684803427,1.99137880256831,-3.70351867021736,-3.82439298449754,-4.90879651745308,-5.38748026433086,-6.45674492395983,-12.2912607711796,-0.872506143757164,-5.30280400011679,-4.16478779332965,-7.79531895631999,-7.20396802160667,-7.39586561006035,-5.37329804652791,-12.8102865944106,-7.57522749573673,-9.15987025594268,-9.89921537057171,-6.21052173151247,-7.92403949314576,-4.28428897503045,-0.340326470612126,-0.458973518754192,-10.1435600210857,-5.00415012085477,-1.07609746004164,-0.586031450236533,-10.8021053427183,-12.9309516693461,3.84356402833509,-1.26344134837245,-2.44037853373493,-3.87617567655843,-8.20200048097013,-7.88772648639224,1.58025690766544,0.562564956110691,-1.55558083384494,-4.34686353899906,-7.70718394842015,3.33782371834513,-3.308885746334,3.48176636021208,-3.87696829796505,-4.99370576396404,-6.34504076523035,0.0668655961148943,-1.15351414732368,1.46039022544028,0.450519765401623,-28.0964880238698,-1.78405579976607,-0.823242340897195,8.86674994248142
,2,7.08226901298212,4.70350280392449,-0.900504927405109,-2.24842196293548,1.0702480271425,-3.57108696397108,-0.847280224094447,4.34647335173622,1.9333139090736,-3.52918445519617,9.99417427170783,2.81685855571732,3.10645110964197,3.5564792119535,7.53659548667747,3.79429133502754,2.72069426270218,2.05927763422187,5.02088770383216,1.33283757878235,3.46595969524151,3.08019800133343,0.767113605185841,1.96169221060109,-1.40937119101818,-2.8748442514916,3.99006299736038,-2.36757822184836,-0.336872285843128,2.97876375198757,-2.23273368672108,1.12822275342978,2.36724832264872,3.74909262744904,-5.1633896815847,1.37049416278933,-2.25819932019613,-1.89034236714906,1.83158459759943,-5.90956846510062,0.270812085224861,0.209736940182211,-5.14201194620364,-7.37387204271545,1.47521004995679,-11.3254693048016,-3.31705579174559,-2.73004554693671,-3.13415555079882,-2.37031476878519,2.10905006720122,-1.35597478002273,-3.1209830252983,-2.93953471530858,3.66839832757978,-1.41552361068898,-4.47459854199678,7.19740070746366,-1.29398831048729,-0.373848665260994,0.49107980012559,-5.99454516029027,-4.25250338629348,-3.28001853653814,-0.686171426047167,-4.21371656895826,-2.28372678152755,-0.76932945021872,-1.85251516989183,-4.25539005563132,6.5297214303755,-1.52499980165885,-2.22057826900846,-4.10522752403949,1.2698119049619,3.2336635407969,-3.29538984576629,-1.47421248918363,-20.2670032337919,0.508469269894704,-1.85768746975327,9.26937473298403
,3,-0.546661136017065,3.39544052658584,0.642334659905828,-1.43780360112032,1.3909633156577,-4.90268500097272,0.899990804343815,-0.265697614164765,1.47729929181924,-3.69439540167468,9.26878442211046,7.13730679133278,2.24491189749415,1.81108348345651,5.05483288625146,3.21934427174119,3.56584990648298,2.42628068927343,3.99359547848599,-0.79611404830257,0.540580819124443,1.02824907030117,2.61833292214033,3.98730138318479,4.78725733853389,6.5611136245725,5.80607964277715,2.1986121163709,8.55153998518517,5.21320918466063,4.29821564321446,7.1715686433181,3.53908529480032,5.73284260179707,5.77552446800655,7.0131019899386,3.73536885780914,7.14357951887996,6.4540088021904,6.10480411447725,6.32219462376042,7.93829622693147,4.48447378856099,5.934058052816,9.05024488520849,4.87033085076246,6.70651384259054,5.95086807095277,5.65396315409043,4.96080421882016,1.13447799615005,3.15742500939768,5.13807101747443,4.54785130883647,3.38486925714278,4.03034696170334,6.04046570203445,7.81451574510947,3.37171721644063,7.81130951440764,6.40233184467479,4.29963992212697,3.77169479663417,4.88880783003378,7.45382493131228,4.34395672109304,6.51360048990637,3.01473975052022,9.99196315524523,4.20399984001187,7.69718378442985,3.38015408668116,1.05324704061741,4.07948977850992,8.60733067974797,10.5195911780147,4.85669754318815,8.71627695292909,-1.40825879894874,6.75895084341573,7.31865003955272,10.8252955606476
,4,9.20982908742099,6.77204961136476,5.87431752603652,1.9576710210381,3.8753814708889,6.00935830654635,3.37912518172288,9.45188691210114,2.71102776728139,6.27177822053727,6.3041127718252,5.79644573207361,4.95023483560817,5.70913139782124,6.61816586465739,4.65198825067273,7.77933212357721,6.41401806142358,7.22880879168679,4.16990655025484,5.36122090252911,6.44894104316199,7.37878601051307,6.38994859746435,3.23288458030083,4.61492862418027,5.74059209484813,4.27493477823555,4.82475209890799,7.14986207895618,3.11837081153499,3.82446552522788,4.8501618819746,4.84498077618218,4.3382911026074,5.69467026898565,8.23609847821626,1.62637739295906,5.69250237434153,7.2086989895306,2.94382988967254,3.44815690460655,4.2002148336187,3.94006755603232,4.56786712803432,3.30170148003754,5.57037143804655,4.3889292001204,5.71792658321738,4.0859371240681,6.53365573825204,1.45004764201576,7.86478694026391,5.65044705628361,8.16522225275367,6.98179957065759,3.68106571538419,10.5244002209042,5.16267951983082,4.89405698503742,6.3490259272221,5.62215839319015,5.42365869335981,7.98358725365642,4.53142839796601,4.38168966390185,2.94300494949721,4.77025987388151,6.77359478172002,7.77342771793656,2.91432400715075,0.429449310858217,5.21219366822606,2.9491378675757,7.06568636692464,6.48625824969076,2.6571643420948,2.22650666724303,1.80948811045255,0.988306682118036,5.43529946314766,7.81302413790036
,5,3.70425516243949,6.70386891387579,5.45201942970516,5.35007634629528,4.83185656476826,4.88835870001049,5.39360788218391,6.04017716599492,6.04314886939119,1.95784464557119,5.37050132875129,3.74013010547651,5.59837730117488,3.63578843559799,1.9645689125814,6.20112120052454,4.75984974050743,3.80860047735814,9.73620563879285,3.29306478765011,5.25574347605152,4.00812860447513,2.61935123904641,5.06895236541413,7.32253407607959,6.27633055283422,3.05515488284072,4.70342678455154,2.80910271133916,5.47835956000563,5.74529074468546,5.43361669914975,2.78565811752878,0.458059972667797,2.94747782236345,2.79046334084023,7.08018771614888,2.83734361627285,1.86665590343819,4.45036004695157,2.66947280635395,5.94502258292687,3.35790299271275,5.3674874889366,2.40521335152789,6.4246926663468,2.61346054012256,4.77918079122082,-0.452198350119943,-0.242539322933226,4.37436375193329,4.36471326706169,3.3679196761509,4.75637182865239,2.10537712855603,3.62737970038461,2.29611227650912,6.19300982787354,3.8503156342631,1.85279096931981,2.92831162308221,5.9980626617471,3.82837938154626,7.4800845767686,3.33146818563455,4.442576308752,3.58719028336782,3.43567264894045,4.02932353531605,5.91251160675438,4.88579893299811,5.360130522286,5.26681993303055,4.32504059232951,0.51759470151319,-0.746145872801208,1.62127403747718,3.39740075336385,3.97959821918448,4.26564283614698,2.17059877274687,3.03888333911982
,6,4.54320672045924,6.05157730947303,4.00107222823772,7.84294660711384,4.75606161039968,7.8048422411639,8.08444868823517,6.50638242498371,7.40610286270112,4.662173503129,2.77957702850836,1.66907014547269,3.15474089052077,5.12722023382366,5.3079574838448,1.45094146201018,2.49652641310513,4.92428484082029,6.91399016278365,7.0134253809274,8.07268222726361,4.32463447953387,3.38408129821073,8.71991283743137,4.22597636607816,7.25323313786203,3.53895621770471,8.58730541251089,1.26365660164629,1.15921881086797,3.14055313143808,1.13722785723758,5.69429231784534,5.89929351668889,6.55234051205071,0.762455687286547,7.79043866331085,5.82478730916773,3.4261697702841,4.27496074894589,3.44760969765093,1.51135726837674,6.67870167829369,0.859440334284955,4.67988621094173,3.97148955257353,2.64067732148351,5.46599961952279,4.16369879098011,4.28939652385952,2.45861783610735,4.66944462688343,4.42076829008693,6.64284834622958,5.23075057816095,3.19368967845094,4.61743629124976,5.24228905450673,1.8512977405212,2.93481553560378,3.39272909876763,4.1595469949184,2.3296409993618,5.86355020332167,4.12131349241281,5.20007882902655,5.35290019723288,4.35443425701897,3.50227917769053,2.5990806853315,4.09689268496368,3.98202011991998,1.83096072419539,4.51350731753701,2.49091052256335,4.54624780410404,8.54522908006584,-1.01779769314271,7.52424121680815,2.5898438734157,0.567463027588474,1.60404567326532
,7,-1.73394875764598,2.1261758224764,2.58238712750153,5.65322811514761,2.95020005317656,2.77502662062943,-1.14498894385997,-1.20955598678029,-0.210525443455026,1.66392000939413,-0.180079197614305,2.15505621590955,2.65158618819896,-0.734721528999216,4.21165956086634,-1.4207652508353,1.32896992253836,1.1331459508242,1.69435978196452,-0.00612861631771011,-0.493402410862927,2.11908476661711,3.79150955140631,3.07959381685077,1.17495162448631,-2.40677474321319,2.06033846646415,1.58684040355411,3.44346825729644,3.67845643791406,3.00211508631855,-1.67851270359188,3.8447022096816,4.49533716947735,-1.7779457922843,0.992821227004242,-2.41683772651095,2.34312362229957,2.68059645886206,-0.651391802136914,3.99881415704931,-1.49125470056197,0.966558472502129,-0.647593133184273,-1.542948107759,2.39653767661684,2.39989436646692,0.447858510218794,0.616281707182679,-0.442924561063592,1.6098647601998,2.90466407178792,0.639672197454274,2.08553495114256,-0.289666162104368,-1.20770976846688,0.403182740753891,3.11698688207071,3.16742545035368,-0.857147393874584,0.761861234928801,0.400633722728799,0.125508414775595,1.946139783543,-1.64459048245908,-0.652515223055161,-0.675121502614275,0.659595186538354,3.28895682133407,-4.67267796836632,1.8300623912387,-0.360562323115573,2.43794634500136,2.63956527968412,3.155313131821,2.27258102308588,3.21039530796998,-3.68929168143768,9.84012884009735,2.94319864852923,-5.02716436488618,-2.23513644584136
,8,2.68956796386055,-1.17205287573915,3.86144300599153,3.0226411778026,2.35926329291078,4.06723184045495,2.60346271742947,2.799990346507,4.87307278120943,3.0370333579076,1.83178682935068,2.54364815339659,-1.13982638215475,4.13154447436591,1.7086833199478,2.42711344889494,3.13305192004918,-0.388720992950311,-0.139080128488331,5.2231535092219,2.57596428701345,2.16336940800693,2.29374323915908,0.152087270639186,-3.45986828402465,-0.765004200115982,2.33238860464689,-2.10858845454322,-2.1567654103078,-5.51020066428464,-7.11638225173192,-4.52277998753561,-3.48611713481023,-3.75148513088607,-4.54039496227097,-3.54879175370934,-4.52047921025178,-4.6014709148717,-7.81047503805576,-7.00634941083899,-2.37669856685397,-5.66218458996354,-4.51556466808006,-6.03723189616767,-5.35710863242048,-6.27274702665636,-5.43248145124335,-6.1477217943152,-4.45755561829401,-1.21646355998382,-3.16059238437083,-1.73774553506837,-2.55416939120141,-9.79445363751438,-3.35215176359861,-3.76396552292908,-3.68609859307617,-8.584291089217,-4.46715504748499,-3.80334492058455,-5.37354546892175,-3.61164079645141,-4.98305370205799,-8.60323785138598,-6.80693103015801,-4.58751231243423,-5.30835485992247,-3.37162656797045,-8.68935549365187,-7.73012156314189,-3.9710850184124,-2.56536206748297,-3.19835225121824,-3.51610031955852,-7.42107914539702,-4.84326004418335,-6.94502514086389,-2.08218370807845,-0.366425128156152,-5.60535660637652,-2.58199206026484,-5.65828579132494
,9,-13.3831349908928,-12.1662946058277,-13.2268825249457,-10.2696814440073,-12.3761389804413,-10.04952282047,-8.904887386881,-13.1789567273172,-14.6273567870403,-7.16267370037849,-13.8194014254123,-10.4627538683217,-10.4120439487024,-11.0233549492209,-14.2161931486576,-8.0896269523364,-13.4766467526347,-11.2359338029987,-15.0876784490247,-9.8555593836968,-11.313236845579,-10.9591190698143,-11.9326745841568,-8.58083926003019,-9.46581876558685,-15.3972725828598,-9.62949095989643,-11.3194961356407,-10.6901018546437,-11.0620823668714,-9.33270176797214,-7.0189330789558,-2.03701445418255,-6.88353689633459,-5.22502525542996,-6.30305735607681,-10.5718376769005,-8.76834960482711,-7.17290517878746,-8.53146922392125,-7.73159413942176,-3.61358276853207,-3.9045031499727,-4.59134547815211,-9.48110949981128,-5.7974784049452,-6.54556065229872,-7.52222733884309,-6.49508012604838,-4.0958590015548,-5.78530502601507,-6.20337244079246,-9.33675254214131,-7.33416482416715,-8.05716313421772,-5.01010369110145,-4.93048257893588,-12.7156790555905,-0.47116143486528,-6.66465810313139,-6.64454326211762,-7.41516795170128,-5.54334863415488,-7.34939836282138,-3.9592587118882,-7.41122470802929,-6.54918243816883,-4.6641073273413,-8.02205466598207,-6.57536193442456,-3.25154184866506,-2.87169873394259,-5.71946618314769,-6.13382545977674,-1.6655986804567,-6.43515156880085,-4.40860001261444,2.56977269992694,-3.15488911287412,-4.22194945742785,-5.7003585422176,-5.85394051660023
,10,-5.27003773659544,-8.51014526986819,-6.33822002558281,-6.15642426719751,-5.14744050181162,-3.59490892312215,-6.42542112785395,-9.10795273896974,-9.11785018819592,-4.48159340912343,-9.02845699446743,-5.86029041570237,-5.85899346822089,-5.3204185103391,-5.4159460144906,-5.57123431990658,-6.86424535282686,-8.61014731376326,-11.5261349054999,-7.80606182385645,-8.63366205414331,-8.03944097682688,-1.48567804803815,-2.44830386098283,-6.86494866902967,-9.93122402215704,-10.8713486275688,-9.88140499111114,-8.71031200662765,-7.43456349864937,-4.32719037374682,-6.49654594082995,-1.91182451314762,-1.69440992911086,-5.86859430328286,-7.8075376041752,-5.0179529516995,-6.63238102814239,-6.65327925301244,-7.45248756013279,-4.62997365425326,-8.78309413045145,0.0137679559411481,-4.8937540236866,-6.42906144990684,-8.36694471018745,-6.13973596746064,-5.9931074127976,-6.13498246145036,-5.14973684970118,-1.58435940915797,-2.29200286005289,-5.43988654994564,-6.4852242903994,-2.55734441961204,-4.35260882080047,-4.60082105285028,-6.59043447684144,-7.37743330162402,-6.0667297767518,-2.82883534537359,-3.99914158790989,-3.33900148745624,-4.92500488753421,-2.30222657066724,-3.78253202529231,-5.11904064338523,-5.56640938890087,-8.18137170248292,-4.44181362285235,1.18170071802933,0.277714200799892,3.39247200418959,-1.19129329532598,-3.41583045154539,-4.47497247544743,-1.60416908045636,-0.12908205457552,-0.965722276085216,-2.09407087198042,-0.903018393454204,-5.33563936397195
