,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,STD1,78,729.083496491266,71.5,83.5,
,A02,SYBR,,Std-01,STD1,78,737.636591033164,66.5,83.5,
,A03,SYBR,,Unkn-01,12.4_B,77.5,478.481930405333,66,87.5,
,A04,SYBR,,Unkn-01,12.4_B,77.5,494.275631368897,66,86.5,
,A05,SYBR,,Unkn-09,5.1_B,77.5,507.397832590215,65.5,93,
,A06,SYBR,,Unkn-09,5.1_B,77.5,493.871804173213,66,85.5,
,A07,SYBR,,Unkn-17,7.4_C,77.5,507.590450326862,66,87.5,
,A08,SYBR,,Unkn-17,7.4_C,77.5,494.110050017463,66,85.5,
,A09,SYBR,,Unkn-25,9.1_B,77.5,515.199434323637,65.5,93,
,A10,SYBR,,Unkn-25,9.1_B,77.5,525.345740968363,66,86.5,
,B01,SYBR,,Std-02,STD2,78,736.510813005021,73,84.5,
,B02,SYBR,,Std-02,STD2,78,782.383276062497,66,83.5,
,B03,SYBR,,Unkn-02,11.1_D,77.5,504.351779785441,66,85,
,B04,SYBR,,Unkn-02,11.1_D,77.5,548.908443080172,66,95,
,B07,SYBR,,Unkn-18,11.1_C,77.5,530.742958182356,66,86,
,B08,SYBR,,Unkn-18,11.1_C,77.5,559.645040160713,65.5,86.5,
,B09,SYBR,,Unkn-26,17.4_B,77.5,567.464683620899,65,86,
,B10,SYBR,,Unkn-26,17.4_B,77.5,570.400182986083,65.5,95,
,C01,SYBR,,Std-03,STD3,78,743.128403349098,66,83.5,
,C02,SYBR,,Std-03,STD3,78,770.121259390335,66,84,
,C03,SYBR,,Unkn-03,10.6_C,77.5,536.713423644263,65.5,92.5,
,C04,SYBR,,Unkn-03,10.6_C,77.5,542.70814533062,66,87,
,C07,SYBR,,Unkn-19,9.6_B,77.5,528.819855453765,65.5,87,
,C08,SYBR,,Unkn-19,9.6_B,77.5,541.665450667776,66,93.5,
,C09,SYBR,,Unkn-27,6.5_A,77,526.294000478657,65,93,
,C10,SYBR,,Unkn-27,6.5_A,77,536.613540487832,65.5,87.5,
,C11,SYBR,,Unkn-35,13.3_C,77.5,546.403693105514,65,86.5,
,C12,SYBR,,Unkn-35,13.3_C,77.5,569.676619073224,66,95,
,D01,SYBR,,Std-04,STD4,78,575.437196520269,73.5,83,
,D02,SYBR,,Std-04,STD4,78,639.531075345953,73.5,83,
,D03,SYBR,,Unkn-04,7.3_C,77.5,499.68361186117,66,95,
,D04,SYBR,,Unkn-04,7.3_C,77.5,521.950050954119,66,92.5,
,D05,SYBR,,Unkn-12,11.2_B,77.5,538.439264361647,66,94,
,D06,SYBR,,Unkn-12,11.2_B,77.5,559.226193379664,65.5,86.5,
,D07,SYBR,,Unkn-20,11.4_D,77.5,520.984616254135,65.5,86.5,
,D08,SYBR,,Unkn-20,11.4_D,77.5,538.277922375305,65.5,95,
