,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,STD1,78,597.873926620462,65.5,84,
,A02,SYBR,,Std-01,STD1,78,635.877119383627,64.5,95,
,A03,SYBR,,Unkn-01,7.2_D,77,395.787934657553,64,95,
,A04,SYBR,,Unkn-01,7.2_D,77,421.062490710424,64.5,93,
,A05,SYBR,,Unkn-09,2.3_D,77.5,423.456927502287,64.5,95,
,A06,SYBR,,Unkn-09,2.3_D,77.5,427.159702867967,66,95,
,A07,SYBR,,Unkn-17,5.4_C,75,428.231057820915,64.5,95,
,A08,SYBR,,Unkn-17,5.4_C,75,405.34231148762,64.5,93,
,A09,SYBR,,Unkn-25,8.1_B,77,433.85206195295,64.5,94,
,A10,SYBR,,Unkn-25,8.1_B,77,449.830336608845,64.5,95,
,B01,SYBR,,Std-02,STD2,78,632.731903086863,67,84.5,
,B02,SYBR,,Std-02,STD2,78,649.907694761427,65,83,
,B03,SYBR,,Unkn-02,10.2_A,77,390.48204484941,65,95,
,B04,SYBR,,Unkn-02,10.2_A,77,445.804016770164,64.5,94,
,B05,SYBR,,Unkn-10,9.3_C,77,452.574396577898,65,95,
,B06,SYBR,,Unkn-10,9.3_C,77,441.369921746321,64.5,95,
,B07,SYBR,,Unkn-18,10.2_D,77,453.534232429674,64.5,95,
,B08,SYBR,,Unkn-18,10.2_D,77,463.004457690615,64.5,95,
,B09,SYBR,,Unkn-26,13.4_C,77,452.128673400631,65,93,
,B10,SYBR,,Unkn-26,13.4_C,77,444.298891417867,64.5,95,
,B11,SYBR,,Unkn-34,10.5_B,77,437.047741769106,65.5,93,
,B12,SYBR,,Unkn-34,10.5_B,77,428.592668887509,65,94,
,C01,SYBR,,Std-03,STD3,78,644.592572729622,66,83,
,C02,SYBR,,Std-03,STD3,78,636.404290769559,66.5,84.5,
,C03,SYBR,,Unkn-03,7.5_A,77,424.456072912706,65,95,
,C04,SYBR,,Unkn-03,7.5_A,77,440.346609939181,64.5,94,
,C05,SYBR,,Unkn-11,10.2_B,77,432.641385734986,65,95,
,C06,SYBR,,Unkn-11,10.2_B,75.5,442.437393765044,65.5,95,
,C07,SYBR,,Unkn-19,7.2_B,77,450.100147359205,65.5,94,
,C08,SYBR,,Unkn-19,7.2_B,77,468.856109133,65.5,95,
,C09,SYBR,,Unkn-27,14.5_B,77,451.213407656632,65.5,95,
,C10,SYBR,,Unkn-27,14.5_B,77,449.657956454166,65,94,
,C11,SYBR,,Unkn-35,11.2_C,77.5,431.673715071926,65.5,95,
,C12,SYBR,,Unkn-35,11.2_C,77.5,447.224505231675,65.5,95,
,D01,SYBR,,Std-04,STD4,78,622.771660108078,67.5,84.5,
,D02,SYBR,,Std-04,STD4,78,621.66809441605,67,84.5,
,D03,SYBR,,Unkn-04,13.1_A,77,414.907533528362,64.5,94,
,D04,SYBR,,Unkn-04,13.1_A,77,442.613796021907,65.5,94,
,D05,SYBR,,Unkn-12,17.5_D,77,453.834439918854,65.5,95,
,D06,SYBR,,Unkn-12,17.5_D,77,450.661303597991,65,95,
,D07,SYBR,,Unkn-20,6.2_A,77.5,461.437384694699,64.5,93,
