Clutch_ID,Nest_ID,Burrow_ID,Mother_ID,Location,Collection_date,Location_InNest,Egg_mass,Egg_diameter,Status,Tortoise_ID,Date_Pip,Date_Emerge,Date_Functional,ExpDay_measure1,Measure_1_Date,Mass_1,Carapace_1,Plastron_1,Notch,Tank,Measure_2_Date,Mass_2,Measure_3,Mass_3,Measure_4,Mass_4,Measure_5,Mass_5,Measure_6,Mass_6,Measure_7,Mass_7,Measure_8,Mass_8,Measure_9,Mass_9,Measure_10,Mass_10,Max allowed blood volume (uL),Measure_11,Mass_11,Carapace_10,Plastron_10,Measure_12,Mass_12,Carapace_12,Plastron_12,Measure_13,Mass_13,Measure_14,Mass_14,Carapace_14,Plastron_14,Measure_15,Mass_15,Carapace_15,Plastron_15,Measure_16,Mass_16,Carapace_16,Plastron_16,Measure_17,Mass_17,Carapace_17,Plastron_17,Measure_18,Mass_18,Carapace_18,Plastron_18,Measure_19,Mass_19,Carapace_19,Plastron_19,ExpDay_measure10,DaysBTW1-10,Mass_m10-m1,Growth_rate1-10,ExpDay_measure13,DaysBTW1-13,Mass_m13-m1,Growth_rate1-13
4.2,GT2023_N04,348,unk,GWA,8/14/23,Top,37.77,42,Not_Viable,Not_Viable,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,GT2023_N04,348,unk,GWA,8/14/23,Middle,40.32,44.3,Not_Viable,Not_Viable,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,GT2023_N04,348,unk,GWA,8/14/23,Middle,35.71,40.7,Not_Viable,Not_Viable,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,GT2023_N05,Private property,22,Hancock Forestry Site,8/14/23,Top,50.82,46.7,Hatched,GT2023_N05.01,8/23/23,8/26/23,8/27/23,14,8/27/23,36.22,50.6,51.4,332,10,8/31/23,34.88,9/7/23,35.79,9/14/23,40.58,9/21/23,45.1,9/28/23,49.39,10/13/23,57.07,10/27/23,59.11,11/10/23,65.5,11/24/23,72.57,591.1,12/10/23,82.1,66.6,64.9,12/21/23,94.2,74.6,72.4,1/7/24,112.9,1/20/24,132.7,85.6,84.2,2/17/24,173.6,93.6,92.1,3/17/24,221.5,98.9,99.9,4/14/24,266.8,104.9,106.1,5/16/24,311.5,116.5,114.3,6/16/24,364.4,121.5,120.3,103,89,36.35,0.408426966,147,133,76.68,0.576541353
5.2,GT2023_N05,Private property,22,Hancock Forestry Site,8/14/23,Middle,51.12,43.7,Hatched,GT2023_N05.02,8/25/23,8/28/23,8/30/23,17,8/30/23,39.12,50.4,52.4,346,11,8/31/23,38.76,9/7/23,42.34,9/14/23,42.64,9/21/23,47.85,9/28/23,53.35,10/13/23,59.47,10/27/23,63.3,11/10/23,69.21,11/24/23,73.48,633,12/10/23,83.59,67.3,67.4,12/21/23,88.1,72.2,71.5,1/7/24,88.7,1/20/24,85,71.6,71.1,2/27/24,85.6,71.2,71.6,3/17/24,94.8,74,74.6,4/14/24,128.3,80.2,81.4,5/16/24,154.6,89,90.1,6/16/24,192.2,93,94.7,103,86,34.36,0.399534884,147,130,49.58,0.381384615
5.3,GT2023_N05,Private property,22,Hancock Forestry Site,8/14/23,Middle,49.15,45.7,Hatched,GT2023_N05.03,8/25/23,8/28/23,8/30/23,17,8/30/23,38.36,51.3,52.7,345,12,8/31/23,38.72,9/7/23,42.95,9/14/23,47.4,9/21/23,53.77,9/28/23,57.89,10/13/23,69.56,10/27/23,74.76,11/10/23,82.58,11/24/23,96.85,747.6,12/10/23,113.1,74.7,73.2,12/21/23,130.5,82.7,81.9,1/7/24,159.5,1/20/24,190,95.7,92.3,2/17/24,252.7,103.4,102.7,3/17/24,307.8,108.7,106.2,4/14/24,397.4,117.07,118.39,5/16/24,460.9,130.2,131.7,6/16/24,534.3,143.2,144.5,103,86,58.49,0.680116279,147,130,121.14,0.931846154
5.4,GT2023_N05,Private property,22,Hancock Forestry Site,8/14/23,Middle,51.9,46.4,Hatched,GT2023_N05.04,8/25/23,8/27/23,8/28/23,15,8/28/23,40.51,53.1,53.5,336,1,,,9/4/23,42.09,9/11/23,47.4,9/18/23,52.65,9/25/23,55.82,10/13/23,61.56,10/27/23,67.67,11/10/23,67.08,11/24/23,73,676.7,12/10/23,81.85,70,68.7,12/21/23,83,73.2,71.9,1/7/24,83,1/20/24,75.9,72,71.2,2/27/24,75.1,70.7,70.9,3/17/24,90.9,75,72.3,4/14/24,112.3,80.2,78.8,5/16/24,140,82.6,83.2,6/16/24,180.4,91.9,93.3,103,88,32.49,0.369204545,147,132,42.49,0.321893939
5.5,GT2023_N05,Private property,22,Hancock Forestry Site,8/14/23,Bottom,51.28,48.4,Hatched,GT2023_N05.05,8/23/23,8/25/23,8/26/23,13,8/26/23,40.91,50.8,52.5,327,2,8/28/23,39.95,9/4/23,43.16,9/11/23,46.2,9/18/23,49.96,9/25/23,54.43,10/13/23,62.64,10/27/23,67.4,11/10/23,69.4,11/24/23,78.65,674,12/10/23,91.7,69.6,69.2,12/21/23,100,75.1,75.3,1/7/24,106.4,1/20/24,124.5,80.9,82.2,2/17/24,141.9,85,87.8,3/17/24,168.1,91.6,92,4/14/24,190.6,94.5,96.7,5/16/24,212.5,99,102.1,6/16/24,251.4,101.3,104.8,103,90,37.74,0.419333333,147,134,65.49,0.488731343
5.6,GT2023_N05,Private property,22,Hancock Forestry Site,8/14/23,Bottom,53.44,47,Hatched,GT2023_N05.06,8/24/23,8/26/23,8/29/23,16,8/29/23,40.61,53.2,54.2,340,3,,,9/4/23,42.36,9/11/23,49.6,9/18/23,51.27,9/25/23,54.73,10/13/23,64.73,10/27/23,68.74,11/10/23,72.67,11/24/23,77.37,687.4,12/10/23,85.36,68.3,69.6,12/21/23,86.5,72.3,73.7,1/7/24,82.8,1/20/24,80,70.8,73.5,2/27/24,80.3,70.7,73.3,3/17/24,88.7,72.9,75.1,4/14/24,104.5,75.6,76.6,5/16/24,110,77.4,76.8,6/16/24,97.8,77.5,76.9,103,87,36.76,0.422528736,147,131,42.19,0.322061069
6.1,GT2023_N06,848,unk,GWA,8/14/23,Top/same level,41.39,41.2,Hatched,GT2023_N06.01,8/17/23,8/17/23,8/21/23,8,8/21/23,32.32,49.2,49.2,312,4,8/29/23,36.82,9/5/23,41.37,9/12/23,42.73,9/19/23,45.18,9/28/23,49.27,10/13/23,52.73,10/27/23,57.29,11/10/23,56.7,11/24/23,58.02,572.9,12/10/23,63.3,61.1,58.3,12/21/23,68.1,64.4,60.7,1/7/24,70,1/20/24,77.2,67.8,64.1,2/17/24,87.5,70,66.5,3/17/24,93.6,71.4,67.9,4/14/24,95.9,72.2,68.3,5/16/24,93.2,73.2,69.3,6/16/24,93.5,73.3,69.5,103,95,25.7,0.270526316,147,139,37.68,0.271079137
