Rack,Tank,Clutch_ID,Max_allowed_blood_volume,Collected_Blood_Volume,Time_when_animal_caught,Bleed_start_(minutes_after_catch),Total_bleed_time,Whole_Blood_for_RNA,Whole_Blood_for_DNA,Plasma_(P1),Plasma_(P2),Plasma_(P3),RBC_(plasma_removed),Glucose,Date,Notes_(LN=liquid_nitrogen);_time_in_hour:minutes
3,9,3.4,544,-,12:05,12:07,12:09,Yes,Yes,Yes,Yes,Yes,Yes,158,11/5/2023,Tubes in LN at 12:12; excess plasma in P3
4,11,14.5,600,400,12:05,1:45,2:25,Yes,Yes,Yes,Yes,Yes,Yes,-,11/5/2023,Tubes in LN at 12:10; excess plasma in P3
3,8,6.5,552.6,400,12:14,0:45,1:50,Yes,Yes,Yes,Yes,Yes,Yes,100,11/5/2023,Tubes in LN at 12:19; excess plasma in P3
3,9,17.4,497.5,380,12:17,-,4:16,Yes,Yes,Yes,Yes,Yes,Yes,200,11/5/2023,Tubes in LN at 12:24; excess plasma in P3
1,2,13.2,521,350,12:20,1:20,2:35,Yes,Yes,Yes,Yes,Yes,Yes,154,11/5/2023,Tubes in LN at 12:27
1,1,7.5,566.3,-,12:11,3:15,8:23,Yes,Yes,Yes,Yes,Yes,Yes,116,11/1/2023,Tubes in LN at 10:13?; bled on 11/01/23
2,6,3.1,596,500,12:25,0:54,2:36,Yes,Yes,Yes,Yes,Yes,Yes,126,11/5/2023,Tubes in LN at 12:36; excess plasma in P3
3,8,12.2,413.5,350,12:25,1:13,5:52,Yes,Yes,Yes,Yes,Yes,Yes,188,11/5/2023,Tubes in LN at 12:33
2,5,13.4,521.5,110,12:33,1:02,4:10,Yes,Yes,Yes,Yes,No,Yes,179,11/5/2023,Tubes in LN 12:41; ~ 20uL plasma in P2
4,10,17.5,442.2,300,12:34,0:58,3:56,Yes,Yes,Yes,Yes,Yes,Yes,151,11/5/2023,Tubes in LN at 12:42; ~30 uL plasma in P3
3,9,6.4,596,150,12:42,0:53,5:50,Yes,Yes,Yes,Yes,Yes,Yes,178,11/5/2023,Clotting; Tubes in LN at 12:51; lysis; very little plasma in P3
1,2,5.5,674,280,12:42,2:10,4:23,Yes,Yes,Yes,Yes,Yes,Yes,170,11/5/2023,Tubes in LN at 12:49; partial lysis; ~40 uL plasma in P2
2,6,11.3,597.2,250,12:52,0:50,3:37,Yes,Yes,Yes,Yes,Yes,Yes,129,11/5/2023,Tubes in LN at 12:59
1,3,10.6,564.5,480,12:51,1:40,3:00,Yes,Yes,Yes,Yes,Yes,Yes,183,11/5/2023,Tubes in LN at 12:56
4,10,12.6,452.5,250,13:00,1:07,4:34,Yes,Yes,Yes,Yes,No,Yes,147,11/5/2023,Tubes in LN at 13:07
2,6,6.3,574.6,500,12:59,1:55,3:45,Yes,Yes,Yes,Yes,Yes,Yes,174,11/5/2023,Tubes in LN at 13:05; excess plasa in P3
3,9,11.1,576,290,13:09,-,3:45,Yes,Yes,Yes,Yes,Yes,Yes,141,11/5/2023,Tubes in LN at 13:15
4,11,10.2,420.7,450,13:09,-,2:07,Yes,Yes,Yes,Yes,Yes,Yes,147,11/5/2023,Tubes in LN at 13:13; excess plasma in P3
4,11,12.5,500.5,450,13:14,1:15,3:00,Yes,Yes,Yes,Yes,Yes,Yes,199,11/5/2023,Tubes in LN at 13:19; excess plasma in P3
1,3,5.6,687.4,120,13:13,1:33,5:10,Yes,Yes,Yes,Yes,Yes,Yes,174,11/5/2023,Tubes in 13:23
