"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell"
"10.4_D",22671.36539,445046.1704,19.6303205715304,28.66400258,1.8e+11,18.35019757,7939530.63274236
"10.6_A",15656.00958,334561.9468,21.3695542973729,29.19663076,1.76e+11,18.38831288,11241689.5953381
"10.6_B",12816.70411,294290.4442,22.9614760295812,29.50372,1.35e+11,18.81697751,10533129.1759064
"11.3_A",36980.47775,560953.8437,15.1689182463307,27.94945224,2.19e+11,18.03927778,5922043.55715767
"12.4_A",23316.02608,523111.8914,22.4357225200016,28.62001912,1.64e+11,18.50903193,7033788.66695795
"13.2_B",19519.40953,477617.2985,24.4688394782606,28.87731781,1.99e+11,18.19708469,10194980.5240856
"13.3_B",15419.72953,303341.6813,19.6723088242132,29.2316751,1.49e+11,18.65694014,9662945.10614545
"13.4_D",16829.40927,309979.1967,18.4188994234377,29.09180293,2.16e+11,18.05443023,12834675.0937384
"14.5_D",18523.68893,458699.8528,24.7628782006328,28.95516277,1.76e+11,18.38830378,9501347.202768
"15.2_A",14648.21912,368743.4572,25.1732619630556,29.29272421,92720322637,19.42830409,6329801.72384259
"15.2_C",17608.86109,465084.6234,26.4119650341338,29.02493377,2.32e+11,17.94108344,13175184.8580231
"15.3_A",14395.29243,317055.3711,22.0249343764113,29.32014924,1.31e+11,18.8701184,9100197.20940118
"17.2_B",11153.76876,357318.935,32.0357130122178,29.6896782,1.25e+11,18.94744421,11206974.3142138
"17.3_A",46428.82815,1019365.601,21.9554453906673,27.61848174,1.68e+11,18.46667333,3618441.53070661
"17.3_D",16789.54387,321482.4806,19.1477793017613,29.09459966,1.87e+11,18.29532585,11137884.474285
"17.5_C",32564.05975,441144.027,13.5469603724701,28.13273097,1.97e+11,18.20420154,6049614.2530263
"2.3_C",24371.93604,610022.3003,25.0297021664102,28.55330786,2.35e+11,17.92195641,9642237.67920244
"2.4_B",15723.02683,355171.6909,22.5892695306175,29.1999208,2.39e+11,17.93173207,15200635.5127488
"3.1_B",53511.98403,1301750.445,24.3263349060317,27.4124059,1.9e+11,18.2699677,3550606.53130487
"3.1_C",27029.11243,553130.1304,20.464235806207,28.40372876,1.58e+11,18.56643936,5845548.9579685
"3.2_B",15731.99977,408728.2496,25.9806925740884,29.19540123,2.02e+11,18.16832284,12840071.3801943
"3.3_C",9798.60519,169972.2745,17.3465785388992,29.89564396,75692739665,19.75134457,7724848.40416353
"5.1_C",18412.25913,367461.8925,19.9574582296246,28.96924294,1.4e+11,18.75870722,7603629.6801782
"5.2_C",22533.02236,428523.7146,19.0175870663806,28.66709228,1.48e+11,18.67187405,6568137.98146872
"5.3_B",21610.26376,606569.3574,28.0685772342466,28.73218068,2.13e+11,18.08227107,9856427.59225628
"5.4_D",17733.59411,336929.9896,18.9995320469191,29.01685241,1.83e+11,18.32729651,10319397.1207904
"7.1_D",27271.26045,676938.0712,24.8223976460905,28.39206412,1.68e+11,18.45955108,6160331.32417977
"7.4_D",21822.70971,447752.6005,20.5177361771358,28.71957662,1.98e+11,18.20147245,9073117.07075812
"7.5_C",19103.5766,475961.5472,24.914787276012,28.90664487,1.63e+11,18.51805896,8532433.65956928
"8.1_A",31415.84701,221970.5068,7.06555856123645,28.18486518,2.16e+11,18.05693217,6875510.94615545
"9.1_C",39339.89894,674045.0284,17.1338779855035,27.86350053,2.11e+11,18.09819904,5363511.49050512
"9.1_D",16859.54301,386010.9082,22.8956922480665,29.08797128,2.18e+11,18.04083161,12930362.3396373
"9.2_C",21677.15107,379723.6054,17.5172283559677,28.7241874,1.98e+11,18.20266395,9134041.6164752
"9.3_A",34449.42263,698147.3366,20.2658646589921,28.05105894,2.08e+11,18.11712802,6037837.04110225
"9.4_B",10823.86959,260092.4579,24.0295262001581,29.73119324,1.52e+11,18.6729012,14043036.8950888
"9.4_D",15784.22211,268861.9077,17.0335861866556,29.19478951,1.84e+11,18.31393988,11657210.5180545
"9.5_B",16466.56278,766108.1308,46.5250787936449,29.12277229,2.07e+11,18.12340492,12570929.5112529
