Tortoise_ID,mtDNA_change_A_to_B,mtDNA_change_B_to_C,mtDNA_change_C_to_D,Telomeres_change_A_to_B,Telomeres_change_B_to_C,Telomeres_change_C_to_D
10.1,3.1612746217680012,0.9352899897134996,-5.1618118021809,-131691.83047048002,6060255.59309146,-4788274.4649018105
10.2,-0.7438682462086987,3.7897750365976997,-14.064066932079601,-125630.10756891966,1273820.41659626,-1910205.7228124104
10.4,-1.5516864838416993,7.906678620952398,-2.394652086652698,2130160.12065299,2232589.286663439,-617503.7627873588
10.5,1.9972104486071984,-4.671676570895199,8.6546700992289,408141.98829488084,-2132113.1554106902,3838206.16933522
10.6,1.5919217322082986,-5.554053458248401,NA,-708560.4194317013,-5610087.29082171,NA
11.1,-8.261262971099699,-1.1925404013028,3.3055407374843,134554.9299542401,-650162.2336906199,2208695.5518506896
11.2,3.7193864246116988,-4.8407202710981,-6.1116211072344,232833.37048093043,724746.23885772,-1234689.04947246
11.3,7.052157347358902,-8.183092307688701,3.674390875287701,5675883.19388773,-7320604.463364581,1854756.64197955
12.4,-8.594963500149401,0.04040099884069903,-0.2107440338434987,-4277978.90361513,1223738.4397468898,-1076513.85066278
12.5,-6.776050297252198,0.3734806031040989,-0.49202659750880073,2067095.7001714003,-991193.8559413198,-755736.3015757399
12.6,0.9516048948414024,-10.413274406971802,8.912210969891198,1506667.2424248601,-887867.3066557003,1922586.8307736004
13.1,-5.3054765254223,2.9234333414312985,-4.482336407242698,268252.39769339,1009383.0358364903,-1780388.35906723
13.3,1.4034542242505985,-1.511006051535599,-3.840667171269601,6094453.897723261,-5545387.962388121,1689176.8653156706
13.4,-8.297992117234099,1.1115461358599,5.7330565635447,-1136932.85319491,2003361.5247180099,7792662.64562971
14.5,2.4049364230576007,1.1742522438640997,6.605399796330701,223068.3925158102,1148500.7675935393,2791370.90546808
15.2,-6.002473366588603,7.241176437666802,-11.6317771305281,-1558366.9155880697,8403750.049768578,-7870707.87294449
15.3,-9.7260384893219,3.1676405583656013,6.3670523043817,-6423147.078891539,1662894.42634405,1830977.99053224
17.2,14.305645377335598,-18.216654774008898,1.5610166420478997,8128877.13472732,-8770806.579663198,700501.1622410901
17.3,0.3004178089713996,-8.6991271164569,5.5910432185795,642405.9142426304,-61420.14932756033,6938457.178663319
17.4,-1.1645830868862,4.633720845734901,-4.760620366105801,-541574.2484586104,592459.8359817602,24914.21941454988
2.3,3.866214836709702,4.154538857711,-11.8173993659217,1294401.1406199206,4807094.843986829,-4789559.979240479
2.4,7.7620694911528005,-0.5016012475452989,-8.1827518122645,10911175.2914648,-7388456.81383696,-3434307.2509192703
3.1,13.3368111589222,-3.8620990998247002,-8.954266075791,1012247.5646314798,2294942.4266636306,-991151.7007166902
3.2,5.2814995006852,-8.192439064932,-1.2551168920283011,10159347.11813024,-9819580.95492246,162335.59194249008
3.3,2.072332359926799,0.3884425496383024,-3.549521204505801,2314379.2847081996,2656277.0234021805,-3854787.1199169103
3.4,-7.1329524508416995,8.209601359281997,-5.000625194876299,112682.25375028001,5092737.10290006,-4316073.3684725
5.1,6.6811300178797985,-4.582775862710999,-5.8212138792563,-797588.7868038295,3273291.69948883,-2777419.6056995494
5.3,15.2708797367972,-16.238032979396998,5.804248456396598,7248327.90886992,-3770253.0811278597,2444465.5232091807
5.5,10.178955425560698,-9.747161620273998,7.7761972814855,3764300.55398516,-5348417.59117589,2557536.8877319605
6.2,15.29402647692,-11.1100566478076,-3.0372235949121986,1715408.9203230399,-935471.2369912099,-655052.9456668803
6.4,5.952590307163399,1.2066641405558016,10.144877232729698,-823897.8359848103,2474016.8829923905,3054457.184885489
6.5,-0.11203273078709941,-2.8954253631668987,-1.6297808424385014,464334.51002948964,239748.2517470098,-384742.4729366796
7.1,-2.289165593077403,-1.796323370348599,4.356010214756001,-2095404.9575645002,-1330428.9327272102,3660373.9765467905
7.2,-4.706379194310401,4.8569550702565,-3.756808929364098,-1696580.3808852406,-2201268.93159092,630181.5115681202
