Tortoise_ID,Treatment,Nest_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post,Time_Interval,Telomere_Change,Growth_Rate,z_telo,z_growth,outlier
GT2023_N06.02,Constant-Warmth,GT2023_N06,5,0.663578947,1.352631579,0.88021978,Winter_2023,1715408.92,0.663578947,0.07639800084975008,0.7805004199573273,FALSE
GT2023_N06.02,Constant-Warmth,GT2023_N06,5,0.663578947,1.352631579,0.88021978,Early_Spring_2024,-935471.237,1.352631579,0.15053264852038847,0.7078774362400418,FALSE
GT2023_N06.02,Constant-Warmth,GT2023_N06,5,0.663578947,1.352631579,0.88021978,Late_Spring_2024,-655052.9457,0.88021978,0.26344760103693,0.1394632158905086,FALSE
GT2023_N06.03,Cold-Dormancy,GT2023_N06,6,0.127789474,0.505263158,1.040659341,Early_Spring_2024,104025.0638,0.505263158,0.09984852854783008,0.8442755092090057,FALSE
GT2023_N06.03,Cold-Dormancy,GT2023_N06,6,0.127789474,0.505263158,1.040659341,Late_Spring_2024,2844803.098,1.040659341,0.7635339924534675,0.5582316961447984,FALSE
GT2023_N06.04,Cold-Dormancy,GT2023_N06,9,0.091894737,0.694736842,0.825274725,Winter_2023,-823897.836,0.091894737,0.5823024539943996,0.7826555683384107,FALSE
GT2023_N06.04,Cold-Dormancy,GT2023_N06,9,0.091894737,0.694736842,0.825274725,Early_Spring_2024,2474016.883,0.694736842,0.6707032212260636,0.49721025469006025,FALSE
GT2023_N06.04,Cold-Dormancy,GT2023_N06,9,0.091894737,0.694736842,0.825274725,Late_Spring_2024,3054457.185,0.825274725,0.8250539194620683,0.003950646852723239,FALSE
GT2023_N06.05,Constant-Warmth,GT2023_N06,8,0.700315789,2.015789474,0.995604396,Winter_2023,464334.51,0.700315789,0.24813281094118114,0.8809499575847081,FALSE
GT2023_N06.05,Constant-Warmth,GT2023_N06,8,0.700315789,2.015789474,0.995604396,Early_Spring_2024,239748.2517,2.015789474,0.13253987291884894,1.9226058288880845,FALSE
GT2023_N06.05,Constant-Warmth,GT2023_N06,8,0.700315789,2.015789474,0.995604396,Late_Spring_2024,-384742.4729,0.995604396,0.1841289443187503,0.44063232895636134,FALSE
GT2023_N07.01,Cold-Dormancy,GT2023_N07,9,-0.007473684,0.605263158,0.584615385,Winter_2023,-2095404.958,-0.007473684,0.9121335457362654,1.054358616308971,FALSE
GT2023_N07.01,Cold-Dormancy,GT2023_N07,9,-0.007473684,0.605263158,0.584615385,Early_Spring_2024,-1330428.933,0.605263158,0.2456652360442936,0.661102180231592,FALSE
GT2023_N07.01,Cold-Dormancy,GT2023_N07,9,-0.007473684,0.605263158,0.584615385,Late_Spring_2024,3660373.977,0.584615385,1.0028513444992704,0.6321033633189594,FALSE
GT2023_N07.02,Constant-Warmth,GT2023_N07,10,0.582105263,0.878947368,0.664835165,Winter_2023,-1696580.381,0.582105263,0.8086777778767144,0.5577269467611468,FALSE
GT2023_N07.02,Constant-Warmth,GT2023_N07,10,0.582105263,0.878947368,0.664835165,Early_Spring_2024,-2201268.932,0.878947368,0.45542254236650026,0.15978570188905572,FALSE
GT2023_N07.02,Constant-Warmth,GT2023_N07,10,0.582105263,0.878947368,0.664835165,Late_Spring_2024,630181.5116,0.664835165,0.11368566229904627,0.42271912449688076,FALSE
GT2023_N07.03,Cold-Dormancy,GT2023_N07,11,0.057157895,0.4,0.873626374,Early_Spring_2024,-1938281.591,0.4,0.3920773626453749,1.0370895399043607,FALSE
GT2023_N07.03,Cold-Dormancy,GT2023_N07,11,0.057157895,0.4,0.873626374,Late_Spring_2024,238495.0372,0.873626374,0.0012490077574653802,0.1222535539274001,FALSE
GT2023_N07.04,Constant-Warmth,GT2023_N07,2,0.412210526,0.752631579,0.385714286,Winter_2023,618115.6789,0.412210526,0.20824171638887923,0.09318381109980071,FALSE
GT2023_N07.04,Constant-Warmth,GT2023_N07,2,0.412210526,0.752631579,0.385714286,Early_Spring_2024,-2063336.877,0.752631579,0.4221991530578904,0.39116253762444164,FALSE
GT2023_N07.04,Constant-Warmth,GT2023_N07,2,0.412210526,0.752631579,0.385714286,Late_Spring_2024,6509761.887,0.385714286,1.838962573002961,1.1512615461884452,FALSE
GT2023_N07.05,Cold-Dormancy,GT2023_N07,1,0.115263158,0.326315789,0.773626374,Winter_2023,298078.7119,0.115263158,0.2912598453454275,0.7187593008113334,FALSE
GT2023_N07.05,Cold-Dormancy,GT2023_N07,1,0.115263158,0.326315789,0.773626374,Early_Spring_2024,4319698.756,0.326315789,1.1152685356957373,1.1720593621238025,FALSE
GT2023_N07.05,Cold-Dormancy,GT2023_N07,1,0.115263158,0.326315789,0.773626374,Late_Spring_2024,-394081.1791,0.773626374,0.18686925113556313,0.13875967600426847,FALSE
GT2023_N08.01,Constant-Warmth,GT2023_N08,2,0.488736842,0.968421053,0.785714286,Winter_2023,-2991428.151,0.488736842,1.1445634730719163,0.3024296972466508,FALSE
GT2023_N08.01,Constant-Warmth,GT2023_N08,2,0.488736842,0.968421053,0.785714286,Early_Spring_2024,6062764.214,0.968421053,1.5351168610289918,0.004106225484209435,FALSE
GT2023_N08.01,Constant-Warmth,GT2023_N08,2,0.488736842,0.968421053,0.785714286,Late_Spring_2024,-6065597.637,0.785714286,1.8510928468248102,0.10720862646177061,FALSE
GT2023_N08.02,Cold-Dormancy,GT2023_N08,3,0.055789474,1,1.098901099,Early_Spring_2024,-1226917.076,1,0.22073256377193343,0.06195043396012255,FALSE
GT2023_N08.02,Cold-Dormancy,GT2023_N08,3,0.055789474,1,1.098901099,Late_Spring_2024,-250433.4029,1.098901099,0.1447179111200841,0.7102503898695846,FALSE
GT2023_N09.01,Constant-Warmth,GT2023_N09,12,0.782421053,1.052631579,1.132967033,Early_Spring_2024,2074584.748,1.052631579,0.5744928854670972,0.1583574493078001,FALSE
GT2023_N09.01,Constant-Warmth,GT2023_N09,12,0.782421053,1.052631579,1.132967033,Late_Spring_2024,7566850.849,1.132967033,2.149149875880761,0.7991669845093745,FALSE
GT2023_N09.02,Constant-Warmth,GT2023_N09,5,0.594736842,0.589473684,0.474725275,Winter_2023,1170912.282,0.594736842,0.06484534529748094,0.5922654699704561,FALSE
