Sample,Nest_ID,Treatment,Plate_ID,Time_Point,Tortoise_ID,Tank,SQ.Mean_SCNAG,SQ.Mean_mtDNA,mtDNA.Mean,Cq.Mean_SCNAG,SQ.Mean_Telomeres,Cq.Mean_Telomeres,Telomeres.per.cell
6.5_C,GT2023_N06,Constant-Warmth,Plate6,C,GT2023_N06.05,8,57671.62255,782058.7539,13.5605471,27.43242945,2.46E+11,17.87952338,4268338.381
6.5_D,GT2023_N06,Constant-Warmth,Plate4,D,GT2023_N06.05,8,58422.04584,697019.7732,11.93076626,27.33395295,2.27E+11,18.11264198,3883595.908
7.1_A,GT2023_N07,Cold-Dormancy,Plate2,A,GT2023_N07.01,9,32906.99793,807928.5457,24.55187639,28.95980037,1.95E+11,18.13732643,5925791.237
7.1_B,GT2023_N07,Cold-Dormancy,Plate4,B,GT2023_N07.01,9,54118.66196,1204828.12,22.2627108,27.44776356,2.07E+11,18.24863013,3830386.28
7.1_C,GT2023_N07,Cold-Dormancy,Plate4,C,GT2023_N07.01,9,83761.69087,1714299.217,20.46638743,26.80347498,2.09E+11,18.2335174,2499957.348
7.1_D,GT2023_N07,Cold-Dormancy,Plate1,D,GT2023_N07.01,9,27271.26045,676938.0712,24.82239765,28.39206412,1.68E+11,18.45955108,6160331.324
7.2_A,GT2023_N07,Constant-Warmth,Plate6,A,GT2023_N07.02,10,60460.137,1424097.375,23.55431936,27.36917842,4.43E+11,16.95877239,7333939.717
7.2_B,GT2023_N07,Constant-Warmth,Plate3,B,GT2023_N07.02,10,48293.61811,910235.2247,18.84794017,27.21682996,2.72E+11,17.43070927,5637359.336
7.2_C,GT2023_N07,Constant-Warmth,Plate4,C,GT2023_N07.02,10,51350.35084,1217254.687,23.70489524,27.53169381,1.76E+11,18.49324948,3436090.404
7.2_D,GT2023_N07,Constant-Warmth,Plate3,D,GT2023_N07.02,10,48314.22914,963776.4128,19.94808631,27.21661749,1.96E+11,17.90055075,4066271.916
7.3_B,GT2023_N07,Cold-Dormancy,Plate3,B,GT2023_N07.03,11,42486.36586,711855.1302,16.75490751,27.40667559,1.88E+11,17.96629501,4416981.815
7.3_C,GT2023_N07,Cold-Dormancy,Plate5,C,GT2023_N07.03,11,73266.1581,1420834.284,19.39277725,27.0070871,1.82E+11,18.65700009,2478700.223
7.3_D,GT2023_N07,Cold-Dormancy,Plate5,D,GT2023_N07.03,11,69891.94486,1156843.419,16.55188479,27.07596446,1.90E+11,18.58660081,2717195.26
7.4_A,GT2023_N07,Constant-Warmth,Plate3,A,GT2023_N07.04,2,45251.90501,756605.7195,16.71986449,27.31141019,1.81E+11,18.02835573,4008576.382
7.4_B,GT2023_N07,Constant-Warmth,Plate6,B,GT2023_N07.04,2,59223.95448,1178272.94,19.8952088,27.39600093,2.74E+11,17.71024996,4626692.061
7.4_C,GT2023_N07,Constant-Warmth,Plate5,C,GT2023_N07.04,2,64287.34144,976081.3804,15.18310384,27.20247458,1.65E+11,18.80975921,2563355.183
7.4_D,GT2023_N07,Constant-Warmth,Plate1,D,GT2023_N07.04,2,21822.70971,447752.6005,20.51773618,28.71957662,1.98E+11,18.20147245,9073117.071
7.5_A,GT2023_N07,Cold-Dormancy,Plate3,A,GT2023_N07.05,1,50362.8154,1043302.02,20.71572075,27.15685079,1.97E+11,17.89797256,3914656.192
7.5_B,GT2023_N07,Cold-Dormancy,Plate6,B,GT2023_N07.05,1,84008.84653,1504520.919,17.90907721,26.88000364,3.54E+11,17.31121919,4212734.904
7.5_C,GT2023_N07,Cold-Dormancy,Plate1,C,GT2023_N07.05,1,19103.5766,475961.5472,24.91478728,28.90664487,1.63E+11,18.51805896,8532433.66
7.5_D,GT2023_N07,Cold-Dormancy,Plate2,D,GT2023_N07.05,1,20151.49877,403813.5805,20.0388857,29.66903375,1.64E+11,18.3957586,8138352.479
8.1_A,GT2023_N08,Constant-Warmth,Plate1,A,GT2023_N08.01,2,31415.84701,221970.5068,7.065558561,28.18486518,2.16E+11,18.05693217,6875510.946
8.1_B,GT2023_N08,Constant-Warmth,Plate3,B,GT2023_N08.01,2,74210.96403,1493054.431,20.11905452,26.59524619,2.88E+11,17.34835597,3884082.795
8.1_C,GT2023_N08,Constant-Warmth,Plate2,C,GT2023_N08.01,2,16487.63672,447407.9025,27.13596314,29.96124675,1.64E+11,18.39939333,9946847.007
8.1_D,GT2023_N08,Constant-Warmth,Plate5,D,GT2023_N08.01,2,40186.73072,719903.1196,17.91395087,27.89259496,1.56E+11,18.90074751,3881249.372
8.2_B,GT2023_N08,Cold-Dormancy,Plate4,B,GT2023_N08.02,3,41380.51123,891816.0266,21.55159518,27.84791554,2.13E+11,18.21023937,5157772.922
8.2_C,GT2023_N08,Cold-Dormancy,Plate3,C,GT2023_N08.02,3,57047.41855,1101796.902,19.31370306,26.97597555,2.24E+11,17.7092024,3930855.846
8.2_D,GT2023_N08,Cold-Dormancy,Plate5,D,GT2023_N08.02,3,52102.52782,995674.4918,19.10990759,27.50850283,1.92E+11,18.57269499,3680422.444
9.1_B,GT2023_N09,Constant-Warmth,Plate5,B,GT2023_N09.01,12,54341.09925,1195208.159,21.99455247,27.44445671,1.79E+11,18.68210264,3288926.743
9.1_C,GT2023_N09,Constant-Warmth,Plate1,C,GT2023_N09.01,12,39339.89894,674045.0284,17.13387799,27.86350053,2.11E+11,18.09819904,5363511.491
9.1_D,GT2023_N09,Constant-Warmth,Plate1,D,GT2023_N09.01,12,16859.54301,386010.9082,22.89569225,29.08797128,2.18E+11,18.04083161,12930362.34
9.2_A,GT2023_N09,Constant-Warmth,Plate4,A,GT2023_N09.02,5,58767.41024,877086.5906,14.9247106,27.32534633,2.36E+11,18.05330922,4019907.67
9.2_B,GT2023_N09,Constant-Warmth,Plate6,B,GT2023_N09.02,5,66858.03076,1266003.99,18.93570564,27.21570989,3.47E+11,17.34090088,5190819.952
9.2_C,GT2023_N09,Constant-Warmth,Plate1,C,GT2023_N09.02,5,21677.15107,379723.6054,17.51722836,28.7241874,1.98E+11,18.20266395,9134041.616
9.3_A,GT2023_N09,Cold-Dormancy,Plate1,A,GT2023_N09.03,6,34449.42263,698147.3366,20.26586466,28.05105894,2.08E+11,18.11712802,6037837.041
9.3_B,GT2023_N09,Cold-Dormancy,Plate6,B,GT2023_N09.03,6,52092.0876,772489.748,14.82931062,27.58211025,2.22E+11,18.04142168,4258209.072
9.3_C,GT2023_N09,Cold-Dormancy,Plate3,C,GT2023_N09.03,6,33932.94893,850534.8536,25.06516175,27.72915221,2.89E+11,17.34624062,8505437.068
9.3_D,GT2023_N09,Cold-Dormancy,Plate6,D,GT2023_N09.03,6,65176.01936,945962.0275,14.51395831,27.25294103,2.84E+11,17.65487214,4363460.715
9.4_A,GT2023_N09,Constant-Warmth,Plate4,A,GT2023_N09.04,10,69401.46402,1155137.121,16.64427598,27.07848317,1.75E+11,18.50327823,2526208.275
9.4_B,GT2023_N09,Constant-Warmth,Plate1,B,GT2023_N09.04,10,10823.86959,260092.4579,24.0295262,29.73119324,1.52E+11,18.6729012,14043036.9
9.4_C,GT2023_N09,Constant-Warmth,Plate2,C,GT2023_N09.04,10,23097.54227,328087.3285,14.20442594,29.47328921,1.32E+11,18.73792512,5714893.753
9.4_D,GT2023_N09,Constant-Warmth,Plate1,D,GT2023_N09.04,10,15784.22211,268861.9077,17.03358619,29.19478951,1.84E+11,18.31393988,11657210.52
9.5_A,GT2023_N09,Constant-Warmth,Plate2,A,GT2023_N09.05,8,13599.10194,320574.7049,23.5732261,30.2420582,1.27E+11,18.80531054,9338851.972
9.5_B,GT2023_N09,Constant-Warmth,Plate1,B,GT2023_N09.05,8,16466.56278,766108.1308,46.52507879,29.12277229,2.07E+11,18.12340492,12570929.51
9.5_C,GT2023_N09,Constant-Warmth,Plate5,C,GT2023_N09.05,8,46479.2954,667252.9058,14.35591697,27.67703601,1.48E+11,18.97713956,3187593.552
9.5_D,GT2023_N09,Constant-Warmth,Plate5,D,GT2023_N09.05,8,31931.96445,375079.2074,11.74619896,28.22059613,83496231791,19.8790827,2614816.634
9.6_C,GT2023_N09,Cold-Dormancy,Plate4,C,GT2023_N09.06,9,42847.39042,636712.5356,14.86000733,27.79386483,2.57E+11,17.92216228,6006846.121
9.6_D,GT2023_N09,Cold-Dormancy,Plate2,D,GT2023_N09.06,9,25063.18715,395214.4719,15.76872365,29.35416805,1.77E+11,18.28131518,7062150.514
