Well,Fluor,,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
F04,SYBR,,,Unkn-06,15.5_A,,17.65201112,17.6925003,0.057260359,2.78E+11,11.44346143,2.71E+11,9598792455,60,
F05,SYBR,,,Unkn-14,14.5_D,,18.39382562,18.38830378,0.007809069,1.75E+11,11.24401734,1.76E+11,850831599.2,60,
F06,SYBR,,,Unkn-14,14.5_D,,18.38278193,18.38830378,0.007809069,1.77E+11,11.24698654,1.76E+11,850831599.2,60,
F07,SYBR,,,Unkn-22,15.2_A,,19.55273523,19.42830409,0.175972213,85591993523,10.93243314,92720322637,10080979710,60,
F08,SYBR,,,Unkn-22,15.2_A,,19.30387294,19.42830409,0.175972213,99848651750,10.9993422,92720322637,10080979710,60,
F09,SYBR,,,Unkn-30,17.3_D,,18.24828096,18.29532585,0.066531521,1.92E+11,11.28314845,1.87E+11,7679454238,60,
F10,SYBR,,,Unkn-30,17.3_D,,18.34237074,18.29532585,0.066531521,1.81E+11,11.25785149,1.87E+11,7679454238,60,
F11,SYBR,,,Unkn-38,5.2_C,,18.62861224,18.67187405,0.061181435,1.52E+11,11.18089266,1.48E+11,5593381149,60,
F12,SYBR,,,Unkn-38,5.2_C,,18.71513586,18.67187405,0.061181435,1.44E+11,11.15762993,1.48E+11,5593381149,60,
G01,SYBR,,,Unkn,STD7,,29.57363006,29.57363006,0,173068269.4,8.238217451,173068269.4,0,60,
G02,SYBR,,,Unkn,STD7,,29.33674745,29.33674745,0,200403665.2,8.30190566,200403665.2,0,60,
G03,SYBR,,,Unkn-07,3.1_C,,18.60136459,18.56643936,0.04939174,1.54E+11,11.18821845,1.58E+11,4819901338,60,
G04,SYBR,,,Unkn-07,3.1_C,,18.53151412,18.56643936,0.04939174,1.61E+11,11.20699844,1.58E+11,4819901338,60,
G05,SYBR,,,Unkn-15,17.3_A,,18.33045437,18.46667333,0.192642701,1.82E+11,11.26105532,1.68E+11,20018901551,60,
G06,SYBR,,,Unkn-15,17.3_A,,18.60289229,18.46667333,0.192642701,1.54E+11,11.18780772,1.68E+11,20018901551,60,
G07,SYBR,,,Unkn-23,10.6_B,,18.70235154,18.81697751,0.162105612,1.45E+11,11.16106712,1.35E+11,13556663936,60,
G08,SYBR,,,Unkn-23,10.6_B,,18.93160349,18.81697751,0.162105612,1.26E+11,11.09943049,1.35E+11,13556663936,60,
G09,SYBR,,,Unkn-31,2.4_B,,17.59358248,17.93173207,0.478215726,2.88E+11,11.45917054,2.39E+11,69628733732,60,
G10,SYBR,,,Unkn-31,2.4_B,,18.26988165,17.93173207,0.478215726,1.89E+11,11.27734089,2.39E+11,69628733732,60,
G11,SYBR,,,Unkn-39,12.4_A,,18.40305046,18.50903193,0.149880426,1.74E+11,11.24153715,1.64E+11,15164950513,60,
G12,SYBR,,,Unkn-39,12.4_A,,18.61501339,18.50903193,0.149880426,1.53E+11,11.18454884,1.64E+11,15164950513,60,
H01,SYBR,,,NTC-01,NEG,,29.56383287,29.5208721,0.060755703,NaN,NaN,NaN,NaN,60,
H02,SYBR,,,NTC-01,NEG,,29.47791133,29.5208721,0.060755703,NaN,NaN,NaN,NaN,60,
H03,SYBR,,,Unkn-08,7.1_D,,18.48796677,18.45955108,0.040185857,1.65E+11,11.21870657,1.68E+11,4189706318,60,
H04,SYBR,,,Unkn-08,7.1_D,,18.43113539,18.45955108,0.040185857,1.71E+11,11.23398624,1.68E+11,4189706318,60,
H05,SYBR,,,Unkn-16,13.4_D,,18.02371472,18.05443023,0.0434383,2.21E+11,11.34352528,2.16E+11,5819794429,60,
H06,SYBR,,,Unkn-16,13.4_D,,18.08514575,18.05443023,0.0434383,2.12E+11,11.32700894,2.16E+11,5819794429,60,
H07,SYBR,,,Unkn-24,17.2_B,,18.88442517,18.94744421,0.089122383,1.29E+11,11.11211484,1.25E+11,6870843518,60,
H08,SYBR,,,Unkn-24,17.2_B,,19.01046325,18.94744421,0.089122383,1.20E+11,11.07822827,1.25E+11,6870843518,60,
H09,SYBR,,,Unkn-32,3.2_B,,18.17635086,18.16832284,0.011353332,2.01E+11,11.30248756,2.02E+11,1417465974,60,
H10,SYBR,,,Unkn-32,3.2_B,,18.16029482,18.16832284,0.011353332,2.03E+11,11.30680438,2.02E+11,1417465974,60,
H11,SYBR,,,Unkn-40,7.4_D,,18.18953036,18.20147245,0.016888668,1.99E+11,11.29894412,1.98E+11,2065733338,60,
H12,SYBR,,,Unkn-40,7.4_D,,18.21341454,18.20147245,0.016888668,1.96E+11,11.29252262,1.98E+11,2065733338,60,
