"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell"
"10.4_D",22671.3653884836,445046.170437269,19.6303205744873,28.6640025821584,1.8e+11,18.35019757,7939530.63327341
"10.6_A",15656.0095769893,334561.946792057,21.369554300975,29.1966307645159,1.76e+11,18.38831288,11241689.5974999
"10.6_B",12816.7041116105,294290.444201393,22.9614760268046,29.5037199986398,1.35e+11,18.81697751,10533129.1745828
"11.3_A",36980.4777490721,560953.843667165,15.1689182458234,27.9494522427691,2.19e+11,18.03927778,5922043.55730626
"12.4_A",23316.0260783981,523111.891439923,22.4357225232553,28.6200191213769,1.64e+11,18.50903193,7033788.6674412
"13.2_B",19519.4095265458,477617.298507715,24.4688394829859,28.8773178128124,1.99e+11,18.19708469,10194980.5258897
"13.3_B",15419.7295282922,303341.681288882,19.672308825671,29.2316751049784,1.49e+11,18.65694014,9662945.10721566
"13.4_D",16829.4092694345,309979.196731079,18.4188994259033,29.0918029284888,2.16e+11,18.05443023,12834675.0941697
"14.5_D",18523.6889344434,458699.852828029,24.7628781962059,28.9551627712998,1.76e+11,18.38830378,9501347.20048885
"15.2_A",14648.219116978,368743.457229105,25.1732619702359,29.2927242081168,92720322637,19.42830409,6329801.72514846
"15.2_C",17608.8610885604,465084.623448152,26.4119650390277,29.0249337698778,2.32e+11,17.94108344,13175184.8591002
"15.3_A",14395.2924348346,317055.371071536,22.024934367037,29.3201492445574,1.31e+11,18.8701184,9100197.20634492
"17.2_B",11153.7687644278,357318.935025289,32.0357130017676,29.6896782043566,1.25e+11,18.94744421,11206974.3097649
"17.3_A",46428.828151405,1019365.60074372,21.955445384483,27.6184817425275,1.68e+11,18.46667333,3618441.53059711
"17.3_D",16789.5438686678,321482.48062381,19.1477793046988,29.0945996607751,1.87e+11,18.29532585,11137884.4751688
"17.5_C",32564.059754099,441144.027029429,13.5469603716686,28.1327309670797,1.97e+11,18.20420154,6049614.2522648
"2.3_C",24371.9360352413,610022.300295724,25.0297021711219,28.5533078568367,2.35e+11,17.92195641,9642237.68108512
"2.4_B",15723.0268256767,355171.690919983,22.5892695380997,29.1999208029727,2.39e+11,17.93173207,15200635.5169284
"3.1_B",53511.9840333043,1301750.44514379,24.3263349072166,27.4124059005586,1.9e+11,18.2699677,3550606.53108563
"3.1_C",27029.1124315666,553130.130357858,20.4642358034617,28.4037287611943,1.58e+11,18.56643936,5845548.9576297
"3.2_B",15731.9997658061,408728.249556769,25.9806925782665,29.1954012326673,2.02e+11,18.16832284,12840071.3836172
"3.3_C",9798.6051895518,169972.274499173,17.3465785396082,29.8956439598984,75692739665,19.75134457,7724848.40451688
"5.1_C",18412.2591285912,367461.892468879,19.9574582294614,28.9692429401974,1.4e+11,18.75870722,7603629.68075998
"5.2_C",22533.0223646881,428523.71460074,19.0175870624567,28.6670922760743,1.48e+11,18.67187405,6568137.98010219
"5.3_B",21610.2637618854,606569.35735585,28.0685772297547,28.7321806779875,2.13e+11,18.08227107,9856427.59139635
"5.4_D",17733.594106572,336929.989608866,18.9995320510917,29.0168524091373,1.83e+11,18.32729651,10319397.1227852
"7.1_D",27271.2604533894,676938.071180873,24.8223976423041,28.3920641227091,1.68e+11,18.45955108,6160331.32341414
"7.4_D",21822.7097100958,447752.600495148,20.5177361768234,28.7195766230941,1.98e+11,18.20147245,9073117.07071829
"7.5_C",19103.5766006239,475961.547238275,24.9147872772018,28.9066448740921,1.63e+11,18.51805896,8532433.65929062
"8.1_A",31415.8470065467,221970.506815374,7.06555856250248,28.1848651829449,2.16e+11,18.05693217,6875510.94691122
"9.1_C",39339.8989439058,674045.028382628,17.1338779833608,27.8635005314845,2.11e+11,18.09819904,5363511.48997261
"9.1_D",16859.5430133575,386010.908227301,22.8956922451262,29.0879712776703,2.18e+11,18.04083161,12930362.3370623
"9.2_C",21677.151070611,379723.605433139,17.5172283570027,28.7241874002097,1.98e+11,18.20266395,9134041.61621775
"9.3_A",34449.4226313043,698147.336636388,20.2658646592811,28.0510589408844,2.08e+11,18.11712802,6037837.04087365
"9.4_B",10823.8695919165,260092.457885416,24.029526194556,29.7311932426854,1.52e+11,18.6729012,14043036.8926023
"9.4_D",15784.2221074128,268861.907704714,17.0335861897462,29.1947895059271,1.84e+11,18.31393988,11657210.5199652
"9.5_B",16466.5627809415,766108.130761138,46.5250787886247,29.1227722859955,2.07e+11,18.12340492,12570929.5105341
