Nest_ID,Treatment,Tortoise_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post,mtDNA_percent_change_A_to_B,mtDNA_percent_change_B_to_C,mtDNA_percent_change_C_to_D,Telomeres_percent_change_A_to_B,Telomeres_percent_change_B_to_C,Telomeres_percent_change_C_to_D
GT2023_N02,Cold-Dormancy,GT2023_N02.02,3,0.087263158,0.547368421,0.783516484,NA,-0.30049410004017785,10.407791310007427,NA,-6.899672715344956,117.07369283786808
GT2023_N02,Cold-Dormancy,GT2023_N02.03,11,0.023157895,0.626315789,0.46043956,22.730475332303005,19.901826879080755,-47.213503739839794,36.55734454155729,99.41991394459292,-49.672701913568176
GT2023_N02,Constant-Warmth,GT2023_N02.04,5,0.713578947,1.036842105,0.757142857,52.35020420561637,-2.220528885103982,-37.04669821818943,254.37175618283896,-48.60623629708312,-43.96094077312435
GT2023_N03,Cold-Dormancy,GT2023_N03.01,6,0.068736842,0.789473684,0.928571429,121.35931881666298,-15.876206253368558,-43.75568264088811,39.878030549979435,64.63522236135726,-16.95566502927366
GT2023_N03,Cold-Dormancy,GT2023_N03.02,1,0.114526316,0.478947368,0.773626374,25.51548500530487,-31.53279707394436,-7.055874773665874,378.9776988749605,-76.47606204802165,5.374477951800827
GT2023_N03,Constant-Warmth,GT2023_N03.03,8,0.570842105,1.073684211,0.227472527,13.92153497385484,2.290596986355266,-20.46237070388274,84.03114973921294,52.40681889968191,-49.90113615713528
GT2023_N03,Cold-Dormancy,GT2023_N03.04,9,0.104105263,0.5,0.493406593,-30.3723717256213,50.20533217799633,-20.35948228970767,3.78665343664559,164.8958720545617,-52.75603578618333
GT2023_N05,Constant-Warmth,GT2023_N05.01,10,1.063473684,2.521052632,1.57032967,37.410219392570816,-18.67454012716811,-29.16811255302925,-15.553825617708098,75.58975106948851,-36.52754964262972
GT2023_N05,Cold-Dormancy,GT2023_N05.02,11,0.127578947,0.484210526,1.07032967,NA,9.41497849586212,-0.36555887262134745,NA,44.85657481270518,-50.252803638518216
GT2023_N05,Cold-Dormancy,GT2023_N05.04,1,0.022105263,0.831578947,0.983516484,NA,58.47219122269696,1.767904059620386,NA,221.38310536578572,21.918065012660364
GT2023_N05,Constant-Warmth,GT2023_N05.05,2,0.665789474,1.378947368,0.915384615,75.25014715173613,-41.117236417380646,55.708932303972325,80.29284977323013,-63.276053692758936,82.39230256634119
GT2023_N06,Constant-Warmth,GT2023_N06.02,5,0.663578947,1.352631579,0.88021978,125.5882264543444,-40.44146998552093,-18.562798681604207,43.27806597078306,-16.4721735230742,-13.80911013219151
