Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
D12,FAM,0,Unkn-36,9.5_B,,22.00388627,22.05187512,0.067866481,791224.3675,5.898299654,766108.1308,35519.72257,62,
E01,FAM,0,Std-05,STD5,,30.12519298,30.05069675,0.105353574,3000,3.477121255,3000,0,62,
E02,FAM,0,Std-05,STD5,,29.97620053,30.05069675,0.105353574,3000,3.477121255,3000,0,62,
E03,FAM,0,Unkn-05,12.2_A,,21.2255975,20.69498788,0.750395319,1346777.621,6.129295891,2064096.775,1014442.475,62,
E04,FAM,0,Unkn-05,12.2_A,,20.16437826,20.69498788,0.750395319,2781415.928,6.444265937,2064096.775,1014442.475,62,
E05,FAM,0,Unkn-13,9.2_C,,23.04153156,23.07858681,0.052404043,389337.6117,5.59032636,379723.6054,13596.25807,62,
E06,FAM,0,Unkn-13,9.2_C,,23.11564207,23.07858681,0.052404043,370109.5992,5.568330349,379723.6054,13596.25807,62,
E07,FAM,0,Unkn-21,13.3_B,,23.24075616,23.4173745,0.249776055,339778.9467,5.531196466,303341.6813,51530.0749,62,
E08,FAM,0,Unkn-21,13.3_B,,23.59399284,23.4173745,0.249776055,266904.4159,5.426355759,303341.6813,51530.0749,62,
E09,FAM,0,Unkn-29,2.3_C,,22.36223841,22.38462996,0.03166643,619356.4714,5.79194068,610022.3003,13200.5113,62,
E10,FAM,0,Unkn-29,2.3_C,,22.40702151,22.38462996,0.03166643,600688.1292,5.77864905,610022.3003,13200.5113,62,
E11,FAM,0,Unkn-37,10.4_D,,22.75350793,22.84895977,0.134989282,474036.542,5.675811821,445046.1704,40998.57669,62,
E12,FAM,0,Unkn-37,10.4_D,,22.9444116,22.84895977,0.134989282,416055.7988,5.619151579,445046.1704,40998.57669,62,
F01,FAM,0,Std-06,STD6,,33.75994558,33.61386616,0.206587491,300,2.477121255,300,0,62,
F02,FAM,0,Std-06,STD6,,33.46778675,33.61386616,0.206587491,300,2.477121255,300,0,62,
F03,FAM,0,Unkn-06,15.5_A,,20.21118187,19.68746929,0.740641436,2693857.503,6.430374619,4102556.733,1992201.556,62,
F04,FAM,0,Unkn-06,15.5_A,,19.1637567,19.68746929,0.740641436,5511255.963,6.741250582,4102556.733,1992201.556,62,
F05,FAM,0,Unkn-14,14.5_D,,22.64223309,22.81138751,0.239220464,511491.2527,5.708838211,458699.8528,74658.31375,62,
F06,FAM,0,Unkn-14,14.5_D,,22.98054192,22.81138751,0.239220464,405908.4529,5.608428095,458699.8528,74658.31375,62,
F07,FAM,0,Unkn-22,15.2_A,,23.08689325,23.12146149,0.048886866,377453.1045,5.576863002,368743.4572,12317.30131,62,
F08,FAM,0,Unkn-22,15.2_A,,23.15602972,23.12146149,0.048886866,360033.8099,5.556343286,368743.4572,12317.30131,62,
F09,FAM,0,Unkn-30,17.3_D,,23.24258234,23.32401535,0.115163676,339355.1584,5.530654455,321482.4806,25275.78331,62,
F10,FAM,0,Unkn-30,17.3_D,,23.40544837,23.32401535,0.115163676,303609.8028,5.48231579,321482.4806,25275.78331,62,
F11,FAM,0,Unkn-38,5.2_C,,23.04821133,22.90792139,0.198399941,387564.3331,5.588343803,428523.7146,57925.31285,62,
F12,FAM,0,Unkn-38,5.2_C,,22.76763144,22.90792139,0.198399941,469483.0961,5.67161996,428523.7146,57925.31285,62,
G03,FAM,0,Unkn-07,3.1_C,,22.61963612,22.53043199,0.126153688,519451.4899,5.715544996,553130.1304,47628.79012,62,
G04,FAM,0,Unkn-07,3.1_C,,22.44122786,22.53043199,0.126153688,586808.7708,5.768496596,553130.1304,47628.79012,62,
G05,FAM,0,Unkn-15,17.3_A,,21.5775347,21.63426377,0.080227022,1058865.68,6.024840872,1019365.601,55861.54725,62,
G06,FAM,0,Unkn-15,17.3_A,,21.69099284,21.63426377,0.080227022,979865.5219,5.991166477,1019365.601,55861.54725,62,
G07,FAM,0,Unkn-23,10.6_B,,23.75067613,23.47658849,0.387618459,239801.6314,5.379852133,294290.4442,77058.81812,62,
G08,FAM,0,Unkn-23,10.6_B,,23.20250085,23.47658849,0.387618459,348779.257,5.542550648,294290.4442,77058.81812,62,
G09,FAM,0,Unkn-31,2.4_B,,23.33921741,23.18412858,0.219328735,317667.766,5.501973149,355171.6909,53038.55924,62,
G10,FAM,0,Unkn-31,2.4_B,,23.02903974,23.18412858,0.219328735,392675.6158,5.594033933,355171.6909,53038.55924,62,
G11,FAM,0,Unkn-39,12.4_A,,22.60695559,22.60936319,0.00340486,523972.6043,5.719308581,523111.8914,1217.231792,62,
G12,FAM,0,Unkn-39,12.4_A,,22.61177079,22.60936319,0.00340486,522251.1786,5.717879429,523111.8914,1217.231792,62,
H01,FAM,0,NTC-01,NEG,,NaN,0,0,NaN,NaN,0,0,62,
H02,FAM,0,NTC-01,NEG,,NaN,0,0,NaN,NaN,0,0,62,
H03,FAM,0,Unkn-08,7.1_D,,22.31111075,22.23417823,0.108799014,641379.9488,5.807115379,676938.0712,50286.77891,62,
H04,FAM,0,Unkn-08,7.1_D,,22.15724571,22.23417823,0.108799014,712496.1936,5.852782549,676938.0712,50286.77891,62,
H05,FAM,0,Unkn-16,13.4_D,,23.34968892,23.37529246,0.036208881,315402.5534,5.498865205,309979.1967,7669.784497,62,
H06,FAM,0,Unkn-16,13.4_D,,23.40089601,23.37529246,0.036208881,304555.8401,5.483666932,309979.1967,7669.784497,62,
H07,FAM,0,Unkn-24,17.2_B,,22.9813553,23.18063328,0.281821618,405682.8827,5.608186684,357318.935,68396.95076,62,
H08,FAM,0,Unkn-24,17.2_B,,23.37991125,23.18063328,0.281821618,308954.9873,5.48989521,357318.935,68396.95076,62,
H09,FAM,0,Unkn-32,3.2_B,,23.21292977,22.98768099,0.318549874,346302.2733,5.539455342,408728.2496,88283.66231,62,
H10,FAM,0,Unkn-32,3.2_B,,22.76243222,22.98768099,0.318549874,471154.2258,5.673163091,408728.2496,88283.66231,62,
H11,FAM,0,Unkn-40,7.4_D,,22.79091211,22.83772597,0.066204794,462072.6411,5.664710255,447752.6005,20251.59561,62,
H12,FAM,0,Unkn-40,7.4_D,,22.88453982,22.83772597,0.066204794,433432.5599,5.636921533,447752.6005,20251.59561,62,
A01,VIC,,Std-01,STD1,,18.20185065,18.18319669,0.026380679,30000000,7.477121255,30000000,0,62,
A02,VIC,,Std-01,STD1,,18.16454274,18.18319669,0.026380679,30000000,7.477121255,30000000,0,62,
A03,VIC,,Unkn-01,11.3_A,,28.01028821,27.94945224,0.086035054,35431.00464,4.549383467,36980.47775,2191.285889,62,
A04,VIC,,Unkn-01,11.3_A,,27.88861627,27.94945224,0.086035054,38529.95086,4.585798455,36980.47775,2191.285889,62,
A05,VIC,,Unkn-09,9.1_D,,29.08957564,29.08797128,0.002268911,16840.90269,4.226365366,16859.54301,26.36140247,62,
A06,VIC,,Unkn-09,9.1_D,,29.08636692,29.08797128,0.002268911,16878.18334,4.2273257,16859.54301,26.36140247,62,
A07,VIC,,Unkn-17,5.1_C,,28.80644171,28.96924294,0.230235712,20469.34944,4.31110404,18412.25913,2909.165024,62,
A08,VIC,,Unkn-17,5.1_C,,29.13204417,28.96924294,0.230235712,16355.16881,4.213655031,18412.25913,2909.165024,62,
A09,VIC,,Unkn-25,7.5_C,,28.90829155,28.90664487,0.00232875,19081.89817,4.280621574,19103.5766,30.6579321,62,
A10,VIC,,Unkn-25,7.5_C,,28.9049982,28.90664487,0.00232875,19125.25503,4.281607235,19103.5766,30.6579321,62,
A11,VIC,,Unkn-33,9.3_A,,28.05363182,28.05105894,0.0036386,34388.34162,4.536411232,34449.42263,86.38159006,62,
A12,VIC,,Unkn-33,9.3_A,,28.04848606,28.05105894,0.0036386,34510.50364,4.537951297,34449.42263,86.38159006,62,
B01,VIC,,Std-02,STD2,,21.50554604,21.46893701,0.051772991,3000000,6.477121255,3000000,0,62,
B02,VIC,,Std-02,STD2,,21.43232797,21.46893701,0.051772991,3000000,6.477121255,3000000,0,62,
B03,VIC,,Unkn-02,3.1_B,,27.44769412,27.4124059,0.049905083,52210.91403,4.717761296,53511.98403,1839.990849,62,
B04,VIC,,Unkn-02,3.1_B,,27.37711768,27.4124059,0.049905083,54813.05404,4.738884,53511.98403,1839.990849,62,
B05,VIC,,Unkn-10,5.3_B,,28.61853366,28.73218068,0.160721161,23299.29186,4.367342722,21610.26376,2388.646449,62,
B06,VIC,,Unkn-10,5.3_B,,28.8458277,28.73218068,0.160721161,19921.23566,4.299316273,21610.26376,2388.646449,62,
B07,VIC,,Unkn-18,15.3_A,,29.41166456,29.32014924,0.129422203,13488.63243,4.12996792,14395.29243,1282.210882,62,
B08,VIC,,Unkn-18,15.3_A,,29.22863393,29.32014924,0.129422203,15301.95244,4.184746848,14395.29243,1282.210882,62,
B09,VIC,,Unkn-26,13.2_B,,28.95200681,28.87731781,0.10562619,18515.61358,4.267538108,19519.40953,1419.581846,62,
B10,VIC,,Unkn-26,13.2_B,,28.80262882,28.87731781,0.10562619,20523.20548,4.312245193,19519.40953,1419.581846,62,
B11,VIC,,Unkn-34,17.5_C,,28.13001618,28.13273097,0.003839293,32624.98254,4.513550288,32564.05975,86.15782531,62,
