Tortoise_ID,mtDNA_percent_change_A_to_B,mtDNA_percent_change_B_to_C,mtDNA_percent_change_C_to_D,Telomeres_percent_change_A_to_B,Telomeres_percent_change_B_to_C,Telomeres_percent_change_C_to_D
10.1,19.2918827201824,4.784623656257725,-25.200322803931403,-3.881594080136011,185.8384882525289,-51.369229646837866
10.2,-3.0283052199462417,15.910069245077446,-50.93876347583589,-2.408029862411115,25.018556974519377,-30.009565775263763
10.4,-9.90228726565391,56.00307375208424,-10.872440658325273,50.78720510279011,35.30095128886834,-7.216329078658582
10.5,11.288141480305375,-23.725888929554323,57.626612083414464,6.7065062393213815,-32.83253427982317,87.99611391772024
10.6,7.449484923309643,-24.188573282432504,NA,-6.302970890378261,-53.26135468874392,NA
11.1,-38.857940059997624,-9.174161095085372,27.997957933513263,3.5929234334477527,-16.758687295503137,68.39355759429372
11.2,19.166604692772747,-20.932895505205686,-33.42565341864833,5.634298800756148,16.60258324077529,-24.25711351776461
11.3,46.49083890138992,-36.8258155246251,26.17463492033015,95.84332061147674,-63.11994048912578,43.362564642871604
12.4,-38.309278849808216,0.291898723059557,-1.518201890617951,-60.82040712853337,44.40576617532862,-27.051157461215762
12.5,-25.78869367945015,1.9153612547650456,-2.475891324074623,51.75940648595908,-16.35428967685594,-14.907324156004748
12.6,3.616818482414258,-38.196810991410274,52.89496892349563,37.402936728298805,-16.04133121471774,41.372594890121775
13.1,-23.32253198512167,16.76010489129296,-22.00865527651008,8.525962358405605,29.56120643876782,-40.24444248964803
13.3,7.682223414878296,-7.680878062577181,-21.147531198860438,170.7851734203413,-57.388176191929254,41.02376254991721
13.4,-41.75659977325974,9.603573870297133,45.192555428348236,-27.22811740888096,65.92930794704638,154.5546094195804
14.5,16.496697941810478,6.914188332332809,36.37839818866992,4.178557138547583,20.651008187591092,41.600309455132084
15.2,-23.844638731627402,37.77192787935277,-44.03980210572851,-24.619521820130778,176.1262678535878,-59.73888000960558
15.3,-44.15921663630155,25.755487231940833,41.166633034508656,-70.58250420699252,62.11667117027895,42.18897190825627
17.2,80.68579125799957,-56.86358458639512,11.296114480909008,264.08773521714113,-78.26203873447145,28.754225432783375
17.3,1.3683066314292163,-39.086900554808054,41.24180914352335,17.75366297672694,-1.441500784083858,165.2238910477424
17.4,-7.645538765308681,32.93893881420365,-25.456053757722398,-16.45788658005586,21.551103649060433,0.7455881209707813
2.3,22.730475332303005,19.901826879080755,-47.213503739839794,36.55734454155729,99.41991394459293,-49.672701913568176
2.4,52.35020420561637,-2.220528885103982,-37.04669821818943,254.37175618283896,-48.60623629708312,-43.96094077312435
3.1,121.35931881666298,-15.876206253368558,-43.75568264088811,39.878030549979435,64.63522236135726,-16.95566502927366
3.2,25.51548500530487,-31.53279707394436,-7.055874773665874,378.9776988749605,-76.47606204802165,5.374477951800827
3.3,13.92153497385484,2.290596986355266,-20.46237070388274,84.03114973921294,52.40681889968191,-49.90113615713528
3.4,-30.3723717256213,50.20533217799633,-20.35948228970767,3.78665343664559,164.8958720545617,-52.75603578618333
5.1,37.410219392570816,-18.67454012716811,-29.168112553029246,-15.553825617708098,75.58975106948851,-36.52754964262972
5.3,119.32521246935013,-57.85128630492756,49.06155059986873,277.91606102139855,-38.25171995946051,40.16423648758782
5.5,75.25014715173613,-41.117236417380646,55.708932303972325,80.29284977323013,-63.276053692758936,82.39230256634119
6.2,125.5882264543444,-40.44146998552093,-18.562798681604207,43.27806597078306,-16.4721735230742,-13.80911013219151
6.4,51.88149741877264,6.924494053659662,54.44665845971684,-15.466220744348577,54.93931187433443,43.777703473512744
6.5,-0.6761992736591919,-17.594981818896823,-12.01854785295522,13.027531121888735,5.951170113314406,-9.013870003115219
7.1,-9.323790792937235,-8.06875400911552,21.283727895722578,-35.36076235475653,-34.73354474844514,146.41745705169294
7.2,-19.98096027298298,25.76915581767319,-15.848241013680223,-23.133274152821894,-39.04787331144674,18.340073671487946
7.4,18.991447633584492,-23.68462179298283,35.135321449739784,15.419830384800026,-44.59637361121197,253.9547359351994
7.5,-13.548375046650197,39.11820794703514,-19.570311907631574,7.614428885867025,102.53905964695062,-4.618625776874228
8.1,184.7482522720388,34.876930305967754,-33.98446639235511,-43.508448674938265,156.09255855149186,-60.98010385203022
9.2,26.87485974624087,-7.491018892279754,NA,29.127840182616076,75.96529451589495,NA
9.3,-26.826163749459052,69.02445698393589,-42.09509417543769,-29.474594249047925,99.74211985635324,-48.69798365461495
9.4,44.371111267656644,-40.887615406603906,19.917455739363163,455.89386798217436,-59.30443111144438,103.97947931245928
9.5,97.36407138142377,-69.14370195942602,-18.178692615312222,34.608938529293475,-74.64313558123843,-17.968944558117283
10.3,NA,-37.59417693311305,15.508595268379096,NA,-17.37048154381661,-10.345950127006304
11.4,NA,-17.23433946377069,-9.425707338945303,NA,-14.65759895621272,-39.25730694769107
13.2,NA,-54.836950734079615,61.03545936802146,NA,-36.14144912514239,-53.45912093453937
15.1,NA,-4.50984763054162,45.356240975610454,NA,-3.3334504672721863,54.7406227687982
15.5,NA,-37.99213923126196,-1.3844221428825885,NA,-6.201966710368341,19.520996624237213
17.5,NA,-30.100862258765005,32.58117725522104,NA,-13.262777575367329,-35.936898425878155
2.2,NA,-0.30049410004017785,10.407791310007427,NA,-6.899672715344956,117.07369283786807
5.2,NA,9.414978495862119,-0.36555887262134745,NA,44.85657481270518,-50.252803638518216
5.4,NA,58.47219122269696,1.767904059620386,NA,221.38310536578572,21.918065012660364
6.3,NA,-6.720386695905944,16.538297395378454,NA,2.596183797095947,69.20196865211553
7.3,NA,15.743863373660943,-14.649229598505304,NA,-43.882489736333916,9.621778180535662
8.2,NA,-10.3838815737726,-1.0551859178620808,NA,-23.787729591555983,-6.3709637985102985
9.1,NA,-22.099447088490788,33.62819711545081,NA,63.07786429134704,141.08016476214038
9.6,NA,NA,6.115180852663692,NA,NA,17.568360696723747
