Rack,Tank,Clutch_ID,Tortoise_Mass,Max_allowed_blood_volume,Collected_Blood_Volume,Total_bleed_time,Bleed_Finish_Time,Whole_Blood_for_RNA,Whole_Blood_for_DNA,Plasma_(P1),Plasma_(P2),Plasma_(P3),RBC_(plasma_removed),Glucose,Date,Notes (LN=liquid nitrogen); time in hour:minutes
4,11,7.3,68.7,687,300,2:40,12:27,Yes,Yes,Yes,Yes,Yes,Yes,72,3/19/2024,
4,11,14.5,92.7,927,470,3:42,12:32,Yes,Yes,Yes,Yes,Yes,Yes,114,3/19/2024,
4,11,5.2,94.8,948,600,1:42,12:27,Yes,Yes,Yes,Yes,Yes,Yes,90,3/19/2024,
4,11,12.5,75,750,260,2:57,12:45,Yes,Yes,Yes,Yes,Yes,Yes,103,3/19/2024,bled after buried deeply and likely not disturbed before caught
4,11,10.2,60,600,440,2:45,12:31,Yes,Yes,Yes,Yes,Yes,Yes,102,3/19/2024,
4,11,2.3,72.4,724,380,1:58,12:30,Yes,Yes,Yes,Yes,Yes,Yes,94,3/19/2024,
2,12,14.4,131,1310,550,2:27,12:36,Yes,Yes,Yes,Yes,Yes,Yes,95,3/19/2024,"RNA went into DNA LN tank, still in the right tube though so it is cool"
2,12,6.1,93.6,936,,,,,,,,,,,3/19/2024,excluded from the experiment so no blood was taken
2,12,15.1,133,1330,400,4:09,12:38,Yes,Yes,Yes,Yes,Yes,Yes,111,3/19/2024,
2,12,10.3,112,1120,320,2:49,12:41,Yes,Yes,Yes,Yes,Yes,Yes,90,3/19/2024,"clotted, slightly red plasma "
2,12,9.1,154.1,1541,500,2:11,12:40,Yes,Yes,Yes,Yes,Yes,Yes,125,3/19/2024,
2,12,5.3,307.8,3078,440,4:30,12:39,Yes,Yes,Yes,Yes,Yes,Yes,125,3/19/2024,
